Player,Date,Team,Opp,AB,H
Dustin Pedroia,9/28/2008,BOS,NYY,4,2
Dustin Pedroia,9/25/2008,BOS,CLE,3,1
Dustin Pedroia,9/24/2008,BOS,CLE,4,2
Dustin Pedroia,9/23/2008,BOS,CLE,4,2
Dustin Pedroia,9/22/2008,BOS,CLE,5,1
Dustin Pedroia,9/21/2008,BOS,@TOR,3,1
Dustin Pedroia,9/20/2008,BOS,@TOR,4,1
Dustin Pedroia,9/19/2008,BOS,@TOR,4,0
Dustin Pedroia,9/17/2008,BOS,@TBR,4,1
Dustin Pedroia,9/16/2008,BOS,@TBR,4,1
Dustin Pedroia,9/15/2008,BOS,@TBR,3,1
Dustin Pedroia,9/14/2008,BOS,TOR,3,0
Dustin Pedroia,9/13/2008,BOS,TOR,5,3
Dustin Pedroia,9/13/2008,BOS,TOR,1,0
Dustin Pedroia,9/12/2008,BOS,TOR,5,1
Dustin Pedroia,9/10/2008,BOS,TBR,4,2
Dustin Pedroia,9/9/2008,BOS,TBR,4,1
Dustin Pedroia,9/8/2008,BOS,TBR,4,0
Dustin Pedroia,9/7/2008,BOS,@TEX,4,1
Dustin Pedroia,9/6/2008,BOS,@TEX,3,0
Dustin Pedroia,9/5/2008,BOS,@TEX,4,1
Dustin Pedroia,9/3/2008,BOS,BAL,4,3
Dustin Pedroia,9/2/2008,BOS,BAL,5,3
Dustin Pedroia,9/1/2008,BOS,BAL,4,2
Dustin Pedroia,8/31/2008,BOS,CHW,4,1
Dustin Pedroia,8/30/2008,BOS,CHW,4,4
Dustin Pedroia,8/29/2008,BOS,CHW,4,4
Dustin Pedroia,8/28/2008,BOS,@NYY,4,1
Dustin Pedroia,8/27/2008,BOS,@NYY,5,3
Dustin Pedroia,8/26/2008,BOS,@NYY,5,0
Dustin Pedroia,8/24/2008,BOS,@TOR,4,1
Dustin Pedroia,8/23/2008,BOS,@TOR,3,0
Dustin Pedroia,8/22/2008,BOS,@TOR,4,2
Dustin Pedroia,8/20/2008,BOS,@BAL,5,1
Dustin Pedroia,8/19/2008,BOS,@BAL,4,1
Dustin Pedroia,8/18/2008,BOS,@BAL,4,1
Dustin Pedroia,8/17/2008,BOS,TOR,5,1
Dustin Pedroia,8/16/2008,BOS,TOR,4,1
Dustin Pedroia,8/14/2008,BOS,TEX,5,3
Dustin Pedroia,8/13/2008,BOS,TEX,5,2
Dustin Pedroia,8/12/2008,BOS,TEX,6,5
Dustin Pedroia,8/11/2008,BOS,@CHW,4,0
Dustin Pedroia,8/10/2008,BOS,@CHW,4,1
Dustin Pedroia,8/9/2008,BOS,@CHW,5,2
Dustin Pedroia,8/8/2008,BOS,@CHW,4,1
Dustin Pedroia,8/5/2008,BOS,@KCR,5,1
Dustin Pedroia,8/4/2008,BOS,@KCR,4,3
Dustin Pedroia,8/3/2008,BOS,OAK,4,1
Dustin Pedroia,8/2/2008,BOS,OAK,4,1
Dustin Pedroia,8/1/2008,BOS,OAK,6,2
Dustin Pedroia,7/30/2008,BOS,LAA,5,1
Dustin Pedroia,7/29/2008,BOS,LAA,3,1
Dustin Pedroia,7/28/2008,BOS,LAA,5,0
Dustin Pedroia,7/27/2008,BOS,NYY,4,2
Dustin Pedroia,7/26/2008,BOS,NYY,4,0
Dustin Pedroia,7/25/2008,BOS,NYY,4,1
Dustin Pedroia,7/23/2008,BOS,@SEA,5,2
Dustin Pedroia,7/22/2008,BOS,@SEA,4,1
Dustin Pedroia,7/21/2008,BOS,@SEA,5,1
Dustin Pedroia,7/20/2008,BOS,@LAA,4,3
Dustin Pedroia,7/19/2008,BOS,@LAA,4,2
Dustin Pedroia,7/18/2008,BOS,@LAA,4,2
Dustin Pedroia,7/13/2008,BOS,BAL,4,2
Dustin Pedroia,7/12/2008,BOS,BAL,5,2
Dustin Pedroia,7/11/2008,BOS,BAL,3,0
Dustin Pedroia,7/9/2008,BOS,MIN,6,2
Dustin Pedroia,7/8/2008,BOS,MIN,4,2
Dustin Pedroia,7/7/2008,BOS,MIN,4,1
Dustin Pedroia,7/6/2008,BOS,@NYY,5,1
Dustin Pedroia,7/5/2008,BOS,@NYY,4,2
Dustin Pedroia,7/4/2008,BOS,@NYY,4,2
Dustin Pedroia,7/3/2008,BOS,@NYY,5,1
Dustin Pedroia,7/2/2008,BOS,@TBR,5,4
Dustin Pedroia,7/1/2008,BOS,@TBR,3,1
Dustin Pedroia,6/30/2008,BOS,@TBR,4,1
Dustin Pedroia,6/29/2008,BOS,@HOU,5,2
Dustin Pedroia,6/28/2008,BOS,@HOU,5,4
Dustin Pedroia,6/27/2008,BOS,@HOU,4,3
Dustin Pedroia,6/25/2008,BOS,ARI,5,3
Dustin Pedroia,6/24/2008,BOS,ARI,4,2
Dustin Pedroia,6/23/2008,BOS,ARI,4,1
Dustin Pedroia,6/22/2008,BOS,STL,5,4
Dustin Pedroia,6/21/2008,BOS,STL,4,0
Dustin Pedroia,6/20/2008,BOS,STL,4,2
Dustin Pedroia,6/18/2008,BOS,@PHI,5,3
Dustin Pedroia,6/17/2008,BOS,@PHI,4,1
Dustin Pedroia,6/16/2008,BOS,@PHI,4,3
Dustin Pedroia,6/15/2008,BOS,@CIN,4,1
Dustin Pedroia,6/14/2008,BOS,@CIN,5,2
Dustin Pedroia,6/13/2008,BOS,@CIN,4,1
Dustin Pedroia,6/12/2008,BOS,BAL,4,0
Dustin Pedroia,6/11/2008,BOS,BAL,4,0
Dustin Pedroia,6/10/2008,BOS,BAL,3,2
Dustin Pedroia,6/8/2008,BOS,SEA,3,0
Dustin Pedroia,6/6/2008,BOS,SEA,4,0
Dustin Pedroia,6/5/2008,BOS,TBR,2,0
Dustin Pedroia,6/4/2008,BOS,TBR,3,0
Dustin Pedroia,6/3/2008,BOS,TBR,3,0
Dustin Pedroia,6/1/2008,BOS,@BAL,5,1
Dustin Pedroia,5/31/2008,BOS,@BAL,5,2
Dustin Pedroia,5/30/2008,BOS,@BAL,5,0
Dustin Pedroia,5/28/2008,BOS,@SEA,4,0
Dustin Pedroia,5/27/2008,BOS,@SEA,3,1
Dustin Pedroia,5/26/2008,BOS,@SEA,5,1
Dustin Pedroia,5/25/2008,BOS,@OAK,3,0
Dustin Pedroia,5/24/2008,BOS,@OAK,4,0
Dustin Pedroia,5/23/2008,BOS,@OAK,4,1
Dustin Pedroia,5/22/2008,BOS,KCR,5,1
Dustin Pedroia,5/21/2008,BOS,KCR,5,3
Dustin Pedroia,5/20/2008,BOS,KCR,4,0
Dustin Pedroia,5/19/2008,BOS,KCR,3,0
Dustin Pedroia,5/18/2008,BOS,MIL,4,3
Dustin Pedroia,5/17/2008,BOS,MIL,3,1
Dustin Pedroia,5/17/2008,BOS,MIL,5,0
Dustin Pedroia,5/14/2008,BOS,@BAL,4,1
Dustin Pedroia,5/13/2008,BOS,@BAL,5,2
Dustin Pedroia,5/12/2008,BOS,@MIN,4,1
Dustin Pedroia,5/11/2008,BOS,@MIN,4,1
Dustin Pedroia,5/10/2008,BOS,@MIN,5,2
