Season,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
1871,Dickie Flowers,TRO,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,,,0,0,1004174
1873,Rynie Wolters,ELI,0,1,0,1,1,1,0,0,,,9,,13,23,0,0,1,,,,0,1,1014201
1875,Bill Boyd,BKA,0,0,0,1,0,0,0,0,,,1.2,,4,3,0,0,0,,,,0,0,1001274
1876,Joe Blong,STL,0,0,0,1,0,0,0,0,,,4,,2,0,0,0,1,,,0,0,0,1001083
1876,Charlie Gould,CIN,0,0,0,2,0,0,0,0,,,4.1,,10,9,0,0,0,,,0,0,0,1004901
1876,Flip Lafferty,PHN,0,1,0,1,1,1,0,0,,,9,,5,3,0,0,0,,,0,0,0,1007249
1876,John Peters,CHI,0,0,0,1,0,0,0,1,,,1,,1,1,0,0,1,,,0,0,0,1010232
1876,Deacon White,CHI,0,0,0,1,0,0,0,1,,,2,,1,0,0,0,0,,,0,0,3,1013860
1876,George Wright,BSN,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,,1,0,1,1014277
1880,Tom Burns,CHI,0,0,0,1,0,0,0,0,,,1.1,,2,4,0,0,2,,,0,0,1,1001720
1880,King Kelly,CHI,0,0,0,1,0,0,0,0,,,3,,3,2,0,0,1,,,0,0,1,1006806
1882,Ed Brown,STL,0,0,0,1,0,0,0,0,,,2,,2,1,0,0,0,,,0,0,1,1001513
1882,Charlie Comiskey,STL,0,1,0,2,1,1,0,0,,,8,,12,8,0,0,3,,,0,0,2,1002484
1882,John Morrill,BSN,0,0,0,1,0,0,0,0,,,2,,3,0,0,0,0,,,0,0,2,1009214
1882,Yank Robinson,DET,0,0,0,1,0,0,0,0,,,2,,0,0,0,0,1,,,0,0,0,1011079
1882,George Snyder,PHA,1,0,0,1,1,1,0,0,,,9,,4,3,0,0,2,,,0,0,0,1012246
1883,Cap Anson,CHI,0,0,0,2,0,0,0,1,,,3,,1,1,0,0,1,,,0,0,0,1000272
1883,Jake Evans,CLE,0,0,0,1,0,0,0,0,,,3,,0,0,0,0,0,,,0,0,1,1003866
1883,Curry Foley,BUF,1,0,0,1,0,0,0,0,,,1,,0,0,0,0,4,,,0,0,0,1004195
1883,King Kelly,CHI,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,0,,,0,0,0,1006806
1884,Jack Corcoran,BRO,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1002616
1884,Ed Coughlin,BUF,0,0,0,1,0,0,0,0,,,0,,3,4,0,0,0,,0,2,0,0,1002670
1884,Jim Fogarty,PHI,0,0,0,1,0,0,0,0,,,1,,2,2,0,0,0,,0,1,0,1,1004191
1884,Paul Hines,PRO,0,0,0,1,0,0,0,0,,,1,,3,1,0,0,0,,0,1,0,0,1005845
1884,Frank Kreeger,KCC,0,1,0,1,1,0,0,0,,,7,,9,8,0,0,5,,,0,0,3,1007150
1885,Jimmy Macullar,BAL,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,0,1007936
1885,Ed Seward,PRO,0,0,0,1,0,0,0,0,,,6,,2,0,0,0,0,,0,2,0,1,1011763
1885,Bill Stemmeyer,BSN,1,1,0,2,2,2,1,0,,,11,,7,7,0,0,11,,0,2,0,8,1012480
1885,Ned Williamson,CHI,0,0,0,2,0,0,0,2,,,6,,2,0,0,0,0,,0,0,0,3,1014027
1885,George Wood,DET,0,0,0,1,0,0,0,0,,,4,,5,2,0,0,1,,0,2,0,1,1014217
1886,Jim Fogarty,PHI,0,1,0,1,0,0,0,0,,,6,,7,6,0,1,0,,0,1,0,4,1004191
1886,Tommy McCarthy,PHI,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,1,1008379
1886,John Morrill,BSN,0,0,0,1,0,0,0,0,,,4,,5,1,0,0,0,,0,1,0,2,1009214
1886,Ned Williamson,CHI,0,0,0,2,0,0,0,1,,,3,,2,2,0,0,0,,0,0,0,1,1014027
1887,Lou Bierbauer,PHA,0,0,0,1,0,0,0,1,,,1,,0,0,0,0,0,,0,0,0,1,1000953
1887,Jocko Fields,PIT,0,0,0,1,0,0,0,0,,,1,,0,3,0,0,2,,0,1,0,0,1004029
1887,Jack Glasscock,IND,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,1,1004757
1887,Darby O'Brien,NYM,0,0,0,1,0,0,0,0,,,1,,1,0,0,0,1,,0,0,0,0,1009686
1887,Bob Pettit,CHI,0,0,0,1,0,0,0,1,,,1,,3,8,0,0,2,,0,3,0,0,1010248
1887,Danny Richardson,NYG,0,0,0,1,0,0,0,0,,,0,,0,0,0,0,1,,0,0,0,0,1010904
1888,Lou Bierbauer,PHA,0,0,0,1,0,0,0,0,,,3,,5,1,0,0,0,,0,0,0,3,1000953
1888,Jumbo Schoeneck,IND,0,0,0,2,0,0,0,0,,,4.1,,5,4,0,0,1,,0,1,0,1,1011599
1888,George Shoch,WAS,0,0,0,1,0,0,0,0,,,3,,2,0,0,0,1,,0,0,0,0,1011916
1889,Charlie Comiskey,STL,0,0,0,1,0,0,0,0,,,0.1,,0,0,0,0,0,,0,0,0,0,1002484
1889,Jack Glasscock,IND,0,0,0,1,0,0,0,0,,,0.2,,3,2,0,0,3,,0,1,0,0,1004757
1889,Arthur Irwin,WAS,0,0,0,1,0,0,0,0,,,1,,1,1,0,0,0,,0,0,0,0,1006276
1889,John Morrill,WAS,0,0,0,1,0,0,0,0,,,0.1,,0,0,0,0,0,,0,0,0,0,1009214
1889,Billy Nash,BSN,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1009456
1889,Larry Twitchell,CLE,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1013243
1890,Fred Demarais,CHI,0,0,0,1,0,0,0,0,,,2,,1,0,0,0,1,,0,2,0,1,1003189
1890,John Grim,RCH,0,0,0,1,0,0,0,0,,,3.1,,3,3,0,0,4,,0,0,0,3,1005067
1890,Billy Nash,BSR,0,0,0,1,0,0,0,0,,,0.1,,1,0,0,0,0,,0,0,0,0,1009456
1890,Joe Sommer,CLE,0,0,0,1,0,0,0,0,,,1,,2,3,0,1,2,,0,0,0,0,1012275
1891,Ed Clark,COL,0,0,0,1,0,0,0,0,,,2,,2,0,0,0,0,,0,0,0,1,1002279
1891,Kid Keenan,CKE,0,1,0,1,1,1,0,0,,,8,,6,9,0,0,4,,0,0,0,5,1006751
1891,Paul Radford,BSR,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,0,,0,0,0,0,1010640
1891,Cyclone Ryan,BSN,0,0,0,1,0,0,0,0,,,3,,2,0,0,0,1,,0,0,0,0,1011336
1891,John Slagle,CKE,0,0,0,1,0,0,0,1,,,1.1,,3,0,0,0,1,,0,0,0,1,1012049
1892,Bumpus Jones,CIN,1,0,0,1,1,1,0,0,,,9,,0,1,0,0,4,,0,0,0,3,1006533
1893,Jimmy Ryan,CHI,0,0,0,1,0,0,0,0,,,4.2,,3,0,0,0,0,,0,0,0,1,1011341
1894,Kirtley Baker,BAL,0,1,0,1,0,0,0,0,,,0,,1,5,0,0,2,,0,0,0,0,1000462
1894,Jimmy Bannon,BSN,0,0,0,1,0,0,0,0,,,2,,4,3,0,1,1,,0,1,0,0,1000518
1894,Bones Ely,STL,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,3,,0,1,0,0,1003761
1894,George Stultz,BSN,1,0,0,1,1,1,0,0,,,9,,4,2,0,0,5,,0,0,0,1,1012648
1894,Jake Virtue,CLE,0,0,0,1,0,0,0,0,,,0,,0,0,0,0,1,,0,0,0,0,1013440
1895,Bill Banks,BSN,1,0,0,1,1,1,0,0,,,7,,7,2,0,0,4,,0,0,0,4,1000511
1895,Bill Kling,LOU,0,0,0,1,0,0,0,0,,,1,,0,0,0,0,1,,0,0,0,0,1007006
1896,John Gilroy,WAS,0,0,0,1,0,0,0,0,,,2,,0,0,0,0,1,,0,0,0,0,1004737
1896,Bug Holliday,CIN,0,0,0,1,0,0,0,0,,,1,,4,3,0,0,2,,0,1,0,0,1005957
1896,Joe Kostal,LOU,0,0,0,2,0,0,0,0,,,2,,4,4,0,0,0,,0,0,0,0,1007121
