Season,Name,WAR,playerid
1997,Roger Clemens,10.7,815
1998,Roger Clemens,8.2,815
2003,Roy Halladay,7.0,1303
2009,Roy Halladay,6.8,1303
2002,Roy Halladay,6.8,1303
2008,Roy Halladay,6.7,1303
2000,David Wells,6.2,855
1996,Pat Hentgen,6.0,145
1987,Jimmy Key,5.6,1006885
1984,Dave Stieb,5.6,1012532
1992,Juan Guzman,5.5,1005162
1991,Jimmy Key,5.3,1006885
1983,Dave Stieb,5.1,1012532
2007,Roy Halladay,5.1,1303
2006,Roy Halladay,5.1,1303
2008,A.J. Burnett,5.0,512
1984,Doyle Alexander,5.0,1000122
1987,Jim Clancy,5.0,1002255
1986,Mark Eichhorn,4.9,1003712
1982,Dave Stieb,4.8,1012532
1996,Juan Guzman,4.6,1005162
1989,Jimmy Key,4.6,1006885
1985,Dave Stieb,4.5,1012532
1982,Jim Clancy,4.3,1002255
1980,Dave Stieb,4.3,1012532
1993,Juan Guzman,4.3,1005162
1990,Dave Stieb,4.3,1012532
1991,Duane Ward,4.1,1013609
2001,Roy Halladay,4.0,1303
1985,Doyle Alexander,4.0,1000122
1999,David Wells,3.9,855
1997,Pat Hentgen,3.8,145
1990,David Wells,3.8,855
2005,Roy Halladay,3.8,1303
2014,Mark Buehrle,3.7,225
1992,Jack Morris,3.7,1009211
2010,Ricky Romero,3.7,3403
2005,Josh Towers,3.6,1489
1986,Tom Henke,3.5,1005649
1989,Tom Henke,3.5,1005649
1994,Pat Hentgen,3.5,145
2016,Aaron Sanchez,3.5,11490
2010,Shaun Marcum,3.5,6204
1986,Jimmy Key,3.4,1006885
2014,Marcus Stroman,3.4,13431
2003,Kelvim Escobar,3.4,1298
1977,Dave Lemanczyk,3.4,1007511
2017,Marcus Stroman,3.4,13431
1982,Luis Leal,3.4,1007431
1991,Juan Guzman,3.4,1005162
2007,Dustin McGowan,3.4,8600
2016,Marcus Stroman,3.3,13431
1987,Tom Henke,3.3,1005649
1980,Jim Clancy,3.2,1002255
1988,Dave Stieb,3.1,1012532
1986,Jim Clancy,3.1,1002255
1993,Todd Stottlemyre,3.0,75
2010,Brandon Morrow,3.0,9346
1978,Jim Clancy,3.0,1002255
2019,Marcus Stroman,3.0,13431
1996,Erik Hanson,3.0,1005333
2004,Ted Lilly,3.0,833
1995,Al Leiter,3.0,883
1981,Dave Stieb,2.9,1012532
2017,Roberto Osuna,2.9,13764
1995,David Cone,2.9,1680
2005,Gustavo Chacin,2.9,2060
2011,Brandon Morrow,2.9,9346
1999,Chris Carpenter,2.9,1292
2006,A.J. Burnett,2.9,512
1991,Tom Candiotti,2.9,1001911
2017,J.A. Happ,2.9,7410
1985,Jimmy Key,2.8,1006885
