playerID,Name,yearID,W
actama99,Manny Acta,2007,73
actama99,Manny Acta,2008,59
actama99,Manny Acta,2009,26
actama99,Manny Acta,2010,69
adairbi99,Bill Adair,1970,4
adcocjo01,Joe Adcock,1967,75
addybo01,Bob Addy,1875,3
addybo01,Bob Addy,1877,5
allenbo01,Bob Allen,1890,25
allenbo01,Bob Allen,1900,62
allisdo01,Doug Allison,1873,2
aloufe01,Felipe Alou,1992,70
aloufe01,Felipe Alou,1993,94
aloufe01,Felipe Alou,1994,74
aloufe01,Felipe Alou,1995,66
aloufe01,Felipe Alou,1996,88
aloufe01,Felipe Alou,1997,78
aloufe01,Felipe Alou,1998,65
aloufe01,Felipe Alou,1999,68
aloufe01,Felipe Alou,2000,67
aloufe01,Felipe Alou,2001,21
aloufe01,Felipe Alou,2003,100
aloufe01,Felipe Alou,2004,91
aloufe01,Felipe Alou,2005,75
aloufe01,Felipe Alou,2006,76
alstowa01,Walter Alston,1954,92
alstowa01,Walter Alston,1955,98
alstowa01,Walter Alston,1956,93
alstowa01,Walter Alston,1957,84
alstowa01,Walter Alston,1958,71
alstowa01,Walter Alston,1959,88
alstowa01,Walter Alston,1960,82
alstowa01,Walter Alston,1961,89
alstowa01,Walter Alston,1962,102
alstowa01,Walter Alston,1963,99
alstowa01,Walter Alston,1964,80
alstowa01,Walter Alston,1965,97
alstowa01,Walter Alston,1966,95
alstowa01,Walter Alston,1967,73
alstowa01,Walter Alston,1968,76
alstowa01,Walter Alston,1969,85
alstowa01,Walter Alston,1970,87
alstowa01,Walter Alston,1971,89
alstowa01,Walter Alston,1972,85
alstowa01,Walter Alston,1973,95
alstowa01,Walter Alston,1974,102
alstowa01,Walter Alston,1975,88
alstowa01,Walter Alston,1976,90
altobjo01,Joe Altobelli,1977,75
altobjo01,Joe Altobelli,1978,89
altobjo01,Joe Altobelli,1979,61
altobjo01,Joe Altobelli,1983,98
altobjo01,Joe Altobelli,1984,85
altobjo01,Joe Altobelli,1985,29
altobjo01,Joe Altobelli,1991,0
amalfjo01,Joey Amalfitano,1979,2
amalfjo01,Joey Amalfitano,1980,26
amalfjo01,Joey Amalfitano,1981,38
andersp01,Sparky Anderson,1970,102
andersp01,Sparky Anderson,1971,79
andersp01,Sparky Anderson,1972,95
andersp01,Sparky Anderson,1973,99
andersp01,Sparky Anderson,1974,98
andersp01,Sparky Anderson,1975,108
andersp01,Sparky Anderson,1976,102
andersp01,Sparky Anderson,1977,88
andersp01,Sparky Anderson,1978,92
andersp01,Sparky Anderson,1979,56
andersp01,Sparky Anderson,1980,84
andersp01,Sparky Anderson,1981,60
andersp01,Sparky Anderson,1982,83
andersp01,Sparky Anderson,1983,92
andersp01,Sparky Anderson,1984,104
andersp01,Sparky Anderson,1985,84
andersp01,Sparky Anderson,1986,87
andersp01,Sparky Anderson,1987,98
andersp01,Sparky Anderson,1988,88
andersp01,Sparky Anderson,1989,59
andersp01,Sparky Anderson,1990,79
andersp01,Sparky Anderson,1991,84
andersp01,Sparky Anderson,1992,75
andersp01,Sparky Anderson,1993,85
andersp01,Sparky Anderson,1994,53
andersp01,Sparky Anderson,1995,60
ansonca01,Cap Anson,1875,4
ansonca01,Cap Anson,1879,41
ansonca01,Cap Anson,1880,67
ansonca01,Cap Anson,1881,56
ansonca01,Cap Anson,1882,55
ansonca01,Cap Anson,1883,59
ansonca01,Cap Anson,1884,62
ansonca01,Cap Anson,1885,87
ansonca01,Cap Anson,1886,90
ansonca01,Cap Anson,1887,71
ansonca01,Cap Anson,1888,77
ansonca01,Cap Anson,1889,67
ansonca01,Cap Anson,1890,84
ansonca01,Cap Anson,1891,82
ansonca01,Cap Anson,1892,70
ansonca01,Cap Anson,1893,56
ansonca01,Cap Anson,1894,57
ansonca01,Cap Anson,1895,72
ansonca01,Cap Anson,1896,71
ansonca01,Cap Anson,1897,59
ansonca01,Cap Anson,1898,9
applilu01,Luke Appling,1967,10
armoubi99,Bill Armour,1902,69
armoubi99,Bill Armour,1903,77
armoubi99,Bill Armour,1904,86
armoubi99,Bill Armour,1905,79
armoubi99,Bill Armour,1906,71
asproke01,Ken Aspromonte,1972,72
asproke01,Ken Aspromonte,1973,71
asproke01,Ken Aspromonte,1974,77
austiji01,Jimmy Austin,1913,2
austiji01,Jimmy Austin,1918,7
austiji01,Jimmy Austin,1923,22
bakerde01,Del Baker,1933,2
bakerde01,Del Baker,1936,18
bakerde01,Del Baker,1937,41
bakerde01,Del Baker,1938,37
bakerde01,Del Baker,1939,81
bakerde01,Del Baker,1940,90
bakerde01,Del Baker,1941,75
bakerde01,Del Baker,1942,73
bakerde01,Del Baker,1960,2
bakerdu01,Dusty Baker,1993,103
bakerdu01,Dusty Baker,1994,55
bakerdu01,Dusty Baker,1995,67
bakerdu01,Dusty Baker,1996,68
bakerdu01,Dusty Baker,1997,90
bakerdu01,Dusty Baker,1998,89
bakerdu01,Dusty Baker,1999,86
bakerdu01,Dusty Baker,2000,97
bakerdu01,Dusty Baker,2001,90
bakerdu01,Dusty Baker,2002,95
bakerdu01,Dusty Baker,2003,88
bakerdu01,Dusty Baker,2004,89
bakerdu01,Dusty Baker,2005,79
bakerdu01,Dusty Baker,2006,66
bakerdu01,Dusty Baker,2008,74
bakerdu01,Dusty Baker,2009,78
bakerdu01,Dusty Baker,2010,91
bambege01,George Bamberger,1978,93
bambege01,George Bamberger,1979,95
bambege01,George Bamberger,1980,47
bambege01,George Bamberger,1982,65
bambege01,George Bamberger,1983,16
bambege01,George Bamberger,1985,71
bambege01,George Bamberger,1986,71
bancrda01,Dave Bancroft,1924,53
bancrda01,Dave Bancroft,1925,70
bancrda01,Dave Bancroft,1926,66
bancrda01,Dave Bancroft,1927,60
bancrfr99,Frank Bancroft,1880,40
bancrfr99,Frank Bancroft,1881,41
bancrfr99,Frank Bancroft,1882,42
bancrfr99,Frank Bancroft,1883,55
bancrfr99,Frank Bancroft,1884,84
bancrfr99,Frank Bancroft,1885,53
bancrfr99,Frank Bancroft,1887,26
bancrfr99,Frank Bancroft,1889,25
bancrfr99,Frank Bancroft,1902,9
barklsa01,Sam Barkley,1888,21
barnibi01,Billy Barnie,1883,28
barnibi01,Billy Barnie,1884,63
barnibi01,Billy Barnie,1885,41
barnibi01,Billy Barnie,1886,48
barnibi01,Billy Barnie,1887,77
barnibi01,Billy Barnie,1888,57
barnibi01,Billy Barnie,1889,70
barnibi01,Billy Barnie,1890,15
barnibi01,Billy Barnie,1891,71
barnibi01,Billy Barnie,1892,0
barnibi01,Billy Barnie,1893,50
barnibi01,Billy Barnie,1894,36
barnibi01,Billy Barnie,1897,61
barnibi01,Billy Barnie,1898,15
barroed99,Ed Barrow,1903,65
barroed99,Ed Barrow,1904,32
barroed99,Ed Barrow,1918,75
barroed99,Ed Barrow,1919,66
barroed99,Ed Barrow,1920,72
barryja01,Jack Barry,1917,90
battijo01,Joe Battin,1883,2
battijo01,Joe Battin,1884,7
bauerha01,Hank Bauer,1961,35
bauerha01,Hank Bauer,1962,72
bauerha01,Hank Bauer,1964,97
bauerha01,Hank Bauer,1965,94
bauerha01,Hank Bauer,1966,97
bauerha01,Hank Bauer,1967,76
bauerha01,Hank Bauer,1968,43
bauerha01,Hank Bauer,1969,80
baylodo01,Don Baylor,1993,67
baylodo01,Don Baylor,1994,53
baylodo01,Don Baylor,1995,77
baylodo01,Don Baylor,1996,83
baylodo01,Don Baylor,1997,83
baylodo01,Don Baylor,1998,77
baylodo01,Don Baylor,2000,65
baylodo01,Don Baylor,2001,88
baylodo01,Don Baylor,2002,34
bellbu01,Buddy Bell,1996,53
bellbu01,Buddy Bell,1997,79
bellbu01,Buddy Bell,1998,52
bellbu01,Buddy Bell,2000,82
bellbu01,Buddy Bell,2001,73
bellbu01,Buddy Bell,2002,6
bellbu01,Buddy Bell,2005,43
bellbu01,Buddy Bell,2006,62
bellbu01,Buddy Bell,2007,69
bensove01,Vern Benson,1977,1
berrayo01,Yogi Berra,1964,99
berrayo01,Yogi Berra,1972,83
berrayo01,Yogi Berra,1973,82
berrayo01,Yogi Berra,1974,71
berrayo01,Yogi Berra,1975,56
berrayo01,Yogi Berra,1984,87
berrayo01,Yogi Berra,1985,6
bevinte99,Terry Bevington,1995,57
bevinte99,Terry Bevington,1996,85
bevinte99,Terry Bevington,1997,80
bezdehu99,Hugo Bezdek,1917,30
bezdehu99,Hugo Bezdek,1918,65
bezdehu99,Hugo Bezdek,1919,71
bicke99,John Bickerton,1884,0
birmijo01,Joe Birmingham,1912,21
birmijo01,Joe Birmingham,1913,86
birmijo01,Joe Birmingham,1914,51
birmijo01,Joe Birmingham,1915,12
bissode01,Del Bissonette,1945,25
blackbu02,Buddy Black,2007,89
blackbu02,Buddy Black,2008,63
blackbu02,Buddy Black,2009,75
blackbu02,Buddy Black,2010,90
blackle01,Lena Blackburne,1928,40
blackle01,Lena Blackburne,1929,59
bladera01,Ray Blades,1939,92
bladera01,Ray Blades,1940,14
bladera01,Ray Blades,1948,1
blairwa01,Walter Blair,1915,1
bluegos01,Ossie Bluege,1943,84
bluegos01,Ossie Bluege,1944,64
bluegos01,Ossie Bluege,1945,87
bluegos01,Ossie Bluege,1946,76
bluegos01,Ossie Bluege,1947,64
bochybr01,Bruce Bochy,1995,70
bochybr01,Bruce Bochy,1996,91
bochybr01,Bruce Bochy,1997,76
bochybr01,Bruce Bochy,1998,98
bochybr01,Bruce Bochy,1999,74
bochybr01,Bruce Bochy,2000,76
bochybr01,Bruce Bochy,2001,79
bochybr01,Bruce Bochy,2002,66
bochybr01,Bruce Bochy,2003,64
bochybr01,Bruce Bochy,2004,87
bochybr01,Bruce Bochy,2005,82
bochybr01,Bruce Bochy,2006,88
bochybr01,Bruce Bochy,2007,71
bochybr01,Bruce Bochy,2008,72
bochybr01,Bruce Bochy,2009,88
bochybr01,Bruce Bochy,2010,92
bolesjo99,John Boles,1996,40
bolesjo99,John Boles,1999,64
bolesjo99,John Boles,2000,79
bolesjo99,John Boles,2001,22
bondto01,Tommy Bond,1882,2
boonebo01,Bob Boone,1995,70
boonebo01,Bob Boone,1996,75
boonebo01,Bob Boone,1997,36
boonebo01,Bob Boone,2001,66
boonebo01,Bob Boone,2002,78
boonebo01,Bob Boone,2003,46
borosst01,Steve Boros,1983,74
borosst01,Steve Boros,1984,20
borosst01,Steve Boros,1986,74
bottoji01,Jim Bottomley,1937,21
boudrlo01,Lou Boudreau,1942,75
boudrlo01,Lou Boudreau,1943,82
boudrlo01,Lou Boudreau,1944,72
boudrlo01,Lou Boudreau,1945,73
boudrlo01,Lou Boudreau,1946,68
boudrlo01,Lou Boudreau,1947,80
boudrlo01,Lou Boudreau,1948,97
boudrlo01,Lou Boudreau,1949,89
boudrlo01,Lou Boudreau,1950,92
boudrlo01,Lou Boudreau,1952,76
boudrlo01,Lou Boudreau,1953,84
boudrlo01,Lou Boudreau,1954,69
boudrlo01,Lou Boudreau,1955,63
boudrlo01,Lou Boudreau,1956,52
boudrlo01,Lou Boudreau,1957,36
boudrlo01,Lou Boudreau,1960,54
bowala01,Larry Bowa,1987,65
bowala01,Larry Bowa,1988,16
bowala01,Larry Bowa,2001,86
bowala01,Larry Bowa,2002,80
bowala01,Larry Bowa,2003,86
bowala01,Larry Bowa,2004,85
bowerfr01,Frank Bowerman,1909,22
boydbi01,Bill Boyd,1875,0
boyerke01,Ken Boyer,1978,62
boyerke01,Ken Boyer,1979,86
boyerke01,Ken Boyer,1980,18
bradlbi01,Bill Bradley,1905,20
bradlbi01,Bill Bradley,1914,77
bragabo01,Bobby Bragan,1956,66
bragabo01,Bobby Bragan,1957,36
bragabo01,Bobby Bragan,1958,31
bragabo01,Bobby Bragan,1963,84
bragabo01,Bobby Bragan,1964,88
bragabo01,Bobby Bragan,1965,86
bragabo01,Bobby Bragan,1966,52
brenlbo01,Bob Brenly,2001,92
brenlbo01,Bob Brenly,2002,98
brenlbo01,Bob Brenly,2003,84
brenlbo01,Bob Brenly,2004,29
bresnro01,Roger Bresnahan,1909,54
bresnro01,Roger Bresnahan,1910,63
bresnro01,Roger Bresnahan,1911,75
bresnro01,Roger Bresnahan,1912,63
bresnro01,Roger Bresnahan,1915,73
bristda99,Dave Bristol,1966,39
bristda99,Dave Bristol,1967,87
bristda99,Dave Bristol,1968,83
bristda99,Dave Bristol,1969,89
bristda99,Dave Bristol,1970,65
bristda99,Dave Bristol,1971,69
bristda99,Dave Bristol,1972,10
bristda99,Dave Bristol,1976,70
bristda99,Dave Bristol,1977,60
bristda99,Dave Bristol,1979,10
bristda99,Dave Bristol,1980,75
brownda99,Daren Brown,2010,19
brownfr99,Freeman Brown,1882,9
brownmo01,Mordecai Brown,1914,50
brownto01,Tom Brown,1897,52
brownto01,Tom Brown,1898,12
bruckea01,Earle Brucker,1952,3
buckeal99,Al Buckenberger,1889,60
buckeal99,Al Buckenberger,1890,39
buckeal99,Al Buckenberger,1892,53
buckeal99,Al Buckenberger,1893,81
buckeal99,Al Buckenberger,1894,53
buckeal99,Al Buckenberger,1895,16
buckeal99,Al Buckenberger,1902,73
buckeal99,Al Buckenberger,1903,58
buckeal99,Al Buckenberger,1904,55
buffich01,Charlie Buffinton,1890,61
burdoja01,Jack Burdock,1883,30
burkeji01,Jimmy Burke,1905,34
burkeji01,Jimmy Burke,1918,29
burkeji01,Jimmy Burke,1919,67
burkeji01,Jimmy Burke,1920,76
burnhwa99,Watch Burnham,1887,6
burnsto01,Tom Burns,1892,27
burnsto01,Tom Burns,1898,85
burnsto01,Tom Burns,1899,75
burwebi01,Bill Burwell,1947,1
bushdo01,Donie Bush,1923,75
bushdo01,Donie Bush,1927,94
bushdo01,Donie Bush,1928,85
bushdo01,Donie Bush,1929,67
bushdo01,Donie Bush,1930,62
bushdo01,Donie Bush,1931,56
bushdo01,Donie Bush,1933,58
butleor99,Ormond Butler,1883,17
byrnech99,Charlie Byrne,1885,38
byrnech99,Charlie Byrne,1886,76
byrnech99,Charlie Byrne,1887,60
callani01,Jimmy Callahan,1903,60
callani01,Jimmy Callahan,1904,23
callani01,Jimmy Callahan,1912,78
callani01,Jimmy Callahan,1913,78
callani01,Jimmy Callahan,1914,70
callani01,Jimmy Callahan,1916,65
callani01,Jimmy Callahan,1917,20
campaco01,Count Campau,1890,27
cantijo99,Joe Cantillon,1907,49
cantijo99,Joe Cantillon,1908,67
cantijo99,Joe Cantillon,1909,42
careyma01,Max Carey,1932,81
careyma01,Max Carey,1933,65
careyto01,Tom Carey,1873,14
careyto01,Tom Carey,1874,13
carribi02,Bill Carrigan,1913,40
carribi02,Bill Carrigan,1914,91
carribi02,Bill Carrigan,1915,101
