Season,Name,WAR,playerid
2007,David Wright,8.4,3787
1998,John Olerud,8.1,1093
2006,Carlos Beltran,7.8,589
1996,Bernard Gilkey,7.6,1004706
1999,Robin Ventura,7.3,854
2008,Carlos Beltran,7.2,589
1989,Howard Johnson,7.0,1006462
2008,David Wright,7.0,3787
1985,Gary Carter,6.7,1002015
2012,David Wright,6.6,3787
1990,Darryl Strawberry,6.5,1012606
2000,Edgardo Alfonzo,6.4,859
1996,Lance Johnson,6.4,1006482
1969,Cleon Jones,6.3,1006540
1999,Edgardo Alfonzo,5.9,859
2008,Jose Reyes,5.8,1736
2011,Jose Reyes,5.8,1736
2000,Mike Piazza,5.8,893
1999,John Olerud,5.8,1093
1986,Keith Hernandez,5.8,1005706
2005,David Wright,5.8,3787
2006,Jose Reyes,5.7,1736
1984,Keith Hernandez,5.7,1005706
1998,Mike Piazza,5.7,893
1997,Edgardo Alfonzo,5.6,859
2013,David Wright,5.6,3787
1978,John Stearns,5.6,1012446
2007,Jose Reyes,5.6,1736
1987,Darryl Strawberry,5.5,1012606
1969,Tommie Agee,5.4,1000080
1990,Dave Magadan,5.4,1007961
2002,Edgardo Alfonzo,5.3,859
2015,Curtis Granderson,5.3,4747
1988,Darryl Strawberry,5.3,1012606
1970,Tommie Agee,5.2,1000080
2007,Carlos Beltran,5.1,589
1985,Keith Hernandez,5.0,1005706
2010,Angel Pagan,4.9,2918
2019,Pete Alonso,4.8,19251
1985,Darryl Strawberry,4.8,1012606
1996,Todd Hundley,4.7,284
2006,David Wright,4.7,3787
1979,Lee Mazzilli,4.7,1008318
1971,Cleon Jones,4.6,1006540
2001,Mike Piazza,4.6,893
2002,Mike Piazza,4.6,893
2019,Jeff McNeil,4.5,15362
1999,Mike Piazza,4.5,893
1986,Lenny Dykstra,4.5,1003619
2018,Brandon Nimmo,4.5,12927
1997,John Olerud,4.4,1093
2017,Michael Conforto,4.4,16376
1997,Todd Hundley,4.4,284
1989,Darryl Strawberry,4.3,1012606
1987,Howard Johnson,4.3,1006462
1979,Joel Youngblood,4.1,1014383
1983,Keith Hernandez,4.1,1005706
