pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,8/6/2021,88.2,-1.32,6.29,"Quantrill, Cal",606992,Eric Haase,615698,Cal Quantrill,field_out,hit_into_play,,,,,14,"Eric Haase grounds out, pitcher Cal Quantrill to first baseman Harold Ramirez.",R,R,R,CLE,DET,X,1,ground_ball,0,2,2021,0.22,0.41,0.95,1.57,,,408234,2,7,Top,128.88,171.89,,,595978,,,5.093115664,-128.3808505,-6.359950463,1.519157014,22.82919739,-26.6370635,3.3,1.5,3,69.2,-33,89.2,2191,6.6,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.9,0.047,0.042,0,1,0,0,2,54,3,Slider,6,0,0,6,0,6,0,6,Standard,Standard,194,0.003,-0.133
SI,8/6/2021,92.6,-1.1,6.4,"Quantrill, Cal",606992,Eric Haase,615698,Cal Quantrill,,foul,,,,,11,"Eric Haase grounds out, pitcher Cal Quantrill to first baseman Harold Ramirez.",R,R,R,CLE,DET,S,,,0,1,2021,-1.04,1.12,-0.97,2.98,,,408234,2,7,Top,,,,,595978,,,2.622416827,-134.828738,-5.504290592,-13.28571184,26.16586426,-17.49345706,3.3,1.5,108,77.7,10,93.8,1992,6.7,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.79,,,,,,,,54,2,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,213,0,-0.049
SL,8/6/2021,88.4,-1.55,6.26,"Quantrill, Cal",606992,Eric Haase,615698,Cal Quantrill,,foul,,,,,4,"Eric Haase grounds out, pitcher Cal Quantrill to first baseman Harold Ramirez.",R,R,R,CLE,DET,S,,,0,0,2021,0.18,0.23,-0.53,2.15,,,408234,2,7,Top,,,,,595978,,,2.125577304,-128.8163766,-4.500409975,1.575151313,24.3130832,-28.90659905,3.3,1.5,4,82.7,-31,89,2176,6.4,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.09,,,,,,,,54,1,Slider,6,0,0,6,0,6,0,6,Standard,Standard,210,0,-0.041
SL,8/6/2021,88.5,-1.59,6.32,"Quantrill, Cal",600869,Jeimer Candelario,615698,Cal Quantrill,strikeout,swinging_strike,,,,,11,Jeimer Candelario strikes out swinging.,R,L,R,CLE,DET,S,2,,2,2,2021,0.37,0.49,-0.81,3.74,,,408234,1,7,Top,,,,,595978,,,1.144831329,-129.0444105,-1.332912434,3.983231747,23.90354425,-26.62445258,3.41,1.56,,,,89.3,2068,6.4,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.1,,,0,1,0,0,,53,5,Slider,6,0,0,6,0,6,0,6,Infield shift,Standard,199,0.005,-0.262
FF,8/6/2021,93.5,-1.31,6.4,"Quantrill, Cal",600869,Jeimer Candelario,615698,Cal Quantrill,,ball,,,,,11,Jeimer Candelario strikes out swinging.,R,L,R,CLE,DET,B,,,1,2,2021,-0.75,1.14,-2.08,4.13,,,408234,1,7,Top,,,,,595978,,,-0.309848215,-136.2795017,-2.710740582,-9.432491111,26.26623192,-17.46170633,3.51,1.76,,,,94.3,1962,6.4,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.11,,,,,,,,53,4,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shift,Standard,219,0,0.05
FF,8/6/2021,93.9,-1.44,6.41,"Quantrill, Cal",600869,Jeimer Candelario,615698,Cal Quantrill,,ball,,,,,11,Jeimer Candelario strikes out swinging.,R,L,R,CLE,DET,B,,,0,2,2021,-0.78,1.46,-1.64,5.22,,,408234,1,7,Top,,,,,595978,,,1.198045221,-136.8567054,-0.662899197,-10.08462694,27.80392379,-13.7828317,3.51,1.73,,,,94.2,2070,6.2,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.29,,,,,,,,53,3,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shift,Standard,219,0,0.022
CH,8/6/2021,84.6,-1.61,6.25,"Quantrill, Cal",600869,Jeimer Candelario,615698,Cal Quantrill,,foul,,,,,13,Jeimer Candelario strikes out swinging.,R,L,R,CLE,DET,S,,,0,1,2021,-0.85,0.55,-0.47,1.27,,,408234,1,7,Top,,,,,595978,,,4.383777403,-123.1042205,-6.442137298,-9.519013716,21.20761067,-25.6343947,3.41,1.56,3,89.2,-23,85.2,1161,6.4,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.09,,,,,,,,53,2,Changeup,6,0,0,6,0,6,0,6,Infield shift,Standard,227,0,-0.062
CH,8/6/2021,83.1,-1.64,6.33,"Quantrill, Cal",600869,Jeimer Candelario,615698,Cal Quantrill,,called_strike,,,,,13,Jeimer Candelario strikes out swinging.,R,L,R,CLE,DET,S,,,0,0,2021,-0.96,0.5,-0.89,2.24,,,408234,1,7,Top,,,,,595978,,,3.601354638,-121.1310546,-3.972780696,-10.1183318,20.8590761,-26.74277681,3.2,1.66,,,,83.9,1191,6.5,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.03,,,,,,,,53,1,Changeup,6,0,0,6,0,6,0,6,Infield shift,Standard,219,0,-0.045
SL,8/6/2021,88,-1.47,6.16,"Quantrill, Cal",408234,Miguel Cabrera,615698,Cal Quantrill,single,hit_into_play,,,,,9,Miguel Cabrera singles on a ground ball to center fielder Myles Straw.,R,R,R,CLE,DET,X,8,ground_ball,0,2,2021,0.47,0.16,0.53,2.13,,,,1,7,Top,117.29,108.25,,,595978,,,3.880015698,-128.1683698,-4.010063802,4.374589444,27.37840901,-29.71948386,3.55,1.63,6,95.9,-17,88.1,2197,6.4,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.13,0.143,0.129,0.9,1,1,0,2,52,3,Slider,6,0,0,6,0,6,0,6,Standard,Strategic,183,-0.005,0.321
SL,8/6/2021,87.3,-1.54,6.17,"Quantrill, Cal",408234,Miguel Cabrera,615698,Cal Quantrill,,swinging_strike,,,,,14,Miguel Cabrera singles on a ground ball to center fielder Myles Straw.,R,R,R,CLE,DET,S,,,0,1,2021,0.42,0.46,0.93,1.33,,,,1,7,Top,,,,,595978,,,5.098764007,-127.083546,-6.540893233,3.604797477,23.74690692,-26.05737937,3.55,1.63,,,,88.1,2249,6.6,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.92,,,,,,,,52,2,Slider,6,0,0,6,0,6,0,6,Standard,Standard,203,0,-0.034
SI,8/6/2021,94,-1.13,6.44,"Quantrill, Cal",408234,Miguel Cabrera,615698,Cal Quantrill,,foul,,,,,4,Miguel Cabrera singles on a ground ball to center fielder Myles Straw.,R,R,R,CLE,DET,S,,,0,0,2021,-1.03,1.46,-0.42,2.72,,,,1,7,Top,,,,,595978,,,4.148113951,-136.7863737,-7.24119063,-13.85156213,28.56693138,-12.39528792,3.55,1.63,217,76.1,31,94.7,2121,6.6,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.92,,,,,,,,52,1,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,213,0,-0.026
FF,8/6/2021,93.2,-1.24,6.38,"Quantrill, Cal",605612,Harold Castro,615698,Cal Quantrill,field_out,hit_into_play,,,,,1,"Harold Castro grounds out, shortstop Amed Rosario to first baseman Harold Ramirez.",R,L,R,CLE,DET,X,6,ground_ball,0,1,2021,-0.79,1.21,-0.35,2.93,,,,0,7,Top,114.28,156.97,,,595978,,,4.051116451,-135.6526236,-5.825639872,-10.60774976,27.3259502,-16.10710954,3.3,1.5,30,99.1,-4,93.9,2178,6.5,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.02,0.287,0.258,0,1,0,0,2,51,2,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,213,0.005,-0.202
SL,8/6/2021,87.6,-1.64,6.3,"Quantrill, Cal",605612,Harold Castro,615698,Cal Quantrill,,called_strike,,,,,8,"Harold Castro grounds out, shortstop Amed Rosario to first baseman Harold Ramirez.",R,L,R,CLE,DET,S,,,0,0,2021,0.42,0.5,0.26,2.22,,,,0,7,Top,,,,,595978,,,3.734814486,-127.7109422,-4.870839781,3.983069056,22.3987028,-26.00689648,3.63,1.71,,,,88.5,2272,6.4,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.08,,,,,,,,51,1,Slider,6,0,0,6,0,6,0,6,Standard,Standard,198,0,-0.04
SI,8/6/2021,94.7,-1.28,6.4,"Quantrill, Cal",570731,Jonathan Schoop,615698,Cal Quantrill,strikeout,called_strike,,,,,13,Jonathan Schoop called out on strikes.,R,R,R,CLE,DET,S,2,,1,2,2021,-1.2,1.11,-0.98,2.02,,,668731,2,6,Top,,,,,595978,,,3.47978578,-137.814845,-8.319394827,-16.10991164,28.52062498,-16.40620182,3.72,1.8,,,,95.6,2023,6.7,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.84,,,0,1,0,0,,45,4,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,216,0.004,-0.156
SL,8/6/2021,88.8,-1.42,6.24,"Quantrill, Cal",570731,Jonathan Schoop,615698,Cal Quantrill,,blocked_ball,,,,,14,Jonathan Schoop called out on strikes.,R,R,R,CLE,DET,B,,,0,2,2021,0.28,0.44,1.53,0.25,,,668731,2,6,Top,,,,,595978,,,6.676539929,-129.0296126,-9.640305927,1.8654088,24.21448125,-25.54309819,3.72,1.8,,,,89.7,2172,6.7,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.81,,,,,,,,45,3,Slider,6,0,0,6,0,6,0,6,Standard,Standard,206,0,0.022
SL,8/6/2021,89.2,-1.43,6.26,"Quantrill, Cal",570731,Jonathan Schoop,615698,Cal Quantrill,,called_strike,,,,,7,Jonathan Schoop called out on strikes.,R,R,R,CLE,DET,S,,,0,1,2021,0.29,0.6,-0.46,1.81,,,668731,2,6,Top,,,,,595978,,,1.80521764,-129.8681398,-6.287234572,2.945007357,23.98794318,-24.349132,3.72,1.83,,,,90.1,2248,6.5,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.96,,,,,,,,45,2,Slider,6,0,0,6,0,6,0,6,Standard,Standard,214,0,-0.049
SL,8/6/2021,88.1,-1.51,6.23,"Quantrill, Cal",570731,Jonathan Schoop,615698,Cal Quantrill,,swinging_strike,,,,,14,Jonathan Schoop called out on strikes.,R,R,R,CLE,DET,S,,,0,0,2021,0.32,0.41,0.12,1.29,,,668731,2,6,Top,,,,,595978,,,3.327489676,-128.2549446,-6.870003111,2.994948124,23.66339277,-26.4827899,3.41,1.56,,,,89.2,2257,6.7,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.8,,,,,,,,45,1,Slider,6,0,0,6,0,6,0,6,Standard,Standard,198,0,-0.041
FF,8/6/2021,94.4,-1.19,6.35,"Quantrill, Cal",668731,Akil Baddoo,615698,Cal Quantrill,single,hit_into_play,,,,,5,Akil Baddoo singles on a ground ball to right fielder Bradley Zimmer.,R,L,R,CLE,DET,X,9,ground_ball,3,2,2021,-0.77,1.13,-0.21,2.78,,,,2,6,Top,173.46,123.28,,,595978,,,4.29499363,-137.4283058,-6.200262865,-10.74323285,26.1399925,-16.67762009,3.41,1.56,121,93.2,7,95,2028,6.3,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.19,0.56,0.547,0.9,1,1,0,4,44,7,4-Seam Fastball,6,0,0,6,0,6,0,6,Strategic,Standard,213,-0.003,0.094
SI,8/6/2021,94.1,-1.18,6.31,"Quantrill, Cal",668731,Akil Baddoo,615698,Cal Quantrill,,foul,,,,,5,Akil Baddoo singles on a ground ball to right fielder Bradley Zimmer.,R,L,R,CLE,DET,S,,,3,2,2021,-1.09,1.2,-0.26,2.72,,,,2,6,Top,,,,,595978,,,4.849781773,-137.0639523,-6.382953095,-14.83866237,26.09237574,-15.77972085,3.41,1.56,171,79.8,71,95.2,2048,6.6,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,53.94,,,,,,,,44,6,Sinker,6,0,0,6,0,6,0,6,Strategic,Standard,211,0,0
FF,8/6/2021,94.2,-1.19,6.41,"Quantrill, Cal",668731,Akil Baddoo,615698,Cal Quantrill,,ball,,,,,11,Akil Baddoo singles on a ground ball to right fielder Bradley Zimmer.,R,L,R,CLE,DET,B,,,2,2,2021,-0.87,1.3,-1.38,3.75,,,,2,6,Top,,,,,595978,,,1.465225183,-137.2196775,-4.166156855,-11.40024574,27.20915671,-15.00042879,3.2,1.56,,,,95,2163,6.5,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.02,,,,,,,,44,5,4-Seam Fastball,6,0,0,6,0,6,0,6,Strategic,Standard,213,0,0.041
SL,8/6/2021,87,-1.68,6.2,"Quantrill, Cal",668731,Akil Baddoo,615698,Cal Quantrill,,foul,,,,,1,Akil Baddoo singles on a ground ball to right fielder Bradley Zimmer.,R,L,R,CLE,DET,S,,,2,1,2021,0.17,0.27,-0.33,3.03,,,,2,6,Top,,,,,595978,,,2.893124952,-126.7694856,-2.054412445,1.289170511,23.11337168,-29.08951735,3.41,1.56,93,73.9,11,87.1,2220,6,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.47,,,,,,,,44,4,Slider,6,0,0,6,0,6,0,6,Standard,Standard,193,0,-0.03
FF,8/6/2021,93.4,-1.24,6.37,"Quantrill, Cal",668731,Akil Baddoo,615698,Cal Quantrill,,swinging_strike,,,,,2,Akil Baddoo singles on a ground ball to right fielder Bradley Zimmer.,R,L,R,CLE,DET,S,,,2,0,2021,-0.78,1.16,0.16,3.12,,,,2,6,Top,,,,,595978,,,5.3262558,-136.0027499,-5.276328553,-10.75974085,25.77223179,-16.7425177,3.41,1.56,,,,94.1,2088,6.3,632990,615698,595978,623912,680911,676391,642708,640458,664702,605548,54.16,,,,,,,,44,3,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,218,0,-0.025
