pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,8/8/2021,97.9,-1.77,5.41,"Wheeler, Zack",624413,Pete Alonso,554430,Zack Wheeler,strikeout,swinging_strike,,,,,1,Pete Alonso strikes out swinging.,R,R,R,PHI,NYM,S,2,,0,2,2021,-1.36,0.97,-0.5,3.27,,,607043,2,9,Top,,,,,592663,,,6.66459049,-142.3172012,-2.536352691,-20.00933833,34.62208447,-18.58680311,3.49,1.6,,,,99,2137,7.1,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.39,,,0,1,0,0,,58,3,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,223,0.011,-0.133
SI,8/8/2021,96.8,-1.61,5.39,"Wheeler, Zack",624413,Pete Alonso,554430,Zack Wheeler,,called_strike,,,,,8,Pete Alonso strikes out swinging.,R,R,R,PHI,NYM,S,,,0,1,2021,-1.24,0.8,0.25,1.95,,,607043,2,9,Top,,,,,592663,,,7.975849827,-140.6373806,-5.500568904,-18.35314505,33.13555224,-20.48929602,3.54,1.61,,,,98.5,2149,7.4,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.07,,,,,,,,58,2,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,218,0,-0.049
SI,8/8/2021,96.9,-1.75,5.45,"Wheeler, Zack",624413,Pete Alonso,554430,Zack Wheeler,,swinging_strike,,,,,1,Pete Alonso strikes out swinging.,R,R,R,PHI,NYM,S,,,0,0,2021,-1.09,0.96,-0.59,3.38,,,607043,2,9,Top,,,,,592663,,,5.715204499,-141.171287,-2.270601206,-15.91238985,29.92229477,-18.97431991,3.49,1.6,,,,98.9,2170,7.2,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.31,,,,,,,,58,1,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,218,0,-0.041
FF,8/8/2021,97.9,-1.69,5.63,"Wheeler, Zack",643446,Jeff McNeil,554430,Zack Wheeler,field_out,hit_into_play,,,,,3,Jeff McNeil pops out to second baseman Jean Segura.,R,L,R,PHI,NYM,X,4,popup,0,0,2021,-0.29,1.24,0.73,3.24,,,607043,1,9,Top,143.71,139.29,,,592663,,,7.332537919,-142.3203632,-3.852922938,-5.769684928,34.98681511,-14.60261331,3.41,1.56,160,58.1,50,99.3,2480,7.3,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.24,0.13,0.117,0,1,0,0,1,57,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,214,0.022,-0.303
FF,8/8/2021,98.1,-1.64,5.66,"Wheeler, Zack",607043,Brandon Nimmo,554430,Zack Wheeler,single,hit_into_play,,,,,4,Brandon Nimmo singles on a sharp line drive to center fielder Travis Jankowski.,R,L,R,PHI,NYM,X,8,line_drive,2,2,2021,-0.63,1.28,-0.6,2.39,,,,1,9,Top,108.04,73.28,,,592663,,,4.368959868,-142.6168101,-6.411593494,-9.656465106,34.56725752,-13.49613989,3.49,1.6,233,105.1,8,99.7,2405,7.4,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.14,0.677,0.609,0.9,1,1,0,4,56,8,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,212,-0.02,0.281
FF,8/8/2021,98.1,-1.66,5.59,"Wheeler, Zack",607043,Brandon Nimmo,554430,Zack Wheeler,,foul,,,,,12,Brandon Nimmo singles on a sharp line drive to center fielder Travis Jankowski.,R,L,R,PHI,NYM,S,,,2,2,2021,-0.25,1.37,0.54,3.89,,,,1,9,Top,,,,,592663,,,6.619523962,-142.6494546,-2.306134804,-4.941704536,34.25717807,-13.13342313,3.49,1.6,,,,99.5,2373,7.2,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.31,,,,,,,,56,7,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,214,0,0
FF,8/8/2021,98,-1.71,5.56,"Wheeler, Zack",607043,Brandon Nimmo,554430,Zack Wheeler,,foul,,,,,4,Brandon Nimmo singles on a sharp line drive to center fielder Travis Jankowski.,R,L,R,PHI,NYM,S,,,2,2,2021,-0.59,1.31,-0.39,2.2,,,,1,9,Top,,,,,592663,,,5.022655262,-142.5289654,-6.712461488,-9.2671535,34.39661143,-12.91375938,3.49,1.6,3,77.9,-31,99.5,2290,7.3,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.23,,,,,,,,56,6,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,211,0,0
SL,8/8/2021,93.5,-1.84,5.39,"Wheeler, Zack",607043,Brandon Nimmo,554430,Zack Wheeler,,foul,,,,,12,Brandon Nimmo singles on a sharp line drive to center fielder Travis Jankowski.,R,L,R,PHI,NYM,S,,,2,2,2021,0.04,0.6,0.96,2.76,,,,1,9,Top,,,,,592663,,,7.263486162,-136.0227625,-2.382488991,-1.048028527,29.71004265,-24.44916356,3.49,1.6,71,107.3,1,95,2280,7.2,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.33,,,,,,,,56,5,Slider,3,0,0,3,0,3,0,3,Standard,Standard,200,0,0
FF,8/8/2021,98.1,-1.76,5.57,"Wheeler, Zack",607043,Brandon Nimmo,554430,Zack Wheeler,,ball,,,,,12,Brandon Nimmo singles on a sharp line drive to center fielder Travis Jankowski.,R,L,R,PHI,NYM,B,,,1,2,2021,-0.55,1.25,0.13,4.32,,,,1,9,Top,,,,,592663,,,6.498245449,-142.74041,-0.779416978,-9.086401372,34.06830305,-15.13984846,3.54,1.61,,,,99.4,2395,7.1,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.4,,,,,,,,56,4,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,214,0,0.027
FF,8/8/2021,98.3,-1.76,5.49,"Wheeler, Zack",607043,Brandon Nimmo,554430,Zack Wheeler,,foul_tip,,,,,2,Brandon Nimmo singles on a sharp line drive to center fielder Travis Jankowski.,R,L,R,PHI,NYM,S,,,1,1,2021,-0.39,1.2,0.12,3.31,,,,1,9,Top,,,,,592663,,,6.117883874,-143.1732047,-3.336242079,-6.716052937,30.18488124,-15.10444653,3.49,1.6,,,,100.4,2355,7.2,632967,554430,592663,543543,516416,664761,591720,663897,608671,547180,53.28,,,,,,,,56,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,214,0,-0.042
