pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,8/9/2021,94.2,-1.57,6.34,"Giolito, Lucas",680777,Ryan Jeffers,608337,Lucas Giolito,strikeout,swinging_strike,,,,,11,Ryan Jeffers strikes out swinging.,R,R,R,MIN,CWS,S,2,,2,2,2021,-0.53,1.43,-0.57,3.64,,,,2,8,Bot,,,,,664874,,,3.780400158,-137.2062526,-4.597355973,-7.44071169,27.2490775,-13.21401403,3.38,1.63,,,,95.6,2357,6.8,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.71,,,0,1,0,0,,64,5,4-Seam Fastball,1,10,1,10,10,1,1,10,Standard,Standard,206,0,-0.088
FF,8/9/2021,93.8,-1.35,6.37,"Giolito, Lucas",680777,Ryan Jeffers,608337,Lucas Giolito,,foul,,,,,5,Ryan Jeffers strikes out swinging.,R,R,R,MIN,CWS,S,,,2,1,2021,-0.55,1.45,-0.04,2.58,,,,2,8,Bot,,,,,664874,,,4.654067973,-136.4445379,-7.371996328,-7.864783615,28.87947343,-12.62311711,3.38,1.63,206,72.7,25,94.7,2303,6.8,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.73,,,,,,,,64,4,4-Seam Fastball,1,10,1,10,10,1,1,10,Standard,Standard,205,0,-0.03
CH,8/9/2021,82,-1.52,6.32,"Giolito, Lucas",680777,Ryan Jeffers,608337,Lucas Giolito,,ball,,,,,13,Ryan Jeffers strikes out swinging.,R,R,R,MIN,CWS,B,,,1,1,2021,-0.92,1.08,-0.63,-0.49,,,,2,8,Bot,,,,,664874,,,3.822895609,-118.9821058,-10.99983612,-9.453690213,21.78279382,-20.01185107,3.37,1.63,,,,82.8,1652,6.9,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.63,,,,,,,,64,3,Changeup,1,10,1,10,10,1,1,10,Standard,Standard,221,0,0.02
FF,8/9/2021,93.7,-1.36,6.37,"Giolito, Lucas",680777,Ryan Jeffers,608337,Lucas Giolito,,called_strike,,,,,6,Ryan Jeffers strikes out swinging.,R,R,R,MIN,CWS,S,,,1,0,2021,-0.52,1.65,0.4,2.2,,,,2,8,Bot,,,,,664874,,,5.751194142,-136.142683,-8.742530828,-7.788931117,29.89970005,-9.916324978,3.44,1.63,,,,94.4,2362,6.8,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.72,,,,,,,,64,2,4-Seam Fastball,1,10,1,10,10,1,1,10,Standard,Standard,207,0,-0.021
FF,8/9/2021,93.4,-1.46,6.38,"Giolito, Lucas",680777,Ryan Jeffers,608337,Lucas Giolito,,ball,,,,,14,Ryan Jeffers strikes out swinging.,R,R,R,MIN,CWS,B,,,0,0,2021,-0.32,1.61,1.06,1.34,,,,2,8,Bot,,,,,664874,,,7.257683056,-135.5304429,-10.86307001,-5.495771771,28.97045831,-10.05166013,3.36,1.63,,,,94.2,2328,6.9,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.62,,,,,,,,64,1,4-Seam Fastball,1,10,1,10,10,1,1,10,Standard,Standard,203,0,0.016
FF,8/9/2021,94.1,-1.52,6.39,"Giolito, Lucas",595909,Jake Cave,608337,Lucas Giolito,field_out,hit_into_play,,,,,6,Jake Cave lines out to center fielder Luis Robert.,R,L,R,MIN,CWS,X,8,line_drive,0,1,2021,-0.45,1.61,0.3,2.38,,,,1,8,Bot,119.02,51.53,,,664874,,,5.78163521,-136.90475,-8.381853028,-6.88997962,27.06492982,-10.25602587,3.37,1.53,365,99.9,23,95.3,2281,6.7,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.75,0.49,0.692,0,1,0,0,5,63,2,4-Seam Fastball,1,10,1,10,10,1,1,10,Infield shift,Standard,204,0,-0.134
FF,8/9/2021,94.4,-1.51,6.25,"Giolito, Lucas",595909,Jake Cave,608337,Lucas Giolito,,called_strike,,,,,8,Jake Cave lines out to center fielder Luis Robert.,R,L,R,MIN,CWS,S,,,0,0,2021,-0.47,1.52,0.13,1.66,,,,1,8,Bot,,,,,664874,,,5.356010426,-137.1724124,-9.747293307,-7.118583753,27.71819263,-11.09392151,3.32,1.53,,,,95.6,2357,6.8,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.66,,,,,,,,63,1,4-Seam Fastball,1,10,1,10,10,1,1,10,Infield shift,Standard,209,0,-0.026
SL,8/9/2021,84.8,-1.65,6.32,"Giolito, Lucas",593934,Miguel Sano,608337,Lucas Giolito,home_run,hit_into_play,,,,,8,Miguel Sano homers (19) on a fly ball to left field.,R,R,R,MIN,CWS,X,,fly_ball,3,2,2021,0.18,-0.01,-0.07,1.88,,,,1,8,Bot,10.21,67.76,,,664874,,,3.349854784,-123.5288146,-4.140593317,1.279295579,21.81141318,-31.70438196,3.55,1.63,429,116.7,21,85.7,2026,6.6,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.93,0.923,1.626,2,1,0,3,6,62,6,Slider,0,10,0,10,10,1,1,10,Infield shift,Standard,129,0,0.95
SL,8/9/2021,84.3,-1.59,6.37,"Giolito, Lucas",593934,Miguel Sano,608337,Lucas Giolito,,called_strike,,,,,14,Miguel Sano homers (19) on a fly ball to left field.,R,R,R,MIN,CWS,S,,,3,1,2021,0.6,0.13,0.91,2.46,,,,1,8,Bot,,,,,664874,,,4.639307468,-122.7312814,-3.020790361,5.262257646,22.42113353,-30.52976154,3.7,1.79,,,,85.1,1957,6.6,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.88,,,,,,,,62,5,Slider,0,10,0,10,10,0,0,10,Infield shift,Standard,168,0,-0.067
FF,8/9/2021,93.9,-1.31,6.36,"Giolito, Lucas",593934,Miguel Sano,608337,Lucas Giolito,,ball,,,,,3,Miguel Sano homers (19) on a fly ball to left field.,R,R,R,MIN,CWS,B,,,2,1,2021,-0.57,1.47,0.79,3.6,,,,1,8,Bot,,,,,664874,,,6.778018651,-136.6423799,-4.719947119,-8.641484781,28.31862469,-12.93065988,3.68,1.78,,,,95,2282,6.8,632964,608337,664874,547989,514917,660162,641313,544725,673357,571718,53.71,,,,,,,,62,4,4-Seam Fastball,0,10,0,10,10,0,0,10,Infield shift,Standard,205,0,0.087
