pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,8/11/2021,93.3,-0.88,5.83,"Burnes, Corbin",642727,Sergio Alcantara,669203,Corbin Burnes,strikeout,swinging_strike,,,,,4,Sergio Alcantara strikes out swinging.,R,L,R,CHC,MIL,S,2,,0,2,2021,0.39,0.34,-0.45,2.32,623520,,461865,2,8,Bot,,,,,553882,,,0.239058519,-135.930728,-4.084102461,4.769204628,26.87576422,-27.35077185,3.29,1.49,,,,94.2,2857,6.5,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,53.98,,,0,1,0,0,,65,3,Cutter,0,8,0,8,8,0,0,8,Standard,Standard,146,-0.001,-0.31
FC,8/11/2021,93.8,-0.95,5.69,"Burnes, Corbin",642727,Sergio Alcantara,669203,Corbin Burnes,,swinging_strike,,,,,8,Sergio Alcantara strikes out swinging.,R,L,R,CHC,MIL,S,,,0,1,2021,0.31,0.86,-0.07,1.71,623520,,461865,2,8,Bot,,,,,553882,,,1.618917225,-136.6960421,-6.569976295,3.611938662,26.21857874,-20.16012324,3.29,1.49,,,,94.7,2749,6.4,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,54.07,,,,,,,,65,2,Cutter,0,8,0,8,8,0,0,8,Standard,Standard,182,0,-0.095
FC,8/11/2021,,,,"Burnes, Corbin",642727,Sergio Alcantara,669203,Corbin Burnes,,called_strike,,,,,,Sergio Alcantara strikes out swinging.,R,L,R,CHC,MIL,S,,,0,0,2021,,,,,623520,,461865,2,8,Bot,,,,,553882,,,,,,,,,,,,,,,,,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,,,,,,,,,65,1,Cutter,0,8,0,8,8,0,0,8,,,,0,-0.074
FC,8/11/2021,95.5,-0.88,5.72,"Burnes, Corbin",461865,Andrew Romine,669203,Corbin Burnes,single,hit_into_play,,,,,8,Andrew Romine singles on a ground ball to shortstop Willy Adames.   David Bote to 3rd.,R,L,R,CHC,MIL,X,6,ground_ball,1,1,2021,0.37,0.71,0.2,1.74,,623520,,2,8,Bot,129.57,158.55,,,553882,,,2.023267479,-139.2080881,-6.59382931,4.529968245,26.54585148,-21.69414147,3.41,1.56,1,72.6,-62,96.6,2715,6.5,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,54.03,0.29,0.27,0.9,1,1,0,2,64,3,Cutter,0,8,0,8,8,0,0,8,Standard,Standard,187,0,0.769
CH,8/11/2021,90.1,-0.81,5.63,"Burnes, Corbin",461865,Andrew Romine,669203,Corbin Burnes,,ball,,,,,13,Andrew Romine singles on a ground ball to shortstop Willy Adames.   David Bote to 3rd.,R,L,R,CHC,MIL,B,,,0,1,2021,-1.36,0.51,-2.32,1.54,,,623520,2,8,Bot,,,,,553882,,,-0.869971473,-131.1893433,-5.351965015,-15.57482025,26.27659448,-25.41883216,3.41,1.56,,,,91,1673,6.7,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,53.85,,,,,,,,64,2,Changeup,0,8,0,8,8,0,0,8,Standard,Standard,227,0,0.032
CU,8/11/2021,79.4,-0.56,6.01,"Burnes, Corbin",461865,Andrew Romine,669203,Corbin Burnes,,called_strike,,,,,4,Andrew Romine singles on a ground ball to shortstop Willy Adames.   David Bote to 3rd.,R,L,R,CHC,MIL,S,,,0,0,2021,0.89,-0.99,-0.36,2.24,,,623520,2,8,Bot,,,,,553882,,,-1.22358306,-115.5808171,0.402823884,8.147698237,22.82775223,-41.29640296,3.41,1.56,,,,79.4,2682,6.4,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,54.11,,,,,,,,64,1,Curveball,0,8,0,8,8,0,0,8,Standard,Standard,52,0,-0.042
SL,8/11/2021,88,-0.66,5.85,"Burnes, Corbin",623520,David Bote,669203,Corbin Burnes,single,hit_into_play,,,,,5,David Bote singles on a ground ball to third baseman Eduardo Escobar.,R,R,R,CHC,MIL,X,5,ground_ball,1,2,2021,0.59,-0.23,0.05,2.26,,,,2,8,Bot,107.82,172.25,,,553882,,,0.500577117,-128.1897079,-2.170464775,6.415439739,25.90359972,-34.46323587,3.41,1.56,2,70.9,-48,88.7,2864,6.6,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,53.9,0.167,0.15,0.9,1,1,0,2,63,4,Slider,0,8,0,8,8,0,0,8,Standard,Standard,89,0,0.153
SL,8/11/2021,89.4,-0.87,5.79,"Burnes, Corbin",623520,David Bote,669203,Corbin Burnes,,swinging_strike,,,,,14,David Bote singles on a ground ball to third baseman Eduardo Escobar.,R,R,R,CHC,MIL,S,,,1,1,2021,0.54,-0.05,0.56,1.42,,,,2,8,Bot,,,,,553882,,,2.386292881,-130.2224345,-4.693458698,5.578203407,27.72837863,-31.90784221,3.41,1.56,,,,89.7,2925,6.4,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,54.07,,,,,,,,63,3,Slider,0,8,0,8,8,0,0,8,Standard,Standard,75,0,-0.028
CU,8/11/2021,79.8,-0.46,6.08,"Burnes, Corbin",623520,David Bote,669203,Corbin Burnes,,called_strike,,,,,4,David Bote singles on a ground ball to third baseman Eduardo Escobar.,R,R,R,CHC,MIL,S,,,1,0,2021,1.03,-0.46,-0.44,2.66,,,,2,8,Bot,,,,,553882,,,-1.920430939,-116.3227927,0.049823319,9.749651066,21.07679501,-36.59668762,3.41,1.56,,,,80.5,2738,6.6,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,53.87,,,,,,,,63,2,Curveball,0,8,0,8,8,0,0,8,Standard,Standard,47,0,-0.021
CU,8/11/2021,79.7,-0.45,6.1,"Burnes, Corbin",623520,David Bote,669203,Corbin Burnes,,ball,,,,,12,David Bote singles on a ground ball to third baseman Eduardo Escobar.,R,R,R,CHC,MIL,B,,,0,0,2021,1.24,-0.51,0.94,3.57,,,,2,8,Bot,,,,,553882,,,0.715682629,-116.1085603,2.160099667,11.08981277,22.43745986,-37.42916447,3.41,1.56,,,,80,2801,6.5,632946,669203,553882,607054,543939,500871,642715,592885,456715,621438,53.98,,,,,,,,63,1,Curveball,0,8,0,8,8,0,0,8,Standard,Standard,54,0,0.016
