pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,8/12/2021,89.6,2.28,5.55,"Gonzales, Marco",641680,Jonah Heim,594835,Marco Gonzales,strikeout,swinging_strike,,,,,12,Jonah Heim strikes out swinging.,R,R,L,SEA,TEX,S,2,,2,2,2021,1.03,1.41,1.01,3.85,,,,2,9,Top,,,,,663728,,,-5.343217273,-130.4750063,-1.176864095,12.92863346,27.75313622,-16.04202926,3.55,1.63,,,,90,2184,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,53.96,,,0,1,0,0,,61,8,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,142,0.011,-0.089
FC,8/12/2021,86.8,2.43,5.37,"Gonzales, Marco",641680,Jonah Heim,594835,Marco Gonzales,,ball,,,,,11,Jonah Heim strikes out swinging.,R,R,L,SEA,TEX,B,,,1,2,2021,0.15,1.07,-1.58,3.05,,,,2,9,Top,,,,,663728,,,-9.931841292,-126.1171397,-1.539276821,3.631118878,25.16866893,-20.62896838,3.42,1.64,,,,87.1,2175,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,53.95,,,,,,,,61,7,Cutter,3,1,1,3,1,3,1,3,Standard,Standard,138,0,0.018
SI,8/12/2021,89.8,2.23,5.61,"Gonzales, Marco",641680,Jonah Heim,594835,Marco Gonzales,,foul,,,,,3,Jonah Heim strikes out swinging.,R,R,L,SEA,TEX,S,,,1,2,2021,1.01,1.4,0.53,3.53,,,,2,9,Top,,,,,663728,,,-6.399593483,-130.6456351,-2.152104724,12.96129052,27.16962429,-15.90374202,3.55,1.63,199,75.3,21,90.2,2198,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,54,,,,,,,,61,6,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,142,0,0
CH,8/12/2021,82,2.9,5.19,"Gonzales, Marco",641680,Jonah Heim,594835,Marco Gonzales,,foul,,,,,14,Jonah Heim strikes out swinging.,R,R,L,SEA,TEX,S,,,1,2,2021,1.35,0.86,0.21,1.44,,,,2,9,Top,,,,,663728,,,-8.721259379,-119.1627001,-3.587211088,14.53731986,22.38655405,-23.50706071,3.55,1.63,3,52.8,-30,82.3,2178,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,54.01,,,,,,,,61,5,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,110,0,0
SI,8/12/2021,90.8,2.18,5.6,"Gonzales, Marco",641680,Jonah Heim,594835,Marco Gonzales,,ball,,,,,11,Jonah Heim strikes out swinging.,R,R,L,SEA,TEX,B,,,0,2,2021,0.88,1.39,-1.13,4.23,,,,2,9,Top,,,,,663728,,,-10.23449865,-131.841143,-0.49386351,12.4173877,27.54403797,-15.9944972,3.4,1.62,,,,91.4,2083,6.7,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,53.78,,,,,,,,61,4,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,135,0,0.012
FC,8/12/2021,87.5,2.44,5.43,"Gonzales, Marco",641680,Jonah Heim,594835,Marco Gonzales,,foul,,,,,1,Jonah Heim strikes out swinging.,R,R,L,SEA,TEX,S,,,0,2,2021,0.28,0.98,-0.53,3.09,,,,2,9,Top,,,,,663728,,,-7.788607937,-127.2826472,-1.590384118,4.509357945,23.00914899,-21.31189981,3.55,1.63,,,,88.2,2125,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,54.02,,,,,,,,61,3,Cutter,3,1,1,3,1,3,1,3,Standard,Standard,152,0,0
FC,8/12/2021,86.1,2.49,5.37,"Gonzales, Marco",641680,Jonah Heim,594835,Marco Gonzales,,swinging_strike,,,,,11,Jonah Heim strikes out swinging.,R,R,L,SEA,TEX,S,,,0,1,2021,-0.03,0.81,-0.89,3.69,,,,2,9,Top,,,,,663728,,,-7.99456798,-125.3576374,0.4961938,1.075430937,21.28623382,-23.76539263,3.55,1.63,,,,86.9,2070,6.4,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,54.06,,,,,,,,61,2,Cutter,3,1,1,3,1,3,1,3,Standard,Standard,153,0,-0.025
SI,8/12/2021,90.1,2.2,5.65,"Gonzales, Marco",641680,Jonah Heim,594835,Marco Gonzales,,foul,,,,,1,Jonah Heim strikes out swinging.,R,R,L,SEA,TEX,S,,,0,0,2021,0.93,1.43,-0.82,3.2,,,,2,9,Top,,,,,663728,,,-9.472809298,-130.8509853,-3.170818421,12.6048544,26.49982172,-15.25235553,3.55,1.63,324,94.2,47,90.3,2267,6.4,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,54.07,,,,,,,,61,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,141,0,-0.019
SI,8/12/2021,90.2,2.32,5.59,"Gonzales, Marco",643396,Isiah Kiner-Falefa,594835,Marco Gonzales,field_out,hit_into_play,,,,,2,"Isiah Kiner-Falefa grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,L,SEA,TEX,X,6,ground_ball,0,0,2021,0.92,1.36,-0.24,3.34,,,,1,9,Top,106.88,158.42,,,663728,,,-8.338119966,-131.1689231,-2.5843352,12.3034313,25.5502121,-16.09909996,3.32,1.51,18,97.6,-9,90.9,2176,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,53.95,0.253,0.234,0,1,0,0,2,60,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,139,0.023,-0.16
CH,8/12/2021,81,2.94,5.28,"Gonzales, Marco",624431,Jose Trevino,594835,Marco Gonzales,field_out,hit_into_play,,,,,9,Jose Trevino lines out to left fielder Dylan Moore.,R,R,L,SEA,TEX,X,7,line_drive,0,2,2021,1.36,1.07,0.55,1.4,,,,0,9,Top,94.34,84,,,663728,,,-7.921579896,-117.6744243,-4.034505019,14.14202185,22.84990619,-21.68326179,3.32,1.51,296,82.7,27,80.8,2225,6.3,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,54.17,0.133,0.138,0,1,0,0,3,59,3,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,114,0.037,-0.148
FC,8/12/2021,86.6,2.49,5.44,"Gonzales, Marco",624431,Jose Trevino,594835,Marco Gonzales,,foul,,,,,11,Jose Trevino lines out to left fielder Dylan Moore.,R,R,L,SEA,TEX,S,,,0,1,2021,0.19,1.03,-1.46,2.78,,,,0,9,Top,,,,,663728,,,-9.827408754,-125.9439858,-2.332273563,3.728095114,21.71340968,-20.85760098,3.32,1.51,201,85.9,15,87.4,2069,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,54,,,,,,,,59,2,Cutter,3,1,1,3,1,3,1,3,Standard,Standard,142,0,-0.053
SI,8/12/2021,89.2,2.2,5.65,"Gonzales, Marco",624431,Jose Trevino,594835,Marco Gonzales,,foul,,,,,1,Jose Trevino lines out to left fielder Dylan Moore.,R,R,L,SEA,TEX,S,,,0,0,2021,1.11,1.36,-0.4,2.95,,,,0,9,Top,,,,,663728,,,-8.772219638,-129.6856483,-3.533023766,14.35942111,26.23853082,-16.19844003,3.32,1.51,388,103.7,29,89.7,2185,6.6,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,53.92,,,,,,,,59,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,152,0,-0.04
SI,8/12/2021,89.2,2.17,5.64,"Gonzales, Marco",628451,Andy Ibanez,594835,Marco Gonzales,field_out,hit_into_play,,,,,1,Andy Ibanez pops out to shortstop J.  P. Crawford.,R,R,L,SEA,TEX,X,6,popup,0,0,2021,0.86,1.23,-0.58,3.27,,,,2,8,Top,130.41,177.96,,,663728,,,-8.60049313,-129.783578,-2.459540334,11.3399757,23.48556304,-17.82087792,3.32,1.51,63,84.6,76,90.1,2053,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,53.98,0,0,0,1,0,0,3,53,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,139,0.013,-0.104
SI,8/12/2021,89.2,2.21,5.59,"Gonzales, Marco",641829,Jason Martin,594835,Marco Gonzales,strikeout,called_strike,,,,,1,Jason Martin called out on strikes.,R,L,L,SEA,TEX,S,2,,0,2,2021,0.78,1.3,-0.7,3.4,,,,1,8,Top,,,,,663728,,,-8.803576016,-129.7149826,-2.177886518,10.45397335,23.51753661,-17.14653086,3.34,1.49,,,,89.9,2066,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,54.05,,,0,1,0,0,,52,4,Sinker,3,1,1,3,1,3,1,3,Infield shift,Standard,139,0.023,-0.099
SI,8/12/2021,89.7,2.3,5.57,"Gonzales, Marco",641829,Jason Martin,594835,Marco Gonzales,,foul,,,,,6,Jason Martin called out on strikes.,R,L,L,SEA,TEX,S,,,0,2,2021,0.98,1.2,0.28,2.68,,,,1,8,Top,,,,,663728,,,-7.080071176,-130.5774692,-3.767893508,12.60507791,24.64284671,-17.77797112,3.29,1.49,142,69.8,70,90.5,2281,6.5,632947,594835,663728,664034,647351,572122,641487,664238,672284,641584,53.98,,,,,,,,52,3,Sinker,3,1,1,3,1,3,1,3,Infield shift,Standard,136,0,0
