pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,8/14/2021,85.9,1.5,5.93,"Gilbert, Tyler",502054,Tommy Pham,656457,Tyler Gilbert,field_out,hit_into_play,,,,,5,Tommy Pham lines out to center fielder Ketel Marte.,R,R,L,ARI,SD,X,8,line_drive,0,0,2021,-0.06,1.18,-0.25,2.61,,,,2,9,Top,146.4,80.25,,,662139,,,-3.979001923,-125.0685994,-4.015777488,0.101237401,23.21342974,-19.14775035,3.41,1.56,300,91.5,17,85.4,2232,5.7,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.77,0.75,0.729,0,1,0,0,4,67,1,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,159,0,-0.104
FC,8/14/2021,86.2,1.57,5.99,"Gilbert, Tyler",673490,Ha-seong Kim,656457,Tyler Gilbert,strikeout,called_strike,,,,,12,Ha-Seong Kim called out on strikes.,R,R,L,ARI,SD,S,2,,2,2,2021,-0.06,0.91,0.84,3.38,,,,1,9,Top,,,,,662139,,,-1.608235702,-125.7074153,-1.865879854,-0.345430155,23.40867407,-22.3624173,3.29,1.49,,,,85.9,2263,5.8,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.74,,,0,1,0,0,,66,6,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,163,0,-0.138
FC,8/14/2021,84.1,1.6,5.96,"Gilbert, Tyler",673490,Ha-seong Kim,656457,Tyler Gilbert,,ball,,,,,12,Ha-Seong Kim called out on strikes.,R,R,L,ARI,SD,B,,,1,2,2021,-0.36,0.15,1.11,3.2,,,,1,9,Top,,,,,662139,,,-0.434451316,-122.5881813,-0.360471343,-3.55555768,23.03136647,-30.79730239,3.29,1.49,,,,83.5,2176,5.7,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.8,,,,,,,,66,5,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,223,0,0.027
FC,8/14/2021,85.2,1.62,5.95,"Gilbert, Tyler",673490,Ha-seong Kim,656457,Tyler Gilbert,,foul,,,,,11,Ha-Seong Kim called out on strikes.,R,R,L,ARI,SD,S,,,1,2,2021,-0.55,0.51,-1.44,2.84,,,,1,9,Top,,,,,662139,,,-6.043554918,-123.9964441,-1.977911738,-4.370080293,25.73387917,-26.77073452,3.29,1.49,57,44.8,73,84.3,2375,5.8,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.7,,,,,,,,66,4,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,184,0,0
FC,8/14/2021,85.6,1.73,5.9,"Gilbert, Tyler",673490,Ha-seong Kim,656457,Tyler Gilbert,,foul,,,,,5,Ha-Seong Kim called out on strikes.,R,R,L,ARI,SD,S,,,1,1,2021,-0.18,0.99,-0.11,2.38,,,,1,9,Top,,,,,662139,,,-3.940525423,-124.5940961,-3.998292799,-1.126220427,24.42167882,-21.24448423,3.29,1.49,152,60,54,84.8,2316,5.7,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.8,,,,,,,,66,3,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,158,0,-0.042
FF,8/14/2021,88.8,1.7,5.74,"Gilbert, Tyler",673490,Ha-seong Kim,656457,Tyler Gilbert,,ball,,,,,8,Ha-Seong Kim called out on strikes.,R,R,L,ARI,SD,B,,,0,1,2021,1.22,0.85,-0.27,1.47,,,,1,9,Top,,,,,662139,,,-7.307469272,-129.0710345,-6.088515255,15.17892838,27.38568222,-21.54602608,3.29,1.49,,,,87.8,2130,5.8,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.72,,,,,,,,66,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,147,0,0.02
FC,8/14/2021,86.6,1.65,5.91,"Gilbert, Tyler",673490,Ha-seong Kim,656457,Tyler Gilbert,,called_strike,,,,,7,Ha-Seong Kim called out on strikes.,R,R,L,ARI,SD,S,,,0,0,2021,0.02,1.09,-0.3,1.92,,,,1,9,Top,,,,,662139,,,-4.662640754,-126.0770002,-5.535509669,1.088487307,24.71245115,-19.61508786,3.29,1.49,,,,86,2296,5.8,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.69,,,,,,,,66,1,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,159,0,-0.027
FC,8/14/2021,84.2,1.72,5.7,"Gilbert, Tyler",663757,Trent Grisham,656457,Tyler Gilbert,strikeout,called_strike,,,,,1,Trent Grisham called out on strikes.,R,L,L,ARI,SD,S,2,,1,2,2021,-0.25,0.52,-0.32,2.86,,,,0,9,Top,,,,,662139,,,-4.192665345,-122.6332927,-1.276486893,-1.765725632,23.2066334,-26.90911642,3.32,1.51,,,,83.5,2311,5.7,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.8,,,0,1,0,0,,65,4,Cutter,7,0,0,7,0,7,0,7,Infield shift,Standard,193,0.001,-0.174
FC,8/14/2021,83.3,1.64,5.83,"Gilbert, Tyler",663757,Trent Grisham,656457,Tyler Gilbert,,foul,,,,,1,Trent Grisham called out on strikes.,R,L,L,ARI,SD,S,,,1,1,2021,-0.33,0.61,-0.66,2.83,,,,0,9,Top,,,,,662139,,,-4.598438441,-121.3082449,-1.639602546,-2.3081328,24.11033169,-26.04640847,3.32,1.51,219,69.1,48,82.6,2200,5.8,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.71,,,,,,,,65,3,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,171,0,-0.058
FF,8/14/2021,87.8,1.81,5.58,"Gilbert, Tyler",663757,Trent Grisham,656457,Tyler Gilbert,,foul,,,,,5,Trent Grisham called out on strikes.,R,L,L,ARI,SD,S,,,1,0,2021,0.81,1.34,-0.09,2.32,,,,0,9,Top,,,,,662139,,,-6.208813324,-127.6176403,-4.493747785,10.15713464,27.1185617,-16.7634084,3.32,1.51,294,86.6,41,86.7,2121,5.8,632877,656457,662139,656976,642165,656403,605113,444482,606466,668942,54.74,,,,,,,,65,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,144,0,-0.049
