pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,8/20/2021,95.9,1.37,6.08,"Fried, Max",663624,Ryan Mountcastle,608331,Max Fried,field_out,hit_into_play,,,,,1,"Ryan Mountcastle grounds out sharply, third baseman Austin Riley to first baseman Freddie Freeman.",R,R,L,BAL,ATL,X,5,ground_ball,0,1,2021,0.56,0.94,-0.37,3.63,,,,2,9,Bot,94.53,153.57,,,518595,,,-5.884375276,-139.5724955,-3.041539099,8.670748654,30.34159133,-19.3894364,3.55,1.63,81,102.6,3,96.4,2082,6.5,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,53.99,0.547,0.518,0,1,0,0,4,68,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,168,-0.005,-0.085
CU,8/20/2021,75.1,1.47,6.11,"Fried, Max",663624,Ryan Mountcastle,608331,Max Fried,,foul,,,,,6,"Ryan Mountcastle grounds out sharply, third baseman Austin Riley to first baseman Freddie Freeman.",R,R,L,BAL,ATL,S,,,0,0,2021,-0.71,-1.25,0.36,2.6,,,,2,9,Bot,,,,,518595,,,-1.0358292,-109.30413,2.234429599,-5.425620699,22.11261955,-42.81375586,3.55,1.63,191,70.4,50,74.9,2489,6.4,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,54.06,,,,,,,,68,1,Curveball,0,3,0,3,3,0,0,3,Standard,Standard,329,-0.005,-0.019
CU,8/20/2021,77.2,1.33,6.14,"Fried, Max",656775,Cedric Mullins,608331,Max Fried,strikeout,swinging_strike_blocked,,,,,13,Cedric Mullins strikes out swinging.,R,L,L,BAL,ATL,S,2,,1,2,2021,-0.73,-1.67,-0.99,0.53,,,,1,9,Bot,,,,,518595,,,-3.606274682,-112.2278795,-1.713309401,-5.226465153,26.11192692,-45.89273376,3.26,1.48,,,,76.6,2926,6.6,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,53.92,,,0,1,0,0,,67,4,Curveball,0,3,0,3,3,0,0,3,Infield shift,Standard,335,-0.012,-0.111
SI,8/20/2021,94.9,1.34,6.1,"Fried, Max",656775,Cedric Mullins,608331,Max Fried,,foul,,,,,6,Cedric Mullins strikes out swinging.,R,L,L,BAL,ATL,S,,,1,1,2021,0.98,1.09,0.4,2.16,,,,1,9,Bot,,,,,518595,,,-4.689560936,-138.0749592,-7.16300671,13.59597547,30.93928707,-16.7692861,3.26,1.48,214,71.5,30,95.6,2020,6.7,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,53.8,,,,,,,,67,3,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,166,0,-0.043
SI,8/20/2021,93.6,1.39,6.05,"Fried, Max",656775,Cedric Mullins,608331,Max Fried,,ball,,,,,14,Cedric Mullins strikes out swinging.,R,L,L,BAL,ATL,B,,,0,1,2021,1.15,0.58,0.47,1,,,,1,9,Bot,,,,,518595,,,-4.91739799,-136.0004974,-8.583653582,15.29501372,30.33496987,-23.26116366,3.16,1.53,,,,93.9,1957,6.6,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,53.92,,,,,,,,67,2,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,165,0,0.02
FF,8/20/2021,95.1,1.23,6.15,"Fried, Max",656775,Cedric Mullins,608331,Max Fried,,called_strike,,,,,4,Cedric Mullins strikes out swinging.,R,L,L,BAL,ATL,S,,,0,0,2021,0.17,1.19,-0.3,2.58,,,,1,9,Bot,,,,,518595,,,-4.424792715,-138.4693563,-6.448131352,3.070746508,29.36099012,-15.63867244,3.46,1.65,,,,95.9,1998,6.6,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,53.88,,,,,,,,67,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,165,0,-0.026
FF,8/20/2021,94.2,1.45,6.11,"Fried, Max",621006,Richie Martin,608331,Max Fried,field_out,hit_into_play,,,,,5,"Richie Martin grounds out sharply, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,R,L,BAL,ATL,X,4,ground_ball,0,0,2021,0.22,0.98,-0.05,2.76,,,,0,9,Bot,128.06,136.79,,,518595,,,-4.403031277,-137.116335,-5.225648977,3.757320458,28.23733034,-18.79983584,3.37,1.53,46,101.5,-1,94.9,2001,6.5,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,53.99,0.41,0.384,0,1,0,0,4,66,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,164,-0.021,-0.241
FF,8/20/2021,96.2,1.2,6.09,"Fried, Max",596748,Maikel Franco,608331,Max Fried,field_out,hit_into_play,,,,,5,"Maikel Franco grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,R,L,BAL,ATL,X,4,ground_ball,2,2,2021,-0.02,0.98,-0.1,2.74,,,,2,8,Bot,114.61,146.09,,,518595,,,-3.402991071,-140.0524646,-5.565361567,0.409922223,30.36044291,-18.22694659,3.41,1.56,6,99.8,-23,96.8,2151,6.5,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,53.99,0.103,0.093,0,1,0,0,2,61,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shift,Standard,173,-0.008,-0.089
CU,8/20/2021,74.8,1.53,6.08,"Fried, Max",596748,Maikel Franco,608331,Max Fried,,ball,,,,,13,"Maikel Franco grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,R,L,BAL,ATL,B,,,1,2,2021,-0.54,-1.49,-0.85,0.63,,,,2,8,Bot,,,,,518595,,,-3.97091068,-108.8158327,-1.287849791,-3.393350058,22.31154962,-43.86358605,3.48,1.67,,,,74.5,2652,6.5,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,54.04,,,,,,,,61,4,Curveball,0,3,0,3,3,0,0,3,Infield shift,Standard,337,0,0.017
CU,8/20/2021,74.2,1.49,6.18,"Fried, Max",596748,Maikel Franco,608331,Max Fried,,swinging_strike,,,,,14,"Maikel Franco grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,R,L,BAL,ATL,S,,,1,1,2021,-0.63,-1.49,1,2.38,,,,2,8,Bot,,,,,518595,,,0.100157213,-107.9688325,2.182086781,-4.930011327,21.46019251,-44.35273708,3.41,1.56,,,,73.8,2632,6.3,632814,608331,518595,518692,645277,663586,621020,594807,628338,592626,54.2,,,,,,,,61,3,Curveball,0,3,0,3,3,0,0,3,Standard,Standard,332,0,-0.028
