pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,8/22/2021,73.2,-1.01,6.36,"Wainwright, Adam",592325,Ben Gamel,425794,Adam Wainwright,strikeout,swinging_strike,,,,,14,Ben Gamel strikes out swinging.,R,L,R,STL,PIT,S,2,,2,2,2021,1.26,-1.33,0.32,0.84,,,,2,8,Top,,,,,425877,,,0.507696847,-106.4973282,-1.322843894,9.276407412,22.94146621,-42.04718624,3.32,1.51,,,,72.7,2999,6.5,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,53.97,,,0,1,0,0,,57,6,Curveball,2,0,0,2,0,2,0,2,Infield shift,Standard,38,0.013,-0.089
FF,8/22/2021,88.3,-1.13,6.22,"Wainwright, Adam",592325,Ben Gamel,425794,Adam Wainwright,,foul,,,,,5,Ben Gamel strikes out swinging.,R,L,R,STL,PIT,S,,,2,2,2021,-0.18,1.2,-0.14,2.62,,,,2,8,Top,,,,,425877,,,2.796010523,-128.6158709,-5.25920643,-2.522175435,25.22164973,-17.91165947,3.32,1.51,150,76.4,67,89.1,2320,6.6,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,53.9,,,,,,,,57,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shift,Standard,197,0,0
CU,8/22/2021,71.9,-1.13,6.39,"Wainwright, Adam",592325,Ben Gamel,425794,Adam Wainwright,,called_strike,,,,,7,Ben Gamel strikes out swinging.,R,L,R,STL,PIT,S,,,2,1,2021,1.35,-1.28,-0.5,1.83,,,,2,8,Top,,,,,425877,,,-1.032716909,-104.6450799,0.669377933,9.994401255,19.98105526,-41.83842278,3.3,1.35,,,,71.2,3035,6.1,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,54.43,,,,,,,,57,4,Curveball,2,0,0,2,0,2,0,2,Infield shift,Standard,38,0,-0.029
FF,8/22/2021,87.3,-1.22,6.2,"Wainwright, Adam",592325,Ben Gamel,425794,Adam Wainwright,,foul,,,,,14,Ben Gamel strikes out swinging.,R,L,R,STL,PIT,S,,,2,0,2021,-0.05,1.17,0.32,1.09,,,,2,8,Top,,,,,425877,,,3.831085484,-127.0388563,-8.67283047,-1.182472282,21.79143279,-18.05425645,3.32,1.51,,,,88.4,2199,6.6,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,53.88,,,,,,,,57,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shift,Standard,203,0,-0.026
SI,8/22/2021,85.3,-1.34,6.27,"Wainwright, Adam",592325,Ben Gamel,425794,Adam Wainwright,,ball,,,,,11,Ben Gamel strikes out swinging.,R,L,R,STL,PIT,B,,,1,0,2021,-0.9,0.97,-0.62,3.56,,,,2,8,Top,,,,,425877,,,3.516060801,-124.3466068,-2.137082815,-10.08672033,21.50566056,-21.78912504,3.36,1.43,,,,86,2173,6.3,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,54.15,,,,,,,,57,2,Sinker,2,0,0,2,0,2,0,2,Infield shift,Standard,206,0,0.024
CU,8/22/2021,71.1,-1.15,6.4,"Wainwright, Adam",592325,Ben Gamel,425794,Adam Wainwright,,ball,,,,,2,Ben Gamel strikes out swinging.,R,L,R,STL,PIT,B,,,0,0,2021,1.48,-1.12,0.19,3.2,,,,2,8,Top,,,,,425877,,,0.131617721,-103.2986312,3.297661129,10.45214555,20.34188714,-40.99726722,3.24,1.4,,,,70.3,2899,6.2,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,54.33,,,,,,,,57,1,Curveball,2,0,0,2,0,2,0,2,Infield shift,Standard,41,0,0.016
FC,8/22/2021,81.6,-1.11,6.26,"Wainwright, Adam",605421,Michael Perez,425794,Adam Wainwright,strikeout,called_strike,,,,,8,Michael Perez called out on strikes.,R,L,R,STL,PIT,S,2,,1,2,2021,0.51,-0.19,-0.03,1.75,,,,1,8,Top,,,,,425877,,,1.45768319,-119.0669112,-3.411346482,4.751863321,16.79941301,-33.72631854,3.25,1.52,,,,82.8,2428,6.3,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,54.18,,,0,1,0,0,,56,4,Cutter,2,0,0,2,0,2,0,2,Infield shift,Standard,120,0.023,-0.111
CU,8/22/2021,72.2,-1.15,6.38,"Wainwright, Adam",605421,Michael Perez,425794,Adam Wainwright,,ball,,,,,11,Michael Perez called out on strikes.,R,L,R,STL,PIT,B,,,0,2,2021,1.27,-1.11,-1.71,2.82,,,,1,8,Top,,,,,425877,,,-3.258932786,-105.0037433,2.289305339,9.908926087,18.40800909,-41.030851,3.18,1.48,,,,72,3011,6.2,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,54.26,,,,,,,,56,3,Curveball,2,0,0,2,0,2,0,2,Infield shift,Standard,34,0,0.011
SI,8/22/2021,85.1,-1.42,6.22,"Wainwright, Adam",605421,Michael Perez,425794,Adam Wainwright,,foul,,,,,11,Michael Perez called out on strikes.,R,L,R,STL,PIT,S,,,0,1,2021,-0.9,0.91,-0.88,2.8,,,,1,8,Top,,,,,425877,,,3.07217645,-124.0204719,-3.6085396,-9.867352653,23.07405144,-22.25404249,3.3,1.5,267,86.6,48,85.6,2192,6.4,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,54.14,,,,,,,,56,2,Sinker,2,0,0,2,0,2,0,2,Infield shift,Standard,211,0,-0.035
CH,8/22/2021,85.3,-1.43,6.27,"Wainwright, Adam",605421,Michael Perez,425794,Adam Wainwright,,swinging_strike,,,,,1,Michael Perez called out on strikes.,R,L,R,STL,PIT,S,,,0,0,2021,-1,0.83,-0.67,2.83,,,,1,8,Top,,,,,425877,,,3.808793233,-124.2558336,-3.555525065,-11.17587646,21.31958391,-23.05938156,3.3,1.5,,,,85.9,2173,6.3,632794,425794,425877,502671,669242,571448,624641,641933,664056,663457,54.2,,,,,,,,56,1,Changeup,2,0,0,2,0,2,0,2,Infield shift,Standard,209,0,-0.027
