pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,8/24/2021,87.3,-1.9,6.41,"Cease, Dylan",666971,Lourdes Gurriel,656302,Dylan Cease,field_out,hit_into_play,,,,,1,Lourdes Gurriel flies out to left fielder Eloy Jimenez.,R,R,R,TOR,CWS,X,7,fly_ball,0,1,2021,0.45,-0.16,-0.37,3.2,,,,2,7,Bot,81.07,89.07,,,641470,,,2.737709502,-127.1146812,-1.249483332,4.26607069,26.90685687,-33.83785822,3.55,1.63,295,79.7,31,86.4,2835,5.7,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.76,0.08,0.091,0,1,0,0,3,59,2,Slider,1,5,1,5,5,1,1,5,Standard,Standard,51,-0.005,-0.085
FF,8/24/2021,97.9,-1.51,6.55,"Cease, Dylan",666971,Lourdes Gurriel,656302,Dylan Cease,,foul,,,,,12,Lourdes Gurriel flies out to left fielder Eloy Jimenez.,R,R,R,TOR,CWS,S,,,0,0,2021,-0.36,1.56,0.88,3.54,,,,2,7,Bot,,,,,641470,,,7.24644379,-142.1982185,-6.130625104,-6.704470142,35.22766109,-9.865226463,3.55,1.63,255,78.6,44,96.9,2585,6,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.5,,,,,,,,59,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,202,0,-0.019
SL,8/24/2021,87.1,-1.7,6.37,"Cease, Dylan",672386,Alejandro Kirk,656302,Dylan Cease,field_out,hit_into_play,,,,,5,Alejandro Kirk flies out to center fielder Luis Robert.,R,R,R,TOR,CWS,X,8,fly_ball,2,1,2021,0.37,0.25,0.12,2.14,,,,1,7,Bot,147.06,108.93,,,641470,,,3.586445138,-126.9173745,-4.540517711,3.353718194,24.39907769,-28.81206558,3.26,1.48,233,93.5,55,87.1,2667,6.1,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.41,0.007,0.006,0,1,0,0,3,58,4,Slider,1,5,1,5,5,1,1,5,Standard,Standard,166,-0.01,-0.192
FF,8/24/2021,96.7,-1.43,6.6,"Cease, Dylan",672386,Alejandro Kirk,656302,Dylan Cease,,ball,,,,,11,Alejandro Kirk flies out to center fielder Luis Robert.,R,R,R,TOR,CWS,B,,,1,1,2021,-0.31,1.61,-0.51,3.94,,,,1,7,Bot,,,,,641470,,,3.142164156,-140.6671206,-5.172859063,-4.84216457,33.995689,-9.81607636,3.26,1.48,,,,96.2,2500,6.1,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.35,,,,,,,,58,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,197,0,0.038
FF,8/24/2021,97.3,-1.36,6.57,"Cease, Dylan",672386,Alejandro Kirk,656302,Dylan Cease,,ball,,,,,12,Alejandro Kirk flies out to center fielder Luis Robert.,R,R,R,TOR,CWS,B,,,0,1,2021,-0.39,1.5,1.04,3.77,,,,1,7,Bot,,,,,641470,,,7.26974247,-141.4773329,-5.354761554,-6.942714643,34.40209141,-11.0184809,3.26,1.48,,,,96.4,2622,6,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.53,,,,,,,,58,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,199,0,0.02
FF,8/24/2021,97.4,-1.44,6.62,"Cease, Dylan",672386,Alejandro Kirk,656302,Dylan Cease,,foul,,,,,2,Alejandro Kirk flies out to center fielder Luis Robert.,R,R,R,TOR,CWS,S,,,0,0,2021,-0.35,1.6,-0.16,3.35,,,,1,7,Bot,,,,,641470,,,4.21852048,-141.512493,-6.840217205,-5.747140612,36.48409404,-9.325669621,3.26,1.48,225,80.6,61,96.3,2433,6,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.46,,,,,,,,58,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,199,0,-0.027
FF,8/24/2021,97.7,-1.65,6.51,"Cease, Dylan",572816,Corey Dickerson,656302,Dylan Cease,home_run,hit_into_play,,,,,12,Corey Dickerson homers (5) on a fly ball to right field.,R,L,R,TOR,CWS,X,,fly_ball,2,2,2021,-0.35,1.65,1.08,2.77,,,,1,7,Bot,210.04,80.63,,,641470,,,8.141011717,-141.7987405,-8.262660545,-6.774810484,35.40488747,-8.225406957,3.41,1.56,358,91.9,32,96.9,2642,6.2,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.32,0.053,0.08,2,1,0,3,3,57,6,4-Seam Fastball,0,5,0,5,5,1,1,5,Standard,Standard,203,0.023,1.022
FF,8/24/2021,97.7,-1.6,6.48,"Cease, Dylan",572816,Corey Dickerson,656302,Dylan Cease,,foul,,,,,1,Corey Dickerson homers (5) on a fly ball to right field.,R,L,R,TOR,CWS,S,,,2,2,2021,-0.37,1.6,-0.67,2.87,,,,1,7,Bot,,,,,641470,,,3.340873358,-142.0513451,-7.795807145,-5.824592476,36.68300858,-8.939477473,3.41,1.56,269,89.3,22,96.8,2489,6.1,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.37,,,,,,,,57,5,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,200,0,0
FF,8/24/2021,97.4,-1.67,6.51,"Cease, Dylan",572816,Corey Dickerson,656302,Dylan Cease,,ball,,,,,11,Corey Dickerson homers (5) on a fly ball to right field.,R,L,R,TOR,CWS,B,,,1,2,2021,-0.46,1.55,-0.98,3.42,,,,1,7,Bot,,,,,641470,,,2.88657237,-141.6251864,-6.218294225,-6.91499342,36.69403288,-10.09051298,3.41,1.56,,,,96.1,2534,5.9,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.58,,,,,,,,57,4,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,198,0,0.028
CH,8/24/2021,75.1,-1.37,6.4,"Cease, Dylan",572816,Corey Dickerson,656302,Dylan Cease,,swinging_strike,,,,,13,Corey Dickerson homers (5) on a fly ball to right field.,R,L,R,TOR,CWS,S,,,1,1,2021,-0.6,1.4,-0.78,1.21,,,,1,7,Bot,,,,,641470,,,2.298944617,-109.2610297,-6.002372003,-5.235763622,20.80236433,-20.12384042,3.41,1.56,,,,74.9,1595,6.3,632779,656302,641470,547989,544725,660162,664901,650391,673357,571718,54.18,,,,,,,,57,3,Changeup,0,5,0,5,5,0,0,5,Standard,Standard,189,0,-0.043
