pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,8/27/2021,84.6,-1,6.55,"Musgrove, Joe",457708,Justin Upton,605397,Joe Musgrove,strikeout,swinging_strike_blocked,,,,,14,Justin Upton strikes out swinging.,R,R,R,LAA,SD,S,2,,1,2,2021,1.07,-1.28,0.74,0.9,,,,2,9,Bot,,,,,543592,,,1.932419567,-123.1575544,-4.183390896,10.31150823,27.83845448,-44.40168475,3.41,1.56,,,,83.9,3248,6.1,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.4,,,0,1,0,0,,73,4,Curveball,0,5,0,5,5,0,0,5,Standard,Standard,44,0,-0.071
FF,8/27/2021,93.7,-1.17,6.39,"Musgrove, Joe",457708,Justin Upton,605397,Joe Musgrove,,ball,,,,,12,Justin Upton strikes out swinging.,R,R,R,LAA,SD,B,,,0,2,2021,-0.27,1.29,0.08,5.2,,,,2,9,Bot,,,,,543592,,,3.789385892,-136.593538,-0.250835298,-4.12159367,27.54783085,-16.01964012,3.41,1.56,,,,93.6,2947,5.9,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.56,,,,,,,,73,3,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,207,0,0.011
SL,8/27/2021,85.7,-1.43,6.32,"Musgrove, Joe",457708,Justin Upton,605397,Joe Musgrove,,called_strike,,,,,8,Justin Upton strikes out swinging.,R,R,R,LAA,SD,S,,,0,1,2021,1.36,-0.19,0.23,1.74,,,,2,9,Bot,,,,,543592,,,1.177815963,-124.7889794,-4.141440194,13.98152446,25.14488091,-33.56740726,3.41,1.56,,,,85.2,3072,5.9,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.57,,,,,,,,73,2,Slider,0,5,0,5,5,0,0,5,Standard,Standard,54,0,-0.025
SL,8/27/2021,86.2,-1.29,6.37,"Musgrove, Joe",457708,Justin Upton,605397,Joe Musgrove,,swinging_strike,,,,,14,Justin Upton strikes out swinging.,R,R,R,LAA,SD,S,,,0,0,2021,1.27,-0.17,1.2,1.27,,,,2,9,Bot,,,,,543592,,,3.327836225,-125.4843183,-5.525853847,12.80776855,24.3840645,-33.12911853,3.41,1.56,,,,86,3239,6,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.46,,,,,,,,73,1,Slider,0,5,0,5,5,0,0,5,Standard,Strategic,53,0,-0.019
FC,8/27/2021,91,-1.37,6.44,"Musgrove, Joe",665120,Jared Walsh,605397,Joe Musgrove,field_out,hit_into_play,,,,,11,Jared Walsh flies out to left fielder Jake Marisnick.,R,L,R,LAA,SD,X,7,fly_ball,1,0,2021,0.1,0.72,-0.26,3.68,,,,1,9,Bot,40.01,95.77,,,543592,,,2.573933479,-132.6649344,-2.653624457,0.6979487,24.15110278,-23.27337601,3.37,1.53,331,90.7,36,91.2,2942,6,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.52,0.047,0.073,0,1,0,0,3,72,2,Cutter,0,5,0,5,5,0,0,5,Infield shift,Strategic,184,-0.002,-0.185
CU,8/27/2021,81.3,-1.08,6.58,"Musgrove, Joe",665120,Jared Walsh,605397,Joe Musgrove,,ball,,,,,11,Jared Walsh flies out to left fielder Jake Marisnick.,R,L,R,LAA,SD,B,,,0,0,2021,1.08,-0.98,-0.78,3.96,,,,1,9,Bot,,,,,543592,,,-1.376960196,-118.3333145,2.581441156,10.34496008,23.48588972,-42.04814547,3.37,1.53,,,,80.5,2974,5.9,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.65,,,,,,,,72,1,Curveball,0,5,0,5,5,0,0,5,Infield shift,Strategic,45,0,0.025
SL,8/27/2021,85.3,-1.41,6.29,"Musgrove, Joe",594838,Phil Gosselin,605397,Joe Musgrove,field_out,hit_into_play,,,,,9,Phil Gosselin flies out to center fielder Trent Grisham.,R,R,R,LAA,SD,X,8,fly_ball,2,1,2021,1.35,-0.05,0.54,1.99,,,,0,9,Bot,155.86,50.09,,,543592,,,1.862036104,-124.2568463,-3.771893621,13.66730755,23.62021819,-32.13441162,3.41,1.56,375,95.3,26,85.2,3056,6.1,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.44,0.233,0.326,0,1,0,0,5,71,4,Slider,0,5,0,5,5,0,0,5,Standard,Standard,46,-0.005,-0.281
SL,8/27/2021,84.6,-1.37,6.38,"Musgrove, Joe",594838,Phil Gosselin,605397,Joe Musgrove,,called_strike,,,,,4,Phil Gosselin flies out to center fielder Trent Grisham.,R,R,R,LAA,SD,S,,,2,0,2021,1.31,-0.06,-0.52,2.49,,,,0,9,Bot,,,,,543592,,,-0.619708105,-123.177438,-2.569034683,13.44823436,25.28600007,-32.51683476,3.41,1.56,,,,84,3003,5.9,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.55,,,,,,,,71,3,Slider,0,5,0,5,5,0,0,5,Standard,Strategic,58,0,-0.064
FF,8/27/2021,92.9,-1.22,6.55,"Musgrove, Joe",594838,Phil Gosselin,605397,Joe Musgrove,,ball,,,,,11,Phil Gosselin flies out to center fielder Trent Grisham.,R,R,R,LAA,SD,B,,,1,0,2021,-0.62,0.53,-0.49,3.97,,,,0,9,Bot,,,,,543592,,,3.200854379,-135.4631205,-2.07489775,-8.367563545,25.49226487,-25.37413238,3.41,1.56,,,,93.1,2667,6,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.49,,,,,,,,71,2,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Strategic,199,0,0.066
CU,8/27/2021,81.2,-1.1,6.65,"Musgrove, Joe",594838,Phil Gosselin,605397,Joe Musgrove,,ball,,,,,11,Phil Gosselin flies out to center fielder Trent Grisham.,R,R,R,LAA,SD,B,,,0,0,2021,0.99,-1,-1.19,3.7,,,,0,9,Bot,,,,,543592,,,-2.100601284,-118.2481816,1.882459027,9.717116455,22.9709388,-42.0855901,3.41,1.56,,,,80.5,2934,5.8,632782,605397,543592,543333,595777,673490,630105,545350,663757,665487,54.67,,,,,,,,71,1,Curveball,0,5,0,5,5,0,0,5,Standard,Strategic,46,0,0.038
