pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,8/29/2021,84.1,-3.59,5.22,"Berríos, José",668731,Akil Baddoo,621244,Jose Berrios,strikeout,swinging_strike,,,,,14,Akil Baddoo strikes out swinging.,R,L,R,DET,TOR,S,2,,1,2,2021,1.38,-0.09,1.37,0.88,,,,2,7,Bot,,,,,624512,,,8.761082119,-122.3027689,-3.497882213,12.14893193,23.86283821,-32.5767648,3.41,1.56,,,,84.1,2483,6.3,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.19,,,0,1,0,0,,60,4,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,37,-0.023,-0.071
FF,8/29/2021,95,-3.43,5.31,"Berríos, José",668731,Akil Baddoo,621244,Jose Berrios,,foul,,,,,5,Akil Baddoo strikes out swinging.,R,L,R,DET,TOR,S,,,1,1,2021,-1,1.18,-0.25,2.26,,,,2,7,Bot,,,,,624512,,,10.56256189,-137.9004935,-4.958394896,-15.1812582,31.69601952,-16.13907781,3.41,1.56,283,89.8,41,94.9,2276,6.4,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.06,,,,,,,,60,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shift,Standard,225,0,-0.028
SI,8/29/2021,94.3,-3.32,5.42,"Berríos, José",668731,Akil Baddoo,621244,Jose Berrios,,ball,,,,,11,Akil Baddoo strikes out swinging.,R,L,R,DET,TOR,B,,,0,1,2021,-1.04,0.91,-1.09,4.13,,,,2,7,Bot,,,,,624512,,,8.11795669,-137.1197925,0.324288162,-14.91334411,30.42127683,-21.05176115,3.06,1.42,,,,94.3,2178,6.4,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.14,,,,,,,,60,2,Sinker,1,2,1,2,2,1,1,2,Infield shift,Standard,226,0,0.014
CH,8/29/2021,83.3,-3.53,5.14,"Berríos, José",668731,Akil Baddoo,621244,Jose Berrios,,foul,,,,,13,Akil Baddoo strikes out swinging.,R,L,R,DET,TOR,S,,,0,0,2021,-0.86,-0.23,-0.73,0.9,,,,2,7,Bot,,,,,624512,,,8.116208706,-121.0135961,-2.781420936,-10.04389885,24.69864538,-34.0954491,3.41,1.56,1,57.2,-51,83.1,1552,6.4,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.12,,,,,,,,60,1,Changeup,1,2,1,2,2,1,1,2,Infield shift,Standard,260,0,-0.019
FF,8/29/2021,95.2,-3.39,5.47,"Berríos, José",622682,Victor Reyes,621244,Jose Berrios,strikeout,swinging_strike,,,,,1,Victor Reyes strikes out swinging.,R,L,R,DET,TOR,S,2,,0,2,2021,-0.94,1.05,-0.61,3.7,,,,1,7,Bot,,,,,624512,,,9.388114213,-138.4062822,-1.35662537,-14.11264815,30.47955627,-18.58240454,3.58,1.68,,,,95.1,2173,6.2,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.27,,,0,1,0,0,,59,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,226,-0.035,-0.099
CU,8/29/2021,83.3,-3.39,5.25,"Berríos, José",622682,Victor Reyes,621244,Jose Berrios,,foul,,,,,14,Victor Reyes strikes out swinging.,R,L,R,DET,TOR,S,,,0,2,2021,1.61,-0.45,0.88,1.42,,,,1,7,Bot,,,,,624512,,,6.608840603,-121.2506015,-1.444034418,14.52531835,24.71628968,-36.49967077,3.58,1.68,0,23.4,18,83,2444,6.2,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.33,,,,,,,,59,3,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,40,0,0
FF,8/29/2021,93.3,-3.46,5.38,"Berríos, José",622682,Victor Reyes,621244,Jose Berrios,,foul,,,,,5,Victor Reyes strikes out swinging.,R,L,R,DET,TOR,S,,,0,1,2021,-0.95,1,-0.22,2.96,,,,1,7,Bot,,,,,624512,,,10.38874191,-135.4963617,-2.700395703,-13.92905238,27.66419494,-19.35162494,3.58,1.68,206,71.6,27,93.3,2172,6.3,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.25,,,,,,,,59,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,224,0,-0.035
SI,8/29/2021,92.7,-3.54,5.3,"Berríos, José",622682,Victor Reyes,621244,Jose Berrios,,called_strike,,,,,4,Victor Reyes strikes out swinging.,R,L,R,DET,TOR,S,,,0,0,2021,-1.07,0.97,-0.75,2.44,,,,1,7,Bot,,,,,624512,,,9.488376118,-134.6139512,-3.631056569,-15.0926956,29.59451704,-19.76001038,3.6,1.74,,,,92.8,2234,6.5,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.03,,,,,,,,59,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,227,0,-0.027
SI,8/29/2021,94.9,-3.28,5.41,"Berríos, José",572863,Dustin Garneau,621244,Jose Berrios,field_out,hit_into_play,,,,,5,"Dustin Garneau grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.",R,R,R,DET,TOR,X,6,ground_ball,2,2,2021,-1.23,0.66,0.28,2.66,,,,0,7,Bot,107.61,152.42,,,624512,,,12.07015012,-137.7641436,-3.018688886,-18.24447493,28.5890249,-23.26487002,3.47,1.59,105,100,5,95.2,2138,6.5,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,54.03,0.577,0.548,0,1,0,0,4,58,7,Sinker,1,2,1,2,2,1,1,2,Standard,Strategic,229,-0.049,-0.213
CU,8/29/2021,84.5,-3.51,5.24,"Berríos, José",572863,Dustin Garneau,621244,Jose Berrios,,ball,,,,,14,"Dustin Garneau grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.",R,R,R,DET,TOR,B,,,1,2,2021,1.23,-0.45,1.25,0.93,,,,0,7,Bot,,,,,624512,,,8.654205856,-122.7679354,-2.771632811,10.75875224,24.31624371,-36.37392334,3.43,1.59,,,,84.7,2319,6.5,632750,621244,624512,665489,543760,675656,666182,666971,545341,606192,53.98,,,,,,,,58,6,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,46,0,0.039
