pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/1/2021,88.4,-1.57,5.77,"Cole, Gerrit",545358,Max Stassi,543037,Gerrit Cole,strikeout,swinging_strike,,,,,14,Max Stassi strikes out swinging.,R,R,R,LAA,NYY,S,2,,2,2,2021,0.3,0.09,0.99,2.04,,,,2,7,Bot,,,,,543309,,,5.609300614,-128.6108502,-3.22152968,2.243341167,26.10993793,-30.69363027,3.3,1.5,,,,88.7,2565,6.4,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,54.07,,,0,1,0,0,,54,5,Slider,1,3,1,3,3,1,1,3,Standard,Standard,96,-0.015,-0.09
FF,9/1/2021,98.4,-1.69,5.6,"Cole, Gerrit",545358,Max Stassi,543037,Gerrit Cole,,ball,,,,,12,Max Stassi strikes out swinging.,R,R,R,LAA,NYY,B,,,1,2,2021,-0.93,1.62,0.83,2.77,,,,2,7,Bot,,,,,543309,,,9.009484756,-142.8355296,-5.930663346,-14.8613403,35.01511553,-8.857265477,3.39,1.5,,,,98.3,2471,6.5,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,54,,,,,,,,54,4,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,218,0,0.017
FF,9/1/2021,97.3,-1.54,5.67,"Cole, Gerrit",545358,Max Stassi,543037,Gerrit Cole,,swinging_strike,,,,,2,Max Stassi strikes out swinging.,R,R,R,LAA,NYY,S,,,1,1,2021,-0.96,1.6,0.03,2.93,,,,2,7,Bot,,,,,543309,,,6.459324329,-141.4786259,-5.500711936,-14.38223137,34.91401615,-9.618091115,3.3,1.5,,,,97.5,2399,6.6,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,53.86,,,,,,,,54,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,220,0,-0.028
SL,9/1/2021,88.2,-1.62,5.7,"Cole, Gerrit",545358,Max Stassi,543037,Gerrit Cole,,ball,,,,,14,Max Stassi strikes out swinging.,R,R,R,LAA,NYY,B,,,0,1,2021,0.42,0.16,1.28,1.28,,,,2,7,Bot,,,,,543309,,,6.172720635,-128.3555713,-5.028546249,3.510803673,25.04829252,-29.6060747,3.44,1.5,,,,88.5,2570,6.3,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,54.17,,,,,,,,54,2,Slider,1,3,1,3,3,1,1,3,Standard,Standard,111,0,0.014
KC,9/1/2021,82.2,-1.67,5.8,"Cole, Gerrit",545358,Max Stassi,543037,Gerrit Cole,,called_strike,,,,,1,Max Stassi strikes out swinging.,R,R,R,LAA,NYY,S,,,0,0,2021,0.87,-1.11,-0.6,3.16,,,,2,7,Bot,,,,,543309,,,0.741780392,-119.4934198,2.831279194,8.082083315,26.71029873,-43.55876065,3.39,1.5,,,,81.5,2841,6.2,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,54.29,,,,,,,,54,1,Knuckle Curve,1,3,1,3,3,1,1,3,Standard,Standard,45,0,-0.019
CH,9/1/2021,90.7,-1.7,5.58,"Cole, Gerrit",669016,Brandon Marsh,543037,Gerrit Cole,strikeout,swinging_strike,,,,,11,Brandon Marsh strikes out swinging.,R,L,R,LAA,NYY,S,2,,3,2,2021,-1.58,0.83,-0.86,2.98,,,,1,7,Bot,,,,,543309,,,5.515829432,-131.9050987,-2.33924888,-19.63126756,28.8038395,-22.21505252,3.55,1.63,,,,91.2,1625,6.7,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,53.83,,,0,1,0,0,,53,6,Changeup,1,3,1,3,3,1,1,3,Infield shift,Standard,238,-0.026,-0.208
FF,9/1/2021,97.5,-1.55,5.65,"Cole, Gerrit",669016,Brandon Marsh,543037,Gerrit Cole,,ball,,,,,12,Brandon Marsh strikes out swinging.,R,L,R,LAA,NYY,B,,,2,2,2021,-1.23,1.5,1.03,3.41,,,,1,7,Bot,,,,,543309,,,9.802237199,-141.6204656,-3.976510633,-18.78168823,33.57321633,-11.21667089,3.44,1.63,,,,97.9,2291,6.7,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,53.78,,,,,,,,53,5,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shift,Standard,214,0,0.07
FF,9/1/2021,98.2,-1.74,5.65,"Cole, Gerrit",669016,Brandon Marsh,543037,Gerrit Cole,,swinging_strike,,,,,4,Brandon Marsh strikes out swinging.,R,L,R,LAA,NYY,S,,,2,1,2021,-1.03,1.56,-0.6,2.85,,,,1,7,Bot,,,,,543309,,,5.49300606,-142.7125847,-5.709705628,-15.29904042,35.73175921,-9.733129748,3.55,1.63,,,,98.4,2397,6.7,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,53.82,,,,,,,,53,4,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,211,0,-0.053
FF,9/1/2021,97.3,-1.67,5.69,"Cole, Gerrit",669016,Brandon Marsh,543037,Gerrit Cole,,ball,,,,,12,Brandon Marsh strikes out swinging.,R,L,R,LAA,NYY,B,,,1,1,2021,-1.19,1.44,0.43,3.69,,,,1,7,Bot,,,,,543309,,,8.386233237,-141.3285304,-3.083270632,-17.86974134,35.07712361,-12.38297205,3.38,1.63,,,,97.3,2463,6.6,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,53.92,,,,,,,,53,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,213,0,0.038
KC,9/1/2021,84.5,-1.64,5.75,"Cole, Gerrit",669016,Brandon Marsh,543037,Gerrit Cole,,ball,,,,,14,Brandon Marsh strikes out swinging.,R,L,R,LAA,NYY,B,,,0,1,2021,0.71,-1.13,0.66,0.98,,,,1,7,Bot,,,,,543309,,,3.945238303,-122.8996409,-2.372969878,6.12664594,28.89262665,-43.17231486,3.35,1.63,,,,84,2866,6.4,632655,543037,543309,519203,518934,596059,623205,608336,458731,592450,54.09,,,,,,,,53,2,Knuckle Curve,1,3,1,3,3,1,1,3,Standard,Standard,30,0,0.02
