pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/2/2021,82.1,-1.83,4.96,"Webb, Logan",596129,Daniel Vogelbach,657277,Logan Webb,single,hit_into_play,,,,,5,"Daniel Vogelbach singles on a sharp line drive to right fielder Austin Slater.  Daniel Vogelbach out at 2nd on the throw, right fielder Austin Slater to shortstop Brandon Crawford.",R,L,R,SF,MIL,X,9,line_drive,3,2,2021,0.77,0.05,0.07,2.29,,,,2,7,Top,201.02,110.2,,,592200,,,2.839947363,-119.6214075,0.378457818,6.838262317,22.30746842,-31.92512515,3.37,1.53,184,105.4,10,83.3,2582,6.9,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.59,0.84,0.811,0.9,1,1,0,4,47,7,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,55,0.019,0.095
SI,9/2/2021,94.3,-1.66,5.09,"Webb, Logan",596129,Daniel Vogelbach,657277,Logan Webb,,foul,,,,,1,"Daniel Vogelbach singles on a sharp line drive to right fielder Austin Slater.  Daniel Vogelbach out at 2nd on the throw, right fielder Austin Slater to shortstop Brandon Crawford.",R,L,R,SF,MIL,S,,,3,2,2021,-1.05,-0.16,-0.68,2.88,,,,2,7,Top,,,,,592200,,,4.938723622,-137.3269603,0.303218432,-14.39309012,30.40794956,-34.5295602,3.37,1.53,275,98,17,95,1928,6.7,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.82,,,,,,,,47,6,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,246,0,0
SL,9/2/2021,84.3,-1.86,4.93,"Webb, Logan",596129,Daniel Vogelbach,657277,Logan Webb,,ball,,,,,13,"Daniel Vogelbach singles on a sharp line drive to right fielder Austin Slater.  Daniel Vogelbach out at 2nd on the throw, right fielder Austin Slater to shortstop Brandon Crawford.",R,L,R,SF,MIL,B,,,2,2,2021,0.79,-0.36,0,0.34,,,,2,7,Top,,,,,592200,,,2.772842897,-122.8834786,-3.640216045,7.527892568,22.99408188,-35.37779741,3.31,1.66,,,,85.2,2733,6.7,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.84,,,,,,,,47,5,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,49,0,0.042
FF,9/2/2021,93.6,-1.75,5.11,"Webb, Logan",596129,Daniel Vogelbach,657277,Logan Webb,,ball,,,,,11,"Daniel Vogelbach singles on a sharp line drive to right fielder Austin Slater.  Daniel Vogelbach out at 2nd on the throw, right fielder Austin Slater to shortstop Brandon Crawford.",R,L,R,SF,MIL,B,,,1,2,2021,-0.75,0.88,-1.84,2.81,,,,2,7,Top,,,,,592200,,,1.447665424,-136.4702806,-2.254506148,-9.704197664,26.61087556,-20.81658721,3.37,1.69,,,,94.9,2054,6.7,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.83,,,,,,,,47,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Standard,234,0,0.017
CH,9/2/2021,87.3,-1.83,4.98,"Webb, Logan",596129,Daniel Vogelbach,657277,Logan Webb,,foul,,,,,13,"Daniel Vogelbach singles on a sharp line drive to right fielder Austin Slater.  Daniel Vogelbach out at 2nd on the throw, right fielder Austin Slater to shortstop Brandon Crawford.",R,L,R,SF,MIL,S,,,1,1,2021,-0.49,-0.29,-0.87,1.85,,,,2,7,Top,,,,,592200,,,3.349596156,-127.2225278,-0.855691518,-5.997592371,23.81630061,-35.39145558,3.37,1.53,222,76.4,42,88.7,1441,6.9,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.62,,,,,,,,47,3,Changeup,1,1,1,1,1,1,1,1,Infield shift,Standard,274,0,-0.028
SL,9/2/2021,82.7,-1.93,4.95,"Webb, Logan",596129,Daniel Vogelbach,657277,Logan Webb,,ball,,,,,13,"Daniel Vogelbach singles on a sharp line drive to right fielder Austin Slater.  Daniel Vogelbach out at 2nd on the throw, right fielder Austin Slater to shortstop Brandon Crawford.",R,L,R,SF,MIL,B,,,0,1,2021,1.11,-0.07,-0.34,1.33,,,,2,7,Top,,,,,592200,,,1.464465812,-120.5325261,-1.691488147,10.57371783,22.11418414,-32.78758151,3.37,1.75,,,,83.4,2776,6.6,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.93,,,,,,,,47,2,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,58,0,0.014
SI,9/2/2021,92.3,-1.77,5.11,"Webb, Logan",596129,Daniel Vogelbach,657277,Logan Webb,,called_strike,,,,,1,"Daniel Vogelbach singles on a sharp line drive to right fielder Austin Slater.  Daniel Vogelbach out at 2nd on the throw, right fielder Austin Slater to shortstop Brandon Crawford.",R,L,R,SF,MIL,S,,,0,0,2021,-0.86,0.02,-0.79,3.31,,,,2,7,Top,,,,,592200,,,4.381938787,-134.4312861,1.157588374,-11.3875146,26.84992879,-32.3481047,3.37,1.69,,,,93.3,1955,6.7,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.83,,,,,,,,47,1,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,243,0,-0.019
SL,9/2/2021,83,-1.9,4.94,"Webb, Logan",607054,Jace Peterson,657277,Logan Webb,strikeout,swinging_strike,,,,,14,Jace Peterson strikes out swinging.,R,L,R,SF,MIL,S,2,,3,2,2021,0.79,-0.19,0.56,1.3,,,,1,7,Top,,,,,592200,,,4.105546166,-120.8935454,-1.524214666,7.043595208,22.5768281,-33.95433574,3.37,1.53,,,,84,2559,6.8,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.72,,,0,1,0,0,,46,6,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,53,0.028,-0.209
SI,9/2/2021,92.1,-1.6,5.08,"Webb, Logan",607054,Jace Peterson,657277,Logan Webb,,ball,,,,,11,Jace Peterson strikes out swinging.,R,L,R,SF,MIL,B,,,2,2,2021,-0.87,-0.23,-1.15,3.33,,,,1,7,Top,,,,,592200,,,3.048300032,-134.0530557,1.92942526,-11.10147343,29.45395594,-35.60068459,3.22,1.6,,,,92.7,1933,6.6,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.85,,,,,,,,46,5,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,251,0,0.07
FF,9/2/2021,93.2,-1.66,5.11,"Webb, Logan",607054,Jace Peterson,657277,Logan Webb,,swinging_strike,,,,,1,Jace Peterson strikes out swinging.,R,L,R,SF,MIL,S,,,2,1,2021,-0.79,0.4,-0.49,2.94,,,,1,7,Top,,,,,592200,,,4.785282272,-135.7227501,-0.707715316,-10.78632134,27.68470268,-27.30650877,3.37,1.53,,,,94.2,1929,6.7,632659,657277,592200,474832,642731,592178,543063,573131,643289,596103,53.81,,,,,,,,46,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Standard,242,0,-0.053
