pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,9/4/2021,93.2,-1.32,5.88,"Houser, Adrian",502671,Paul Goldschmidt,605288,Adrian Houser,field_out,hit_into_play,,,,,5,Paul Goldschmidt lines out to right fielder Jackie Bradley.,R,R,R,MIL,STL,X,9,line_drive,0,0,2021,-1.17,0.7,-0.04,2.34,,,669242,2,9,Top,163.96,87.37,,,571912,,,5.877725784,-135.6498904,-4.978890662,-15.70269196,26.64090024,-22.60679068,3.49,1.6,294,90,21,94.1,2089,6.6,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.95,0.283,0.301,0,1,0,0,3,60,1,Sinker,4,0,0,4,0,4,0,4,Strategic,Standard,217,0.003,-0.229
SI,9/4/2021,93.3,-1.44,5.78,"Houser, Adrian",669242,Tommy Edman,605288,Adrian Houser,single,hit_into_play,,,,,4,Tommy Edman singles on a line drive to left fielder Christian Yelich.,R,L,R,MIL,STL,X,7,line_drive,2,1,2021,-1.3,0.62,-0.29,2.32,,,,2,9,Top,82.21,118.87,,,571912,,,5.831815206,-135.8470547,-4.587086435,-17.36400636,26.93593674,-23.73970862,3.3,1.5,230,99.3,11,94,2133,6.4,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,54.05,0.873,0.85,0.9,1,1,0,4,59,4,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,222,-0.002,0.108
SI,9/4/2021,93.2,-1.4,5.91,"Houser, Adrian",669242,Tommy Edman,605288,Adrian Houser,,ball,,,,,11,Tommy Edman singles on a line drive to left fielder Christian Yelich.,R,L,R,MIL,STL,B,,,1,1,2021,-1.23,0.7,-1.04,3.76,,,,2,9,Top,,,,,571912,,,3.66896249,-135.8677703,-1.374762394,-16.1281194,27.07574286,-23.34692185,3.01,1.37,,,,94.1,2105,6.5,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.97,,,,,,,,59,3,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,224,0,0.019
SI,9/4/2021,94.7,-1.39,5.76,"Houser, Adrian",669242,Tommy Edman,605288,Adrian Houser,,called_strike,,,,,9,Tommy Edman singles on a line drive to left fielder Christian Yelich.,R,L,R,MIL,STL,S,,,1,0,2021,-1.38,0.53,0.37,1.55,,,,2,9,Top,,,,,571912,,,7.703268467,-137.6542833,-6.591671318,-19.26712858,27.85387511,-24.13703282,3.12,1.49,,,,95.5,2140,6.6,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.86,,,,,,,,59,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,223,0,-0.021
SI,9/4/2021,94.2,-1.38,5.92,"Houser, Adrian",669242,Tommy Edman,605288,Adrian Houser,,ball,,,,,11,Tommy Edman singles on a line drive to left fielder Christian Yelich.,R,L,R,MIL,STL,B,,,0,0,2021,-1.35,0.63,-1.8,2.79,,,,2,9,Top,,,,,571912,,,1.909069766,-137.2633859,-3.888260144,-17.51776547,28.675326,-23.57206385,3.06,1.49,,,,95,2066,6.6,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.92,,,,,,,,59,1,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,222,0,0.016
SI,9/4/2021,93.6,-1.41,5.91,"Houser, Adrian",572761,Matt Carpenter,605288,Adrian Houser,field_out,hit_into_play,,,,,5,Matt Carpenter flies out to center fielder Lorenzo Cain.,R,L,R,MIL,STL,X,8,fly_ball,1,1,2021,-1.2,0.62,-0.19,2.77,,,,1,9,Top,136.71,47.54,,,571912,,,5.808684162,-136.2909043,-3.80316867,-16.26127699,27.92763148,-23.75689263,3.55,1.63,376,97.6,25,94.2,2091,6.4,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,54.05,0.37,0.542,0,1,0,0,5,58,3,Sinker,4,0,0,4,0,4,0,4,Infield shift,Standard,227,0.004,-0.154
CH,9/4/2021,88.2,-1.4,5.83,"Houser, Adrian",572761,Matt Carpenter,605288,Adrian Houser,,ball,,,,,9,Matt Carpenter flies out to center fielder Lorenzo Cain.,R,L,R,MIL,STL,B,,,0,1,2021,-1.24,0.73,0.65,1.55,,,,1,9,Top,,,,,571912,,,7.623699332,-128.2609518,-5.924577302,-15.26899047,24.39352296,-23.04939097,3.56,1.63,,,,89.1,2190,6.7,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.79,,,,,,,,58,2,Changeup,4,0,0,4,0,4,0,4,Infield shift,Standard,231,0,0.02
SI,9/4/2021,92.5,-1.31,5.93,"Houser, Adrian",572761,Matt Carpenter,605288,Adrian Houser,,called_strike,,,,,1,Matt Carpenter flies out to center fielder Lorenzo Cain.,R,L,R,MIL,STL,S,,,0,0,2021,-1.22,0.69,-0.73,3.28,,,,1,9,Top,,,,,571912,,,4.169658656,-134.7640279,-2.512387039,-15.77130531,26.76919308,-23.45318454,3.56,1.72,,,,93.4,2019,6.6,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.93,,,,,,,,58,1,Sinker,4,0,0,4,0,4,0,4,Infield shift,Standard,218,0,-0.027
SI,9/4/2021,93.4,-1.4,6.01,"Houser, Adrian",664056,Harrison Bader,605288,Adrian Houser,field_out,hit_into_play,,,,,1,Harrison Bader flies out to left fielder Christian Yelich.,R,R,R,MIL,STL,X,7,fly_ball,0,0,2021,-1.36,0.54,-0.4,3.39,,,,0,9,Top,91.16,96.11,,,571912,,,5.593675486,-136.056191,-2.261738175,-18.10614525,27.0982065,-25.16557323,3.37,1.53,271,74.9,30,94.2,2116,6.5,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,54.02,0.407,0.372,0,1,0,0,3,57,1,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,223,0.008,-0.239
SI,9/4/2021,95.1,-1.28,5.78,"Houser, Adrian",624641,Edmundo Sosa,605288,Adrian Houser,strikeout,called_strike,,,,,6,Edmundo Sosa called out on strikes.,R,R,R,MIL,STL,S,2,,1,2,2021,-1.3,0.39,0.31,2.52,,,,2,8,Top,,,,,571912,,,7.099764298,-138.2856302,-3.786375228,-18.21410935,30.96875189,-26.57539204,3.27,1.43,,,,95.4,2088,6.5,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.98,,,0,1,0,0,,53,4,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,224,0.002,-0.072
SI,9/4/2021,92.5,-1.42,5.7,"Houser, Adrian",624641,Edmundo Sosa,605288,Adrian Houser,,foul,,,,,8,Edmundo Sosa called out on strikes.,R,R,R,MIL,STL,S,,,1,1,2021,-0.99,0.13,0.14,1.56,,,,2,8,Top,,,,,571912,,,6.188825758,-134.6814041,-5.09714729,-13.40900449,26.87691348,-29.73046647,3.37,1.53,1,65.4,-45,93.3,2014,6.6,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.93,,,,,,,,53,3,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,226,0,-0.028
SI,9/4/2021,93.8,-1.3,5.86,"Houser, Adrian",624641,Edmundo Sosa,605288,Adrian Houser,,foul,,,,,1,Edmundo Sosa called out on strikes.,R,R,R,MIL,STL,S,,,1,0,2021,-1.32,0.5,-0.63,3.06,,,,2,8,Top,,,,,571912,,,4.70144867,-136.6035958,-2.637881969,-17.55640135,29.89563995,-25.56839809,3.37,1.53,198,68.6,37,94.4,1956,6.6,632667,605288,571912,642133,607054,500871,649966,592885,456715,598265,53.93,,,,,,,,53,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,221,0,-0.021
