pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,9/5/2021,94.9,2.94,5.76,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,strikeout,foul_tip,,,,,2,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,S,2,,3,2,2021,0.9,1.42,0.25,3.44,,,592192,1,7,Top,,,,,672386,,,-9.057377247,-137.773579,-3.503906969,13.60575294,33.70715803,-13.57530887,3.47,1.59,,,,94.6,2257,6.5,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,54.01,,,0,1,0,0,,56,9,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,141,0.001,-0.368
FF,9/5/2021,95.4,2.7,5.93,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,,foul,,,,,3,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,S,,,3,2,2021,0.56,1.41,0.51,3.08,,,592192,1,7,Top,,,,,672386,,,-7.023976823,-138.654241,-5.001392319,8.812803329,32.88986917,-13.10457071,3.47,1.59,135,80.1,10,95.4,2274,6.5,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,54.02,,,,,,,,56,8,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,147,0,0
FF,9/5/2021,92.8,2.8,5.85,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,,foul,,,,,2,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,S,,,3,2,2021,0.64,1.43,-0.25,2.91,,,592192,1,7,Top,,,,,672386,,,-9.22762769,-134.7359924,-4.825225712,9.917948248,31.54267329,-13.92331788,3.47,1.59,143,90.6,10,92.7,2224,6.5,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,53.96,,,,,,,,56,7,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,141,0,0
FF,9/5/2021,94.4,2.63,5.93,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,,foul,,,,,2,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,S,,,3,2,2021,0.34,1.46,-0.27,2.9,,,592192,1,7,Top,,,,,672386,,,-8.341102947,-137.203393,-5.450880206,6.190190143,31.3080705,-12.74964255,3.47,1.59,424,107.3,32,94.8,2259,6.6,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,53.87,,,,,,,,56,6,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,146,0,0
FF,9/5/2021,94.8,2.84,5.82,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,,foul,,,,,8,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,S,,,3,1,2021,0.6,1.53,0.06,1.83,,,592192,1,7,Top,,,,,672386,,,-8.617987353,-137.4819002,-8.102868958,9.636922399,33.43289015,-11.14498826,3.47,1.59,7,94.9,-16,94.5,2378,6.5,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,54,,,,,,,,56,5,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,146,0,-0.115
SL,9/5/2021,89.8,2.64,6,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,,ball,,,,,11,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,B,,,2,1,2021,-0.01,0.96,-0.22,3.91,,,592192,1,7,Top,,,,,672386,,,-7.078117265,-130.7001723,-1.227567592,1.358367829,27.54706374,-21.12235598,3.47,1.59,,,,89.9,2338,6.4,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,54.15,,,,,,,,56,4,Slider,8,0,0,8,0,8,0,8,Standard,Standard,150,0,0.135
FF,9/5/2021,95.1,2.81,5.95,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,,ball,,,,,12,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,B,,,1,1,2021,0.78,1.6,0.72,3.99,,,592192,1,7,Top,,,,,672386,,,-7.256432891,-138.2333168,-2.986726058,11.69606252,34.76594329,-11.3555523,3.47,1.59,,,,94.7,2384,6.4,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,54.06,,,,,,,,56,3,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,145,0,0.057
FF,9/5/2021,94.7,2.67,5.93,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,,ball,,,,,13,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,B,,,0,1,2021,0.84,1.41,-1.05,2.22,,,592192,1,7,Top,,,,,672386,,,-11.6117762,-137.3302749,-7.155816572,13.19044876,31.18996459,-12.81223861,3.47,1.59,,,,94.8,2377,6.6,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,53.91,,,,,,,,56,2,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,147,0,0.043
FF,9/5/2021,95,2.61,6.12,"Ray, Robbie",543228,Yan Gomes,592662,Robbie Ray,,foul,,,,,11,Yan Gomes strikes out on a foul tip.,R,R,L,TOR,OAK,S,,,0,0,2021,0.62,1.61,-0.05,3.8,,,592192,1,7,Top,,,,,672386,,,-8.360999595,-137.9304035,-3.933263314,9.979423254,36.33369188,-11.04328081,3.47,1.59,215,73.6,26,94.4,2317,6.5,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,54.01,,,,,,,,56,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,148,0,-0.046
FF,9/5/2021,95.1,2.49,5.98,"Ray, Robbie",592192,Mark Canha,592662,Robbie Ray,walk,ball,,,,,13,Mark Canha walks.,R,R,L,TOR,OAK,B,,,3,2,2021,0.69,1.59,-0.78,1.21,,,,1,7,Top,,,,,672386,,,-10.1196536,-137.7928245,-10.37855764,11.09997864,32.87340183,-9.626608088,3.47,1.59,,,,94.9,2384,6.6,632607,592662,672386,665489,543760,591971,666182,666971,545341,606192,53.92,,,0.7,1,0,0,,55,6,4-Seam Fastball,8,0,0,8,0,8,0,8,Infield shift,Standard,144,-0.001,0.211
