pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,9/6/2021,78.3,-3.3,5.45,"Scherzer, Max",666185,Dylan Carlson,453286,Max Scherzer,field_out,hit_into_play,,,,,8,"Dylan Carlson grounds out, second baseman Trea Turner to first baseman Max Muncy.",R,L,R,STL,LAD,X,4,ground_ball,1,1,2021,1.17,-0.52,0.03,2.16,,,502671,2,8,Bot,160.39,148.86,,,605131,,,5.030716648,-113.972155,0.750153559,9.18415909,21.83018743,-37.05357796,3.47,1.59,34,83.5,-1,78.3,2684,6.4,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.13,0.207,0.2,0,1,0,0,2,60,3,Curveball,1,5,1,5,5,1,1,5,Infield shift,Standard,64,-0.01,-0.216
CH,9/6/2021,85.9,-3.36,5.39,"Scherzer, Max",666185,Dylan Carlson,453286,Max Scherzer,,called_strike,,,,,4,"Dylan Carlson grounds out, second baseman Trea Turner to first baseman Max Muncy.",R,L,R,STL,LAD,S,,,1,0,2021,-1.35,0.33,-0.36,2.74,,,502671,2,8,Bot,,,,,605131,,,9.876924402,-124.7957358,-0.654200988,-16.07389081,25.10666343,-28.85377175,3.77,1.77,,,,86.2,1454,6.5,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,53.96,,,,,,,,60,2,Changeup,1,5,1,5,5,1,1,5,Infield shift,Standard,252,0,-0.047
CH,9/6/2021,86.4,-3.42,5.38,"Scherzer, Max",666185,Dylan Carlson,453286,Max Scherzer,,ball,,,,,13,"Dylan Carlson grounds out, second baseman Trea Turner to first baseman Max Muncy.",R,L,R,STL,LAD,B,,,0,0,2021,-1.31,0.32,-0.64,1.07,,,502671,2,8,Bot,,,,,605131,,,9.304911829,-125.4562057,-4.692906069,-15.69287902,25.08727312,-28.01373451,3.68,1.66,,,,86.6,1612,6.5,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54,,,,,,,,60,1,Changeup,1,5,1,5,5,1,1,5,Infield shift,Standard,247,0,0.036
SL,9/6/2021,85.2,-3.28,5.35,"Scherzer, Max",502671,Paul Goldschmidt,453286,Max Scherzer,single,hit_into_play,,,,,4,Paul Goldschmidt singles on a sharp line drive to left fielder Chris Taylor.,R,R,R,STL,LAD,X,7,line_drive,1,0,2021,0.48,0.34,-0.56,2.25,,,,2,8,Bot,63.6,115.75,,,605131,,,5.414068438,-123.9621592,-1.674568156,3.85677361,24.90323153,-28.5233177,3.49,1.6,258,106.6,14,85.1,2281,6.3,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.24,0.713,0.761,0.9,1,1,0,5,59,2,Slider,1,5,1,5,5,1,1,5,Infield shift,Standard,164,0.006,0.107
SL,9/6/2021,85.8,-3.37,5.41,"Scherzer, Max",502671,Paul Goldschmidt,453286,Max Scherzer,,ball,,,,,11,Paul Goldschmidt singles on a sharp line drive to left fielder Chris Taylor.,R,R,R,STL,LAD,B,,,0,0,2021,0.09,0.34,-1.27,2.61,,,,2,8,Bot,,,,,605131,,,4.771338147,-124.8535013,-1.002391431,-0.055450121,25.96403888,-28.68010611,3.49,1.61,,,,85.6,2185,6.2,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.25,,,,,,,,59,1,Slider,1,5,1,5,5,1,1,5,Infield shift,Standard,193,0,0.016
FF,9/6/2021,94.1,-3.09,5.58,"Scherzer, Max",669242,Tommy Edman,453286,Max Scherzer,field_out,hit_into_play,,,,,3,"Tommy Edman grounds out, second baseman Trea Turner to first baseman Max Muncy.",R,L,R,STL,LAD,X,4,ground_ball,1,0,2021,-0.86,1.46,0.29,2.82,,,,1,8,Bot,156.89,133.18,,,605131,,,10.63644298,-136.4709981,-4.565620003,-13.19738165,33.11166747,-13.18893069,3.3,1.5,128,93.2,8,93.3,2396,6.3,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.24,0.533,0.483,0,1,0,0,4,58,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shift,Standard,219,-0.008,-0.187
CU,9/6/2021,77.3,-3.25,5.58,"Scherzer, Max",669242,Tommy Edman,453286,Max Scherzer,,ball,,,,,14,"Tommy Edman grounds out, second baseman Trea Turner to first baseman Max Muncy.",R,L,R,STL,LAD,B,,,0,0,2021,0.99,-0.91,0.5,0.63,,,,1,8,Bot,,,,,605131,,,6.183231272,-112.5153176,-1.944049995,7.301455526,20.71933248,-39.77423475,3.22,1.47,,,,77.5,2697,6.5,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.04,,,,,,,,58,1,Curveball,1,5,1,5,5,1,1,5,Infield shift,Standard,57,0,0.025
CH,9/6/2021,84.9,-3.24,5.32,"Scherzer, Max",657557,Paul DeJong,453286,Max Scherzer,strikeout,swinging_strike,,,,,14,Paul DeJong strikes out swinging.,R,R,R,STL,LAD,S,2,,1,2,2021,-1.09,0.34,0.18,1.03,,,,0,8,Bot,,,,,605131,,,10.23143213,-123.2561993,-4.447346695,-13.04819542,22.1325825,-28.05861911,3.37,1.53,,,,85.7,1440,6.7,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,53.81,,,0,1,0,0,,57,4,Changeup,1,5,1,5,5,1,1,5,Infield shift,Standard,245,-0.014,-0.175
SL,9/6/2021,86.3,-3.23,5.42,"Scherzer, Max",657557,Paul DeJong,453286,Max Scherzer,,foul,,,,,8,Paul DeJong strikes out swinging.,R,R,R,STL,LAD,S,,,1,1,2021,0.37,0.29,-0.26,1.47,,,,0,8,Bot,,,,,605131,,,6.311320322,-125.6243373,-3.779114929,2.677690571,24.57500881,-28.53129069,3.37,1.53,34,90.2,0,86.4,2354,6.2,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.26,,,,,,,,57,3,Slider,1,5,1,5,5,1,1,5,Infield shift,Standard,190,0,-0.056
FF,9/6/2021,94.3,-3.26,5.47,"Scherzer, Max",657557,Paul DeJong,453286,Max Scherzer,,foul,,,,,7,Paul DeJong strikes out swinging.,R,R,R,STL,LAD,S,,,1,0,2021,-1.3,1.36,-0.35,1.52,,,,0,8,Bot,,,,,605131,,,10.43321325,-136.7054757,-7.56451635,-18.63582707,30.0993426,-13.5428315,3.37,1.53,62,101,2,93.9,2499,6.3,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.23,,,,,,,,57,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shift,Standard,226,0,-0.049
SL,9/6/2021,86.8,-3.31,5.5,"Scherzer, Max",657557,Paul DeJong,453286,Max Scherzer,,ball,,,,,13,Paul DeJong strikes out swinging.,R,R,R,STL,LAD,B,,,0,0,2021,0.11,0.6,-0.2,1.16,,,,0,8,Bot,,,,,605131,,,7.197287858,-126.1969812,-5.445616339,-0.145677954,22.93408259,-24.87512928,3.36,1.44,,,,87,2440,6.2,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.3,,,,,,,,57,1,Slider,1,5,1,5,5,1,1,5,Infield shift,Standard,206,0,0.039
FF,9/6/2021,95.9,-3.25,5.42,"Scherzer, Max",668800,Andrew Knizner,453286,Max Scherzer,strikeout,foul_tip,,,,,12,Andrew Knizner strikes out on a foul tip.,R,R,R,STL,LAD,S,2,,0,2,2021,-0.71,1.22,0.88,2.86,,,624641,2,7,Bot,,,,,605131,,,12.49788497,-139.023692,-3.897593215,-11.95681746,31.2880024,-15.60262845,3.41,1.56,,,,95.9,2397,6.5,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.01,,,0,1,0,0,,53,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,216,-0.013,-0.137
FF,9/6/2021,93.5,-3.19,5.58,"Scherzer, Max",668800,Andrew Knizner,453286,Max Scherzer,,swinging_strike,,,,,2,Andrew Knizner strikes out on a foul tip.,R,R,R,STL,LAD,S,,,0,1,2021,-0.71,1.25,0.25,3.11,,,624641,2,7,Bot,,,,,605131,,,10.45230977,-135.8543633,-3.389353722,-11.11914756,29.40695977,-16.11518761,3.41,1.56,,,,93.6,2339,6.4,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.07,,,,,,,,53,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,220,0,-0.05
SL,9/6/2021,86.2,-3.25,5.42,"Scherzer, Max",668800,Andrew Knizner,453286,Max Scherzer,,foul,,,,,14,Andrew Knizner strikes out on a foul tip.,R,R,R,STL,LAD,S,,,0,0,2021,0.25,0.6,1.29,1.85,,,624641,2,7,Bot,,,,,605131,,,10.29459273,-125.1684193,-3.438976926,0.526168318,25.2240517,-25.39749936,3.41,1.56,186,64.7,41,86.2,2192,6.4,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.12,,,,,,,,53,1,Slider,1,5,1,5,5,1,1,5,Standard,Standard,230,0,-0.042
FF,9/6/2021,95.4,-3.13,5.52,"Scherzer, Max",664056,Harrison Bader,453286,Max Scherzer,field_out,hit_into_play,,,,,2,Harrison Bader lines out sharply to second baseman Trea Turner.,R,R,R,STL,LAD,X,4,line_drive,0,2,2021,-0.87,1.33,0.1,2.92,,,624641,1,7,Bot,115.64,131.18,,,605131,,,10.4413723,-138.5139373,-4.16122497,-13.53130868,31.12222349,-14.29541635,3.37,1.53,176,103,9,95.3,2511,6.4,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.1,0.737,0.701,0,1,0,0,4,52,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shift,Standard,225,-0.021,-0.193
SL,9/6/2021,86.6,-3.34,5.33,"Scherzer, Max",664056,Harrison Bader,453286,Max Scherzer,,swinging_strike,,,,,14,Harrison Bader lines out sharply to second baseman Trea Turner.,R,R,R,STL,LAD,S,,,0,1,2021,0.19,0.41,0.91,1,,,624641,1,7,Bot,,,,,605131,,,9.753319215,-125.7732765,-4.976810899,0.005492579,25.34942648,-26.95348062,3.37,1.53,,,,86.7,2254,6.4,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.07,,,,,,,,52,2,Slider,1,5,1,5,5,1,1,5,Infield shift,Standard,209,0,-0.061
SL,9/6/2021,85.8,-3.39,5.33,"Scherzer, Max",664056,Harrison Bader,453286,Max Scherzer,,called_strike,,,,,8,Harrison Bader lines out sharply to second baseman Trea Turner.,R,R,R,STL,LAD,S,,,0,0,2021,0.21,0.66,-0.15,1.8,,,624641,1,7,Bot,,,,,605131,,,7.267153594,-124.7635591,-3.386909438,0.645208254,25.68645212,-24.84212977,3.28,1.5,,,,85.7,2101,6.3,632628,453286,605131,571970,607208,457759,608369,621035,641355,605141,54.18,,,,,,,,52,1,Slider,1,5,1,5,5,1,1,5,Infield shift,Standard,215,0,-0.046
