pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,9/7/2021,95.9,1.94,6.58,"Snell, Blake",435559,Kurt Suzuki,605483,Blake Snell,force_out,hit_into_play,,,,,2,"Kurt Suzuki grounds into a force out, third baseman Manny Machado to second baseman Ha-Seong Kim.   Jo Adell out at 2nd.",R,R,L,SD,LAA,X,5,ground_ball,2,1,2021,0.6,1.55,0.1,2.81,,,666176,2,7,Top,95.59,150.52,,,543592,,,-6.300229546,-139.3075845,-7.914512201,9.261102876,32.67488945,-10.36171647,3.32,1.51,7,87.8,-23,96.5,2394,6.8,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.67,0.09,0.083,0,1,0,0,2,46,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,155,0.016,-0.255
SL,9/7/2021,86.5,2.09,6.46,"Snell, Blake",435559,Kurt Suzuki,605483,Blake Snell,,blocked_ball,,,,,13,"Kurt Suzuki grounds into a force out, third baseman Manny Machado to second baseman Ha-Seong Kim.   Jo Adell out at 2nd.",R,R,L,SD,LAA,B,,,1,1,2021,-0.19,0.35,-0.8,0.8,,,666176,2,7,Top,,,,,543592,,,-6.567181777,-125.7340485,-8.050122997,-0.704701974,24.36192778,-27.04552038,3.32,1.51,,,,87.2,2385,6.7,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.79,,,,,,,,46,3,Slider,0,2,2,0,2,0,2,0,Standard,Standard,165,0,0.039
SL,9/7/2021,86.2,2.31,6.52,"Snell, Blake",435559,Kurt Suzuki,605483,Blake Snell,,called_strike,,,,,9,"Kurt Suzuki grounds into a force out, third baseman Manny Machado to second baseman Ha-Seong Kim.   Jo Adell out at 2nd.",R,R,L,SD,LAA,S,,,1,0,2021,-0.3,0.29,0.45,1.93,,,666176,2,7,Top,,,,,543592,,,-3.816903889,-125.5413913,-5.340707585,-2.484310045,23.93251198,-28.22867493,3.32,1.51,,,,86.7,2460,6.4,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,54.05,,,,,,,,46,2,Slider,0,2,2,0,2,0,2,0,Standard,Standard,229,0,-0.048
FF,9/7/2021,96.2,2.06,6.52,"Snell, Blake",435559,Kurt Suzuki,605483,Blake Snell,,ball,,,,,7,"Kurt Suzuki grounds into a force out, third baseman Manny Machado to second baseman Ha-Seong Kim.   Jo Adell out at 2nd.",R,R,L,SD,LAA,B,,,0,0,2021,0.47,1.63,-0.43,1.44,,,666176,2,7,Top,,,,,543592,,,-7.694352295,-139.4297177,-11.62681228,7.816560371,31.19324719,-8.448651235,3.32,1.51,,,,96.8,2438,6.9,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.64,,,,,,,,46,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,152,0,0.037
SL,9/7/2021,87.4,2.08,6.55,"Snell, Blake",666176,Jo Adell,605483,Blake Snell,single,hit_into_play,,,,,4,Jo Adell singles on a sharp line drive to left fielder Tommy Pham.   David Fletcher scores.    Jack Mayfield scores.,R,R,L,SD,LAA,X,7,line_drive,1,2,2021,-0.35,0.18,-0.3,2.83,664058,608686,,2,7,Top,97.55,86.97,,,543592,,,-5.038887569,-127.2248693,-3.224822001,-2.862295984,24.95288634,-29.74955136,3.49,1.6,168,106.2,8,88.1,2437,6.6,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.89,0.673,0.611,0.9,1,1,0,4,45,4,Slider,0,0,0,0,2,0,2,0,Standard,Standard,222,-0.294,1.696
SL,9/7/2021,87.4,2.07,6.55,"Snell, Blake",666176,Jo Adell,605483,Blake Snell,,ball,,,,,13,Jo Adell singles on a sharp line drive to left fielder Tommy Pham.   David Fletcher scores.    Jack Mayfield scores.,R,R,L,SD,LAA,B,,,0,2,2021,-0.13,0.04,-0.76,1.14,664058,,608686,2,7,Top,,,,,543592,,,-6.582311114,-126.9921466,-7.00574005,-0.067517255,26.30140882,-30.41880569,3.49,1.6,,,,88,2419,6.8,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.71,,,,,,,,45,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,223,-0.012,0.026
FF,9/7/2021,96,2,6.52,"Snell, Blake",666176,Jo Adell,605483,Blake Snell,,foul,,,,,4,Jo Adell singles on a sharp line drive to left fielder Tommy Pham.   David Fletcher scores.    Jack Mayfield scores.,R,R,L,SD,LAA,S,,,0,1,2021,0.49,1.67,-0.34,2.43,664058,,608686,2,7,Top,,,,,543592,,,-7.3511606,-139.4326397,-9.117328861,7.922870939,29.65033569,-8.452582068,3.49,1.6,218,75.1,44,96.9,2409,6.8,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.72,,,,,,,,45,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,155,0,-0.102
FF,9/7/2021,96.9,2.05,6.52,"Snell, Blake",666176,Jo Adell,605483,Blake Snell,,foul,,,,,2,Jo Adell singles on a sharp line drive to left fielder Tommy Pham.   David Fletcher scores.    Jack Mayfield scores.,R,R,L,SD,LAA,S,,,0,0,2021,0.62,1.68,-0.08,3.31,664058,,608686,2,7,Top,,,,,543592,,,-7.212167043,-140.8438984,-6.899133677,9.992398158,33.61502055,-8.417947217,3.49,1.6,187,73.9,61,97.7,2500,6.9,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.6,,,,,,,,45,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,157,0,-0.074
FF,9/7/2021,96.1,2.09,6.47,"Snell, Blake",608686,Jack Mayfield,605483,Blake Snell,walk,ball,,,,,13,Jack Mayfield walks.,R,R,L,SD,LAA,B,,,3,2,2021,0.54,1.71,-1.26,1.07,664058,,,2,7,Top,,,,,543592,,,-10.21952835,-139.1134242,-12.68762564,9.296597221,29.9146981,-7.140227693,3.32,1.51,,,,97.1,2396,7.1,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.42,,,0.7,1,0,0,,44,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,154,-0.016,0.166
CU,9/7/2021,80.1,2.02,6.58,"Snell, Blake",608686,Jack Mayfield,605483,Blake Snell,,blocked_ball,,,,,14,Jack Mayfield walks.,R,R,L,SD,LAA,B,,,2,2,2021,-0.79,-1.19,0.48,0.31,664058,,,2,7,Top,,,,,543592,,,-1.914261245,-116.5864206,-4.850197589,-6.761211517,24.46014884,-42.12660632,3.32,1.51,,,,80.3,2170,6.7,632581,605483,543592,595777,673490,592518,630105,502054,665487,571976,53.8,,,,,,,,44,7,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,340,0,0.078
