pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/8/2021,93.5,-2.08,5.92,"Alcantara, Sandy",624424,Michael Conforto,645261,Sandy Alcantara,strikeout,swinging_strike,,,,,14,Michael Conforto strikes out swinging.,R,L,R,MIA,NYM,S,2,,1,2,2021,-0.13,0.3,1.09,0.97,,542340,,2,9,Top,,,,,656577,,,8.335963213,-135.5581697,-7.403936583,-3.849310729,37.87742725,-26.6715107,3.41,1.56,,,,91.3,2285,5.8,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.66,,,0,1,0,0,,64,5,Slider,1,1,1,1,1,1,1,1,Strategic,Standard,243,0.104,-0.219
SL,9/8/2021,92.1,-2.13,5.92,"Alcantara, Sandy",624424,Michael Conforto,645261,Sandy Alcantara,,blocked_ball,,,,,14,Michael Conforto strikes out swinging.,R,L,R,MIA,NYM,B,,,0,2,2021,0.03,0.14,1.15,0.27,,,542340,2,9,Top,,,,,656577,,,8.192612699,-133.6474863,-8.688971045,-1.493149622,30.11190858,-28.73878026,3.22,1.55,,,,91.2,2400,6,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.51,,,,,,,,64,4,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,183,-0.04,0.02
FF,9/8/2021,100.3,-2.29,5.88,"Alcantara, Sandy",624424,Michael Conforto,645261,Sandy Alcantara,,foul,,,,,7,Michael Conforto strikes out swinging.,R,L,R,MIA,NYM,S,,,0,2,2021,-0.85,1.32,-0.75,1.93,,,542340,2,9,Top,,,,,656577,,,6.189886822,-145.7488202,-8.541460446,-13.6214465,35.86463299,-11.50229658,3.41,1.56,277,92.9,23,99,2140,5.7,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.77,,,,,,,,64,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Standard,234,0,0
SL,9/8/2021,93.1,-2.24,5.88,"Alcantara, Sandy",624424,Michael Conforto,645261,Sandy Alcantara,,foul,,,,,14,Michael Conforto strikes out swinging.,R,L,R,MIA,NYM,S,,,0,1,2021,-0.17,0.23,0.54,1.37,,,542340,2,9,Top,,,,,656577,,,7.473972614,-135.3152494,-6.293381316,-3.590643027,27.86620301,-28.19931321,3.41,1.56,4,69.1,-18,92.8,2347,6,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.46,,,,,,,,64,2,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,224,0,-0.05
SI,9/8/2021,100.3,-2.31,5.93,"Alcantara, Sandy",624424,Michael Conforto,645261,Sandy Alcantara,,swinging_strike,,,,,13,Michael Conforto strikes out swinging.,R,L,R,MIA,NYM,S,,,0,0,2021,-1.37,0.51,-1.18,2.04,,,542340,2,9,Top,,,,,656577,,,6.303397513,-145.834241,-6.511370897,-21.08948343,35.51306007,-23.50821139,3.41,1.56,,,,99.3,2117,5.8,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.66,,,,,,,,64,1,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,230,0,-0.042
SL,9/8/2021,93.5,-2.16,5.87,"Alcantara, Sandy",624413,Pete Alonso,645261,Sandy Alcantara,strikeout,swinging_strike,,,,,14,Pete Alonso strikes out swinging.,R,R,R,MIA,NYM,S,2,,2,2,2021,-0.32,0.13,0.63,1.13,,,542340,1,9,Top,,,,,656577,,,7.8783666,-135.8834337,-6.696728911,-5.770050607,30.46507308,-29.18131939,3.49,1.6,,,,92.9,2294,6,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.46,,,0,1,0,0,,63,5,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,238,0.072,-0.259
SI,9/8/2021,98.9,-2.4,5.93,"Alcantara, Sandy",624413,Pete Alonso,645261,Sandy Alcantara,,ball,,,,,13,Pete Alonso strikes out swinging.,R,R,R,MIA,NYM,B,,,1,2,2021,-1.57,0.53,-1.95,1.46,,,542340,1,9,Top,,,,,656577,,,4.825585196,-143.8273917,-7.873036771,-22.87622602,35.24130898,-23.14273177,3.43,1.59,,,,97.8,2117,5.8,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.65,,,,,,,,63,4,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,227,0,0.05
SI,9/8/2021,98.4,-2.24,5.92,"Alcantara, Sandy",624413,Pete Alonso,645261,Sandy Alcantara,,foul,,,,,13,Pete Alonso strikes out swinging.,R,R,R,MIA,NYM,S,,,1,1,2021,-1.41,0.59,-0.38,1.44,,,542340,1,9,Top,,,,,656577,,,8.216803461,-142.9209893,-7.983058173,-21.28186597,33.58677996,-22.3200373,3.49,1.6,1,99.8,-45,97.3,2225,5.8,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.7,,,,,,,,63,3,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,231,0,-0.083
SI,9/8/2021,97.5,-2.41,5.89,"Alcantara, Sandy",624413,Pete Alonso,645261,Sandy Alcantara,,swinging_strike,,,,,7,Pete Alonso strikes out swinging.,R,R,R,MIA,NYM,S,,,1,0,2021,-1.37,0.3,-0.58,1.89,,,542340,1,9,Top,,,,,656577,,,8.008737231,-141.7207974,-5.924017213,-20.31455113,32.32380588,-26.88926465,3.49,1.6,,,,97,1925,6.1,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.43,,,,,,,,63,2,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,230,0,-0.048
SI,9/8/2021,98.7,-2.44,5.91,"Alcantara, Sandy",624413,Pete Alonso,645261,Sandy Alcantara,,blocked_ball,,,,,14,Pete Alonso strikes out swinging.,R,R,R,MIA,NYM,B,,,0,0,2021,-1.68,0.47,0.04,0.49,,,542340,1,9,Top,,,,,656577,,,10.59581846,-142.9573057,-10.28097893,-25.55197964,35.30482781,-23.26965045,3.37,1.47,,,,97.7,2263,6.2,632574,645261,656577,650331,665862,656371,500743,650559,642423,660821,54.34,,,,,,,,63,1,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,233,0,0.045
