pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,9/9/2021,92,2.92,5.55,"Manaea, Sean",664901,Danny Mendick,640455,Sean Manaea,field_out,hit_into_play,,,,,3,Danny Mendick lines out to center fielder Starling Marte.,R,R,L,OAK,CWS,X,8,line_drive,3,1,2021,0.99,0.82,0.74,3.31,571740,,,2,7,Top,153.1,83.32,,,669221,,,-7.827728833,-133.8990937,-1.707100996,13.50373746,25.07932311,-22.0750268,3.3,1.5,296,81.4,28,94.1,1928,7.2,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.29,0.137,0.123,0,1,0,0,3,52,5,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,145,0.045,-0.398
SI,9/9/2021,90.8,2.85,5.6,"Manaea, Sean",664901,Danny Mendick,640455,Sean Manaea,,called_strike,,,,,12,Danny Mendick lines out to center fielder Starling Marte.,R,R,L,OAK,CWS,S,,,3,0,2021,0.96,0.87,0.93,2.32,571740,,,2,7,Top,,,,,669221,,,-7.011475339,-132.2254543,-4.345302695,12.64434174,22.97708698,-21.19948272,3.12,1.51,,,,93.3,1964,7.3,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.16,,,,,,,,52,4,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,147,0,-0.02
SI,9/9/2021,93.2,2.7,5.45,"Manaea, Sean",664901,Danny Mendick,640455,Sean Manaea,,blocked_ball,,,,,13,Danny Mendick lines out to center fielder Starling Marte.,R,R,L,OAK,CWS,B,,,2,0,2021,0.96,0.81,-1.06,0.46,571740,,,2,7,Top,,,,,669221,,,-12.0184584,-135.1718847,-9.123284175,14.01590262,22.23989251,-20.56932082,3.17,1.53,,,,96,2096,7.5,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,52.95,,,,,,,,52,3,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,142,0,0.037
CH,9/9/2021,83.4,2.82,5.89,"Manaea, Sean",664901,Danny Mendick,640455,Sean Manaea,,ball,,,,,11,Danny Mendick lines out to center fielder Starling Marte.,R,R,L,OAK,CWS,B,,,1,0,2021,0.82,0.57,-0.43,3.42,571740,,,2,7,Top,,,,,669221,,,-9.220834813,-121.245602,-0.449703429,9.679867905,19.80466971,-26.5725856,3.23,1.58,,,,85.3,1617,7.2,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.28,,,,,,,,52,2,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,150,0,0.025
SI,9/9/2021,93,2.81,5.5,"Manaea, Sean",664901,Danny Mendick,640455,Sean Manaea,,ball,,,,,12,Danny Mendick lines out to center fielder Starling Marte.,R,R,L,OAK,CWS,B,,,0,0,2021,0.95,1.13,1.26,3.76,571740,,,2,7,Top,,,,,669221,,,-6.188338363,-135.3907399,-1.232725172,13.0627935,27.62635679,-18.14819241,3.26,1.55,,,,95.1,2106,7.4,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.14,,,,,,,,52,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,147,0,0.007
SI,9/9/2021,93.1,2.89,5.39,"Manaea, Sean",571740,Billy Hamilton,640455,Sean Manaea,triple,hit_into_play,,,,,8,Billy Hamilton triples (3) on a line drive to center fielder Starling Marte.,R,R,L,OAK,CWS,X,8,line_drive,3,2,2021,1.42,1.13,-0.17,1.64,,,,2,7,Top,91.92,45.6,,,669221,,,-11.18740991,-135.0484032,-6.415172791,19.79950667,29.03769987,-17.0701908,3.37,1.53,342,92.9,20,94.8,2004,7.4,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.1,0.313,0.343,1.6,1,1,2,4,51,6,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,140,-0.032,0.233
SI,9/9/2021,92,2.91,5.4,"Manaea, Sean",571740,Billy Hamilton,640455,Sean Manaea,,ball,,,,,4,Billy Hamilton triples (3) on a line drive to center fielder Starling Marte.,R,R,L,OAK,CWS,B,,,2,2,2021,0.95,0.9,-0.75,2.39,,,,2,7,Top,,,,,669221,,,-11.58876884,-133.6686255,-3.904934757,13.70053609,24.60604376,-20.63825103,3.41,1.55,,,,94.5,1970,7.5,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.02,,,,,,,,51,5,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,144,0,0.043
SI,9/9/2021,91.8,2.83,5.51,"Manaea, Sean",571740,Billy Hamilton,640455,Sean Manaea,,foul_tip,,,,,5,Billy Hamilton triples (3) on a line drive to center fielder Starling Marte.,R,R,L,OAK,CWS,S,,,2,1,2021,0.99,0.94,0.22,2.7,,,,2,7,Top,,,,,669221,,,-8.918815316,-133.4935987,-3.374566511,13.70543007,26.92133095,-20.37625477,3.37,1.53,,,,93.8,2008,7.3,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.17,,,,,,,,51,4,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,139,0,-0.029
SI,9/9/2021,91.5,2.86,5.53,"Manaea, Sean",571740,Billy Hamilton,640455,Sean Manaea,,ball,,,,,12,Billy Hamilton triples (3) on a line drive to center fielder Starling Marte.,R,R,L,OAK,CWS,B,,,1,1,2021,0.93,0.89,1.99,3.25,,,,2,7,Top,,,,,669221,,,-4.267063961,-133.4028295,-1.894640219,12.00582923,25.05174315,-21.28833376,3.41,1.55,,,,93.6,1993,7.1,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.35,,,,,,,,51,3,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,142,0,0.02
CU,9/9/2021,82,2.88,5.55,"Manaea, Sean",571740,Billy Hamilton,640455,Sean Manaea,,ball,,,,,13,Billy Hamilton triples (3) on a line drive to center fielder Starling Marte.,R,R,L,OAK,CWS,B,,,0,1,2021,-0.5,-0.14,-0.59,0.08,,,,2,7,Top,,,,,669221,,,-6.995212609,-119.2602403,-5.701785567,-3.614126095,19.92317979,-32.6794868,3.46,1.58,,,,83.6,1965,7.1,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.39,,,,,,,,51,2,Curveball,3,1,1,3,1,3,1,3,Standard,Standard,297,0,0.014
CU,9/9/2021,81.4,3.11,5.44,"Manaea, Sean",571740,Billy Hamilton,640455,Sean Manaea,,foul,,,,,13,Billy Hamilton triples (3) on a line drive to center fielder Starling Marte.,R,R,L,OAK,CWS,S,,,0,0,2021,-0.54,-0.21,-1.77,-0.1,,,,2,7,Top,,,,,669221,,,-10.09878545,-118.2340611,-5.593349674,-3.505922309,18.90303446,-33.40288885,3.37,1.53,,,,83.3,2004,7.3,632562,640455,669221,621566,543281,656305,462101,643393,516782,592192,53.21,,,,,,,,51,1,Curveball,3,1,1,3,1,3,1,3,Standard,Standard,282,0,-0.018
