pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,9/10/2021,80.5,1.78,5.92,"Urías, Julio",502054,Tommy Pham,628711,Julio Urias,field_out,hit_into_play,,,,,6,Tommy Pham flies out to center fielder Cody Bellinger.,R,R,L,LAD,SD,X,8,fly_ball,2,1,2021,-1.2,-0.06,0.3,2.41,,,,2,7,Top,148.86,91.52,,,669257,,,-0.99289641,-117.416691,-1.085174834,-10.9925963,20.48215132,-32.71710847,3.41,1.56,274,81.4,40,79.8,2827,5.5,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.97,0.017,0.025,0,1,0,0,3,54,4,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,303,0.008,-0.12
FF,9/10/2021,94.5,1.94,5.91,"Urías, Julio",502054,Tommy Pham,628711,Julio Urias,,called_strike,,,,,9,Tommy Pham flies out to center fielder Cody Bellinger.,R,R,L,LAD,SD,S,,,2,0,2021,0.46,1.54,0.7,1.79,,,,2,7,Top,,,,,669257,,,-4.208161303,-137.4326832,-8.449777915,6.660815953,26.98569763,-10.98291453,3.48,1.68,,,,94,2565,5.8,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.71,,,,,,,,54,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,143,0,-0.024
FF,9/10/2021,94.6,1.75,5.9,"Urías, Julio",502054,Tommy Pham,628711,Julio Urias,,ball,,,,,12,Tommy Pham flies out to center fielder Cody Bellinger.,R,R,L,LAD,SD,B,,,1,0,2021,0.4,1.33,0.65,4.15,,,,2,7,Top,,,,,669257,,,-3.718033079,-137.7537865,-1.830589089,5.963697664,29.96394475,-15.03746215,3.44,1.66,,,,93.6,2595,5.6,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.87,,,,,,,,54,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,147,0,0.023
FF,9/10/2021,95,1.59,5.96,"Urías, Julio",502054,Tommy Pham,628711,Julio Urias,,ball,,,,,13,Tommy Pham flies out to center fielder Cody Bellinger.,R,R,L,LAD,SD,B,,,0,0,2021,0.48,1.47,0,1.21,,,,2,7,Top,,,,,669257,,,-5.198277333,-138.0671724,-10.01064902,7.285582665,28.15288001,-11.36621478,3.5,1.66,,,,94.4,2620,5.8,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.69,,,,,,,,54,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,149,0,0.016
CH,9/10/2021,84.4,2.12,5.56,"Urías, Julio",624428,Adam Frazier,628711,Julio Urias,field_out,hit_into_play,,,,,7,Adam Frazier lines out to shortstop Corey Seager.,R,L,L,LAD,SD,X,6,line_drive,0,2,2021,1.3,0.71,-0.46,1.5,,,,1,7,Top,108.7,137.26,,,669257,,,-8.51059804,-122.6934876,-4.565367708,14.70540334,19.47619309,-24.34451659,3.3,1.5,165,69.6,16,84.3,1877,5.8,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.66,0.623,0.561,0,1,0,0,4,53,3,Changeup,3,0,0,3,0,3,0,3,Infield shift,Standard,121,0.014,-0.1
FF,9/10/2021,94.5,1.65,6.01,"Urías, Julio",624428,Adam Frazier,628711,Julio Urias,,foul,,,,,2,Adam Frazier lines out to shortstop Corey Seager.,R,L,L,LAD,SD,S,,,0,1,2021,0.41,1.4,0.12,2.9,,,,1,7,Top,,,,,669257,,,-4.858741673,-137.6452836,-5.554128583,6.253068186,27.52026734,-13.33511981,3.3,1.5,150,75.5,21,94.1,2551,5.8,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.72,,,,,,,,53,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shift,Standard,149,0,-0.034
CU,9/10/2021,82.2,1.86,5.98,"Urías, Julio",624428,Adam Frazier,628711,Julio Urias,,foul,,,,,5,Adam Frazier lines out to shortstop Corey Seager.,R,L,L,LAD,SD,S,,,0,0,2021,-1.53,0.13,-0.1,2.53,,,,1,7,Top,,,,,669257,,,-1.446089487,-119.703676,-1.549595633,-14.47725368,23.11164213,-30.79243932,3.3,1.5,127,67.4,14,81.3,2988,5.6,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.87,,,,,,,,53,1,Curveball,3,0,0,3,0,3,0,3,Infield shift,Standard,305,0,-0.027
FF,9/10/2021,93.5,1.38,6.02,"Urías, Julio",543592,Austin Nola,628711,Julio Urias,field_out,hit_into_play,,,,,5,"Austin Nola grounds out sharply, third baseman Justin Turner to first baseman Max Muncy.",R,R,L,LAD,SD,X,5,ground_ball,3,1,2021,0.15,1.6,0.2,2.4,,,,0,7,Top,89.14,158.48,,,669257,,,-3.311230744,-136.0100428,-7.017827543,2.5144038,28.94529356,-11.00711405,3.37,1.53,18,102.9,-7,92.3,2507,5.5,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.97,0.28,0.252,0,1,0,0,2,52,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shift,Standard,158,0.022,-0.393
FF,9/10/2021,94,1.59,6.05,"Urías, Julio",543592,Austin Nola,628711,Julio Urias,,ball,,,,,14,"Austin Nola grounds out sharply, third baseman Justin Turner to first baseman Max Muncy.",R,R,L,LAD,SD,B,,,2,1,2021,0.64,1.36,1.41,2.45,,,,0,7,Top,,,,,669257,,,-1.831094788,-136.8580913,-6.580867,8.478703786,26.3664042,-13.78933983,3.48,1.69,,,,92.8,2537,5.2,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,55.25,,,,,,,,52,4,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shift,Standard,152,0,0.112
CU,9/10/2021,78.8,1.7,6,"Urías, Julio",543592,Austin Nola,628711,Julio Urias,,ball,,,,,13,"Austin Nola grounds out sharply, third baseman Justin Turner to first baseman Max Muncy.",R,R,L,LAD,SD,B,,,1,1,2021,-1.32,-0.01,-0.95,0.54,,,,0,7,Top,,,,,669257,,,-3.284922961,-114.7353932,-4.964707152,-10.96816262,21.93841567,-31.49747136,3.47,1.58,,,,77.8,2790,5.6,632542,628711,669257,571970,607208,457759,608369,621035,641355,605141,54.88,,,,,,,,52,3,Curveball,3,0,0,3,0,3,0,3,Infield shift,Standard,306,0,0.051
