pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/13/2021,80.4,-2.38,5.63,"Manoah, Alek",595281,Kevin Kiermaier,666201,Alek Manoah,strikeout,swinging_strike,,,,,14,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,TB,S,2,,3,2,2021,1.51,-0.21,1.26,1.5,,,670764,2,8,Top,,,,,672386,,,5.229088096,-117.0063796,-2.029173515,12.64904146,24.42242461,-33.88113864,3.41,1.56,,,,80.6,2342,6.6,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.87,,,0,1,0,0,,64,6,Slider,8,0,0,8,0,8,0,8,Standard,Standard,54,0.001,-0.262
SL,9/13/2021,81.1,-2.5,5.54,"Manoah, Alek",595281,Kevin Kiermaier,666201,Alek Manoah,,ball,,,,,13,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,TB,B,,,2,2,2021,1.55,-0.12,-0.97,2.06,,,670764,2,8,Top,,,,,672386,,,0.476482777,-118.0703872,-0.878199095,14.28396102,24.03356151,-33.32035524,3.41,1.56,,,,81.1,2289,6.4,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.09,,,,,,,,64,5,Slider,8,0,0,8,0,8,0,8,Standard,Standard,65,0,0.071
SI,9/13/2021,92.4,-2.19,5.69,"Manoah, Alek",595281,Kevin Kiermaier,666201,Alek Manoah,,foul,,,,,6,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,TB,S,,,2,1,2021,-0.9,1.05,0.41,2.56,,,670764,2,8,Top,,,,,672386,,,8.600809897,-134.2987701,-4.441355563,-12.76469793,29.0507856,-18.71923291,3.41,1.56,206,75.7,53,92.7,2262,6.5,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.98,,,,,,,,64,4,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,212,0,-0.066
FF,9/13/2021,92.5,-2.16,5.73,"Manoah, Alek",595281,Kevin Kiermaier,666201,Alek Manoah,,called_strike,,,,,9,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,TB,S,,,2,0,2021,-0.21,1.24,0.82,2.11,,,670764,2,8,Top,,,,,672386,,,8.070142454,-134.4179458,-6.183446729,-4.17718497,27.80272482,-15.94186863,3.41,1.56,,,,93.1,2429,6.6,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.9,,,,,,,,64,3,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,214,0,-0.057
CH,9/13/2021,85.5,-2.2,5.74,"Manoah, Alek",595281,Kevin Kiermaier,666201,Alek Manoah,,ball,,,,,11,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,TB,B,,,1,0,2021,-1.02,0.27,-1.35,3.14,,,670764,2,8,Top,,,,,672386,,,4.067150455,-124.4153309,-0.338249904,-11.43499178,26.41337799,-29.52704891,3.41,1.56,,,,85.3,2065,6.3,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.22,,,,,,,,64,2,Changeup,8,0,0,8,0,8,0,8,Standard,Standard,226,0,0.048
SI,9/13/2021,93.1,-2.14,5.73,"Manoah, Alek",595281,Kevin Kiermaier,666201,Alek Manoah,,ball,,,,,13,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,TB,B,,,0,0,2021,-1.32,0.67,-0.17,1.36,,,670764,2,8,Top,,,,,672386,,,7.947698702,-135.2943741,-6.899040456,-17.92134903,30.1450595,-22.60073458,3.41,1.56,,,,93.3,2215,6.5,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.99,,,,,,,,64,1,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,215,0,0.037
SI,9/13/2021,93.3,-2.37,5.72,"Manoah, Alek",670764,Taylor Walls,666201,Alek Manoah,force_out,hit_into_play,,,,,8,"Blue Jays challenged (play at 1st), call on the field was upheld: Taylor Walls grounds into a force out, shortstop Bo Bichette to second baseman Marcus Semien.   Joey Wendle out at 2nd.    Taylor Walls to 1st.",R,L,R,TOR,TB,X,6,ground_ball,0,0,2021,-0.91,0.92,-0.19,2.01,,,621563,1,8,Top,111.7,138.13,,,672386,,,7.653257405,-135.6299833,-5.844508182,-12.88242182,29.41035684,-19.66633096,3.3,1.5,7,105.3,-16,93.9,2239,6.7,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.8,0.21,0.204,0,1,0,0,2,63,1,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,222,0,-0.346
FF,9/13/2021,91.5,-2.23,5.81,"Manoah, Alek",621563,Joey Wendle,666201,Alek Manoah,hit_by_pitch,hit_by_pitch,,,,,12,Joey Wendle hit by pitch.,R,L,R,TOR,TB,B,,,0,0,2021,0.04,1.04,1.1,4.05,,,,1,8,Top,,,,,672386,,,8.347995591,-133.1740508,-0.850267726,-1.254005198,26.81775718,-19.78234848,3.41,1.56,,,,92,2372,6.5,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.04,,,0.7,1,0,0,,62,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,206,0,0.262
SL,9/13/2021,78.8,-2.27,5.75,"Manoah, Alek",650490,Yandy Diaz,666201,Alek Manoah,strikeout,swinging_strike,,,,,13,Yandy Diaz strikes out swinging.,R,R,R,TOR,TB,S,2,,1,2,2021,1.38,-0.41,-0.49,1.23,,,,0,8,Top,,,,,672386,,,1.305205058,-114.7460168,-2.223209951,11.91296052,22.51960561,-35.58262689,3.47,1.59,,,,78.9,2197,6.4,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.07,,,0,1,0,0,,61,4,Slider,8,0,0,8,0,8,0,8,Standard,Standard,52,0.001,-0.174
SL,9/13/2021,79.2,-2.31,5.83,"Manoah, Alek",650490,Yandy Diaz,666201,Alek Manoah,,called_strike,,,,,4,Yandy Diaz strikes out swinging.,R,R,R,TOR,TB,S,,,1,1,2021,1.55,-0.3,-0.63,2.29,,,,0,8,Top,,,,,672386,,,0.776286578,-115.3904254,-0.364837594,13.64707913,22.6480596,-35.00446151,3.47,1.59,,,,79.5,2257,6.5,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.97,,,,,,,,61,3,Slider,8,0,0,8,0,8,0,8,Standard,Standard,53,0,-0.056
SL,9/13/2021,78.9,-2.44,5.77,"Manoah, Alek",650490,Yandy Diaz,666201,Alek Manoah,,swinging_strike,,,,,14,Yandy Diaz strikes out swinging.,R,R,R,TOR,TB,S,,,1,0,2021,1.33,-0.5,0.13,0.84,,,,0,8,Top,,,,,672386,,,3.137794815,-114.7846898,-2.928536223,11.05153541,23.02487298,-36.17748848,3.47,1.59,,,,78.8,2151,6.4,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.09,,,,,,,,61,2,Slider,8,0,0,8,0,8,0,8,Standard,Standard,49,0,-0.049
