pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/14/2021,81.3,-1.1,5.87,"Lyles, Jordan",663656,Kyle Tucker,543475,Jordan Lyles,field_out,hit_into_play,,,,,7,Kyle Tucker grounds out to first baseman Nathaniel Lowe.,R,L,R,TEX,HOU,X,3,ground_ball,1,1,2021,1.29,-0.4,-0.68,1.98,,,,2,7,Top,164.15,163.42,,,624431,,,-1.553123041,-118.4712812,-1.381988875,12.47658759,21.95905429,-35.8922773,3.55,1.63,4,74.8,-24,81.9,2453,6.5,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.97,0.057,0.056,0,1,0,0,2,52,3,Slider,8,0,0,8,0,8,0,8,Infield shift,Standard,33,0.001,-0.1
CH,9/14/2021,87.8,-0.79,5.99,"Lyles, Jordan",663656,Kyle Tucker,543475,Jordan Lyles,,ball,,,,,13,Kyle Tucker grounds out to first baseman Nathaniel Lowe.,R,L,R,TEX,HOU,B,,,0,1,2021,-0.87,0.78,-0.24,0.32,,,,2,7,Top,,,,,624431,,,3.170563952,-127.6653533,-9.356244063,-10.16724162,23.93724786,-21.95984091,3.48,1.63,,,,88.9,1615,6.8,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.66,,,,,,,,52,2,Changeup,8,0,0,8,0,8,0,8,Infield shift,Standard,232,0,0.014
CH,9/14/2021,86.9,-0.89,5.96,"Lyles, Jordan",663656,Kyle Tucker,543475,Jordan Lyles,,foul,,,,,4,Kyle Tucker grounds out to first baseman Nathaniel Lowe.,R,L,R,TEX,HOU,S,,,0,0,2021,-1.31,0.33,-0.66,2.68,,,,2,7,Top,,,,,624431,,,3.274578312,-126.5354422,-2.377840544,-14.79656192,25.85864536,-28.32848759,3.55,1.63,129,75.4,74,87.4,1528,6.6,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.93,,,,,,,,52,1,Changeup,8,0,0,8,0,8,0,8,Strategic,Standard,243,0,-0.018
SL,9/14/2021,81.7,-0.81,5.81,"Lyles, Jordan",493329,Yulieski Gurriel,543475,Jordan Lyles,field_out,hit_into_play,,,,,9,"Yuli Gurriel grounds out, shortstop Isiah Kiner-Falefa to first baseman Nathaniel Lowe.",R,R,R,TEX,HOU,X,6,ground_ball,0,2,2021,1.08,-0.4,0.77,1.58,,,,1,7,Top,116.53,144.25,,,624431,,,1.502056406,-118.9953243,-2.195829023,9.930645326,23.63586501,-35.76674527,3.37,1.53,4,87.5,-24,82.4,2544,6.8,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.74,0.093,0.089,0,1,0,0,2,51,3,Slider,8,0,0,8,0,8,0,8,Standard,Standard,43,0,-0.101
SI,9/14/2021,91.1,-0.84,5.89,"Lyles, Jordan",493329,Yulieski Gurriel,543475,Jordan Lyles,,swinging_strike,,,,,13,"Yuli Gurriel grounds out, shortstop Isiah Kiner-Falefa to first baseman Nathaniel Lowe.",R,R,R,TEX,HOU,S,,,0,1,2021,-1.13,0.66,-1.37,1.38,,,,1,7,Top,,,,,624431,,,1.103285686,-132.5342681,-6.912629483,-13.54889242,27.46703067,-23.1877994,3.37,1.53,,,,92,2155,6.8,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.71,,,,,,,,51,2,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,208,0,-0.034
SL,9/14/2021,81.9,-0.85,5.89,"Lyles, Jordan",493329,Yulieski Gurriel,543475,Jordan Lyles,,called_strike,,,,,2,"Yuli Gurriel grounds out, shortstop Isiah Kiner-Falefa to first baseman Nathaniel Lowe.",R,R,R,TEX,HOU,S,,,0,0,2021,0.98,-0.51,-0.16,3.16,,,,1,7,Top,,,,,624431,,,-0.333266908,-119.2168001,1.386049715,9.387853159,23.39441115,-37.48248057,3.16,1.53,,,,82.2,2656,6.5,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.95,,,,,,,,51,1,Slider,8,0,0,8,0,8,0,8,Standard,Standard,33,0,-0.027
CH,9/14/2021,88.1,-0.79,6.04,"Lyles, Jordan",670541,Yordan Alvarez,543475,Jordan Lyles,strikeout,swinging_strike_blocked,,,,,13,Yordan Alvarez strikes out swinging.,R,L,R,TEX,HOU,S,2,,2,2,2021,-1.2,0.4,-0.68,0.57,,,,0,7,Top,,,,,624431,,,2.780230572,-128.1317382,-8.064468233,-13.78583824,25.19908054,-26.35268833,3.58,1.68,,,,88.6,1513,6.5,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.96,,,0,1,0,0,,50,6,Changeup,8,0,0,8,0,8,0,8,Infield shift,Standard,237,0.002,-0.215
CH,9/14/2021,86.5,-0.78,6.01,"Lyles, Jordan",670541,Yordan Alvarez,543475,Jordan Lyles,,foul,,,,,8,Yordan Alvarez strikes out swinging.,R,L,R,TEX,HOU,S,,,2,2,2021,-1.26,0.58,-0.04,2.06,,,,0,7,Top,,,,,624431,,,4.381961284,-125.9280162,-4.46633117,-14.35628715,23.92188717,-25.36281004,3.58,1.68,,,,87.5,1590,6.8,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.73,,,,,,,,50,5,Changeup,8,0,0,8,0,8,0,8,Infield shift,Standard,234,0,0
CH,9/14/2021,87.9,-0.87,6.07,"Lyles, Jordan",670541,Yordan Alvarez,543475,Jordan Lyles,,ball,,,,,11,Yordan Alvarez strikes out swinging.,R,L,R,TEX,HOU,B,,,1,2,2021,-1.15,0.61,-1.55,3.54,,,,0,7,Top,,,,,624431,,,0.736681615,-128.1842526,-1.359300049,-12.93535583,24.4449588,-25.34603301,3.24,1.68,,,,88.8,1514,6.6,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.94,,,,,,,,50,4,Changeup,8,0,0,8,0,8,0,8,Infield shift,Standard,229,0,0.042
SL,9/14/2021,87.3,-0.57,6.04,"Lyles, Jordan",670541,Yordan Alvarez,543475,Jordan Lyles,,ball,,,,,14,Yordan Alvarez strikes out swinging.,R,L,R,TEX,HOU,B,,,0,2,2021,0.53,0.21,1.55,0.66,,,,0,7,Top,,,,,624431,,,4.041568413,-127.0088589,-7.340677726,4.943693763,25.0947082,-28.59128826,3.4,1.68,,,,88.4,2440,6.9,632482,543475,624431,663993,660634,518586,643396,656847,665750,666969,53.6,,,,,,,,50,3,Slider,8,0,0,8,0,8,0,8,Infield shift,Standard,159,0,0.023
