pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,9/17/2021,88.8,-2.9,4.99,"Castillo, Luis",607461,Matt Beaty,622491,Luis Castillo,single,hit_into_play,,,,,13,Matt Beaty singles on a ground ball to center fielder Delino DeShields.,R,L,R,CIN,LAD,X,8,ground_ball,0,1,2021,-1.53,0.02,-1.06,2.38,,,,1,7,Top,112.78,101.52,,,571466,,,7.596349265,-129.1380598,-0.349534193,-18.71919066,27.9733291,-32.15623668,3.37,1.53,133,92.6,5,87.7,2108,5.7,632470,622491,571466,458015,663697,519058,571657,608385,592261,592206,54.81,0.517,0.489,0.9,1,1,0,4,51,2,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,258,-0.026,0.288
SI,9/17/2021,98.1,-2.55,5.19,"Castillo, Luis",607461,Matt Beaty,622491,Luis Castillo,,called_strike,,,,,3,Matt Beaty singles on a ground ball to center fielder Delino DeShields.,R,L,R,CIN,LAD,S,,,0,0,2021,-1.55,0.42,0.3,3.38,,,,1,7,Top,,,,,571466,,,11.12751058,-142.3810349,-0.315704117,-23.68232143,35.06785087,-26.68616332,3.64,1.75,,,,96.5,2299,5.7,632470,622491,571466,458015,663697,519058,571657,608385,592261,592206,54.79,,,,,,,,51,1,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,237,0,-0.027
CH,9/17/2021,89.2,-2.61,4.9,"Castillo, Luis",641355,Cody Bellinger,622491,Luis Castillo,strikeout,swinging_strike,,,,,14,Cody Bellinger strikes out swinging.,R,L,R,CIN,LAD,S,2,,3,2,2021,-1.43,-0.34,0.4,1.03,,,,0,7,Top,,,,,571466,,,10.22986329,-129.4192587,-2.652407845,-18.24047684,29.1225547,-35.60601798,3.55,1.63,,,,87.6,1950,5.6,632470,622491,571466,458015,663697,519058,571657,608385,592261,592206,54.9,,,0,1,0,0,,50,6,Changeup,3,0,0,3,0,3,0,3,Infield shift,Standard,253,0.022,-0.317
SI,9/17/2021,98.2,-2.71,5.24,"Castillo, Luis",641355,Cody Bellinger,622491,Luis Castillo,,swinging_strike,,,,,5,Cody Bellinger strikes out swinging.,R,L,R,CIN,LAD,S,,,3,1,2021,-1.45,0.52,-0.01,2.8,,,,0,7,Top,,,,,571466,,,10.50150456,-142.5708319,-2.256741858,-22.27165729,35.24700941,-24.76153664,3.55,1.63,,,,96.4,2184,5.6,632470,622491,571466,458015,663697,519058,571657,608385,592261,592206,54.92,,,,,,,,50,5,Sinker,3,0,0,3,0,3,0,3,Infield shift,Standard,236,0,-0.077
SI,9/17/2021,98.1,-2.72,5.1,"Castillo, Luis",641355,Cody Bellinger,622491,Luis Castillo,,called_strike,,,,,5,Cody Bellinger strikes out swinging.,R,L,R,CIN,LAD,S,,,3,0,2021,-1.56,0.47,0.09,2.5,,,,0,7,Top,,,,,571466,,,11.04905752,-142.3860267,-2.586559891,-23.73432834,33.58369015,-25.32105237,3.64,1.66,,,,96.7,2222,5.7,632470,622491,571466,458015,663697,519058,571657,608385,592261,592206,54.8,,,,,,,,50,4,Sinker,3,0,0,3,0,3,0,3,Infield shift,Standard,242,0,-0.082
SI,9/17/2021,97.6,-2.76,5.13,"Castillo, Luis",641355,Cody Bellinger,622491,Luis Castillo,,ball,,,,,13,Cody Bellinger strikes out swinging.,R,L,R,CIN,LAD,B,,,2,0,2021,-1.58,0.39,-1.48,2.57,,,,0,7,Top,,,,,571466,,,6.969835645,-141.9519077,-2.252900647,-22.99097358,33.5745302,-26.5616882,3.79,1.66,,,,96.2,2162,5.6,632470,622491,571466,458015,663697,519058,571657,608385,592261,592206,54.9,,,,,,,,50,3,Sinker,3,0,0,3,0,3,0,3,Infield shift,Standard,244,0,0.128
CH,9/17/2021,87.1,-2.83,5.05,"Castillo, Luis",641355,Cody Bellinger,622491,Luis Castillo,,ball,,,,,11,Cody Bellinger strikes out swinging.,R,L,R,CIN,LAD,B,,,1,0,2021,-1.37,0.05,-1.7,2.9,,,,0,7,Top,,,,,571466,,,5.454817488,-126.7613554,0.904064175,-15.84492624,26.76322746,-32.10748108,3.7,1.67,,,,85.9,1927,5.6,632470,622491,571466,458015,663697,519058,571657,608385,592261,592206,54.89,,,,,,,,50,2,Changeup,3,0,0,3,0,3,0,3,Infield shift,Standard,253,0,0.069
SL,9/17/2021,87.8,-2.96,5.19,"Castillo, Luis",641355,Cody Bellinger,622491,Luis Castillo,,ball,,,,,11,Cody Bellinger strikes out swinging.,R,L,R,CIN,LAD,B,,,0,0,2021,-0.03,0.12,-1.25,3.22,,,,0,7,Top,,,,,571466,,,4.148060176,-127.8688647,1.023291437,-1.09492566,24.55411726,-31.28099171,3.61,1.63,,,,86.7,2429,5.4,632470,622491,571466,458015,663697,519058,571657,608385,592261,592206,55.12,,,,,,,,50,1,Slider,3,0,0,3,0,3,0,3,Infield shift,Standard,329,0,0.038
CH,9/17/2021,88.4,-2.66,5.06,"Castillo, Luis",669257,Will Smith,622491,Luis Castillo,field_out,hit_into_play,,,,,11,Will Smith flies out to right fielder Nick Castellanos.,R,R,R,CIN,LAD,X,9,fly_ball,0,2,2021,-1.13,-0.21,-0.9,2.57,,607208,608369,2,6,Top,179.57,121.74,,,571466,,,6.560668365,-128.6117744,0.425606948,-13.87827359,26.56114111,-34.81297263,3.3,1.5,236,76.6,44,87.5,1775,5.7,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.81,0.103,0.103,0,1,0,0,3,43,3,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,254,0.071,-0.281
CH,9/17/2021,89.5,-2.69,5.02,"Castillo, Luis",669257,Will Smith,622491,Luis Castillo,,foul,,,,,4,Will Smith flies out to right fielder Nick Castellanos.,R,R,R,CIN,LAD,S,,,0,1,2021,-1.45,-0.04,-0.61,2.37,,607208,608369,2,6,Top,,,,,571466,,,8.058587909,-130.1228332,-0.440414553,-18.17655648,27.07312323,-32.76849727,3.3,1.5,5,74.6,-24,88.3,1881,5.5,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.95,,,,,,,,43,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,252,0,-0.099
CH,9/17/2021,88.9,-2.6,5.01,"Castillo, Luis",669257,Will Smith,622491,Luis Castillo,,foul,,,,,8,Will Smith flies out to right fielder Nick Castellanos.,R,R,R,CIN,LAD,S,,,0,0,2021,-1.38,-0.06,0.01,1.94,,607208,608369,2,6,Top,,,,,571466,,,9.137754792,-129.2188303,-1.381706795,-17.27080754,25.18153031,-32.73268751,3.3,1.5,3,83,-30,87.9,1967,5.6,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.89,,,,,,,,43,1,Changeup,1,0,0,1,0,1,0,1,Strategic,Standard,252,0,-0.073
CH,9/17/2021,89.5,-2.8,5.05,"Castillo, Luis",457759,Justin Turner,622491,Luis Castillo,field_out,hit_into_play,,,,,8,Justin Turner flies out to left fielder Max Schrock.,R,R,R,CIN,LAD,X,7,fly_ball,2,2,2021,-1.26,-0.05,-0.19,1.76,,607208,608369,1,6,Top,82.94,71.85,,,571466,,,8.986516204,-130.139089,-2.050693714,-16.09633746,23.73593987,-32.524255,3.32,1.51,332,85.9,33,89.1,1767,5.8,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.74,0.023,0.032,0,1,0,0,3,42,7,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,253,0.072,-0.408
SI,9/17/2021,98.4,-2.51,5.31,"Castillo, Luis",457759,Justin Turner,622491,Luis Castillo,,foul,,,,,2,Justin Turner flies out to left fielder Max Schrock.,R,R,R,CIN,LAD,S,,,2,2,2021,-1.44,0.42,0.21,2.98,,607208,608369,1,6,Top,,,,,571466,,,10.49623591,-142.9414346,-1.803530033,-22.09652057,32.86984564,-26.16636907,3.32,1.51,139,82,19,96.8,2071,5.5,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,55.04,,,,,,,,42,6,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,232,0,0
FF,9/17/2021,97.7,-2.59,5.22,"Castillo, Luis",457759,Justin Turner,622491,Luis Castillo,,ball,,,,,12,Justin Turner flies out to left fielder Max Schrock.,R,R,R,CIN,LAD,B,,,1,2,2021,-0.87,0.81,1.14,4.54,,607208,608369,1,6,Top,,,,,571466,,,11.83716453,-141.9102846,1.778113231,-14.34141164,31.21992741,-21.83641074,3.51,1.6,,,,96.4,2150,5.5,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.95,,,,,,,,42,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,237,0,0.077
CH,9/17/2021,89.4,-2.72,5.03,"Castillo, Luis",457759,Justin Turner,622491,Luis Castillo,,foul,,,,,1,Justin Turner flies out to left fielder Max Schrock.,R,R,R,CIN,LAD,S,,,1,2,2021,-1.47,-0.09,-0.69,2.95,,607208,608369,1,6,Top,,,,,571466,,,7.971126391,-130.0872433,0.994219928,-18.27650183,23.9384901,-33.58282671,3.32,1.51,255,81.4,22,88.9,1905,5.7,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.82,,,,,,,,42,4,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,250,0,0
SL,9/17/2021,87.8,-2.69,5.02,"Castillo, Luis",457759,Justin Turner,622491,Luis Castillo,,foul,,,,,7,Justin Turner flies out to left fielder Max Schrock.,R,R,R,CIN,LAD,S,,,1,1,2021,-0.05,-0.05,-0.44,1.87,,607208,608369,1,6,Top,,,,,571466,,,5.481255011,-127.8432964,-1.395187505,-1.673056566,26.34356158,-32.68164451,3.32,1.51,11,91.5,-9,86.8,2370,5.6,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.9,,,,,,,,42,3,Slider,1,0,0,1,0,1,0,1,Strategic,Standard,16,0,-0.124
SI,9/17/2021,97.4,-2.75,5.16,"Castillo, Luis",457759,Justin Turner,622491,Luis Castillo,,foul,,,,,11,Justin Turner flies out to left fielder Max Schrock.,R,R,R,CIN,LAD,S,,,1,0,2021,-1.56,0.37,-1.66,2.9,,607208,608369,1,6,Top,,,,,571466,,,6.448457589,-141.7822192,-1.425469479,-22.54253647,31.43558818,-27.08107744,3.32,1.51,,,,96.5,2226,5.7,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.82,,,,,,,,42,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,236,0,-0.098
SI,9/17/2021,97.6,-2.72,5.15,"Castillo, Luis",457759,Justin Turner,622491,Luis Castillo,,ball,,,,,13,Justin Turner flies out to left fielder Max Schrock.,R,R,R,CIN,LAD,B,,,0,0,2021,-1.55,0.43,-1.38,2.59,,607208,608369,1,6,Top,,,,,571466,,,7.045054655,-141.9005108,-2.338066963,-22.49772022,33.45286223,-25.97014034,3.64,1.65,,,,96.3,2210,5.7,632470,622491,571466,458015,663697,519058,571657,621011,608385,592206,54.85,,,,,,,,42,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,237,0,0.086
