pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,9/18/2021,93.6,-1.53,5.57,"Darvish, Yu",624641,Edmundo Sosa,506433,Yu Darvish,field_out,hit_into_play,,,,,9,"Edmundo Sosa grounds out, shortstop Fernando Tatis to first baseman Jake Cronenworth.",R,R,R,STL,SD,X,6,ground_ball,1,0,2021,-1.01,1.02,0.54,1.46,,,,2,7,Bot,114.3,148.82,,,605170,,,7.579182519,-135.9399613,-7.11003193,-14.17419123,29.37071803,-18.15272459,3.37,1.53,11,96.9,-7,93.8,2331,6.5,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54.02,0.203,0.188,0,1,0,0,2,54,2,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,206,-0.015,-0.12
SI,9/18/2021,94.5,-1.51,5.57,"Darvish, Yu",624641,Edmundo Sosa,506433,Yu Darvish,,ball,,,,,14,"Edmundo Sosa grounds out, shortstop Fernando Tatis to first baseman Jake Cronenworth.",R,R,R,STL,SD,B,,,0,0,2021,-1.01,0.92,1.49,1.02,,,,2,7,Bot,,,,,605170,,,10.04955078,-137.1442977,-8.241248736,-14.87411214,29.06041578,-18.92808513,3.36,1.52,,,,94.8,2187,6.5,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54.01,,,,,,,,54,1,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,211,0,0.016
SL,9/18/2021,82,-1.38,5.7,"Darvish, Yu",666185,Dylan Carlson,506433,Yu Darvish,field_out,hit_into_play,,,,,8,Dylan Carlson lines out to center fielder Trent Grisham.,R,L,R,STL,SD,X,8,line_drive,1,2,2021,0.68,-0.69,-0.09,1.73,,,,1,7,Bot,91.56,80.03,,,605170,,,1.60664145,-119.4777751,-1.132160434,6.258317317,21.81224923,-38.82054086,3.47,1.59,308,90.6,21,82.6,2817,6.5,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54,0.273,0.294,0,1,0,0,3,53,5,Slider,0,2,0,2,2,0,0,2,Strategic,4th outfielder,46,-0.026,-0.113
FF,9/18/2021,96,-1.63,5.59,"Darvish, Yu",666185,Dylan Carlson,506433,Yu Darvish,,foul,,,,,7,Dylan Carlson lines out to center fielder Trent Grisham.,R,L,R,STL,SD,S,,,1,2,2021,-0.52,1.33,-0.33,2.12,,,,1,7,Bot,,,,,605170,,,4.642635483,-139.632937,-6.618555643,-7.88782378,30.76813574,-13.48925112,3.47,1.59,263,86.5,30,96.6,2462,6.6,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,53.9,,,,,,,,53,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,4th outfielder,209,0,0
FF,9/18/2021,94.1,-1.57,5.59,"Darvish, Yu",666185,Dylan Carlson,506433,Yu Darvish,,foul,,,,,2,Dylan Carlson lines out to center fielder Trent Grisham.,R,L,R,STL,SD,S,,,1,1,2021,-0.39,1.27,0.14,3.2,,,,1,7,Bot,,,,,605170,,,5.310282552,-136.9351019,-3.326271247,-6.067760971,29.99630558,-15.60054846,3.47,1.59,191,75.6,61,94.2,2299,6.4,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54.15,,,,,,,,53,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,4th outfielder,213,0,-0.043
FC,9/18/2021,84.9,-1.44,5.71,"Darvish, Yu",666185,Dylan Carlson,506433,Yu Darvish,,foul,,,,,9,Dylan Carlson lines out to center fielder Trent Grisham.,R,L,R,STL,SD,S,,,1,0,2021,0.43,0,0.29,1.75,,,,1,7,Bot,,,,,605170,,,3.20440643,-123.7882033,-3.028718464,3.867946684,21.65541079,-31.86717393,3.47,1.59,6,81.8,-19,85.5,2829,6.3,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54.19,,,,,,,,53,2,Cutter,0,2,0,2,2,0,0,2,Infield shift,Strategic,77,0,-0.033
FC,9/18/2021,84.3,-1.26,5.75,"Darvish, Yu",666185,Dylan Carlson,506433,Yu Darvish,,ball,,,,,14,Dylan Carlson lines out to center fielder Trent Grisham.,R,L,R,STL,SD,B,,,0,0,2021,0.34,-0.08,0.48,1.39,,,,1,7,Bot,,,,,605170,,,3.38016663,-122.8492704,-3.662392592,2.86133526,22.24793801,-32.49929359,3.65,1.57,,,,84.8,2782,6.4,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54.15,,,,,,,,53,1,Cutter,0,2,0,2,2,0,0,2,Infield shift,Standard,90,0,0.026
SI,9/18/2021,93.9,-1.49,5.58,"Darvish, Yu",425877,Yadier Molina,506433,Yu Darvish,field_out,hit_into_play,,,,,2,"Yadier Molina grounds out, third baseman Manny Machado to first baseman Jake Cronenworth.",R,R,R,STL,SD,X,5,ground_ball,0,1,2021,-0.96,1.01,-0.03,3.44,,,,0,7,Bot,93.76,154,,,605170,,,5.907773616,-136.6387101,-2.066869867,-13.2740831,29.42090538,-19.28304078,3.32,1.51,7,81,-26,94.3,2271,6.5,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54.01,0.043,0.039,0,1,0,0,2,52,2,Sinker,0,2,0,2,2,0,0,2,Standard,Strategic,208,-0.038,-0.203
FC,9/18/2021,85.8,-1.29,5.83,"Darvish, Yu",425877,Yadier Molina,506433,Yu Darvish,,foul,,,,,2,"Yadier Molina grounds out, third baseman Manny Machado to first baseman Jake Cronenworth.",R,R,R,STL,SD,S,,,0,0,2021,0.35,0.15,0.19,2.93,,,,0,7,Bot,,,,,605170,,,2.780450173,-125.1226779,-1.022739533,3.27608065,21.91003589,-30.54429925,3.32,1.51,194,101.3,11,86.3,2734,6.2,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54.28,,,,,,,,52,1,Cutter,0,2,0,2,2,0,0,2,Standard,Strategic,126,0,-0.038
FF,9/18/2021,95.2,-1.32,5.68,"Darvish, Yu",571448,Nolan Arenado,506433,Yu Darvish,field_out,hit_into_play,,,,,9,"Nolan Arenado grounds out, shortstop Fernando Tatis to first baseman Jake Cronenworth.",R,R,R,STL,SD,X,6,ground_ball,0,1,2021,-0.52,1.22,0.83,1.99,,572761,669242,2,6,Bot,112.59,152.22,,,605170,,,6.826052432,-138.4829785,-6.825348542,-8.167650392,29.73349165,-15.138949,3.47,1.59,6,74.8,-18,95.7,2350,6.5,632488,506433,605170,630105,624428,592518,665487,502054,663757,571976,54,0.04,0.036,0,1,0,0,2,47,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic,216,-0.066,-0.371
