pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,9/20/2021,85.6,-1.37,5.62,"Baz, Shane",545341,Randal Grichuk,669358,Shane Baz,strikeout,swinging_strike,,,,,13,Randal Grichuk strikes out swinging.,R,R,R,TB,TOR,S,2,,0,2,2021,0.66,-1.34,-0.08,1.3,,,,2,5,Top,,,,,642336,,,1.71746621,-124.590953,-1.097294974,6.39100179,29.55192818,-45.95783999,3.47,1.59,,,,85.6,2814,6.7,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.84,,,0,1,0,0,,32,3,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,21,0.008,-0.061
FF,9/20/2021,96.9,-1.28,5.59,"Baz, Shane",545341,Randal Grichuk,669358,Shane Baz,,called_strike,,,,,6,Randal Grichuk strikes out swinging.,R,R,R,TB,TOR,S,,,0,1,2021,-0.87,1.58,0.77,2.04,,,,2,5,Top,,,,,642336,,,7.520250696,-140.6813061,-7.510166919,-13.35141795,35.91558703,-9.684258188,3.16,1.53,,,,97.2,2484,6.9,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.64,,,,,,,,32,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard,221,0,-0.024
FF,9/20/2021,97.7,-1.44,5.61,"Baz, Shane",545341,Randal Grichuk,669358,Shane Baz,,called_strike,,,,,6,Randal Grichuk strikes out swinging.,R,R,R,TB,TOR,S,,,0,0,2021,-0.76,1.54,0.4,2.12,,,,2,5,Top,,,,,642336,,,6.742143958,-141.8280852,-7.41094682,-11.8526692,35.96095914,-9.845721408,3.23,1.56,,,,97.8,2522,6.7,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.76,,,,,,,,32,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard,215,0,-0.018
SL,9/20/2021,85.8,-1.43,5.61,"Baz, Shane",666971,Lourdes Gurriel,669358,Shane Baz,home_run,hit_into_play,,,,,7,Lourdes Gurriel homers (20) on a line drive to left center field.,R,R,R,TB,TOR,X,,line_drive,1,1,2021,0.35,0.05,-0.58,1.99,,,,2,5,Top,69.77,41.28,,,642336,,,1.297957173,-125.0830359,-2.472709625,3.498428972,23.29750698,-31.35455689,3.55,1.63,413,110.7,18,86.9,2426,6.7,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.8,0.797,1.159,2,1,0,3,6,31,3,Slider,0,1,1,0,2,0,2,0,Standard,Standard,103,-0.127,1.005
CU,9/20/2021,85.3,-1.3,5.58,"Baz, Shane",666971,Lourdes Gurriel,669358,Shane Baz,,ball,,,,,14,Lourdes Gurriel homers (20) on a line drive to left center field.,R,R,R,TB,TOR,B,,,0,1,2021,0.8,-1.2,0.52,0.3,,,,2,5,Top,,,,,642336,,,2.68732578,-124.0373571,-3.628659772,7.579401626,28.72829109,-43.8148218,3.51,1.67,,,,85.5,2778,6.8,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.69,,,,,,,,31,2,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,29,0,0.013
CU,9/20/2021,82.8,-1.36,5.61,"Baz, Shane",666971,Lourdes Gurriel,669358,Shane Baz,,swinging_strike,,,,,13,Lourdes Gurriel homers (20) on a line drive to left center field.,R,R,R,TB,TOR,S,,,0,0,2021,0.77,-0.97,-0.25,0.35,,,,2,5,Top,,,,,642336,,,1.042979513,-120.51241,-3.538735637,7.173903438,26.82828483,-40.94990139,3.55,1.63,,,,82.9,2670,6.7,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.83,,,,,,,,31,1,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,37,0,-0.018
FF,9/20/2021,98.7,-1.4,5.59,"Baz, Shane",672386,Alejandro Kirk,669358,Shane Baz,field_out,hit_into_play,,,,,12,"Alejandro Kirk grounds out sharply, second baseman Joey Wendle to first baseman Jordan Luplow.",R,R,R,TB,TOR,X,4,ground_ball,1,2,2021,-0.85,1.55,0.87,2.76,,,,1,5,Top,136.47,136.33,,,642336,,,8.246966358,-143.3387221,-5.821124015,-13.72799682,36.85492365,-9.723397078,3.26,1.48,15,100.1,-9,99.1,2558,6.9,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.63,0.263,0.243,0,1,0,0,2,30,7,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,214,0.017,-0.114
SL,9/20/2021,88.1,-1.43,5.59,"Baz, Shane",672386,Alejandro Kirk,669358,Shane Baz,,foul,,,,,2,"Alejandro Kirk grounds out sharply, second baseman Joey Wendle to first baseman Jordan Luplow.",R,R,R,TB,TOR,S,,,1,2,2021,0.17,0.19,-0.26,3.23,,,,1,5,Top,,,,,642336,,,2.494078778,-128.2835067,-0.04315219,1.358692041,26.1764083,-30.26997278,3.26,1.48,103,67.2,77,88.7,2431,6.6,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.87,,,,,,,,30,6,Slider,0,1,1,0,1,0,1,0,Standard,Standard,168,0,0
CU,9/20/2021,84.3,-1.33,5.62,"Baz, Shane",672386,Alejandro Kirk,669358,Shane Baz,,foul,,,,,13,"Alejandro Kirk grounds out sharply, second baseman Joey Wendle to first baseman Jordan Luplow.",R,R,R,TB,TOR,S,,,1,2,2021,0.1,-1.23,-0.87,1.15,,,,1,5,Top,,,,,642336,,,0.898731253,-122.7231192,-1.519508595,0.767415016,26.2608372,-44.4457547,3.26,1.48,2,74.1,-24,84.7,2661,6.7,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.77,,,,,,,,30,5,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,27,0,0
FF,9/20/2021,97.5,-1.41,5.64,"Baz, Shane",672386,Alejandro Kirk,669358,Shane Baz,,ball,,,,,11,"Alejandro Kirk grounds out sharply, second baseman Joey Wendle to first baseman Jordan Luplow.",R,R,R,TB,TOR,B,,,0,2,2021,-0.51,1.68,-0.05,4.26,,,,1,5,Top,,,,,642336,,,4.865542538,-141.9696255,-2.057848634,-7.998999108,34.27777813,-9.214698134,3.13,1.57,,,,97.9,2498,6.6,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.9,,,,,,,,30,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,220,0,0.013
SL,9/20/2021,87.7,-1.34,5.59,"Baz, Shane",672386,Alejandro Kirk,669358,Shane Baz,,foul,,,,,1,"Alejandro Kirk grounds out sharply, second baseman Joey Wendle to first baseman Jordan Luplow.",R,R,R,TB,TOR,S,,,0,2,2021,0.22,0.21,-0.29,3.14,,,,1,5,Top,,,,,642336,,,2.118609853,-127.7712346,-0.260412484,1.98088814,25.96341509,-30.01560573,3.26,1.48,192,71.4,25,88.4,2423,6.6,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.85,,,,,,,,30,3,Slider,0,1,1,0,1,0,1,0,Strategic,Standard,181,0,0
FF,9/20/2021,97.4,-1.45,5.59,"Baz, Shane",672386,Alejandro Kirk,669358,Shane Baz,,foul,,,,,12,"Alejandro Kirk grounds out sharply, second baseman Joey Wendle to first baseman Jordan Luplow.",R,R,R,TB,TOR,S,,,0,1,2021,-0.75,1.58,0.25,3.4,,,,1,5,Top,,,,,642336,,,6.312481614,-141.590107,-3.992656899,-11.50846833,34.22602896,-10.19288952,3.26,1.48,265,78.5,46,97.9,2493,6.8,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.74,,,,,,,,30,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,219,0,-0.035
FF,9/20/2021,98.4,-1.38,5.6,"Baz, Shane",672386,Alejandro Kirk,669358,Shane Baz,,foul,,,,,5,"Alejandro Kirk grounds out sharply, second baseman Joey Wendle to first baseman Jordan Luplow.",R,R,R,TB,TOR,S,,,0,0,2021,-0.86,1.55,0.15,2.48,,,,1,5,Top,,,,,642336,,,6.21903879,-142.9905396,-6.577852369,-13.36553713,36.95540681,-9.601311546,3.26,1.48,211,82.6,56,98.6,2514,6.7,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.77,,,,,,,,30,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,216,0,-0.027
CU,9/20/2021,82,-1.19,5.65,"Baz, Shane",606192,Teoscar Hernandez,669358,Shane Baz,field_out,hit_into_play,,,,,9,Teoscar Hernandez lines out to left fielder Randy Arozarena.,R,R,R,TB,TOR,X,7,line_drive,1,2,2021,1.08,-1.08,0.32,2.05,,,,0,5,Top,78.4,57.13,,,642336,,,1.330447722,-119.2836767,0.612938746,9.926673327,25.93795251,-42.8018614,3.47,1.59,369,99,23,82.2,2857,6.7,632406,669358,642336,656669,621563,650490,670764,668227,595281,622534,53.79,0.407,0.555,0,1,0,0,5,29,4,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,32,0.023,-0.174
