pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,9/21/2021,87.8,-1.43,5.67,"Woodruff, Brandon",641933,Tyler O'Neill,605540,Brandon Woodruff,strikeout,called_strike,,,,,14,Tyler O'Neill called out on strikes.,R,R,R,MIL,STL,S,2,,0,2,2021,-1.52,0.35,1.03,1.53,,,,2,6,Top,,,,,553882,,,9.164613348,-127.4666704,-4.596088359,-18.47606179,27.52388185,-27.60297932,3.32,1.51,,,,88.2,1910,6.8,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.73,,,0,1,0,0,,39,3,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,233,0.012,-0.061
CH,9/21/2021,86.3,-1.57,5.67,"Woodruff, Brandon",641933,Tyler O'Neill,605540,Brandon Woodruff,,swinging_strike,,,,,14,Tyler O'Neill called out on strikes.,R,R,R,MIL,STL,S,,,0,1,2021,-1.34,0.28,0.12,0.37,,,,2,6,Top,,,,,553882,,,6.789569047,-125.3072479,-6.923052402,-15.49972887,27.35190273,-27.90931743,3.32,1.51,,,,86.5,1838,6.7,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.78,,,,,,,,39,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,232,0,-0.024
CH,9/21/2021,86,-1.56,5.82,"Woodruff, Brandon",641933,Tyler O'Neill,605540,Brandon Woodruff,,foul,,,,,1,Tyler O'Neill called out on strikes.,R,R,R,MIL,STL,S,,,0,0,2021,-1.46,0.77,-0.63,2.78,,,,2,6,Top,,,,,553882,,,5.191443026,-125.1758426,-2.510124295,-16.34296184,26.83514992,-23.75110887,3.32,1.51,30,90.7,-3,86.2,2087,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.94,,,,,,,,39,1,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,225,0,-0.018
FF,9/21/2021,97.5,-1.49,5.74,"Woodruff, Brandon",502671,Paul Goldschmidt,605540,Brandon Woodruff,strikeout,swinging_strike,,,,,8,Paul Goldschmidt strikes out swinging.,R,R,R,MIL,STL,S,2,,1,2,2021,-0.64,1.6,0.11,1.68,,,,1,6,Top,,,,,553882,,,5.828776639,-141.6360995,-9.076434092,-10.03470421,34.9278384,-8.733298755,3.49,1.6,,,,97.6,2506,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.89,,,0,1,0,0,,38,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,215,0.018,-0.113
CU,9/21/2021,83.8,-1.41,5.88,"Woodruff, Brandon",502671,Paul Goldschmidt,605540,Brandon Woodruff,,called_strike,,,,,9,Paul Goldschmidt strikes out swinging.,R,R,R,MIL,STL,S,,,1,1,2021,0.36,-1.03,0.56,2.19,,,,1,6,Top,,,,,553882,,,3.84525147,-122.0004036,-0.052863446,2.812520171,25.03694548,-42.66479428,3.49,1.6,,,,83.9,2709,6.4,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,54.09,,,,,,,,38,3,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,32,0,-0.043
CH,9/21/2021,85.9,-1.5,5.73,"Woodruff, Brandon",502671,Paul Goldschmidt,605540,Brandon Woodruff,,ball,,,,,14,Paul Goldschmidt strikes out swinging.,R,R,R,MIL,STL,B,,,0,1,2021,-1.43,0.63,0.94,1.09,,,,1,6,Top,,,,,553882,,,8.75513343,-124.7335383,-6.007181729,-16.7174822,25.59981108,-24.54717783,3.49,1.6,,,,86.5,2039,6.8,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.68,,,,,,,,38,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,230,0,0.021
CU,9/21/2021,83.7,-1.52,5.95,"Woodruff, Brandon",502671,Paul Goldschmidt,605540,Brandon Woodruff,,called_strike,,,,,2,Paul Goldschmidt strikes out swinging.,R,R,R,MIL,STL,S,,,0,0,2021,0.34,-0.92,0.05,3,,,,1,6,Top,,,,,553882,,,2.966077166,-121.8910689,1.44339016,2.749456212,24.78161221,-41.81008146,3.49,1.6,,,,83.9,2625,6.5,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,54.04,,,,,,,,38,1,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,36,0,-0.027
FF,9/21/2021,96.3,-1.53,5.87,"Woodruff, Brandon",669242,Tommy Edman,605540,Brandon Woodruff,strikeout,called_strike,,,,,7,Tommy Edman called out on strikes.,R,L,R,MIL,STL,S,2,,2,2,2021,-0.54,1.65,-0.54,1.98,,,,0,6,Top,,,,,553882,,,3.862217836,-139.8893838,-8.434976945,-8.037108259,35.50383857,-8.79456475,3.3,1.5,,,,96.1,2425,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.94,,,0,1,0,0,,37,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,212,0.024,-0.215
FF,9/21/2021,96.6,-1.62,5.88,"Woodruff, Brandon",669242,Tommy Edman,605540,Brandon Woodruff,,ball,,,,,11,Tommy Edman called out on strikes.,R,L,R,MIL,STL,B,,,1,2,2021,-0.55,1.54,-1.37,2.83,,,,0,6,Top,,,,,553882,,,1.927485419,-140.4656508,-6.021895834,-7.64846055,34.87265913,-10.67371043,3.3,1.5,,,,96.4,2507,6.5,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,54.05,,,,,,,,37,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,212,0,0.042
CH,9/21/2021,86.7,-1.7,5.76,"Woodruff, Brandon",669242,Tommy Edman,605540,Brandon Woodruff,,swinging_strike,,,,,13,Tommy Edman called out on strikes.,R,L,R,MIL,STL,S,,,1,1,2021,-1.29,0.73,-0.8,1.06,,,,0,6,Top,,,,,553882,,,4.813433613,-126.1008784,-6.55168,-14.74442769,26.14605666,-23.23451462,3.3,1.5,,,,87,2171,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.94,,,,,,,,37,3,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,230,0,-0.057
CU,9/21/2021,83.4,-1.61,6.06,"Woodruff, Brandon",669242,Tommy Edman,605540,Brandon Woodruff,,ball,,,,,13,Tommy Edman called out on strikes.,R,L,R,MIL,STL,B,,,0,1,2021,0.47,-1.02,-1.28,2.3,,,,0,6,Top,,,,,553882,,,-0.175283259,-121.5403269,-0.188137868,4.696772664,24.66203156,-42.39726777,3.3,1.5,,,,83.6,2645,6.4,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,54.1,,,,,,,,37,2,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,33,0,0.028
CH,9/21/2021,83.3,-1.7,5.9,"Woodruff, Brandon",669242,Tommy Edman,605540,Brandon Woodruff,,called_strike,,,,,11,Tommy Edman called out on strikes.,R,L,R,MIL,STL,S,,,0,0,2021,-1.34,0.59,-1.02,2.58,,,,0,6,Top,,,,,553882,,,4.230860576,-121.2902661,-2.314737538,-14.07283555,24.96222244,-26.09832018,3.3,1.5,,,,83.6,2016,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.94,,,,,,,,37,1,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,238,0,-0.038
SI,9/21/2021,97.1,-1.42,5.87,"Woodruff, Brandon",663765,Jake Woodford,605540,Brandon Woodruff,field_out,hit_into_play,,,,,13,"Jake Woodford grounds out, second baseman Kolten Wong to first baseman Eduardo Escobar.",R,R,R,MIL,STL,X,4,ground_ball,0,1,2021,-1.11,1.34,-1.15,2.37,,,,2,5,Top,134.26,146.58,,,553882,,,3.288077576,-141.2184663,-6.889744206,-15.55315845,33.88004175,-12.93884656,3.55,1.63,4,93.3,-33,97.3,2361,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.92,0.067,0.06,0,1,0,0,2,32,2,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,211,0.011,-0.085
FF,9/21/2021,96.7,-1.49,5.78,"Woodruff, Brandon",663765,Jake Woodford,605540,Brandon Woodruff,,called_strike,,,,,7,"Jake Woodford grounds out, second baseman Kolten Wong to first baseman Eduardo Escobar.",R,R,R,MIL,STL,S,,,0,0,2021,-0.52,1.54,-0.32,1.75,,,,2,5,Top,,,,,553882,,,4.321846229,-140.5493772,-8.689886317,-7.944440156,34.258769,-9.956973575,3.55,1.63,,,,96.8,2442,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.93,,,,,,,,32,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,215,0,-0.018
CH,9/21/2021,86.5,-1.5,5.65,"Woodruff, Brandon",664056,Harrison Bader,605540,Brandon Woodruff,strikeout,swinging_strike,,,,,14,Harrison Bader strikes out swinging.,R,R,R,MIL,STL,S,2,,1,2,2021,-1.12,0.57,1.22,1.55,,,,1,5,Top,,,,,553882,,,8.856678023,-125.6025278,-4.752502943,-13.62023561,25.32956617,-25.3279938,3.37,1.53,,,,87.3,2148,6.9,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.62,,,0,1,0,0,,31,4,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,235,0.017,-0.113
SI,9/21/2021,95.6,-1.48,5.78,"Woodruff, Brandon",664056,Harrison Bader,605540,Brandon Woodruff,,foul,,,,,1,Harrison Bader strikes out swinging.,R,R,R,MIL,STL,S,,,1,1,2021,-1.39,1.08,-0.67,2.8,,,,1,5,Top,,,,,553882,,,5.28716819,-139.0205921,-4.664662364,-19.17036244,33.55469526,-17.28317101,3.37,1.53,95,63.3,78,95.9,2290,6.7,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.81,,,,,,,,31,3,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,213,0,-0.043
CU,9/21/2021,84.7,-1.46,5.91,"Woodruff, Brandon",664056,Harrison Bader,605540,Brandon Woodruff,,foul,,,,,9,Harrison Bader strikes out swinging.,R,R,R,MIL,STL,S,,,1,0,2021,0.15,-0.65,0.53,1.47,,,,1,5,Top,,,,,553882,,,4.378875132,-123.2888999,-2.732362748,0.652981175,24.67090212,-38.4624957,3.37,1.53,,,,85.1,2572,6.5,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.96,,,,,,,,31,2,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,21,0,-0.032
CU,9/21/2021,84.5,-1.43,5.96,"Woodruff, Brandon",664056,Harrison Bader,605540,Brandon Woodruff,,ball,,,,,1,Harrison Bader strikes out swinging.,R,R,R,MIL,STL,B,,,0,0,2021,0.07,-0.54,-0.33,3.46,,,,1,5,Top,,,,,553882,,,2.446970941,-123.0615277,1.58384813,0.194305002,23.79783436,-38.19482416,3.37,1.53,,,,84.9,2533,6.5,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,54.04,,,,,,,,31,1,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,42,0,0.026
SI,9/21/2021,95.1,-1.39,5.84,"Woodruff, Brandon",624641,Edmundo Sosa,605540,Brandon Woodruff,strikeout,swinging_strike,,,,,7,Edmundo Sosa strikes out swinging.,R,R,R,MIL,STL,S,2,,1,2,2021,-1.21,1.12,-0.33,2,,,,0,5,Top,,,,,553882,,,5.52850427,-138.2371543,-6.955257881,-16.72713758,31.33659551,-16.49510524,3.37,1.53,,,,95.5,2294,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.88,,,0,1,0,0,,30,4,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,216,0.023,-0.174
CU,9/21/2021,85.7,-1.56,5.88,"Woodruff, Brandon",624641,Edmundo Sosa,605540,Brandon Woodruff,,swinging_strike,,,,,8,Edmundo Sosa strikes out swinging.,R,R,R,MIL,STL,S,,,1,1,2021,0.1,-0.59,0.15,1.66,,,,0,5,Top,,,,,553882,,,3.863598383,-124.7520756,-2.54013815,0.240275448,24.3981769,-38.01219535,3.37,1.53,,,,86.2,2739,6.5,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.98,,,,,,,,30,3,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,32,0,-0.057
CH,9/21/2021,85.8,-1.65,5.73,"Woodruff, Brandon",624641,Edmundo Sosa,605540,Brandon Woodruff,,ball,,,,,13,Edmundo Sosa strikes out swinging.,R,R,R,MIL,STL,B,,,0,1,2021,-1.23,0.42,-0.44,1.01,,,,0,5,Top,,,,,553882,,,5.405350024,-124.7736267,-5.789196526,-13.9765726,25.43135618,-26.78362017,3.37,1.53,,,,86.4,1982,6.7,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.79,,,,,,,,30,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,230,0,0.028
SI,9/21/2021,95.1,-1.54,5.87,"Woodruff, Brandon",624641,Edmundo Sosa,605540,Brandon Woodruff,,called_strike,,,,,13,Edmundo Sosa strikes out swinging.,R,R,R,MIL,STL,S,,,0,0,2021,-1.19,1.2,-0.52,1.3,,,,0,5,Top,,,,,553882,,,5.361066307,-138.1127702,-9.025824109,-16.36659932,31.58788722,-14.9963276,3.37,1.53,,,,95.3,2295,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.94,,,,,,,,30,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,211,0,-0.038
CH,9/21/2021,86.3,-1.41,5.76,"Woodruff, Brandon",425877,Yadier Molina,605540,Brandon Woodruff,strikeout,swinging_strike,,,,,11,Yadier Molina strikes out swinging.,R,R,R,MIL,STL,S,2,,2,2,2021,-1.24,0.54,-0.44,3.47,,,,2,4,Top,,,,,553882,,,4.859039852,-125.5514746,-0.290730502,-14.10101944,26.6733059,-26.60519745,3.32,1.51,,,,86.7,1831,6.7,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.82,,,0,1,0,0,,26,9,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,231,0.011,-0.091
SI,9/21/2021,96.3,-1.44,5.75,"Woodruff, Brandon",425877,Yadier Molina,605540,Brandon Woodruff,,foul,,,,,11,Yadier Molina strikes out swinging.,R,R,R,MIL,STL,S,,,2,2,2021,-1.33,1.02,-1.58,2.48,,,,2,4,Top,,,,,553882,,,2.66211807,-140.092944,-5.407818101,-18.0385166,33.13468806,-17.72842008,3.32,1.51,97,44.9,57,96.6,2255,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.9,,,,,,,,26,8,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,212,0,0
SI,9/21/2021,96.9,-1.47,5.85,"Woodruff, Brandon",425877,Yadier Molina,605540,Brandon Woodruff,,foul,,,,,13,Yadier Molina strikes out swinging.,R,R,R,MIL,STL,S,,,2,2,2021,-1.29,1.1,-1.4,2.14,,,,2,4,Top,,,,,553882,,,3.174587853,-140.9264028,-6.841137162,-17.89421241,35.29741038,-16.07822458,3.32,1.51,121,49.6,26,97,2312,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.91,,,,,,,,26,7,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,214,0,0
CU,9/21/2021,85.3,-1.42,5.84,"Woodruff, Brandon",425877,Yadier Molina,605540,Brandon Woodruff,,foul,,,,,7,Yadier Molina strikes out swinging.,R,R,R,MIL,STL,S,,,2,2,2021,0.17,-1.05,-0.56,1.52,,,,2,4,Top,,,,,553882,,,1.698522519,-124.2561656,-1.783567958,1.386376112,24.66172659,-42.89966862,3.32,1.51,3,72.3,-31,85.9,2653,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.92,,,,,,,,26,6,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,30,0,0
CH,9/21/2021,87.3,-1.42,5.67,"Woodruff, Brandon",425877,Yadier Molina,605540,Brandon Woodruff,,ball,,,,,14,Yadier Molina strikes out swinging.,R,R,R,MIL,STL,B,,,1,2,2021,-1.29,0.35,1.85,0.84,,,,2,4,Top,,,,,553882,,,10.57969256,-126.6375803,-6.195776435,-16.03429804,26.08829675,-27.30328118,3.32,1.51,,,,87.8,2019,6.8,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.69,,,,,,,,26,5,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,236,0,0.019
FF,9/21/2021,97,-1.39,5.74,"Woodruff, Brandon",425877,Yadier Molina,605540,Brandon Woodruff,,foul,,,,,12,Yadier Molina strikes out swinging.,R,R,R,MIL,STL,S,,,1,2,2021,-0.66,1.44,0.33,4.36,,,,2,4,Top,,,,,553882,,,6.171432887,-141.0624262,-1.38910184,-10.32099947,35.2228348,-12.91997133,3.32,1.51,159,90.1,80,97.3,2291,6.7,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.79,,,,,,,,26,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,214,0,0
FF,9/21/2021,97.4,-1.47,5.81,"Woodruff, Brandon",425877,Yadier Molina,605540,Brandon Woodruff,,foul,,,,,5,Yadier Molina strikes out swinging.,R,R,R,MIL,STL,S,,,1,1,2021,-0.79,1.48,-0.14,2.28,,,,2,4,Top,,,,,553882,,,5.410000705,-141.5171534,-7.348037757,-11.9191744,34.78454157,-10.75588972,3.32,1.51,,,,97.4,2411,6.6,632397,605540,553882,500871,543939,649966,642715,607054,621438,541645,53.93,,,,,,,,26,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,210,0,-0.027
