pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,9/22/2021,87.2,-1.73,6.16,"Anderson, Ian",444482,David Peralta,666120,Ian Anderson,field_out,hit_into_play,,,,,8,"David Peralta grounds out, third baseman Austin Riley to first baseman Freddie Freeman.",R,L,R,ARI,ATL,X,5,ground_ball,2,0,2021,-0.87,0.78,-0.18,1.62,,,,2,7,Bot,166.02,137.77,,,661388,,,5.575937855,-126.7999026,-6.409318956,-10.53337148,25.67534733,-22.67756556,3.41,1.56,9,94.4,-11,88,1592,6.8,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.7,0.16,0.144,0,1,0,0,2,53,3,Changeup,1,6,1,6,6,1,1,6,Infield shift,Standard,223,-0.003,-0.142
CU,9/22/2021,78.8,-1.76,6.13,"Anderson, Ian",444482,David Peralta,666120,Ian Anderson,,ball,,,,,11,"David Peralta grounds out, third baseman Austin Riley to first baseman Freddie Freeman.",R,L,R,ARI,ATL,B,,,1,0,2021,0.09,-0.5,-0.81,3.68,,,,2,7,Bot,,,,,661388,,,1.936882022,-114.7192366,2.444058552,0.397266438,21.14326528,-37.24770163,3.41,1.56,,,,79.5,1963,6.7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.78,,,,,,,,53,2,Curveball,1,6,1,6,6,1,1,6,Infield shift,Standard,43,0,0.023
FF,9/22/2021,93.4,-1.7,6.18,"Anderson, Ian",444482,David Peralta,666120,Ian Anderson,,ball,,,,,11,"David Peralta grounds out, third baseman Austin Riley to first baseman Freddie Freeman.",R,L,R,ARI,ATL,B,,,0,0,2021,-0.41,1.34,-0.18,3.97,,,,2,7,Bot,,,,,661388,,,4.862511409,-136.0011561,-2.927135676,-6.120554109,29.60235776,-15.12617624,3.41,1.56,,,,94.6,1921,6.9,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.56,,,,,,,,53,1,4-Seam Fastball,1,6,1,6,6,1,1,6,Infield shift,Standard,205,0,0.016
FF,9/22/2021,92.4,-1.6,6.11,"Anderson, Ian",594777,Kole Calhoun,666120,Ian Anderson,field_out,hit_into_play,,,,,1,Kole Calhoun flies out sharply to center fielder Adam Duvall.,R,L,R,ARI,ATL,X,8,fly_ball,3,2,2021,-0.58,1.44,-0.66,2.87,,,,1,7,Bot,104.4,39.28,,,661388,,,3.687165299,-134.3736427,-5.57213206,-7.856096567,31.17496066,-13.76253257,3.3,1.5,398,102.5,24,93.3,1937,7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.48,0.687,1.192,0,1,0,0,6,52,6,4-Seam Fastball,1,6,1,6,6,1,1,6,Infield shift,Standard,214,-0.006,-0.212
FF,9/22/2021,92.1,-1.44,6.16,"Anderson, Ian",594777,Kole Calhoun,666120,Ian Anderson,,called_strike,,,,,1,Kole Calhoun flies out sharply to center fielder Adam Duvall.,R,L,R,ARI,ATL,S,,,3,1,2021,-0.55,1.31,-0.4,3.17,,,,1,7,Bot,,,,,661388,,,3.878610981,-133.9344848,-4.598256621,-7.433781288,31.36361754,-15.63377463,3.3,1.5,,,,93,2024,7.1,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.43,,,,,,,,52,5,4-Seam Fastball,1,6,1,6,6,1,1,6,Infield shift,Standard,205,0,-0.065
FF,9/22/2021,92.7,-1.43,6.13,"Anderson, Ian",594777,Kole Calhoun,666120,Ian Anderson,,ball,,,,,3,Kole Calhoun flies out sharply to center fielder Adam Duvall.,R,L,R,ARI,ATL,B,,,2,1,2021,-0.74,1.3,0.7,3.27,,,,1,7,Bot,,,,,661388,,,7.15250356,-134.759307,-4.361992667,-10.64357436,30.58518767,-15.60922506,3.3,1.5,,,,93.6,1937,7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.5,,,,,,,,52,4,4-Seam Fastball,1,6,1,6,6,1,1,6,Infield shift,Standard,209,0,0.083
CH,9/22/2021,88.3,-1.83,6.21,"Anderson, Ian",594777,Kole Calhoun,666120,Ian Anderson,,ball,,,,,14,Kole Calhoun flies out sharply to center fielder Adam Duvall.,R,L,R,ARI,ATL,B,,,1,1,2021,-0.8,0.81,0.1,0.42,,,,1,7,Bot,,,,,661388,,,6.403536887,-128.2160337,-9.758334808,-10.19658095,26.73635715,-21.32065075,3.3,1.5,,,,89,1663,6.8,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.67,,,,,,,,52,3,Changeup,1,6,1,6,6,1,1,6,Infield shift,Standard,219,0,0.038
CH,9/22/2021,88.2,-1.72,6.12,"Anderson, Ian",594777,Kole Calhoun,666120,Ian Anderson,,ball,,,,,13,Kole Calhoun flies out sharply to center fielder Adam Duvall.,R,L,R,ARI,ATL,B,,,0,1,2021,-0.87,0.84,-0.63,1,,,,1,7,Bot,,,,,661388,,,4.523907924,-128.1892683,-8.183860267,-10.53520659,26.18394781,-21.39206522,3.3,1.5,,,,89.1,1686,6.9,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.59,,,,,,,,52,2,Changeup,1,6,1,6,6,1,1,6,Infield shift,Standard,213,0,0.021
CH,9/22/2021,87.7,-1.79,6.17,"Anderson, Ian",594777,Kole Calhoun,666120,Ian Anderson,,swinging_strike,,,,,4,Kole Calhoun flies out sharply to center fielder Adam Duvall.,R,L,R,ARI,ATL,S,,,0,0,2021,-0.91,0.75,-0.63,2.19,,,,1,7,Bot,,,,,661388,,,4.738555994,-127.5962528,-5.109347332,-10.8797469,25.57595857,-23.1705395,3.3,1.5,,,,89,1532,7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.47,,,,,,,,52,1,Changeup,1,6,1,6,6,1,1,6,Infield shift,Standard,221,0,-0.027
FF,9/22/2021,93,-1.52,6.15,"Anderson, Ian",662139,Daulton Varsho,666120,Ian Anderson,field_out,hit_into_play,,,,,5,"Daulton Varsho grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,L,R,ARI,ATL,X,4,ground_ball,2,2,2021,-0.4,1.38,-0.17,2.69,,,,0,7,Bot,142.29,126.72,,,661388,,,4.409798986,-135.2867382,-6.189940167,-5.893177397,29.65371303,-14.10672482,3.3,1.5,3,90.3,-38,94.2,1856,7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.45,0.05,0.045,0,1,0,0,2,51,5,4-Seam Fastball,1,6,1,6,6,1,1,6,Infield shift,Standard,206,-0.009,-0.215
CH,9/22/2021,87.8,-1.75,6.11,"Anderson, Ian",662139,Daulton Varsho,666120,Ian Anderson,,ball,,,,,14,"Daulton Varsho grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,L,R,ARI,ATL,B,,,1,2,2021,-0.65,1.12,0.17,1.12,,,,0,7,Bot,,,,,661388,,,6.080187395,-127.5460549,-8.3618799,-8.34643487,24.94111361,-18.48146847,3.3,1.5,,,,88.9,1856,7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.54,,,,,,,,51,4,Changeup,1,6,1,6,6,1,1,6,Infield shift,Standard,218,0,0.042
CH,9/22/2021,86.9,-1.93,6.08,"Anderson, Ian",662139,Daulton Varsho,666120,Ian Anderson,,ball,,,,,13,"Daulton Varsho grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,L,R,ARI,ATL,B,,,0,2,2021,-0.83,1.12,-1.9,0.87,,,,0,7,Bot,,,,,661388,,,1.802071546,-126.2631779,-8.65322134,-9.269116758,26.15394015,-18.61071321,3.3,1.5,,,,87.8,1802,7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.54,,,,,,,,51,3,Changeup,1,6,1,6,6,1,1,6,Infield shift,Standard,221,0,0.022
CH,9/22/2021,87.1,-1.77,6.14,"Anderson, Ian",662139,Daulton Varsho,666120,Ian Anderson,,swinging_strike,,,,,13,"Daulton Varsho grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,L,R,ARI,ATL,S,,,0,1,2021,-0.91,1.04,-1.07,1.34,,,,0,7,Bot,,,,,661388,,,3.610518769,-126.5861485,-7.520370649,-10.55389867,27.02394011,-19.6300194,3.3,1.5,,,,87.9,1708,7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.55,,,,,,,,51,2,Changeup,1,6,1,6,6,1,1,6,Infield shift,Standard,219,0,-0.052
CU,9/22/2021,79.5,-1.76,6.21,"Anderson, Ian",662139,Daulton Varsho,666120,Ian Anderson,,called_strike,,,,,14,"Daulton Varsho grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,L,R,ARI,ATL,S,,,0,0,2021,0.07,-0.36,0.5,1.36,,,,0,7,Bot,,,,,661388,,,4.869107568,-115.6742722,-3.191176931,-0.365177216,22.5749619,-34.99935825,3.3,1.5,,,,79.9,2033,6.7,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.84,,,,,,,,51,1,Curveball,1,6,1,6,6,1,1,6,Infield shift,Standard,40,0,-0.038
FF,9/22/2021,93.8,-1.53,6.15,"Anderson, Ian",606466,Ketel Marte,666120,Ian Anderson,field_out,hit_into_play,,,,,2,"Ketel Marte grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,L,R,ARI,ATL,X,4,ground_ball,0,1,2021,-0.55,1.53,0.05,3.29,,,,2,6,Bot,146.23,128.86,,,661388,,,5.371989234,-136.4623967,-5.091116679,-8.054238165,31.19202331,-12.09069523,3.41,1.56,117,91,8,95,2097,7.1,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.44,0.503,0.463,0,1,0,0,4,45,2,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard,202,-0.003,-0.085
CH,9/22/2021,87,-1.65,6.18,"Anderson, Ian",606466,Ketel Marte,666120,Ian Anderson,,swinging_strike,,,,,13,"Ketel Marte grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,L,R,ARI,ATL,S,,,0,0,2021,-1.08,0.72,-0.54,1.09,,,,2,6,Bot,,,,,661388,,,4.942895634,-126.4671856,-7.627486254,-12.55642319,25.1509406,-23.08108081,3.41,1.56,,,,88.3,1577,7.1,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.39,,,,,,,,45,1,Changeup,1,6,1,6,6,1,1,6,Standard,Standard,217,0,-0.018
CU,9/22/2021,80.8,-1.61,6.11,"Anderson, Ian",668942,Josh Rojas,666120,Ian Anderson,field_out,hit_into_play,,,,,8,"Josh Rojas grounds out, second baseman Ozzie Albies to first baseman Freddie Freeman.",R,L,R,ARI,ATL,X,4,ground_ball,2,2,2021,-0.13,-0.56,-0.02,1.84,,,,1,6,Bot,146.73,128.17,,,661388,,,3.858095092,-117.5961755,-1.762986685,-2.018916724,23.6895764,-37.1987976,3.41,1.56,140,73,14,81.9,1968,7.1,632392,666120,661388,518692,645277,663586,621020,592696,594807,624585,53.36,0.547,0.492,0,1,0,0,4,44,5,Curveball,1,6,1,6,6,1,1,6,Standard,Standard,39,-0.007,-0.141
