pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,5/19/2021,91.2,-2.05,5.33,"Kluber, Corey",641432,Willie Calhoun,446372,Corey Kluber,,called_strike,,,,,4,Willie Calhoun called out on strikes.,R,L,R,TEX,NYY,S,,,0,0,2021,-1.23,0.79,-0.56,2.04,,,,0,1,Bot,,,,,543309,,,6.430626961,-132.6026684,-4.070065938,-15.85812719,28.73809103,-22.19835472,2.95,1.36,,,,91.9,1948,6.8,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,53.74,,,,,,,,5,1,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,215,0,-0.04
FC,5/19/2021,87.7,-1.94,5.29,"Kluber, Corey",641432,Willie Calhoun,446372,Corey Kluber,,foul,,,,,6,Willie Calhoun called out on strikes.,R,L,R,TEX,NYY,S,,,0,1,2021,0.48,0.49,0.82,2.3,,,,0,1,Bot,,,,,543309,,,5.725252696,-127.7218532,-2.167502562,4.125636133,24.8192002,-26.52706086,3.26,1.48,352,95.8,33,88.2,2388,6.5,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,54.05,,,,,,,,5,2,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,179,0,-0.054
CU,5/19/2021,82.4,-1.92,5.32,"Kluber, Corey",641432,Willie Calhoun,446372,Corey Kluber,,ball,,,,,13,Willie Calhoun called out on strikes.,R,L,R,TEX,NYY,B,,,0,2,2021,1.27,-0.42,-0.5,0.44,,,,0,1,Bot,,,,,543309,,,0.762496368,-120.0425606,-3.763990917,12.10134667,23.9666339,-35.72534468,3.04,1.49,,,,82.7,2485,6.5,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,54.01,,,,,,,,5,3,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,56,0,0.024
CH,5/19/2021,86.4,-1.91,5.28,"Kluber, Corey",641432,Willie Calhoun,446372,Corey Kluber,strikeout,called_strike,,,,,9,Willie Calhoun called out on strikes.,R,L,R,TEX,NYY,S,2,,1,2,2021,-0.83,0.74,0.66,1.88,,,,0,1,Bot,,,,,543309,,,7.865912541,-125.6140009,-3.357244873,-10.44405022,26.90464479,-23.8330688,3.03,1.45,,,,86.6,1643,6.6,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,53.92,,,0,1,0,0,,5,4,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,236,-0.021,-0.173
SI,5/19/2021,92.3,-1.84,5.24,"Kluber, Corey",669256,Nick Solak,446372,Corey Kluber,,ball,,,,,14,Nick Solak called out on strikes.,R,R,R,TEX,NYY,B,,,0,0,2021,-1.3,0.57,1.36,1.64,,,,1,1,Bot,,,,,543309,,,10.97635649,-133.9109219,-4.561315239,-17.98960424,29.4452226,-24.44228944,3.05,1.46,,,,92.4,2047,6.5,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,53.97,,,,,,,,6,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,218,0,0.025
FC,5/19/2021,88.7,-1.88,5.28,"Kluber, Corey",669256,Nick Solak,446372,Corey Kluber,,ball,,,,,12,Nick Solak called out on strikes.,R,R,R,TEX,NYY,B,,,1,0,2021,0.36,0.56,1,2.41,,,,1,1,Bot,,,,,543309,,,6.331785733,-129.1541061,-2.169837911,2.747800302,25.78535527,-25.6670707,3.06,1.47,,,,89.3,2527,6.6,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,53.95,,,,,,,,6,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,210,0,0.051
SI,5/19/2021,92.5,-1.79,5.26,"Kluber, Corey",669256,Nick Solak,446372,Corey Kluber,,foul,,,,,5,Nick Solak called out on strikes.,R,R,R,TEX,NYY,S,,,2,0,2021,-1.33,0.74,-0.15,2.52,,,,1,1,Bot,,,,,543309,,,7.116015512,-134.4741954,-2.799390262,-17.73102288,29.79454506,-22.74751627,3.32,1.51,182,63.7,45,92.8,2031,6.6,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,53.91,,,,,,,,6,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,218,0,-0.046
CH,5/19/2021,86.1,-1.89,5.28,"Kluber, Corey",669256,Nick Solak,446372,Corey Kluber,,foul,,,,,1,Nick Solak called out on strikes.,R,R,R,TEX,NYY,S,,,2,1,2021,-1.23,0.49,-0.64,2.78,,,,1,1,Bot,,,,,543309,,,5.505818961,-125.3975588,-0.704119198,-14.14001437,24.56571494,-27.1120426,3.32,1.51,3,59.5,-40,86.7,1724,6.5,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,53.96,,,,,,,,6,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,235,0,-0.053
CU,5/19/2021,83.5,-1.8,5.31,"Kluber, Corey",669256,Nick Solak,446372,Corey Kluber,strikeout,called_strike,,,,,4,Nick Solak called out on strikes.,R,R,R,TEX,NYY,S,2,,2,2,2021,1.15,-0.14,-0.51,2.43,,,,1,1,Bot,,,,,543309,,,0.714566301,-121.5440653,0.124369652,11.16042447,26.02966466,-33.84816851,3.2,1.51,,,,83.3,2472,6.3,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,54.15,,,0,1,0,0,,6,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,65,-0.016,-0.138
FC,5/19/2021,88.3,-1.92,5.27,"Kluber, Corey",663993,Nate Lowe,446372,Corey Kluber,,foul,,,,,6,Nate Lowe grounds out to first baseman Luke Voit.,R,L,R,TEX,NYY,S,,,0,0,2021,0.16,0.82,0.79,2.68,,,,2,1,Bot,,,,,543309,,,6.268141599,-128.5671842,-1.956018762,0.53044435,26.03369272,-22.86745129,3.48,1.61,6,63.7,-27,88.7,2541,6.4,634168,446372,543309,572228,518934,570482,650402,609280,458731,534606,54.08,,,,,,,,7,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,178,0,-0.019
