Season,Name,WAR,playerid
1997,Jeff Bagwell,8.0,547
1999,Jeff Bagwell,7.8,547
1994,Jeff Bagwell,7.8,547
1996,Jeff Bagwell,7.7,547
1991,Frank Thomas,7.3,255
1997,Frank Thomas,7.2,255
1992,Frank Thomas,7.1,255
1994,Frank Thomas,7.0,255
1998,Jeff Bagwell,6.7,547
1993,Frank Thomas,6.3,255
1996,Frank Thomas,6.1,255
2000,Jeff Bagwell,5.9,547
2000,Frank Thomas,5.9,255
1993,Jeff Bagwell,5.5,547
1995,Frank Thomas,5.4,255
2001,Jeff Bagwell,5.2,547
2002,Jeff Bagwell,4.8,547
1992,Jeff Bagwell,4.5,547
1995,Jeff Bagwell,4.5,547
1991,Jeff Bagwell,4.3,547
2003,Frank Thomas,4.2,255
2003,Jeff Bagwell,3.7,547
2004,Jeff Bagwell,3.6,547
1998,Frank Thomas,3.0,255
2004,Frank Thomas,2.5,255
2006,Frank Thomas,2.4,255
1990,Frank Thomas,2.4,255
1999,Frank Thomas,2.1,255
2007,Frank Thomas,1.8,255
2002,Frank Thomas,1.4,255
2005,Frank Thomas,0.4,255
2005,Jeff Bagwell,0.0,547
2001,Frank Thomas,-0.1,255
2008,Frank Thomas,-0.3,255
