Season,Name,Team,WAR,Age,playerid
1941,Vern Stephens,SLB,0.0,20,1012501
1960,Joe Torre,MIL,0.0,19,1013133
1974,Gary Carter,MON,0.4,20,1002015
2014,Troy Tulowitzki,COL,5.1,29,3531
1971,Joe Torre,STL,6.9,30,1013133
1949,Vern Stephens,BOS,7.5,28,1012501
1966,Joe Torre,ATL,6.9,25,1013133
2010,Troy Tulowitzki,COL,5.5,25,3531
2013,Troy Tulowitzki,COL,4.9,28,3531
1943,Vern Stephens,SLB,4.0,22,1012501
1970,Joe Torre,STL,6.0,29,1013133
2009,Troy Tulowitzki,COL,5.3,24,3531
2017,Carlos Correa,HOU,5.1,22,14162
1951,Vern Stephens,BOS,3.2,30,1012501
2000,Travis Fryman,CLE,4.6,31,385
1950,Vern Stephens,BOS,4.3,29,1012501
2011,Troy Tulowitzki,COL,5.4,26,3531
1982,Gary Carter,MON,8.4,28,1002015
1945,Vern Stephens,SLB,5.5,24,1012501
1944,Vern Stephens,SLB,5.6,23,1012501
1993,Travis Fryman,DET,4.5,24,385
1946,Vern Stephens,SLB,2.9,25,1012501
1977,Gary Carter,MON,5.3,23,1002015
2019,Carlos Correa,HOU,3.1,24,14162
1965,Joe Torre,MIL,5.2,24,1013133
1964,Joe Torre,MIL,5.8,23,1013133
1948,Vern Stephens,BOS,4.9,27,1012501
1984,Gary Carter,MON,7.1,30,1002015
1985,Gary Carter,NYM,6.7,31,1002015
1990,Travis Fryman,DET,2.0,21,385
2015,Carlos Correa,HOU,3.4,20,14162
2012,Troy Tulowitzki,COL,1.3,27,3531
1998,Travis Fryman,CLE,2.6,29,385
1942,Vern Stephens,SLB,2.8,21,1012501
2007,Troy Tulowitzki,COL,5.2,22,3531
1969,Joe Torre,STL,3.3,28,1013133
1979,Gary Carter,MON,5.9,25,1002015
1947,Vern Stephens,SLB,4.0,26,1012501
1980,Gary Carter,MON,6.0,26,1002015
1974,Joe Torre,STL,3.2,33,1013133
1975,Gary Carter,MON,3.2,21,1002015
1976,Joe Torre,NYM,1.5,35,1013133
1967,Joe Torre,ATL,5.0,26,1013133
1973,Joe Torre,STL,2.6,32,1013133
2016,Carlos Correa,HOU,5.2,21,14162
2019,Troy Tulowitzki,NYY,0.0,34,3531
1972,Joe Torre,STL,3.4,31,1013133
1963,Joe Torre,MIL,4.4,22,1013133
1983,Gary Carter,MON,6.8,29,1002015
1994,Travis Fryman,DET,1.9,25,385
1952,Vern Stephens,BOS,1.6,31,1012501
1955,Vern Stephens,- - -,0.5,34,1012501
1981,Gary Carter,MON,3.9,27,1002015
1978,Gary Carter,MON,5.1,24,1002015
1962,Joe Torre,MIL,2.0,21,1013133
1986,Gary Carter,NYM,3.8,32,1002015
1991,Travis Fryman,DET,3.4,22,385
1995,Travis Fryman,DET,3.5,26,385
2015,Troy Tulowitzki,- - -,2.4,30,3531
1996,Travis Fryman,DET,2.1,27,385
1961,Joe Torre,MIL,3.0,20,1013133
1997,Travis Fryman,DET,3.1,28,385
1992,Travis Fryman,DET,4.1,23,385
2016,Troy Tulowitzki,TOR,3.0,31,3531
1990,Gary Carter,SFG,1.5,36,1002015
1954,Vern Stephens,BAL,1.0,33,1012501
1968,Joe Torre,ATL,2.6,27,1013133
1953,Vern Stephens,- - -,0.7,32,1012501
2008,Troy Tulowitzki,COL,0.5,23,3531
1991,Gary Carter,LAD,1.4,37,1002015
1999,Travis Fryman,CLE,0.7,30,385
2018,Carlos Correa,HOU,1.6,23,14162
1975,Joe Torre,NYM,1.1,34,1013133
2020,Carlos Correa,HOU,0.8,25,14162
1988,Gary Carter,NYM,1.0,34,1002015
1987,Gary Carter,NYM,1.4,33,1002015
2001,Travis Fryman,CLE,-0.9,32,385
2017,Troy Tulowitzki,TOR,0.1,32,3531
1992,Gary Carter,MON,0.5,38,1002015
2002,Travis Fryman,CLE,-1.2,33,385
1976,Gary Carter,MON,1.1,22,1002015
2006,Troy Tulowitzki,COL,-0.5,21,3531
1989,Gary Carter,NYM,-0.1,35,1002015
1977,Joe Torre,NYM,-0.6,36,1013133
