Season,Name,Team,WAR,Age,playerid
1995,Rich Aurilia,SFG,0.8,23,1106
2001,Rich Aurilia,SFG,7.1,29,1106
2006,Rich Aurilia,CIN,3.0,34,1106
2006,Stephen Drew,ARI,1.0,23,4251
2016,Stephen Drew,WSN,0.8,33,4251
2000,Jose Valentin,CHW,4.5,30,256
2001,Jose Valentin,CHW,3.3,31,256
2001,Juan Uribe,COL,1.6,22,454
2014,Neil Walker,PIT,4.1,28,7539
2008,Stephen Drew,ARI,1.9,25,4251
2010,Stephen Drew,ARI,4.8,27,4251
2010,Neil Walker,PIT,1.9,24,7539
2004,Juan Uribe,CHW,3.5,25,454
2009,Juan Uribe,SFG,2.8,30,454
1997,Rich Aurilia,SFG,0.9,25,1106
2016,Neil Walker,NYM,3.6,30,7539
2018,Didi Gregorius,NYY,4.7,28,6012
2020,Didi Gregorius,PHI,1.4,30,6012
2017,Neil Walker,- - -,2.2,31,7539
1996,Jose Valentin,MIL,4.0,26,256
2006,Jose Valentin,NYM,3.0,36,256
2014,Juan Uribe,LAD,3.4,35,454
2000,Rich Aurilia,SFG,2.5,28,1106
1999,Rich Aurilia,SFG,2.1,27,1106
2005,Rich Aurilia,CIN,2.0,33,1106
2013,Stephen Drew,BOS,3.6,30,4251
2002,Jose Valentin,CHW,3.5,32,256
2017,Didi Gregorius,NYY,4.1,27,6012
2013,Juan Uribe,LAD,3.8,34,454
2012,Neil Walker,PIT,2.4,26,7539
2013,Neil Walker,PIT,2.4,27,7539
2003,Jose Valentin,CHW,3.9,33,256
1994,Jose Valentin,MIL,2.2,24,256
1999,Jose Valentin,MIL,0.0,29,256
1993,Jose Valentin,MIL,0.2,23,256
2008,Rich Aurilia,SFG,0.3,36,1106
2015,Neil Walker,PIT,2.6,29,7539
2010,Juan Uribe,SFG,2.7,31,454
2011,Neil Walker,PIT,2.5,25,7539
2003,Rich Aurilia,SFG,2.0,31,1106
2009,Stephen Drew,ARI,2.1,26,4251
2004,Jose Valentin,CHW,2.2,34,256
2015,Juan Uribe,- - -,2.0,36,454
2019,Neil Walker,MIA,0.4,33,7539
2016,Didi Gregorius,NYY,2.7,26,6012
1998,Rich Aurilia,SFG,1.9,26,1106
2011,Stephen Drew,ARI,1.6,28,4251
1998,Jose Valentin,MIL,1.5,28,256
1997,Jose Valentin,MIL,1.5,27,256
2003,Juan Uribe,COL,0.2,24,454
2002,Rich Aurilia,SFG,2.3,30,1106
2013,Didi Gregorius,ARI,1.5,23,6012
2005,Juan Uribe,CHW,2.2,26,454
1995,Jose Valentin,MIL,0.5,25,256
2015,Didi Gregorius,NYY,3.1,25,6012
2008,Juan Uribe,CHW,0.3,29,454
2007,Stephen Drew,ARI,-0.6,24,4251
2019,Didi Gregorius,NYY,0.9,29,6012
2007,Rich Aurilia,SFG,0.2,35,1106
2004,Rich Aurilia,- - -,1.1,32,1106
2007,Juan Uribe,CHW,0.6,28,454
2006,Juan Uribe,CHW,1.2,27,454
2018,Neil Walker,NYY,0.1,32,7539
2012,Stephen Drew,- - -,0.1,29,4251
2007,Jose Valentin,NYM,0.1,37,256
2014,Didi Gregorius,ARI,0.3,24,6012
2017,Stephen Drew,WSN,0.1,34,4251
2015,Stephen Drew,NYY,0.4,32,4251
2005,Jose Valentin,LAD,0.1,35,256
2002,Juan Uribe,COL,-1.6,23,454
1996,Rich Aurilia,SFG,0.3,24,1106
2012,Didi Gregorius,CIN,0.1,22,6012
2016,Juan Uribe,CLE,0.0,37,454
2011,Juan Uribe,LAD,0.0,32,454
2012,Juan Uribe,LAD,0.0,33,454
2014,Stephen Drew,- - -,-0.8,31,4251
2020,Neil Walker,PHI,-0.2,34,7539
2009,Neil Walker,PIT,-0.4,23,7539
2009,Rich Aurilia,SFG,-0.6,37,1106
1992,Jose Valentin,MIL,-0.1,22,256
