Season,Name,Team,WAR,Age,playerid
2020,Freddie Freeman,ATL,3.3,30,5361
1970,Carl Yastrzemski,BOS,8.9,30,1014326
1967,Carl Yastrzemski,BOS,11.1,27,1014326
2009,Prince Fielder,MIL,5.9,25,4613
2007,Prince Fielder,MIL,4.7,23,4613
1968,Carl Yastrzemski,BOS,9.3,28,1014326
1999,Shawn Green,TOR,6.0,26,651
2011,Prince Fielder,MIL,4.7,27,4613
2017,Freddie Freeman,ATL,4.4,27,5361
1990,Eddie Murray,LAD,5.9,34,1009386
1965,Carl Yastrzemski,BOS,4.6,25,1014326
1982,Eddie Murray,BAL,5.8,26,1009386
1983,Eddie Murray,BAL,6.8,27,1009386
2001,Shawn Green,LAD,6.7,28,651
2016,Freddie Freeman,ATL,6.1,26,5361
1984,Eddie Murray,BAL,6.8,28,1009386
2012,Prince Fielder,DET,5.0,28,4613
1988,Kent Hrbek,MIN,4.3,28,1006117
1963,Carl Yastrzemski,BOS,6.3,23,1014326
1987,Kent Hrbek,MIN,3.9,27,1006117
1981,Eddie Murray,BAL,3.6,25,1009386
2002,Shawn Green,LAD,4.9,29,651
1984,Kent Hrbek,MIN,5.6,24,1006117
1985,Eddie Murray,BAL,5.5,29,1009386
1973,Carl Yastrzemski,BOS,5.4,33,1014326
1989,Kent Hrbek,MIN,3.8,29,1006117
1969,Carl Yastrzemski,BOS,5.8,29,1014326
1974,Carl Yastrzemski,BOS,3.7,34,1014326
2013,Freddie Freeman,ATL,5.0,23,5361
2019,Freddie Freeman,ATL,4.0,29,5361
1995,Eddie Murray,CLE,2.6,39,1009386
1980,Eddie Murray,BAL,4.3,24,1009386
2010,Prince Fielder,MIL,2.6,26,4613
1977,Carl Yastrzemski,BOS,5.0,37,1014326
1986,Eddie Murray,BAL,4.1,30,1009386
2018,Freddie Freeman,ATL,5.2,28,5361
1990,Kent Hrbek,MIN,2.6,30,1006117
1983,Kent Hrbek,MIN,2.5,23,1006117
2014,Freddie Freeman,ATL,4.4,24,5361
1991,Kent Hrbek,MIN,2.7,31,1006117
2008,Prince Fielder,MIL,1.3,24,4613
1978,Eddie Murray,BAL,4.3,22,1009386
1979,Eddie Murray,BAL,4.9,23,1009386
1988,Eddie Murray,BAL,3.6,32,1009386
1982,Kent Hrbek,MIN,3.3,22,1006117
1962,Carl Yastrzemski,BOS,4.8,22,1014326
1964,Carl Yastrzemski,BOS,4.5,24,1014326
2015,Freddie Freeman,ATL,3.3,25,5361
1998,Shawn Green,TOR,3.4,25,651
1986,Kent Hrbek,MIN,2.7,26,1006117
1976,Carl Yastrzemski,BOS,3.3,36,1014326
2000,Shawn Green,LAD,3.2,27,651
1993,Kent Hrbek,MIN,2.3,33,1006117
2015,Prince Fielder,TEX,2.0,31,4613
1980,Carl Yastrzemski,BOS,0.9,40,1014326
2013,Prince Fielder,DET,2.7,29,4613
1987,Eddie Murray,BAL,4.1,31,1009386
1995,Shawn Green,TOR,0.2,22,651
2005,Shawn Green,ARI,1.2,32,651
1978,Carl Yastrzemski,BOS,2.4,38,1014326
1982,Carl Yastrzemski,BOS,1.5,42,1014326
1975,Carl Yastrzemski,BOS,2.9,35,1014326
2006,Prince Fielder,MIL,0.7,22,4613
2003,Shawn Green,LAD,1.8,30,651
1971,Carl Yastrzemski,BOS,3.8,31,1014326
1966,Carl Yastrzemski,BOS,5.1,26,1014326
2004,Shawn Green,LAD,2.2,31,651
1977,Eddie Murray,BAL,3.0,21,1009386
1997,Shawn Green,TOR,1.5,24,651
1979,Carl Yastrzemski,BOS,2.2,39,1014326
1985,Kent Hrbek,MIN,2.5,25,1006117
2011,Freddie Freeman,ATL,0.6,21,5361
1992,Kent Hrbek,MIN,1.8,32,1006117
1993,Eddie Murray,NYM,1.9,37,1009386
1996,Shawn Green,TOR,0.4,23,651
1972,Carl Yastrzemski,BOS,2.4,32,1014326
2007,Shawn Green,NYM,0.1,34,651
2012,Freddie Freeman,ATL,1.7,22,5361
1983,Carl Yastrzemski,BOS,0.4,43,1014326
1992,Eddie Murray,NYM,2.0,36,1009386
2006,Shawn Green,- - -,-0.7,33,651
1994,Kent Hrbek,MIN,-0.3,34,1006117
2005,Prince Fielder,MIL,0.1,21,4613
1989,Eddie Murray,LAD,3.1,33,1009386
1996,Eddie Murray,- - -,-0.4,40,1009386
1961,Carl Yastrzemski,BOS,0.2,21,1014326
1981,Carl Yastrzemski,BOS,0.5,41,1014326
1991,Eddie Murray,LAD,1.8,35,1009386
1994,Eddie Murray,CLE,-0.7,38,1009386
2014,Prince Fielder,TEX,-0.4,30,4613
1981,Kent Hrbek,MIN,-0.1,21,1006117
2016,Prince Fielder,TEX,-1.8,32,4613
1997,Eddie Murray,- - -,-0.8,41,1009386
2010,Freddie Freeman,ATL,-0.2,20,5361
1994,Shawn Green,TOR,-0.7,21,651
1993,Shawn Green,TOR,-0.1,20,651
