Season,Name,Team,WAR,Age,playerid
1994,Kevin Mitchell,CIN,4.2,32,1009004
1989,Kevin Mitchell,SFG,6.9,27,1009004
1997,David Justice,CLE,4.2,31,923
1993,Kevin Mitchell,CIN,2.9,31,1009004
1987,Eric Davis,CIN,7.1,25,1003048
1994,David Justice,ATL,3.7,28,923
1998,Eric Davis,BAL,3.2,36,1003048
1996,Kevin Mitchell,- - -,1.1,34,1009004
2000,David Justice,- - -,5.2,34,923
2019,George Springer,HOU,6.5,29,12856
1996,David Justice,ATL,2.4,30,923
1994,Jay Buhner,SEA,2.5,29,1001638
1990,David Justice,ATL,3.3,24,923
1996,Eric Davis,CIN,3.4,34,1003048
1989,Eric Davis,CIN,3.1,27,1003048
1990,Kevin Mitchell,SFG,4.2,28,1009004
1986,Eric Davis,CIN,4.7,24,1003048
1996,Jay Buhner,SEA,3.7,31,1001638
1964,Tony Conigliaro,BOS,1.9,19,1002502
1997,Jay Buhner,SEA,3.0,32,1001638
1999,David Justice,CLE,3.2,33,923
1991,David Justice,ATL,1.8,25,923
1995,Jay Buhner,SEA,2.6,30,1001638
1967,Tony Conigliaro,BOS,3.0,22,1002502
1997,Eric Davis,BAL,1.1,35,1003048
2020,George Springer,HOU,1.9,30,12856
2000,Jay Buhner,SEA,1.6,35,1001638
2017,George Springer,HOU,4.5,27,12856
1993,David Justice,ATL,5.1,27,923
1988,Eric Davis,CIN,4.3,26,1003048
1993,Jay Buhner,SEA,2.3,28,1001638
1965,Tony Conigliaro,BOS,3.2,20,1002502
1990,Jay Buhner,SEA,0.4,25,1001638
1989,Jay Buhner,SEA,1.3,24,1001638
1991,Kevin Mitchell,SFG,2.1,29,1009004
1990,Eric Davis,CIN,3.1,28,1003048
1995,David Justice,ATL,3.5,29,923
1991,Jay Buhner,SEA,0.9,26,1001638
1999,Jay Buhner,SEA,0.9,34,1001638
2000,Eric Davis,STL,1.3,38,1003048
1998,David Justice,CLE,1.7,32,923
1970,Tony Conigliaro,BOS,2.4,25,1002502
2015,George Springer,HOU,3.9,25,12856
1992,David Justice,ATL,5.1,26,923
1986,Kevin Mitchell,NYM,2.7,24,1009004
1987,Kevin Mitchell,- - -,3.8,25,1009004
1966,Tony Conigliaro,BOS,2.3,21,1002502
1998,Jay Buhner,SEA,0.2,33,1001638
2016,George Springer,HOU,5.0,26,12856
2014,George Springer,HOU,1.9,24,12856
1984,Eric Davis,CIN,1.1,22,1003048
2002,David Justice,OAK,0.6,36,923
1992,Kevin Mitchell,SEA,0.2,30,1009004
1985,Eric Davis,CIN,1.1,23,1003048
1992,Jay Buhner,SEA,0.3,27,1001638
1999,Eric Davis,STL,0.1,37,1003048
2018,George Springer,HOU,2.9,28,12856
1969,Tony Conigliaro,BOS,-0.7,24,1002502
1991,Eric Davis,CIN,1.4,29,1003048
1988,Kevin Mitchell,SFG,2.6,26,1009004
2001,Jay Buhner,SEA,0.0,36,1001638
2001,David Justice,NYY,0.6,35,923
1988,Jay Buhner,- - -,2.7,23,1001638
1993,Eric Davis,- - -,0.7,31,1003048
1992,Eric Davis,LAD,0.2,30,1003048
1989,David Justice,ATL,0.1,23,923
1971,Tony Conigliaro,CAL,0.3,26,1002502
1997,Kevin Mitchell,CLE,-0.5,35,1009004
1998,Kevin Mitchell,OAK,-0.6,36,1009004
2001,Eric Davis,SFG,-0.6,39,1003048
1994,Eric Davis,DET,-0.4,32,1003048
1987,Jay Buhner,NYY,-0.2,22,1001638
1975,Tony Conigliaro,BOS,-0.5,30,1002502
1984,Kevin Mitchell,NYM,-0.1,22,1009004
