Season,Name,WAR,Age,playerid
2006,Ryan Klesko,0.2,35,1041
1993,Ryan Klesko,0.3,22,1041
1994,Kevin Mitchell,4.2,32,1009004
2004,Jim Edmonds,8.3,34,1153
1989,Kevin Mitchell,6.9,27,1009004
2017,J.D. Martinez,3.8,29,6184
1997,David Justice,4.2,31,923
2018,J.D. Martinez,5.9,30,6184
1993,Kevin Mitchell,2.9,31,1009004
2000,Jim Edmonds,6.5,30,1153
1995,Ryan Klesko,2.1,24,1041
2003,Jim Edmonds,6.3,33,1153
1994,David Justice,3.7,28,923
2002,Jim Edmonds,6.7,32,1153
2001,Jim Edmonds,6.2,31,1153
1996,Kevin Mitchell,1.1,34,1009004
2000,David Justice,5.2,34,923
1996,Jim Edmonds,5.0,26,1153
1996,David Justice,2.4,30,923
1990,David Justice,3.3,24,923
2000,Geoff Jenkins,4.5,25,690
1999,Geoff Jenkins,4.5,24,690
1990,Kevin Mitchell,4.2,28,1009004
2002,Ryan Klesko,4.6,31,1041
2014,J.D. Martinez,3.8,26,6184
2000,Ryan Klesko,3.2,29,1041
2005,Jim Edmonds,6.1,35,1153
2001,Ryan Klesko,4.0,30,1041
1999,David Justice,3.2,33,923
2019,J.D. Martinez,3.2,31,6184
2003,Geoff Jenkins,3.1,28,690
1991,David Justice,1.8,25,923
2016,J.D. Martinez,2.3,28,6184
1999,Ryan Klesko,1.2,28,1041
1995,Jim Edmonds,5.3,25,1153
1994,Ryan Klesko,1.4,23,1041
2005,Geoff Jenkins,4.9,30,690
1996,Ryan Klesko,3.8,25,1041
1998,Jim Edmonds,4.0,28,1153
1993,David Justice,5.1,27,923
1997,Jim Edmonds,4.0,27,1153
2015,J.D. Martinez,5.2,27,6184
1991,Kevin Mitchell,2.1,29,1009004
2004,Ryan Klesko,1.7,33,1041
2010,Jim Edmonds,2.4,40,1153
1995,David Justice,3.5,29,923
1998,David Justice,1.7,32,923
1998,Ryan Klesko,2.8,27,1041
1992,David Justice,5.1,26,923
1986,Kevin Mitchell,2.7,24,1009004
1987,Kevin Mitchell,3.8,25,1009004
2008,Jim Edmonds,0.3,38,1153
1997,Ryan Klesko,1.4,26,1041
2002,David Justice,0.6,36,923
1992,Kevin Mitchell,0.2,30,1009004
2003,Ryan Klesko,1.4,32,1041
2006,Jim Edmonds,1.7,36,1153
2005,Ryan Klesko,1.5,34,1041
2006,Geoff Jenkins,1.3,31,690
2001,Geoff Jenkins,1.3,26,690
1999,Jim Edmonds,0.4,29,1153
2004,Geoff Jenkins,2.5,29,690
1988,Kevin Mitchell,2.6,26,1009004
2007,Geoff Jenkins,1.2,32,690
2002,Geoff Jenkins,0.9,27,690
2007,Ryan Klesko,0.8,36,1041
2001,David Justice,0.6,35,923
2011,J.D. Martinez,1.1,23,6184
1994,Jim Edmonds,1.0,24,1153
2007,Jim Edmonds,0.5,37,1153
2012,J.D. Martinez,-0.3,24,6184
2008,Geoff Jenkins,0.3,33,690
1998,Geoff Jenkins,0.0,23,690
2020,J.D. Martinez,-1.0,32,6184
1989,David Justice,0.1,23,923
2013,J.D. Martinez,-0.9,25,6184
1997,Kevin Mitchell,-0.5,35,1009004
1998,Kevin Mitchell,-0.6,36,1009004
1993,Jim Edmonds,-0.2,23,1153
1984,Kevin Mitchell,-0.1,22,1009004
1992,Ryan Klesko,-0.3,21,1041
