Season,Name,Team,WAR,Age,playerid
1971,Bobby Murcer,NYY,6.5,25,1009338
1942,Joe Gordon,NYY,8.8,27,1004874
2020,Jose Ramirez,CLE,3.4,27,13510
1999,Shawn Green,TOR,6.0,26,651
2013,Jose Ramirez,CLE,0.2,20,13510
1948,Joe Gordon,CLE,7.1,33,1004874
2001,Shawn Green,LAD,6.7,28,651
1972,Bobby Murcer,NYY,7.4,26,1009338
2017,Jose Ramirez,CLE,6.5,24,13510
1939,Joe Gordon,NYY,6.6,24,1004874
1972,Richie Hebner,PIT,5.6,24,1005571
2002,Shawn Green,LAD,4.9,29,651
2018,Jose Ramirez,CLE,8.1,25,13510
1947,Joe Gordon,CLE,6.9,32,1004874
2007,Hank Blalock,TEX,1.0,26,1419
1941,Joe Gordon,NYY,5.9,26,1004874
1984,Richie Hebner,CHC,0.7,36,1005571
1940,Joe Gordon,NYY,6.1,25,1004874
1938,Joe Gordon,NYY,3.8,23,1004874
1975,Bobby Murcer,SFG,1.4,29,1009338
1977,Richie Hebner,PHI,2.5,29,1005571
1943,Joe Gordon,NYY,6.8,28,1004874
2003,Hank Blalock,TEX,4.8,22,1419
1974,Richie Hebner,PIT,3.4,26,1005571
1973,Bobby Murcer,NYY,4.6,27,1009338
1978,Richie Hebner,PHI,2.7,30,1005571
1980,Richie Hebner,DET,1.9,32,1005571
1970,Richie Hebner,PIT,3.2,22,1005571
1976,Bobby Murcer,SFG,2.3,30,1009338
1971,Richie Hebner,PIT,2.7,23,1005571
2004,Hank Blalock,TEX,4.1,23,1419
1973,Richie Hebner,PIT,3.3,25,1005571
1998,Shawn Green,TOR,3.4,25,651
2000,Shawn Green,LAD,3.2,27,651
2008,Hank Blalock,TEX,0.4,27,1419
1969,Richie Hebner,PIT,3.5,21,1005571
1981,Bobby Murcer,NYY,0.5,35,1009338
1949,Joe Gordon,CLE,4.5,34,1004874
1995,Shawn Green,TOR,0.2,22,651
2005,Shawn Green,ARI,1.2,32,651
2016,Jose Ramirez,CLE,4.7,23,13510
1982,Richie Hebner,- - -,1.7,34,1005571
1950,Joe Gordon,CLE,2.0,35,1004874
2003,Shawn Green,LAD,1.8,30,651
1977,Bobby Murcer,CHC,0.4,31,1009338
2004,Shawn Green,LAD,2.2,31,651
1997,Shawn Green,TOR,1.5,24,651
1978,Bobby Murcer,CHC,0.5,32,1009338
1969,Bobby Murcer,NYY,2.6,23,1009338
1970,Bobby Murcer,NYY,3.7,24,1009338
1980,Bobby Murcer,NYY,0.4,34,1009338
1996,Shawn Green,TOR,0.4,23,651
2007,Shawn Green,NYM,0.1,34,651
1979,Bobby Murcer,- - -,1.4,33,1009338
2006,Shawn Green,- - -,-0.7,33,651
1979,Richie Hebner,NYM,2.2,31,1005571
2019,Jose Ramirez,CLE,3.4,26,13510
2005,Hank Blalock,TEX,0.2,24,1419
1975,Richie Hebner,PIT,0.6,27,1005571
1965,Bobby Murcer,NYY,0.4,19,1009338
1976,Richie Hebner,PIT,1.8,28,1005571
1974,Bobby Murcer,NYY,1.0,28,1009338
1983,Richie Hebner,PIT,0.4,35,1005571
2006,Hank Blalock,TEX,-0.4,25,1419
2009,Hank Blalock,TEX,-0.4,28,1419
1946,Joe Gordon,NYY,2.1,31,1004874
1982,Bobby Murcer,NYY,-0.2,36,1009338
2010,Hank Blalock,TBR,-0.1,29,1419
1981,Richie Hebner,DET,-0.1,33,1005571
2014,Jose Ramirez,CLE,1.0,21,13510
2002,Hank Blalock,TEX,-0.2,21,1419
2015,Jose Ramirez,CLE,0.5,22,13510
1983,Bobby Murcer,NYY,-0.1,37,1009338
1985,Richie Hebner,CHC,-0.4,37,1005571
1966,Bobby Murcer,NYY,-0.4,20,1009338
1994,Shawn Green,TOR,-0.7,21,651
1968,Richie Hebner,PIT,0.0,20,1005571
1993,Shawn Green,TOR,-0.1,20,651
