Season,Name,WAR,Age,playerid
1995,Brian Giles,0.2,24,990
1961,Norm Cash,10.2,26,1002043
1961,Jim Gentile,8.0,27,1004612
2002,Brian Giles,6.9,31,990
1996,Brian Giles,1.4,25,990
1999,Brian Giles,6.7,28,990
2000,Brian Giles,6.3,29,990
2017,Aaron Judge,8.3,25,15640
2001,Brian Giles,5.5,30,990
2001,Craig Wilson,1.5,24,1015
2003,Brian Giles,4.6,32,990
1957,Jim Gentile,0.1,23,1004612
1971,Norm Cash,3.8,36,1002043
1960,Norm Cash,3.0,25,1002043
1960,Jim Gentile,3.6,26,1004612
1958,Leon Wagner,1.6,24,1013487
2005,Brian Giles,5.9,34,990
2018,Aaron Judge,5.1,26,15640
1962,Norm Cash,4.3,27,1002043
1965,Norm Cash,5.2,30,1002043
2019,Aaron Judge,4.6,27,15640
1965,Leon Wagner,2.9,31,1013487
1963,Norm Cash,4.4,28,1002043
2008,Brian Giles,4.1,37,990
1961,Leon Wagner,1.8,27,1013487
2020,Aaron Judge,0.9,28,15640
1969,Norm Cash,3.2,34,1002043
1998,Brian Giles,4.0,27,990
2003,Craig Wilson,1.8,26,1015
1964,Jim Gentile,2.1,30,1004612
1973,Norm Cash,1.9,38,1002043
1970,Norm Cash,2.4,35,1002043
1968,Norm Cash,3.5,33,1002043
2004,Craig Wilson,1.1,27,1015
2004,Brian Giles,5.0,33,990
1969,Leon Wagner,0.1,35,1013487
1966,Norm Cash,4.0,31,1002043
1997,Brian Giles,2.1,26,990
1962,Leon Wagner,1.9,28,1013487
2005,Craig Wilson,1.0,28,1015
1963,Leon Wagner,2.9,29,1013487
1964,Norm Cash,2.9,29,1002043
1962,Jim Gentile,2.6,28,1004612
2002,Craig Wilson,1.0,25,1015
1967,Norm Cash,3.8,32,1002043
1972,Norm Cash,1.7,37,1002043
1963,Jim Gentile,3.2,29,1004612
1965,Jim Gentile,1.1,31,1004612
2007,Brian Giles,1.0,36,990
2006,Brian Giles,3.0,35,990
1974,Norm Cash,0.1,39,1002043
1959,Leon Wagner,0.5,25,1013487
1966,Leon Wagner,2.0,32,1013487
1959,Norm Cash,0.4,24,1002043
1964,Leon Wagner,-0.1,30,1013487
2006,Craig Wilson,-0.7,29,1015
1966,Jim Gentile,0.3,32,1004612
1967,Leon Wagner,0.1,33,1013487
1968,Leon Wagner,-0.3,34,1013487
1960,Leon Wagner,0.1,26,1013487
2007,Craig Wilson,-0.2,30,1015
2016,Aaron Judge,-0.2,24,15640
2009,Brian Giles,-1.8,38,990
1958,Norm Cash,0.0,23,1002043
1958,Jim Gentile,-0.5,24,1004612
