Season,Name,WAR,playerid
2015,Clayton Kershaw,8.6,2036
2014,Clayton Kershaw,7.9,2036
2018,Max Scherzer,7.5,3137
2011,Clayton Kershaw,7.3,2036
2013,Clayton Kershaw,7.2,2036
2015,Max Scherzer,6.5,3137
2019,Max Scherzer,6.5,3137
2017,Max Scherzer,6.4,3137
2016,Clayton Kershaw,6.3,2036
2012,Clayton Kershaw,6.1,2036
2013,Max Scherzer,5.9,3137
2016,Max Scherzer,5.6,3137
2014,Max Scherzer,5.6,3137
2010,Clayton Kershaw,4.6,2036
2012,Max Scherzer,4.5,3137
2017,Clayton Kershaw,4.3,2036
2009,Clayton Kershaw,4.1,2036
2010,Max Scherzer,4.0,3137
2019,Clayton Kershaw,3.4,2036
2018,Clayton Kershaw,3.3,2036
2009,Max Scherzer,2.7,3137
2011,Max Scherzer,2.3,3137
2020,Max Scherzer,1.8,3137
2020,Clayton Kershaw,1.4,2036
2008,Clayton Kershaw,1.3,2036
2008,Max Scherzer,1.1,3137
