Date,Team,Opp,IP,IPOUTS,ER
5/7/2010,ATL,PHI,1,3,0
5/8/2010,ATL,PHI,0.1,1,0
5/15/2010,ATL,ARI,1,3,1
5/20/2010,ATL,CIN,1,3,0
6/5/2010,ATL,LAD,1,3,0
6/7/2010,ATL,ARI,1,3,0
6/15/2010,ATL,TBR,2,6,0
6/20/2010,ATL,KCR,1,3,0
8/27/2010,ATL,FLA,1,3,0
9/9/2010,ATL,STL,1,3,0
9/11/2010,ATL,STL,1,3,0
9/12/2010,ATL,STL,1,3,0
9/15/2010,ATL,WSN,1,3,0
9/19/2010,ATL,NYM,1,3,0
9/21/2010,ATL,PHI,1,3,0
9/22/2010,ATL,PHI,0.2,2,0
9/25/2010,ATL,WSN,1,3,0
9/26/2010,ATL,WSN,1,3,0
9/28/2010,ATL,FLA,1,3,0
9/29/2010,ATL,FLA,1,3,0
10/2/2010,ATL,PHI,0.2,2,0
3/31/2011,ATL,WSN,1,3,0
4/4/2011,ATL,MIL,1,3,0
4/8/2011,ATL,PHI,1,3,0
4/10/2011,ATL,PHI,1,3,0
4/14/2011,ATL,FLA,1,3,0
4/16/2011,ATL,NYM,1,3,0
4/21/2011,ATL,LAD,2,6,1
4/22/2011,ATL,SFG,1,3,0
4/23/2011,ATL,SFG,0.1,1,0
4/27/2011,ATL,SDP,1,3,0
4/29/2011,ATL,STL,1,3,1
4/30/2011,ATL,STL,0.1,1,1
5/2/2011,ATL,MIL,1,3,0
5/5/2011,ATL,MIL,1,3,0
5/6/2011,ATL,PHI,1,3,0
5/8/2011,ATL,PHI,1,3,0
5/11/2011,ATL,WSN,1,3,2
5/12/2011,ATL,WSN,1,3,0
5/14/2011,ATL,PHI,1,3,0
5/15/2011,ATL,PHI,1,3,0
5/16/2011,ATL,HOU,1,3,0
5/18/2011,ATL,ARI,0.1,1,2
5/21/2011,ATL,LAA,1,3,0
5/24/2011,ATL,PIT,1,3,0
5/25/2011,ATL,PIT,1,3,0
5/27/2011,ATL,CIN,1,3,2
5/28/2011,ATL,CIN,1,3,0
5/29/2011,ATL,CIN,1,3,0
6/1/2011,ATL,SDP,1,3,0
6/3/2011,ATL,NYM,1,3,0
6/7/2011,ATL,FLA,1,3,0
6/8/2011,ATL,FLA,1,3,2
6/11/2011,ATL,HOU,1,3,1
6/14/2011,ATL,NYM,1,3,0
6/16/2011,ATL,NYM,1,3,0
6/18/2011,ATL,TEX,1,3,0
6/19/2011,ATL,TEX,1,3,0
6/20/2011,ATL,TOR,1,3,0
6/22/2011,ATL,TOR,1,3,0
6/27/2011,ATL,SEA,1,3,0
6/28/2011,ATL,SEA,1,3,0
6/29/2011,ATL,SEA,1,3,0
7/2/2011,ATL,BAL,1,3,0
7/4/2011,ATL,COL,1,3,0
7/5/2011,ATL,COL,1,3,0
7/7/2011,ATL,COL,1,3,0
7/9/2011,ATL,PHI,1,3,0
7/17/2011,ATL,WSN,1,3,0
7/18/2011,ATL,COL,1,3,0
7/21/2011,ATL,COL,1,3,0
7/22/2011,ATL,CIN,1,3,0
7/26/2011,ATL,PIT,1,3,0
7/27/2011,ATL,PIT,1,3,0
7/30/2011,ATL,FLA,1,3,0
8/3/2011,ATL,WSN,1,3,0
8/5/2011,ATL,NYM,1,3,0
8/7/2011,ATL,NYM,1,3,0
8/8/2011,ATL,FLA,0.2,2,0
8/9/2011,ATL,FLA,1,3,0
8/14/2011,ATL,CHC,1,3,0
8/16/2011,ATL,SFG,1,3,0
8/18/2011,ATL,SFG,1,3,0
8/19/2011,ATL,ARI,1,3,0
8/21/2011,ATL,ARI,1,3,0
8/23/2011,ATL,CHC,1,3,0
8/30/2011,ATL,WSN,1,3,0
8/31/2011,ATL,WSN,1,3,0
9/1/2011,ATL,WSN,1,3,0
9/3/2011,ATL,LAD,1,3,0
9/4/2011,ATL,LAD,1,3,0
9/8/2011,ATL,NYM,1,3,0
9/9/2011,ATL,STL,1,3,2
9/12/2011,ATL,FLA,1,3,0
9/14/2011,ATL,FLA,1,3,0
9/17/2011,ATL,NYM,1,3,0
9/18/2011,ATL,NYM,1,3,1
9/19/2011,ATL,FLA,0.2,2,2
9/23/2011,ATL,WSN,1,3,0
9/28/2011,ATL,PHI,0.2,2,1
4/10/2012,ATL,HOU,1,3,0
4/11/2012,ATL,HOU,1,3,0
4/13/2012,ATL,MIL,1,3,0
4/14/2012,ATL,MIL,1,3,0
4/20/2012,ATL,ARI,1,3,1
4/21/2012,ATL,ARI,1,3,0
4/24/2012,ATL,LAD,1,3,0
4/25/2012,ATL,LAD,1,3,0
4/29/2012,ATL,PIT,1,3,1
5/2/2012,ATL,PHI,1,3,1
5/4/2012,ATL,COL,1,3,1
5/8/2012,ATL,CHC,1,3,0
5/11/2012,ATL,STL,1,3,0
5/15/2012,ATL,CIN,1,3,0
5/18/2012,ATL,TBR,1,3,0
5/20/2012,ATL,TBR,1,3,0
5/26/2012,ATL,WSN,1,3,0
5/29/2012,ATL,STL,1,3,0
5/30/2012,ATL,STL,1,3,0
6/3/2012,ATL,WSN,1,3,0
6/6/2012,ATL,MIA,1,3,0
6/8/2012,ATL,TOR,1,3,0
6/9/2012,ATL,TOR,1,3,0
6/13/2012,ATL,NYY,1,3,0
6/15/2012,ATL,BAL,1,3,0
6/19/2012,ATL,NYY,1,3,0
6/22/2012,ATL,BOS,1,3,0
6/27/2012,ATL,ARI,1,3,0
6/28/2012,ATL,ARI,1,3,1
6/30/2012,ATL,WSN,1,3,0
7/5/2012,ATL,CHC,1,3,0
7/7/2012,ATL,PHI,1,3,0
7/8/2012,ATL,PHI,1,3,0
7/13/2012,ATL,NYM,1,3,0
7/14/2012,ATL,NYM,1,3,0
7/18/2012,ATL,SFG,1,3,0
7/19/2012,ATL,SFG,1,3,0
7/20/2012,ATL,WSN,1,3,1
7/24/2012,ATL,MIA,1,3,0
7/28/2012,ATL,PHI,1,3,0
8/2/2012,ATL,MIA,1,3,0
8/3/2012,ATL,HOU,1,3,0
