Season,Name,Team,WAR,Age,playerid
2006,Mike DeJean,COL,0.0,35,682
2020,Liam Hendriks,OAK,1.4,31,3548
2019,Liam Hendriks,OAK,3.8,30,3548
2005,Cliff Politte,CHW,1.1,31,967
2013,Bobby Parnell,NYM,1.6,28,9926
2001,Cliff Politte,PHI,0.3,27,967
2012,Bobby Parnell,NYM,0.9,27,9926
2012,David Hernandez,ARI,2.0,27,4259
2018,David Hernandez,CIN,1.1,33,4259
2001,Mike DeJean,MIL,0.8,30,682
2010,Bobby Parnell,NYM,0.8,25,9926
2015,Liam Hendriks,TOR,1.5,26,3548
1998,Mike DeJean,COL,0.7,27,682
2017,David Hernandez,- - -,1.0,32,4259
2002,Mike DeJean,MIL,0.4,31,682
2003,Kevin Gregg,ANA,0.4,25,1793
2011,David Hernandez,ARI,1.1,26,4259
2008,Kevin Gregg,FLA,0.9,30,1793
2013,Kevin Gregg,CHC,0.0,35,1793
2010,Kevin Gregg,TOR,0.7,32,1793
2007,Kevin Gregg,FLA,1.1,29,1793
2011,Bobby Parnell,NYM,0.7,26,9926
2000,Cliff Politte,PHI,0.7,26,967
2002,Cliff Politte,- - -,1.3,28,967
2016,Liam Hendriks,OAK,1.4,27,3548
2016,David Hernandez,PHI,0.3,31,4259
1997,Mike DeJean,COL,0.7,26,682
2018,Liam Hendriks,OAK,0.1,29,3548
2006,Kevin Gregg,LAA,0.7,28,1793
2004,Kevin Gregg,ANA,1.4,26,1793
2017,Liam Hendriks,OAK,1.0,28,3548
2015,David Hernandez,ARI,-0.1,30,4259
2010,David Hernandez,BAL,0.8,25,4259
2011,Kevin Gregg,BAL,-0.4,33,1793
2004,Cliff Politte,CHW,0.4,30,967
2013,David Hernandez,ARI,-0.3,28,4259
2005,Mike DeJean,- - -,0.9,34,682
2004,Mike DeJean,- - -,0.7,33,682
2003,Mike DeJean,- - -,-0.4,32,682
2009,Kevin Gregg,CHC,-0.3,31,1793
2000,Mike DeJean,COL,-0.1,29,682
2012,Kevin Gregg,BAL,-0.2,34,1793
2005,Kevin Gregg,LAA,0.0,27,1793
2014,Liam Hendriks,- - -,0.4,25,3548
2009,Bobby Parnell,NYM,0.7,24,9926
2008,Bobby Parnell,NYM,0.1,23,9926
2009,David Hernandez,BAL,-0.6,24,4259
2012,Liam Hendriks,MIN,-0.1,23,3548
2003,Cliff Politte,TOR,-0.3,29,967
2011,Liam Hendriks,MIN,0.2,22,3548
1998,Cliff Politte,STL,0.0,24,967
2015,Bobby Parnell,NYM,-0.1,30,9926
2016,Bobby Parnell,DET,-0.1,31,9926
2013,Liam Hendriks,MIN,-0.1,24,3548
1999,Cliff Politte,PHI,-0.1,25,967
2019,David Hernandez,CIN,0.4,34,4259
1999,Mike DeJean,COL,-0.7,28,682
2006,Cliff Politte,CHW,-0.7,32,967
2014,Bobby Parnell,NYM,0.0,29,9926
2014,Kevin Gregg,MIA,-0.2,36,1793
2015,Kevin Gregg,CIN,-0.2,37,1793
