Season,Name,Team,WAR,Age,playerid
1997,Jeff Blauser,ATL,5.2,31,1001062
1993,Jeff Blauser,ATL,5.4,27,1001062
2019,Marcus Semien,OAK,7.6,28,12533
2006,Stephen Drew,ARI,1.0,23,4251
1992,Jeff Blauser,ATL,2.5,26,1001062
2016,Stephen Drew,WSN,0.8,33,4251
2001,Juan Uribe,COL,1.6,22,454
2008,J.J. Hardy,MIL,4.0,25,3797
2008,Stephen Drew,ARI,1.9,25,4251
2010,Stephen Drew,ARI,4.8,27,4251
2011,Brandon Phillips,CIN,5.4,30,791
2004,Juan Uribe,CHW,3.5,25,454
2009,Juan Uribe,SFG,2.8,30,454
2007,Brandon Phillips,CIN,4.4,26,791
1991,Jeff Blauser,ATL,0.5,25,1001062
2011,J.J. Hardy,BAL,4.5,28,3797
1996,Jeff Blauser,ATL,0.6,30,1001062
1999,Jeff Blauser,CHC,0.6,33,1001062
2007,J.J. Hardy,MIL,3.9,24,3797
2014,Juan Uribe,LAD,3.4,35,454
1990,Jeff Blauser,ATL,0.8,24,1001062
2013,Stephen Drew,BOS,3.6,30,4251
2002,Brandon Phillips,CLE,0.2,21,791
2010,Brandon Phillips,CIN,3.8,29,791
2009,Brandon Phillips,CIN,2.7,28,791
2013,Juan Uribe,LAD,3.8,34,454
1989,Jeff Blauser,ATL,0.9,23,1001062
2012,Brandon Phillips,CIN,3.3,31,791
2010,Juan Uribe,SFG,2.7,31,454
2008,Brandon Phillips,CIN,2.7,27,791
2006,Brandon Phillips,CIN,1.4,25,791
2013,J.J. Hardy,BAL,3.2,30,3797
2009,Stephen Drew,ARI,2.1,26,4251
2015,Juan Uribe,- - -,2.0,36,454
1994,Jeff Blauser,ATL,1.9,28,1001062
2017,Brandon Phillips,- - -,1.6,36,791
2015,Brandon Phillips,CIN,2.5,34,791
2011,Stephen Drew,ARI,1.6,28,4251
2016,Marcus Semien,OAK,2.1,25,12533
2016,Brandon Phillips,CIN,0.9,35,791
2010,J.J. Hardy,MIN,2.1,27,3797
2017,Marcus Semien,OAK,1.7,26,12533
2003,Juan Uribe,COL,0.2,24,454
2015,Marcus Semien,OAK,1.4,24,12533
2005,J.J. Hardy,MIL,1.6,22,3797
2005,Juan Uribe,CHW,2.2,26,454
2018,Marcus Semien,OAK,3.9,27,12533
2013,Brandon Phillips,CIN,2.7,32,791
2016,J.J. Hardy,BAL,2.1,33,3797
1987,Jeff Blauser,ATL,0.0,21,1001062
2014,J.J. Hardy,BAL,3.0,31,3797
1995,Jeff Blauser,ATL,1.0,29,1001062
2014,Marcus Semien,CHW,0.5,23,12533
2006,J.J. Hardy,MIL,0.5,23,3797
2008,Juan Uribe,CHW,0.3,29,454
2007,Stephen Drew,ARI,-0.6,24,4251
2014,Brandon Phillips,CIN,1.4,33,791
1998,Jeff Blauser,CHC,-0.3,32,1001062
2020,Marcus Semien,OAK,1.2,29,12533
1988,Jeff Blauser,ATL,0.5,22,1001062
2007,Juan Uribe,CHW,0.6,28,454
2009,J.J. Hardy,MIL,1.0,26,3797
2006,Juan Uribe,CHW,1.2,27,454
2012,Stephen Drew,- - -,0.1,29,4251
2013,Marcus Semien,CHW,0.2,22,12533
2012,J.J. Hardy,BAL,2.4,29,3797
2017,Stephen Drew,WSN,0.1,34,4251
2015,Stephen Drew,NYY,0.4,32,4251
2002,Juan Uribe,COL,-1.6,23,454
2016,Juan Uribe,CLE,0.0,37,454
2017,J.J. Hardy,BAL,-0.8,34,3797
2011,Juan Uribe,LAD,0.0,32,454
2015,J.J. Hardy,BAL,0.0,32,3797
2012,Juan Uribe,LAD,0.0,33,454
2003,Brandon Phillips,CLE,-0.8,22,791
2018,Brandon Phillips,BOS,-0.3,37,791
2014,Stephen Drew,- - -,-0.8,31,4251
2004,Brandon Phillips,CLE,-0.3,23,791
2005,Brandon Phillips,CLE,-0.2,24,791
