Season,Name,WAR,Age,playerid
1985,Dennis Leonard,0.0,34,1007531
2011,Josh Johnson,1.7,27,4567
1967,Jim Bunning,6.8,35,1001653
2010,Josh Johnson,6.0,26,4567
1966,Jim Bunning,6.8,34,1001653
2016,Noah Syndergaard,6.0,23,11762
1965,Jim Bunning,7.3,33,1001653
1964,Jim Bunning,5.6,32,1001653
1957,Jim Bunning,3.9,25,1001653
1957,Frank Sullivan,6.4,27,1012691
1990,Doug Drabek,4.2,27,1003473
1992,Doug Drabek,4.8,29,1003473
1960,Jim Bunning,6.9,28,1001653
1989,Doug Drabek,2.5,26,1003473
1994,Doug Drabek,2.9,31,1003473
1955,Frank Sullivan,4.7,25,1012691
2017,Noah Syndergaard,1.4,24,11762
1981,Dennis Leonard,3.7,30,1007531
2018,Noah Syndergaard,4.2,25,11762
1977,Dennis Leonard,7.9,26,1007531
1991,Doug Drabek,3.9,28,1003473
1988,Doug Drabek,2.4,25,1003473
2006,Josh Johnson,2.6,22,4567
1954,Frank Sullivan,3.9,24,1012691
1961,Jim Bunning,6.3,29,1001653
2009,Josh Johnson,5.5,25,4567
2015,Noah Syndergaard,2.9,22,11762
1978,Dennis Leonard,4.7,27,1007531
1956,Frank Sullivan,4.6,26,1012691
1976,Dennis Leonard,3.8,25,1007531
1958,Jim Bunning,3.1,26,1001653
1958,Frank Sullivan,4.8,28,1012691
1962,Jim Bunning,4.6,30,1001653
2008,Josh Johnson,2.0,24,4567
2005,Josh Johnson,0.1,21,4567
1969,Jim Bunning,3.8,37,1001653
1956,Jim Bunning,0.3,24,1001653
1983,Dennis Leonard,1.2,32,1007531
1975,Dennis Leonard,2.4,24,1007531
1993,Doug Drabek,4.1,30,1003473
1980,Dennis Leonard,3.5,29,1007531
2012,Josh Johnson,3.3,28,4567
1963,Jim Bunning,2.7,31,1001653
1987,Doug Drabek,2.7,24,1003473
1968,Jim Bunning,0.6,36,1001653
1959,Jim Bunning,3.4,27,1001653
1959,Frank Sullivan,2.8,29,1012691
1979,Dennis Leonard,2.5,28,1007531
1986,Doug Drabek,1.5,23,1003473
1970,Jim Bunning,4.1,38,1001653
2019,Noah Syndergaard,4.4,26,11762
1961,Frank Sullivan,1.7,31,1012691
1986,Dennis Leonard,2.6,35,1007531
1962,Frank Sullivan,-0.1,32,1012691
1996,Doug Drabek,1.7,33,1003473
1995,Doug Drabek,2.6,32,1003473
1960,Frank Sullivan,3.0,30,1012691
1982,Dennis Leonard,0.3,31,1007531
1974,Dennis Leonard,0.1,23,1007531
1971,Jim Bunning,0.6,39,1001653
1953,Frank Sullivan,0.1,23,1012691
1963,Frank Sullivan,-0.1,33,1012691
1997,Doug Drabek,-0.1,34,1003473
2013,Josh Johnson,0.4,29,4567
1955,Jim Bunning,-0.1,23,1001653
1998,Doug Drabek,0.3,35,1003473
2007,Josh Johnson,0.2,23,4567
