Season,Name,WAR,playerid
2011,Dustin Pedroia,7.9,8370
2008,Dustin Pedroia,6.4,8370
1942,Bobby Doerr,6,1003355
1944,Bobby Doerr,5.9,1003355
1946,Bobby Doerr,5.9,1003355
1949,Bobby Doerr,5.8,1003355
1948,Bobby Doerr,5.3,1003355
1943,Bobby Doerr,5.2,1003355
2016,Dustin Pedroia,4.9,8370
2013,Dustin Pedroia,4.9,8370
2009,Dustin Pedroia,4.7,8370
2012,Dustin Pedroia,4.3,8370
1950,Bobby Doerr,3.9,1003355
1947,Bobby Doerr,3.8,1003355
2014,Dustin Pedroia,3.8,8370
2007,Dustin Pedroia,3.7,8370
1940,Bobby Doerr,3.5,1003355
2010,Dustin Pedroia,3.2,8370
1951,Bobby Doerr,2.6,1003355
1939,Bobby Doerr,2.5,1003355
2015,Dustin Pedroia,2.3,8370
1941,Bobby Doerr,2.1,1003355
2017,Dustin Pedroia,1.9,8370
1938,Bobby Doerr,1.2,1003355
2018,Dustin Pedroia,-0.1,8370
2019,Dustin Pedroia,-0.4,8370
1937,Bobby Doerr,-0.5,1003355
2006,Dustin Pedroia,-1,8370
