Season,Name,Team,WAR,Age,playerid
1971,Bill Gogolewski,WAS,2.3,23,1004802
1978,Ed Halicki,SFG,3.3,27,1005228
1972,Steve Stone,SFG,1.3,24,1012573
2020,Sandy Alcantara,MIA,0.9,24,18684
1974,Glenn Abbott,OAK,1.3,23,1000010
1980,Steve Stone,BAL,2.9,32,1012573
1979,Eric Rasmussen,SDP,1.6,27,1010704
1977,Ed Halicki,SFG,3.3,26,1005228
2018,Sandy Alcantara,MIA,0.1,22,18684
1977,Eric Rasmussen,STL,2.5,25,1010704
1975,Ed Halicki,SFG,4.4,24,1005228
1976,Eric Rasmussen,STL,0.9,24,1010704
1976,Ed Halicki,SFG,3.3,25,1005228
1983,Glenn Abbott,- - -,1.8,32,1000010
1979,Steve Stone,BAL,0.3,31,1012573
1975,Eric Rasmussen,STL,1.3,23,1010704
1973,Glenn Abbott,OAK,-0.1,22,1000010
2019,Sandy Alcantara,MIA,2.3,23,18684
1981,Glenn Abbott,SEA,1.4,30,1000010
1975,Steve Stone,CHC,2.4,27,1012573
1976,Steve Stone,CHC,0.9,28,1012573
1978,Eric Rasmussen,- - -,1.2,26,1010704
1980,Glenn Abbott,SEA,2.5,29,1000010
1974,Steve Stone,CHC,1.1,26,1012573
1971,Steve Stone,SFG,0.5,23,1012573
1973,Bill Gogolewski,TEX,0.7,25,1004802
1973,Steve Stone,CHW,3.1,25,1012573
1974,Ed Halicki,SFG,0.5,23,1005228
1972,Bill Gogolewski,TEX,1.6,24,1004802
1975,Glenn Abbott,OAK,0.3,24,1000010
2017,Sandy Alcantara,STL,-0.1,21,18684
1980,Eric Rasmussen,SDP,0.3,28,1010704
1978,Steve Stone,CHW,2.2,30,1012573
1982,Eric Rasmussen,STL,0.2,30,1010704
1977,Glenn Abbott,SEA,1.5,26,1000010
1977,Steve Stone,CHW,1.7,29,1012573
1979,Ed Halicki,SFG,0.9,28,1005228
1981,Steve Stone,BAL,0.0,33,1012573
1974,Bill Gogolewski,CLE,0.0,26,1004802
1970,Bill Gogolewski,WAS,0.1,22,1004802
1980,Ed Halicki,- - -,-0.2,29,1005228
1979,Glenn Abbott,SEA,0.2,28,1000010
1975,Bill Gogolewski,CHW,-0.1,27,1004802
1978,Glenn Abbott,SEA,1.2,27,1000010
1976,Glenn Abbott,OAK,0.4,25,1000010
1983,Eric Rasmussen,- - -,0.3,31,1010704
1984,Glenn Abbott,DET,-0.3,33,1000010
