Season,Name,Team,WAR,Age,playerid
1987,Jack Clark,STL,5.7,31,1002288
2019,Christian Yelich,MIL,7.8,27,11477
1972,Billy Williams,CHC,6.5,34,1013975
1977,Reggie Smith,LAD,6.5,32,1012201
1990,Jack Clark,SDP,4.3,34,1002288
1970,Billy Williams,CHC,6.4,32,1013975
1984,Jack Clark,SFG,2.4,28,1002288
2018,Christian Yelich,MIL,7.7,26,11477
2011,Matt Kemp,LAD,8.3,26,5631
1978,Reggie Smith,LAD,4.6,33,1012201
1974,Reggie Smith,STL,6.0,29,1012201
1973,Reggie Smith,BOS,4.9,28,1012201
1965,Billy Williams,CHC,7.1,27,1013975
1980,Reggie Smith,LAD,4.2,35,1012201
1969,Reggie Smith,BOS,5.0,24,1012201
1964,Billy Williams,CHC,4.9,26,1013975
1971,Billy Williams,CHC,4.4,33,1013975
1978,Jack Clark,SFG,5.7,22,1002288
1972,Gary Matthews,SFG,0.6,21,1008255
1975,Reggie Smith,STL,3.5,30,1012201
1980,Jack Clark,SFG,4.1,24,1002288
1985,Jack Clark,STL,2.9,29,1002288
1989,Jack Clark,SDP,4.2,33,1002288
1981,Gary Matthews,PHI,2.7,30,1008255
2007,Matt Kemp,LAD,1.6,22,5631
2012,Matt Kemp,LAD,3.8,27,5631
1984,Gary Matthews,CHC,2.8,33,1008255
1979,Gary Matthews,ATL,4.0,28,1008255
1970,Reggie Smith,BOS,6.3,25,1012201
1971,Reggie Smith,BOS,5.5,26,1012201
1982,Jack Clark,SFG,3.9,26,1002288
1991,Jack Clark,BOS,2.4,35,1002288
1974,Billy Williams,CHC,1.5,36,1013975
1972,Reggie Smith,BOS,3.4,27,1012201
1968,Billy Williams,CHC,5.0,30,1013975
1963,Billy Williams,CHC,5.9,25,1013975
1978,Gary Matthews,ATL,3.1,27,1008255
1986,Gary Matthews,CHC,0.2,35,1008255
1962,Billy Williams,CHC,2.9,24,1013975
1974,Gary Matthews,SFG,3.4,23,1008255
2014,Matt Kemp,LAD,2.5,29,5631
1960,Billy Williams,CHC,0.4,22,1013975
1975,Gary Matthews,SFG,2.8,24,1008255
1988,Jack Clark,NYY,2.8,32,1002288
1976,Gary Matthews,SFG,2.3,25,1008255
2016,Christian Yelich,MIA,5.4,24,11477
1967,Billy Williams,CHC,4.5,29,1013975
1969,Billy Williams,CHC,2.8,31,1013975
1982,Reggie Smith,SFG,2.9,37,1012201
1973,Gary Matthews,SFG,3.5,22,1008255
1979,Reggie Smith,LAD,2.3,34,1012201
2009,Matt Kemp,LAD,4.9,24,5631
1979,Jack Clark,SFG,2.0,23,1002288
1973,Billy Williams,CHC,2.1,35,1013975
1981,Jack Clark,SFG,2.7,25,1002288
1983,Jack Clark,SFG,3.3,27,1002288
1977,Gary Matthews,ATL,1.8,26,1008255
1961,Billy Williams,CHC,1.2,23,1013975
1966,Billy Williams,CHC,3.6,28,1013975
1986,Jack Clark,STL,1.6,30,1002288
1982,Gary Matthews,PHI,2.9,31,1008255
2018,Matt Kemp,LAD,1.6,33,5631
2017,Christian Yelich,MIA,4.6,25,11477
1985,Gary Matthews,CHC,0.5,34,1008255
1975,Billy Williams,OAK,1.7,37,1013975
1968,Reggie Smith,BOS,4.2,23,1012201
1976,Reggie Smith,- - -,2.7,31,1012201
2008,Matt Kemp,LAD,3.3,23,5631
2015,Christian Yelich,MIA,2.4,23,11477
2020,Christian Yelich,MIL,0.7,28,11477
2013,Christian Yelich,MIA,1.8,21,11477
2014,Christian Yelich,MIA,4.1,22,11477
2016,Matt Kemp,- - -,0.8,31,5631
1980,Gary Matthews,ATL,0.6,29,1008255
1983,Gary Matthews,PHI,-0.1,32,1008255
1977,Jack Clark,SFG,2.3,21,1002288
2010,Matt Kemp,LAD,0.0,25,5631
2017,Matt Kemp,ATL,-0.6,32,5631
2015,Matt Kemp,SDP,1.0,30,5631
2020,Matt Kemp,COL,-0.1,35,5631
2013,Matt Kemp,LAD,1.0,28,5631
1967,Reggie Smith,BOS,2.9,22,1012201
1992,Jack Clark,BOS,-0.3,36,1002288
2006,Matt Kemp,LAD,-0.4,21,5631
1976,Jack Clark,SFG,0.6,20,1002288
1976,Billy Williams,OAK,-0.3,38,1013975
1987,Gary Matthews,- - -,-0.5,36,1008255
1981,Reggie Smith,LAD,0.0,36,1012201
1975,Jack Clark,SFG,0.0,19,1002288
2019,Matt Kemp,CIN,-0.8,34,5631
1959,Billy Williams,CHC,-0.3,21,1013975
1966,Reggie Smith,BOS,-0.2,21,1012201
