Season,Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
2015,Bryce Harper,153,654,42,118,99,6,19.00%,20.00%,0.319,0.369,0.33,0.46,0.649,0.461,,197,3.6,77.7,-10.2,9.3,11579
1982,Gary Carter,154,653,29,91,97,2,11.90%,9.80%,0.217,0.284,0.293,0.381,0.51,0.388,,150,-1.6,34.9,23.3,8.4,1002015
1982,Andre Dawson,148,659,23,107,83,39,5.20%,14.40%,0.198,0.323,0.301,0.344,0.499,0.369,,136,3.9,30.8,18,7.4,1003091
1985,Tim Raines,150,665,11,115,41,70,12.20%,9.00%,0.155,0.341,0.32,0.405,0.475,0.385,,149,10.2,46.9,0.4,7.2,1406
2002,Vladimir Guerrero,161,709,39,106,111,40,11.80%,9.90%,0.257,0.327,0.336,0.417,0.593,0.419,,155,0.8,49.3,-0.9,7.1,778
1984,Gary Carter,159,669,27,75,106,2,9.60%,8.50%,0.193,0.287,0.294,0.366,0.487,0.377,,142,-0.4,31,14.9,7.1,1002015
2019,Anthony Rendon,146,646,34,117,126,5,12.40%,13.30%,0.279,0.323,0.319,0.412,0.598,0.413,,154,0.4,46.8,4.2,7,12861
1983,Gary Carter,145,609,17,63,79,1,8.40%,9.40%,0.174,0.272,0.27,0.336,0.444,0.343,,117,-0.3,11.3,35.6,6.8,1002015
2017,Anthony Rendon,147,605,25,81,100,7,13.90%,13.60%,0.232,0.314,0.301,0.403,0.533,0.394,,141,1.5,33.3,14.3,6.7,12861
1998,Vladimir Guerrero,159,677,38,108,109,11,6.20%,14.00%,0.265,0.331,0.324,0.371,0.589,0.403,,145,-1.7,36.8,10,6.7,778
1987,Tim Raines,139,627,18,123,68,50,14.40%,8.30%,0.196,0.339,0.33,0.429,0.526,0.404,,148,7.6,45.5,0.7,6.7,1406
1984,Tim Raines,160,718,8,106,60,75,12.10%,9.60%,0.129,0.335,0.309,0.393,0.437,0.372,,139,11,42.4,-3,6.7,1406
1981,Andre Dawson,103,441,24,71,64,26,7.90%,11.30%,0.251,0.292,0.302,0.365,0.553,0.401,,154,3.7,29.8,18,6.7,1003091
2010,Ryan Zimmerman,142,603,25,85,85,4,11.40%,16.30%,0.204,0.334,0.307,0.388,0.51,0.39,,142,-0.8,29.3,15.8,6.6,4220
2009,Ryan Zimmerman,157,694,33,110,106,2,10.40%,17.10%,0.233,0.31,0.292,0.364,0.525,0.377,,130,4,29.6,14.1,6.6,4220
1983,Andre Dawson,159,698,32,104,113,25,5.40%,11.60%,0.24,0.292,0.299,0.338,0.539,0.374,,137,0.6,30.6,9,6.5,1003091
2014,Anthony Rendon,153,683,21,111,83,17,8.50%,15.20%,0.186,0.314,0.287,0.351,0.473,0.361,,130,6.8,29.8,7.9,6.4,12861
2018,Anthony Rendon,136,597,24,88,92,2,9.20%,13.70%,0.227,0.323,0.308,0.374,0.535,0.383,,140,5.1,34,7.9,6.2,12861
