Date,Team,Opp,SO
5/22/2004,Kansas City Royals,OAK,1
5/28/2004,Kansas City Royals,MIN,2
6/2/2004,Kansas City Royals,DET,4
6/8/2004,Kansas City Royals,WSN,5
6/13/2004,Kansas City Royals,NYM,2
6/19/2004,Kansas City Royals,PHI,6
6/25/2004,Kansas City Royals,STL,6
7/1/2004,Kansas City Royals,BAL,7
7/6/2004,Kansas City Royals,MIN,5
7/15/2004,Kansas City Royals,MIN,4
7/20/2004,Kansas City Royals,BAL,2
7/25/2004,Kansas City Royals,CLE,3
7/31/2004,Kansas City Royals,CLE,4
8/5/2004,Kansas City Royals,CHW,6
8/10/2004,Kansas City Royals,CHW,3
8/15/2004,Kansas City Royals,OAK,4
8/22/2004,Kansas City Royals,TEX,4
8/27/2004,Kansas City Royals,SEA,3
9/1/2004,Kansas City Royals,DET,5
9/9/2004,Kansas City Royals,DET,3
9/14/2004,Kansas City Royals,NYY,6
9/21/2004,Kansas City Royals,TBR,7
9/27/2004,Kansas City Royals,CLE,5
10/3/2004,Kansas City Royals,CHW,3
4/7/2005,Kansas City Royals,DET,1
4/13/2005,Kansas City Royals,SEA,2
4/18/2005,Kansas City Royals,CLE,3
4/23/2005,Kansas City Royals,CHW,7
4/29/2005,Kansas City Royals,CLE,1
5/5/2005,Kansas City Royals,CHW,5
5/10/2005,Kansas City Royals,TOR,2
5/15/2005,Kansas City Royals,TBR,7
5/20/2005,Kansas City Royals,STL,3
5/25/2005,Kansas City Royals,TEX,4
5/31/2005,Kansas City Royals,NYY,2
6/5/2005,Kansas City Royals,TEX,3
6/10/2005,Kansas City Royals,ARI,2
6/16/2005,Kansas City Royals,LAD,4
6/21/2005,Kansas City Royals,CHW,8
6/27/2005,Kansas City Royals,MIN,1
7/3/2005,Kansas City Royals,LAA,1
7/8/2005,Kansas City Royals,MIN,2
7/14/2005,Kansas City Royals,DET,3
7/19/2005,Kansas City Royals,CLE,4
7/25/2005,Kansas City Royals,CHW,3
7/30/2005,Kansas City Royals,TBR,4
8/5/2005,Kansas City Royals,OAK,5
8/10/2005,Kansas City Royals,CLE,4
8/16/2005,Kansas City Royals,SEA,7
8/23/2005,Kansas City Royals,BOS,3
8/28/2005,Kansas City Royals,NYY,2
9/2/2005,Kansas City Royals,TEX,3
9/9/2005,Kansas City Royals,DET,3
9/15/2005,Kansas City Royals,CHW,2
