Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
4/27/2021,Washington Nationals,TOR,1,0,1,9,1,1,0,0,0,0,0,5,24,8,7,5,2,2,0,0,0,0,5,19
4/21/2021,Washington Nationals,STL,1,1,0,0,1,1,0,0,0,0,0,6,23,4,0,0,0,1,0,1,0,0,9,72
4/16/2021,Washington Nationals,ARI,1,0,0,0,1,1,0,0,0,0,0,7,25,2,0,0,0,2,0,0,0,0,10,81
4/11/2021,Washington Nationals,LAD,1,0,1,1.5,1,1,0,0,0,0,0,6,21,3,1,1,0,1,0,0,0,0,5,67
4/6/2021,Washington Nationals,ATL,1,0,0,6,1,1,0,0,0,0,0,6,23,5,4,4,4,0,0,0,0,0,9,36
9/26/2020,Washington Nationals,NYM,1,1,0,4.5,1,1,0,0,0,0,0,6,26,6,3,3,2,2,0,0,1,0,7,47
9/20/2020,Washington Nationals,MIA,1,0,1,0,1,1,0,0,0,0,0,5.2,26,5,2,0,0,2,1,0,1,0,6,61
9/13/2020,Washington Nationals,ATL,1,0,1,10.13,1,1,0,0,0,0,0,5.1,27,9,6,6,2,2,0,0,1,0,10,31
9/7/2020,Washington Nationals,TBR,1,1,0,0,1,1,0,0,0,0,0,7,28,6,0,0,0,1,0,0,0,0,8,77
9/2/2020,Washington Nationals,PHI,1,0,1,4.5,1,1,0,0,0,0,0,6,28,7,3,3,1,3,0,0,0,0,6,48
8/28/2020,Washington Nationals,BOS,1,1,0,1.5,1,1,0,0,0,0,0,6,23,6,1,1,0,0,0,0,2,0,11,73
8/22/2020,Washington Nationals,MIA,1,0,0,7.71,1,1,0,0,0,0,0,4.2,24,7,4,4,1,2,0,1,0,0,5,38
8/16/2020,Washington Nationals,BAL,1,1,0,6.43,1,1,0,0,0,0,0,7,30,8,5,5,3,1,0,0,1,0,10,42
8/11/2020,Washington Nationals,NYM,1,1,0,1.5,1,1,0,0,0,0,0,6,25,6,1,1,0,2,0,0,0,0,7,65
8/5/2020,Washington Nationals,NYM,1,0,0,9,1,1,0,0,0,0,0,1,5,1,1,1,0,1,0,0,0,0,1,41
7/29/2020,Washington Nationals,TOR,1,0,0,0,1,1,0,0,0,0,0,7.1,27,3,0,0,0,3,0,0,0,0,10,83
7/23/2020,Washington Nationals,NYY,1,0,1,6.75,1,1,1,0,0,0,0,5.1,26,6,4,4,1,4,0,0,0,0,11,46
9/24/2019,Washington Nationals,PHI,1,1,0,6,1,1,0,0,0,0,0,6,24,5,4,4,2,1,0,0,0,0,10,50
9/18/2019,Washington Nationals,STL,1,0,1,6.75,1,1,0,0,0,0,0,6.2,27,7,5,5,2,0,0,0,0,0,11,50
9/13/2019,Washington Nationals,ATL,1,0,1,5.4,1,1,0,0,0,0,0,5,24,7,3,3,0,2,0,0,0,0,6,49
9/8/2019,Washington Nationals,ATL,1,1,0,1.5,1,1,0,0,0,0,0,6,22,2,1,1,1,2,0,0,0,0,9,68
9/3/2019,Washington Nationals,NYM,1,0,0,6,1,1,0,0,0,0,0,6,24,5,4,4,1,1,0,0,0,0,7,53
8/28/2019,Washington Nationals,BAL,1,0,0,4.15,1,1,0,0,0,0,0,4.1,20,6,2,2,1,1,0,0,0,0,8,48
8/22/2019,Washington Nationals,PIT,1,0,0,2.25,1,1,0,0,0,0,0,4,17,4,1,1,1,1,0,0,0,0,3,48
7/25/2019,Washington Nationals,COL,1,0,0,5.4,1,1,0,0,0,0,0,5,20,4,3,3,1,2,0,0,0,0,8,51
7/6/2019,Washington Nationals,KCR,1,1,0,0,1,1,0,0,0,0,0,7,26,4,0,0,0,1,0,0,0,0,11,83
6/30/2019,Washington Nationals,DET,1,1,0,1.13,1,1,0,0,0,0,0,8,28,4,1,1,1,0,0,0,0,0,14,85
6/25/2019,Washington Nationals,MIA,1,1,0,1.13,1,1,0,0,0,0,0,8,29,5,1,1,0,0,0,1,0,0,10,85
6/19/2019,Washington Nationals,PHI,1,1,0,0,1,1,0,0,0,0,0,7,27,4,0,0,0,2,0,0,0,0,10,80
6/14/2019,Washington Nationals,ARI,1,1,0,2.57,1,1,0,0,0,0,0,7,27,3,2,2,2,1,0,1,0,0,10,66
6/8/2019,Washington Nationals,SDP,1,1,0,0,1,1,0,0,0,0,0,7,28,6,0,0,0,1,1,0,0,0,9,77
6/2/2019,Washington Nationals,CIN,1,1,0,1.13,1,1,0,0,0,0,0,8,29,3,1,1,0,1,0,1,0,0,15,92
5/27/2019,Washington Nationals,MIA,1,0,0,1.5,1,1,0,0,0,0,0,6,25,7,1,1,0,1,0,0,0,0,6,63
5/22/2019,Washington Nationals,NYM,1,0,0,0,1,1,0,0,0,0,0,6,25,4,0,0,0,2,0,0,0,0,9,73
5/17/2019,Washington Nationals,CHC,1,0,1,4.5,1,1,0,0,0,0,0,6,26,6,3,3,1,4,0,0,0,0,8,49
5/11/2019,Washington Nationals,LAD,1,1,0,2.57,1,1,0,0,0,0,0,7,29,5,2,2,1,2,0,2,0,0,7,63
5/6/2019,Washington Nationals,MIL,1,0,0,1.5,1,1,0,0,0,0,0,6,27,6,2,1,0,1,0,0,0,0,10,66
5/1/2019,Washington Nationals,STL,1,0,1,3.86,1,1,0,0,0,0,0,7,30,8,3,3,0,2,0,0,0,0,8,61
4/26/2019,Washington Nationals,SDP,1,0,0,2.57,1,1,0,0,0,0,0,7,24,4,2,2,1,0,0,0,0,0,10,72
4/20/2019,Washington Nationals,MIA,1,0,1,10.13,1,1,0,0,0,0,0,5.1,27,11,7,6,1,0,0,0,0,0,9,32
