Name,Inn,FRM,playerid
Yadier Molina,16969,146.7,7007
Yasmani Grandal,6829.2,138.8,11368
Buster Posey,8704.2,124.1,9166
Martin Maldonado,6036.1,71.6,6887
Mike Zunino,6028.1,63.7,13265
Christian Vazquez,3896.1,59.2,9774
Austin Hedges,3317.1,57.1,12976
Travis d'Arnaud,4253,47.9,7739
Rene Rivera,3740,43.1,3648
Roberto Perez,3697.2,42.7,2900
Austin Barnes,1934.2,27.5,12158
Max Stassi,1441.1,27.0,10059
Jason Castro,6787.1,26.9,8722
Yan Gomes,6344.2,16.6,9627
Luke Maile,1648,9.7,13355
Sandy Leon,3380.2,9.3,5273
Danny Jansen,1680.1,8.9,16535
Jacob Stallings,1278.2,8.0,13723
Manny Pina,2273.1,6.6,2829
Curt Casali,2259,4.1,12510
Carson Kelly,1637.1,4.0,13620
Kevin Plawecki,2455.1,3.7,13807
Tom Murphy,1214,3.4,13499
Jorge Alfaro,2435.2,1.5,12180
Austin Romine,2838.2,-0.5,5491
Victor Caratini,1266,-1.5,14968
Wilson Ramos,7802.1,-1.7,1433
Kevan Smith,1578.2,-4.5,12284
Grayson Greiner,1009,-4.9,17062
Gary Sanchez,3185.2,-8.3,11442
Mitch Garver,1821.1,-9.1,15161
Andrew Knapp,1498.2,-10.5,14942
J.T. Realmuto,5944.1,-14.3,11739
Alex Avila,7475.1,-15.2,7476
Pedro Severino,1952.1,-15.6,14523
Omar Narvaez,2943.1,-16.2,13338
Chance Sisco,1163.1,-19.6,15694
Stephen Vogt,3553,-21.1,5000
Tucker Barnhart,4925.1,-21.6,10200
Elias Diaz,1981.1,-25.2,11680
Willson Contreras,3830.2,-32.7,11609
James McCann,5041.2,-38.4,12859
Carlos Santana,2783.1,-77.8,2396
Salvador Perez,8038.1,-78.5,7304
Kurt Suzuki,12285,-104.3,8259
