playerid,Name,Inn,DRS
9777,Nolan Arenado,9294,129
11493,Manny Machado,7588,87
12861,Anthony Rendon,7038,37
9785,Kyle Seager,9767,38
5038,Josh Donaldson,7926,24
16505,Matt Chapman,3731,67
639,Adrian Beltre,6057,31
785,Todd Frazier,8289,23
454,Juan Uribe,3059.2,22
9368,Evan Longoria,9100.2,29
4720,Chase Headley,5624.1,10
13510,Jose Ramirez,4573.1,10
3312,Martin Prado,4952.1,24
13836,Matt Duffy,3185.1,7
4892,Mike Moustakas,6827.1,-26
9549,David Freese,4923.2,-3
11982,Travis Shaw,3829,11
5235,Justin Turner,5658.2,17
15429,Kris Bryant,5220.2,-3
4969,Luis Valbuena,4109.1,-6
6153,Eduardo Escobar,3885.2,-7
12552,Eugenio Suarez,5620.1,-4
7462,Trevor Plouffe,4396,-6
12179,Maikel Franco,5688.2,-28
5352,Yangervis Solarte,3240.2,-2
17678,Alex Bregman,3841,20
8090,Matt Carpenter,5073.1,5
17350,Rafael Devers,3419.1,-27
5409,Pablo Sandoval,4603,-28
13329,Jake Lamb,4366.2,2
11737,Nick Castellanos,4401,-45
