Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def,playerid
Andrelton Simmons,- - -,SS,9151.2,0,,,23,,16,143,,182,2391,1943,0.813,645,110,,,19.7,69.6,23.8,113.1,17,160.2,10847
Brandon Crawford,SFG,SS,10238,0,,,2,,10,56,,68,2914,2345,0.805,633,88,,,3.4,35.4,4.3,43.1,5.3,95.8,5343
Francisco Lindor,CLE,SS,6697.2,,,,3,,2,33,,38,1484,1197,0.807,500,50,,,5.4,32.3,16.4,54,11.1,88.5,12916
Jose Iglesias,- - -,SS,6475,0,,,9,,9,-5,,13,1666,1339,0.804,395,41,,,6,15.2,26.3,47.5,9.6,80.8,10231
J.J. Hardy,BAL,SS,6710.1,,,,9,,9,24,,42,1726,1401,0.812,461,33,,,6.9,13.4,22.1,42.5,8.4,77,3797
Zack Cozart,- - -,SS,6270.1,,,,-5,,1,47,,43,1625,1328,0.817,354,35,,,-2.1,24.4,7.9,30.2,7,62.5,2616
Alcides Escobar,KCR,SS,9230,,,,-4,,1,-30,,-33,2462,1877,0.762,576,43,,,-1.1,0.7,12.1,11.8,1.7,59.3,6310
Elvis Andrus,- - -,SS,10366.2,0,,,4,,-3,-17,,-16,2818,2178,0.773,703,34,,,5.7,-7.8,7.6,5.6,0.6,58.9,8709
Didi Gregorius,- - -,SS,7653,0,,,-7,,-2,3,,-6,1950,1521,0.78,540,35,,,-1.5,-0.3,14.5,12.7,2.3,52.1,6012
Freddy Galvis,- - -,SS,6887.1,0,,,-4,,5,4,,5,1742,1374,0.789,447,22,,,2.6,-11,23.4,15,2.8,50.4,6609
Adeiny Hechavarria,- - -,SS,6772,,,,-2,,4,17,,19,1838,1465,0.797,383,25,,,-2.2,0.5,14,12.3,2.6,47.1,10459
Nick Ahmed,ARI,SS,5406.2,,,,10,,6,62,,78,1329,1044,0.786,490,23,,,3.1,12.5,-1.9,13.7,3.6,41.5,12147
Xander Bogaerts,BOS,SS,7980.1,0,,,-14,,7,-44,,-51,2004,1560,0.778,418,-20,,,-4.1,-18.4,22.7,0.2,0,41.2,12161
Miguel Rojas,- - -,SS,3390.2,0,,,5,,1,10,,16,863,676,0.783,242,2,,,4.8,15.7,3.3,23.7,9.7,41.2,7802
Paul DeJong,STL,SS,3502.2,0,,,1,,-1,30,,30,892,718,0.805,206,-4,,,2.2,10.2,9.3,21.7,7.3,39.7,18015
Addison Russell,CHC,SS,3689.2,,,,-2,,-2,52,,48,946,792,0.837,236,28,,,-0.4,19.1,1.7,20.4,6.6,39.4,14106
Troy Tulowitzki,- - -,SS,4919,,,,3,,1,19,,23,1495,1230,0.823,296,42,,,1.7,-2.3,13.9,13.3,3.3,38.6,3531
Trevor Story,COL,SS,5147.2,0,,,4,,3,54,,61,1342,1020,0.76,449,5,,,2.3,-2.8,12.3,11.8,2.7,38.2,12564
Jhonny Peralta,- - -,SS,4883,,,,0,,0,-5,,-5,1378,1117,0.811,220,-21,,,-0.1,-5.6,17.3,11.7,3.3,36.8,1738
Alexei Ramirez,- - -,SS,6578.2,,,,11,,2,-22,,-9,1840,1415,0.769,443,7,,,10.3,-19.4,8.1,-1,-0.2,32.8,5133
Marcus Semien,- - -,SS,6787.1,,,,-4,,-4,13,,5,1745,1400,0.802,537,-59,,,-3.6,6.1,-4.8,-2.3,-0.3,32.6,12533
Corey Seager,LAD,SS,4396,0,,,1,,-5,-2,,-6,1048,817,0.78,303,-2,,,0.1,16.2,-8.1,8.2,2.9,30.8,13624
Jimmy Rollins,- - -,SS,5286.1,,,,-5,,9,-22,,-18,1528,1242,0.813,239,22,,,-5.7,-7.7,17,3.6,0.9,30.8,971
Jean Segura,- - -,SS,7826,,,,1,,-12,10,,-1,2149,1635,0.761,621,8,,,-2.4,-0.2,-9.6,-12.2,-2.1,28,5933
Starlin Castro,- - -,SS,4989.2,,,,-2,,-11,-4,,-17,1468,1155,0.787,259,-31,,,0.4,13.5,-14.3,-0.4,-0.1,25.3,4579
Javier Baez,CHC,SS,3125,0,,,8,,4,31,,43,795,637,0.801,240,11,,,2.4,5.7,0.7,8.8,3.1,24.9,12979
Ian Desmond,- - -,SS,5290.1,,,,4,,-4,2,,2,1396,1159,0.83,240,2,,,3.9,6.3,-14.2,-4,-1,23.2,6885
Jordy Mercer,- - -,SS,6933,,,,1,,-1,-36,,-36,1967,1509,0.767,458,-11,,,-1.2,-21.2,8.1,-14.3,-2.9,21.3,6547
Yunel Escobar,- - -,SS,3754,,,,-4,,-7,6,,-5,960,744,0.775,228,6,,,-2.8,-6,7.6,-1.2,-0.5,18.1,4191
Dansby Swanson,ATL,SS,4294.1,0,,,4,,2,9,,15,1093,811,0.742,327,2,,,-0.3,-7.6,3.4,-4.4,-1.3,17.7,18314
Ruben Tejada,- - -,SS,3326.1,,,,-2,,3,-11,,-10,953,766,0.804,163,-14,,,1.3,-7.1,5.3,-0.4,-0.2,16.7,5519
Erick Aybar,- - -,SS,6768.1,,,,0,,3,-31,,-28,1772,1333,0.752,370,5,,,-1.6,-20.2,3.6,-18.2,-3.7,16.6,4082
Orlando Arcia,MIL,SS,4243,0,,,3,,-1,7,,9,1033,758,0.734,372,13,,,0,0.9,-6.8,-5.9,-2.3,15.9,13185
