playerid,PlayerSeason,WAR
639,2004 Adrian Beltre,9.7
1011070,1949 Jackie Robinson,9.6
1001486,1892 Dan Brouthers,9.2
893,1997 Mike Piazza,9.1
1011070,1951 Jackie Robinson,9.0
1012230,1953 Duke Snider,8.8
1012230,1954 Duke Snider,8.3
5631,2011 Matt Kemp,8.3
4616,2008 Russell Martin,7.9
1011070,1952 Jackie Robinson,7.8
15998,2019 Cody Bellinger,7.8
1005120,1985 Pedro Guerrero,7.8
1005691,1930 Babe Herman,7.7
1012230,1955 Duke Snider,7.7
1001871,1953 Roy Campanella,7.7
1011843,1903 Jimmy Sheckard,7.5
1010814,1941 Pete Reiser,7.5
1012230,1956 Duke Snider,7.5
1014313,1974 Jimmy Wynn,7.4
893,1993 Mike Piazza,7.4
1001871,1951 Roy Campanella,7.1
13624,2016 Corey Seager,6.9
1001860,1941 Dolph Camilli,6.9
1013828,1924 Zack Wheat,6.9
1010776,1949 Pee Wee Reese,6.8
1011070,1950 Jackie Robinson,6.8
1011843,1901 Jimmy Sheckard,6.8
651,2001 Shawn Green,6.7
1003088,1964 Willie Davis,6.7
1002108,1975 Ron Cey,6.6
893,1996 Mike Piazza,6.6
1009734,1932 Lefty O'Doul,6.6
1004264,1924 Jack Fournier,6.6
114,2000 Gary Sheffield,6.6
1001860,1939 Dolph Camilli,6.5
1012201,1977 Reggie Smith,6.5
1002454,1890 Hub Collins,6.4
1007830,1906 Harry Lumley,6.4
1002108,1976 Ron Cey,6.4
1013828,1916 Zack Wheat,6.4
1005120,1982 Pedro Guerrero,6.2
1010776,1947 Pee Wee Reese,6.2
1004669,1988 Kirk Gibson,6.2
1004907,1970 Billy Grabarkewitz,6.1
1005883,1954 Gil Hodges,6.0
1011070,1953 Jackie Robinson,6.0
1004440,1944 Augie Galan,6.0
1004724,1956 Jim Gilliam,6.0
13624,2017 Corey Seager,6.0
893,1995 Mike Piazza,6.0
1009386,1990 Eddie Murray,5.9
1005047,1895 Mike Griffin,5.9
1004264,1923 Jack Fournier,5.8
1013512,1944 Dixie Walker,5.8
1014280,1930 Glenn Wright,5.8
1004440,1945 Augie Galan,5.8
1004264,1925 Jack Fournier,5.8
1010776,1954 Pee Wee Reese,5.8
1003084,1962 Tommy Davis,5.8
1001871,1955 Roy Campanella,5.7
1314,1997 Raul Mondesi,5.7
1002108,1978 Ron Cey,5.7
1010358,1890 George Pinkney,5.6
1012406,1946 Eddie Stanky,5.6
1010776,1946 Pee Wee Reese,5.6
1004440,1943 Augie Galan,5.5
1011667,1985 Mike Scioscia,5.5
14225,2014 Yasiel Puig,5.5
4616,2007 Russell Martin,5.5
1003088,1972 Willie Davis,5.5
1010776,1942 Pee Wee Reese,5.5
1012230,1950 Duke Snider,5.5
1002108,1979 Ron Cey,5.5
1001860,1940 Dolph Camilli,5.5
5235,2017 Justin Turner,5.4
