Season,PA,HR,BB,SO,TTO_Pct
1910,92773,361,7419,4415,0.131
1911,93827,514,7838,4798,0.140
1912,93204,442,7683,4627,0.137
1913,91726,470,7267,9283,0.186
1914,138909,710,11143,14757,0.192
1915,138280,635,11120,14020,0.186
1916,92468,383,7076,9534,0.184
1917,92623,335,6910,8680,0.172
1918,75971,235,5749,5925,0.157
1919,83902,447,5982,6849,0.158
1920,94601,630,6820,7247,0.155
1921,95556,937,6847,6959,0.154
1922,96155,1055,7253,6950,0.159
1923,96130,980,7563,7021,0.162
1924,95288,896,7364,6637,0.156
1925,96226,1169,7744,6665,0.162
1926,95139,863,7703,6777,0.161
1927,95571,922,7445,6889,0.160
1928,95584,1093,7665,7099,0.166
1929,96322,1349,7992,6982,0.169
1930,97239,1565,7654,7934,0.176
1931,96121,1069,7679,7894,0.173
1932,96577,1358,7549,7878,0.174
1933,94615,1067,7344,7444,0.168
1934,95563,1344,7855,8432,0.184
1935,96202,1325,7834,8004,0.178
1936,97884,1364,8418,8235,0.184
1937,96148,1430,8443,9001,0.196
1938,95347,1475,8632,8335,0.193
1939,95902,1445,8478,8501,0.192
1940,95900,1571,8273,9049,0.197
1941,96484,1331,8886,8826,0.197
1942,93936,1071,8393,8325,0.189
1943,95072,905,8361,8546,0.187
1944,95637,1034,7930,8185,0.179
1945,94788,1007,8299,8045,0.183
1946,95071,1215,8800,9696,0.207
1947,95376,1565,9217,9157,0.209
1948,95792,1555,9623,9016,0.211
1949,96190,1704,10027,8951,0.215
1950,96463,2073,9955,9554,0.224
1951,95998,1863,9244,9335,0.213
1952,94808,1701,8777,10380,0.220
1953,95411,2076,8682,10213,0.220
1954,95536,1937,9032,10215,0.222
1955,95025,2224,9044,10803,0.232
1956,95231,2294,8997,11505,0.239
1957,95386,2202,8167,11948,0.234
1958,94143,2240,8127,12225,0.240
1959,94717,2250,8184,12604,0.243
1960,94771,2128,8384,12815,0.246
1961,109568,2730,9897,14947,0.252
1962,124540,3001,10936,17567,0.253
1963,122336,2704,9591,18773,0.254
1964,122980,2762,9621,19212,0.257
1965,122749,2688,10036,19283,0.261
1966,121677,2743,9331,18805,0.254
1967,121839,2299,9665,19413,0.258
1968,120816,1995,9156,19143,0.251
1969,148181,3119,13429,22473,0.263
1970,149312,3429,13727,22374,0.265
1971,146690,2863,12536,20956,0.248
1972,139947,2534,11727,20718,0.250
1973,148777,3102,13100,20358,0.246
1974,148855,2649,12963,19494,0.236
1975,148621,2698,13402,19280,0.238
1976,147598,2235,12390,18745,0.226
1977,161547,3644,13757,21722,0.242
1978,159192,2956,13566,20058,0.230
1979,160378,3433,13601,20035,0.231
1980,161210,3087,13190,20212,0.226
1981,105892,1781,8868,13237,0.226
1982,161104,3379,13302,21221,0.235
1983,160615,3301,13518,21716,0.240
1984,160566,3258,13320,22500,0.243
1985,160320,3602,13838,22451,0.249
1986,160858,3813,14227,24706,0.266
1987,161922,4458,14389,25099,0.271
1988,159380,3180,12984,23355,0.248
1989,160033,3083,13528,23650,0.252
1990,160316,3317,13852,23853,0.256
1991,160746,3383,13984,24390,0.260
1992,160545,3038,13682,23538,0.251
1993,174564,4030,15110,26310,0.260
1994,124483,3306,11131,19766,0.275
1995,156703,4081,14240,25425,0.279
1996,177261,4962,16093,29308,0.284
1997,175541,4640,15666,29937,0.286
1998,188284,5064,16447,31894,0.284
1999,189692,5528,17891,31119,0.288
2000,190261,5693,18237,31356,0.291
2001,186976,5458,15806,32404,0.287
2002,186615,5059,16246,31394,0.282
2003,187449,5207,15889,30801,0.277
2004,188539,5451,16222,31828,0.284
2005,186294,5017,15207,30644,0.273
2006,188071,5386,15847,31655,0.281
2007,188623,4957,16079,32189,0.282
2008,187631,4878,16337,32884,0.288
2009,187079,5042,16620,33591,0.295
2010,185553,4613,15778,34306,0.295
2011,185245,4552,15018,34488,0.292
2012,184179,4934,14709,36426,0.304
2013,184872,4661,14640,36710,0.303
2014,183928,4186,14020,37441,0.303
2015,183627,4909,14073,37446,0.307
2016,184577,5610,15088,38982,0.323
2017,185295,6105,15829,40104,0.335
2018,185139,5585,15686,41207,0.337
2019,186516,6776,15895,42823,0.351
2020,66506,2304,6092,15586,0.361
2021,8033,243,751,2023,0.376
