Date,Team,Opp,HR
4/6/2021,Minnesota Twins,DET,1
4/5/2021,Minnesota Twins,DET,2
4/4/2021,Minnesota Twins,MIL,0
4/3/2021,Minnesota Twins,MIL,0
4/1/2021,Minnesota Twins,MIL,0
9/27/2020,Minnesota Twins,CIN,0
9/26/2020,Minnesota Twins,CIN,0
9/25/2020,Minnesota Twins,CIN,0
9/18/2020,Minnesota Twins,CHC,0
9/17/2020,Minnesota Twins,CHW,0
9/16/2020,Minnesota Twins,CHW,0
9/15/2020,Minnesota Twins,CHW,0
9/14/2020,Minnesota Twins,CHW,0
9/13/2020,Minnesota Twins,CLE,1
9/12/2020,Minnesota Twins,CLE,0
9/11/2020,Minnesota Twins,CLE,0
9/8/2020,Minnesota Twins,STL,1
9/8/2020,Minnesota Twins,STL,1
9/5/2020,Minnesota Twins,DET,0
9/4/2020,Minnesota Twins,DET,0
9/4/2020,Minnesota Twins,DET,0
9/2/2020,Minnesota Twins,CHW,0
9/1/2020,Minnesota Twins,CHW,0
8/31/2020,Minnesota Twins,CHW,0
8/30/2020,Minnesota Twins,DET,0
8/29/2020,Minnesota Twins,DET,1
8/29/2020,Minnesota Twins,DET,1
8/26/2020,Minnesota Twins,CLE,0
8/25/2020,Minnesota Twins,CLE,0
8/24/2020,Minnesota Twins,CLE,1
8/23/2020,Minnesota Twins,KCR,1
8/21/2020,Minnesota Twins,KCR,0
8/20/2020,Minnesota Twins,MIL,1
8/19/2020,Minnesota Twins,MIL,0
8/18/2020,Minnesota Twins,MIL,0
8/17/2020,Minnesota Twins,KCR,2
8/16/2020,Minnesota Twins,KCR,0
8/15/2020,Minnesota Twins,KCR,1
8/15/2020,Minnesota Twins,KCR,1
8/12/2020,Minnesota Twins,MIL,0
8/11/2020,Minnesota Twins,MIL,0
8/10/2020,Minnesota Twins,MIL,0
8/9/2020,Minnesota Twins,KCR,0
8/8/2020,Minnesota Twins,KCR,1
8/7/2020,Minnesota Twins,KCR,0
8/6/2020,Minnesota Twins,PIT,0
8/5/2020,Minnesota Twins,PIT,0
8/4/2020,Minnesota Twins,PIT,0
8/3/2020,Minnesota Twins,PIT,0
8/2/2020,Minnesota Twins,CLE,0
8/1/2020,Minnesota Twins,CLE,0
7/31/2020,Minnesota Twins,CLE,0
7/30/2020,Minnesota Twins,CLE,0
7/29/2020,Minnesota Twins,STL,0
7/28/2020,Minnesota Twins,STL,0
7/26/2020,Minnesota Twins,CHW,2
7/25/2020,Minnesota Twins,CHW,1
7/24/2020,Minnesota Twins,CHW,0
9/28/2019,Minnesota Twins,KCR,1
9/27/2019,Minnesota Twins,KCR,0
9/25/2019,Minnesota Twins,DET,0
9/24/2019,Minnesota Twins,DET,0
9/22/2019,Minnesota Twins,KCR,1
9/21/2019,Minnesota Twins,KCR,0
9/20/2019,Minnesota Twins,KCR,0
9/19/2019,Minnesota Twins,KCR,2
9/18/2019,Minnesota Twins,CHW,0
9/17/2019,Minnesota Twins,CHW,0
9/16/2019,Minnesota Twins,CHW,0
9/14/2019,Minnesota Twins,CLE,1
9/14/2019,Minnesota Twins,CLE,0
9/12/2019,Minnesota Twins,WSN,1
9/11/2019,Minnesota Twins,WSN,0
9/10/2019,Minnesota Twins,WSN,0
9/6/2019,Minnesota Twins,CLE,0
9/5/2019,Minnesota Twins,BOS,0
9/4/2019,Minnesota Twins,BOS,0
9/3/2019,Minnesota Twins,BOS,1
9/2/2019,Minnesota Twins,DET,0
9/1/2019,Minnesota Twins,DET,0
8/31/2019,Minnesota Twins,DET,1
8/30/2019,Minnesota Twins,DET,0
8/29/2019,Minnesota Twins,CHW,0
8/28/2019,Minnesota Twins,CHW,0
8/27/2019,Minnesota Twins,CHW,0
8/25/2019,Minnesota Twins,DET,0
8/24/2019,Minnesota Twins,DET,0
8/23/2019,Minnesota Twins,DET,0
8/21/2019,Minnesota Twins,CHW,0
8/20/2019,Minnesota Twins,CHW,1
8/19/2019,Minnesota Twins,CHW,0
8/8/2019,Minnesota Twins,CLE,0
8/7/2019,Minnesota Twins,ATL,0
8/6/2019,Minnesota Twins,ATL,2
8/5/2019,Minnesota Twins,ATL,0
8/4/2019,Minnesota Twins,KCR,0
8/3/2019,Minnesota Twins,KCR,3
8/2/2019,Minnesota Twins,KCR,1
8/1/2019,Minnesota Twins,MIA,0
7/31/2019,Minnesota Twins,MIA,0
7/28/2019,Minnesota Twins,CHW,0
7/27/2019,Minnesota Twins,CHW,0
7/26/2019,Minnesota Twins,CHW,1
7/25/2019,Minnesota Twins,CHW,3
7/24/2019,Minnesota Twins,NYY,1
7/23/2019,Minnesota Twins,NYY,1
7/22/2019,Minnesota Twins,NYY,1
7/21/2019,Minnesota Twins,OAK,0
7/20/2019,Minnesota Twins,OAK,1
7/19/2019,Minnesota Twins,OAK,0
7/18/2019,Minnesota Twins,OAK,0
7/17/2019,Minnesota Twins,NYM,1
7/16/2019,Minnesota Twins,NYM,0
7/14/2019,Minnesota Twins,CLE,0
7/13/2019,Minnesota Twins,CLE,0
7/12/2019,Minnesota Twins,CLE,1
7/7/2019,Minnesota Twins,TEX,0
7/6/2019,Minnesota Twins,TEX,0
7/5/2019,Minnesota Twins,TEX,0
7/4/2019,Minnesota Twins,OAK,0
7/2/2019,Minnesota Twins,OAK,0
6/30/2019,Minnesota Twins,CHW,1
6/29/2019,Minnesota Twins,CHW,2
