Player,Season,H
Ty Cobb,1905,36
Ty Cobb,1906,113
Ty Cobb,1907,212
Ty Cobb,1908,188
Ty Cobb,1909,216
Ty Cobb,1910,194
Ty Cobb,1911,248
Ty Cobb,1912,226
Ty Cobb,1913,167
Ty Cobb,1914,127
Ty Cobb,1915,208
Ty Cobb,1916,201
Ty Cobb,1917,225
Ty Cobb,1918,161
Ty Cobb,1919,191
Ty Cobb,1920,143
Ty Cobb,1921,197
Ty Cobb,1922,211
Ty Cobb,1923,189
Ty Cobb,1924,211
Ty Cobb,1925,157
Ty Cobb,1926,79
Ty Cobb,1927,175
Ty Cobb,1928,114
Pete Rose,1963,170
Pete Rose,1964,139
Pete Rose,1965,209
Pete Rose,1966,205
Pete Rose,1967,176
Pete Rose,1968,210
Pete Rose,1969,218
Pete Rose,1970,205
Pete Rose,1971,192
Pete Rose,1972,198
Pete Rose,1973,230
Pete Rose,1974,185
Pete Rose,1975,210
Pete Rose,1976,215
Pete Rose,1977,204
Pete Rose,1978,198
Pete Rose,1979,208
Pete Rose,1980,185
Pete Rose,1981,140
Pete Rose,1982,172
Pete Rose,1983,121
Pete Rose,1984,107
Pete Rose,1985,107
Pete Rose,1986,52
