Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
8/11/1994,SDP,@HOU,2,RF,1,5,5,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6
8/10/1994,SDP,@HOU,2,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25
8/9/1994,SDP,@HOU,2,RF,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
8/7/1994,SDP,@CHC,2,RF,1,5,5,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0.6
8/6/1994,SDP,@CHC,2,RF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
8/5/1994,SDP,@CHC,2,RF,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4
8/4/1994,SDP,@LAD,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/3/1994,SDP,@LAD,2,RF,1,4,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5
8/2/1994,SDP,@LAD,2,RF,1,4,6,3,2,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0.75
8/1/1994,SDP,@LAD,2,RF,1,4,5,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.5
7/31/1994,SDP,CIN,3,RF,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
7/30/1994,SDP,CIN,2,RF,1,4,5,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.25
7/29/1994,SDP,CIN,2,RF,1,5,5,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4
7/28/1994,SDP,CIN,2,RF,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5
7/27/1994,SDP,COL,3,RF,1,3,5,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0.333
7/26/1994,SDP,COL,3,RF,1,2,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
7/25/1994,SDP,COL,3,RF,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
7/24/1994,SDP,@PHI,5,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/23/1994,SDP,@PHI,3,RF,1,5,5,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4
7/22/1994,SDP,@PHI,3,RF,1,3,5,2,0,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0.667
7/22/1994,SDP,@PHI,3,RF,1,5,5,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.8
7/20/1994,SDP,@MON,3,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
7/19/1994,SDP,@MON,3,RF,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/18/1994,SDP,@MON,3,RF,1,3,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.333
7/17/1994,SDP,@NYM,3,RF,1,4,4,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.75
7/16/1994,SDP,@NYM,3,RF,1,5,5,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6
7/15/1994,SDP,@NYM,3,RF,1,6,6,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.333
7/15/1994,SDP,@NYM,3,RF,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5
7/10/1994,SDP,MON,3,CF,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5
7/9/1994,SDP,MON,3,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
7/8/1994,SDP,MON,3,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/7/1994,SDP,MON,3,RF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
7/5/1994,SDP,PHI,3,RF,1,2,5,1,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0.5
7/4/1994,SDP,PHI,3,RF,1,4,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.25
7/3/1994,SDP,NYM,3,RF,1,3,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
7/2/1994,SDP,NYM,3,RF,1,4,5,3,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0.75
7/1/1994,SDP,NYM,3,RF,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/30/1994,SDP,NYM,3,RF,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
6/29/1994,SDP,@COL,3,RF,1,4,5,2,0,2,0,0,1,3,0,0,0,0,1,0,0,0,0,0.5
6/28/1994,SDP,@COL,3,RF,1,3,6,2,2,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0.667
6/28/1994,SDP,@COL,3,RF,1,5,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.2
6/27/1994,SDP,@COL,3,RF,1,5,6,2,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0.4
6/26/1994,SDP,@CIN,3,RF,1,4,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5
6/25/1994,SDP,@CIN,3,RF,1,4,5,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.5
6/24/1994,SDP,@CIN,3,RF,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.2
6/22/1994,SDP,LAD,3,RF,1,2,4,2,2,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1
6/21/1994,SDP,LAD,3,RF,1,5,6,3,3,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0.6
6/20/1994,SDP,LAD,3,RF,1,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6/19/1994,SDP,HOU,3,RF,1,4,4,1,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0.25
6/18/1994,SDP,HOU,3,RF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
6/17/1994,SDP,HOU,3,RF,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5
6/16/1994,SDP,CHC,3,RF,1,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.5
6/15/1994,SDP,CHC,3,RF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
6/14/1994,SDP,CHC,3,RF,1,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2
6/12/1994,SDP,@SFG,3,RF,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25
6/11/1994,SDP,@SFG,3,RF,1,5,5,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8
6/10/1994,SDP,@SFG,3,RF,1,4,5,2,1,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0.5
6/8/1994,SDP,@ATL,8,PH,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/7/1994,SDP,@ATL,3,RF,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.25
6/6/1994,SDP,@ATL,3,RF,1,4,5,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.25
6/5/1994,SDP,@FLA,3,RF,1,4,5,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0.5
