Season,Name,WAR,playerid
1927,Lou Gehrig,12.5,1004598
1932,Jimmie Foxx,11.3,1004285
1948,Stan Musial,11.1,1009405
1934,Lou Gehrig,10.7,1004598
1961,Norm Cash,10.2,1002043
1943,Stan Musial,9.9,1009405
1920,George Sisler,9.9,1012021
1933,Jimmie Foxx,9.9,1004285
1959,Ernie Banks,9.7,1000512
1973,Darrell Evans,9.7,1003864
1928,Lou Gehrig,9.7,1004598
1936,Lou Gehrig,9.7,1004598
1930,Lou Gehrig,9.6,1004598
2003,Albert Pujols,9.5,1177
1944,Stan Musial,9.3,1009405
2001,Jason Giambi,9.2,818
1949,Stan Musial,9.2,1009405
1892,Dan Brouthers,9.2,1001486
1931,Lou Gehrig,9.2,1004598
1896,Hughie Jennings,8.8,1006396
1934,Jimmie Foxx,8.8,1004285
1946,Stan Musial,8.8,1009405
1958,Ernie Banks,8.7,1000512
2008,Albert Pujols,8.7,1177
1935,Lou Gehrig,8.7,1004598
2000,Darin Erstad,8.7,11
2013,Miguel Cabrera,8.6,1744
1951,Stan Musial,8.6,1009405
1977,Rod Carew,8.6,1001942
1935,Jimmie Foxx,8.5,1004285
1937,Lou Gehrig,8.5,1004598
1998,Mark McGwire,8.5,1008559
2009,Joe Mauer,8.4,1857
2009,Albert Pujols,8.4,1177
1922,George Sisler,8.3,1012021
1938,Jimmie Foxx,8.3,1004285
1886,Dan Brouthers,8.3,1001486
2000,Todd Helton,8.3,432
1937,Hank Greenberg,8.3,1004996
1964,Dick Allen,8.2,1000137
1970,Tony Perez,8.2,1010188
1885,Roger Connor,8.2,1002537
1971,Willie Stargell,8.2,1012426
1895,Hughie Jennings,8.2,1006396
1930,Bill Terry,8.2,1012927
2006,Albert Pujols,8.1,1177
1993,John Olerud,8.1,1093
1998,John Olerud,8.1,1093
1932,Lou Gehrig,8.1,1004598
1989,Will Clark,8.1,1002318
1929,Jimmie Foxx,8,1004285
1961,Jim Gentile,8,1004612
1898,Hughie Jennings,8,1006396
1997,Jeff Bagwell,8,547
1972,Dick Allen,8,1000137
1969,Willie McCovey,7.9,1008423
1999,Jeff Bagwell,7.8,547
1938,Hank Greenberg,7.8,1004996
1955,Ernie Banks,7.8,1000512
1994,Jeff Bagwell,7.8,547
2004,Albert Pujols,7.8,1177
2019,Cody Bellinger,7.8,15998
1985,Pedro Guerrero,7.8,1005120
1952,Stan Musial,7.8,1009405
1996,Jeff Bagwell,7.7,547
1939,Johnny Mize,7.7,1009014
2005,Albert Pujols,7.7,1177
1940,Hank Greenberg,7.7,1004996
1906,Frank Chance,7.7,1002131
2000,Jason Giambi,7.7,818
2007,Albert Pujols,7.7,1177
2008,Lance Berkman,7.7,548
1973,Willie Stargell,7.7,1012426
1935,Hank Greenberg,7.6,1004996
1890,Roger Connor,7.6,1002537
1888,Roger Connor,7.5,1002537
1897,Hughie Jennings,7.5,1006396
1953,Stan Musial,7.5,1009405
1966,Dick Allen,7.4,1000137
1979,Keith Hernandez,7.4,1005706
1996,Jim Thome,7.4,409
1976,Pete Rose,7.4,1011217
2000,Carlos Delgado,7.4,1297
1954,Ted Kluszewski,7.4,1007020
1996,Mark McGwire,7.3,1008559
1886,Roger Connor,7.3,1002537
1939,Jimmie Foxx,7.3,1004285
2002,Jim Thome,7.3,409
2012,Miguel Cabrera,7.3,1744
1975,John Mayberry,7.3,1008289
1929,Lou Gehrig,7.3,1004598
1973,Pete Rose,7.3,1011217
1954,Stan Musial,7.3,1009405
1991,Frank Thomas,7.3,255
2015,Joey Votto,7.3,4314
1986,Don Mattingly,7.2,1008261
2015,Paul Goldschmidt,7.2,9218
2001,Albert Pujols,7.2,1177
1940,Johnny Mize,7.2,1009014
1886,Cap Anson,7.2,1000272
1997,Frank Thomas,7.2,255
1946,Hank Greenberg,7.2,1004996
2013,Matt Carpenter,7.2,8090
1932,Bill Terry,7.2,1012927
1933,Lou Gehrig,7.2,1004598
1969,Harmon Killebrew,7.1,1006905
2001,Todd Helton,7.1,432
1992,Frank Thomas,7.1,255
2013,Chris Davis,7.1,9272
1975,Rod Carew,7.1,1001942
1926,Lou Gehrig,7,1004598
1930,Jimmie Foxx,7,1004285
2004,Todd Helton,7,432
1967,Harmon Killebrew,7,1006905
1994,Frank Thomas,7,255
1960,Ernie Banks,7,1000512
1968,Willie McCovey,7,1008423
2005,Derrek Lee,7,525
1886,Dave Orr,6.9,1009848
1971,Joe Torre,6.9,1013133
1941,Dolph Camilli,6.9,1001860
1980,Keith Hernandez,6.9,1005706
2010,Joey Votto,6.9,4314
2008,Mark Teixeira,6.9,1281
1998,Rafael Palmeiro,6.9,1266
1966,Joe Torre,6.9,1013133
1888,Harry Stovey,6.9,1012586
2001,Lance Berkman,6.8,548
1970,Willie McCovey,6.8,1008423
1888,John Reilly,6.8,1010803
1947,Johnny Mize,6.8,1009014
1974,Darrell Evans,6.8,1003864
1967,Orlando Cepeda,6.8,1002103
1984,Eddie Murray,6.8,1009386
2010,Albert Pujols,6.8,1177
1983,Eddie Murray,6.8,1009386
1998,Jeff Bagwell,6.7,547
1936,Jimmie Foxx,6.7,1004285
1943,Rudy York,6.7,1014354
1934,Ripper Collins,6.7,1002464
1938,Johnny Mize,6.6,1009014
1988,Fred McGriff,6.6,293
1950,Stan Musial,6.6,1009405
1884,Dave Orr,6.6,1009848
2003,Todd Helton,6.6,432
1974,Rod Carew,6.6,1001942
2011,Miguel Cabrera,6.6,1744
2002,Jason Giambi,6.6,818
2010,Ryan Zimmerman,6.6,4220
1924,Jack Fournier,6.6,1004264
1980,Cecil Cooper,6.6,1002592
2009,Ryan Zimmerman,6.6,4220
1888,Cap Anson,6.5,1000272
1990,Cecil Fielder,6.5,1004026
1934,Hank Greenberg,6.5,1004996
1889,Tommy Tucker,6.5,1013213
1939,Dolph Camilli,6.5,1001860
2017,Joey Votto,6.5,4314
1889,Harry Stovey,6.4,1012586
1888,Dan Brouthers,6.4,1001486
1918,George Sisler,6.4,1012021
1937,Johnny Mize,6.4,1009014
1989,Fred McGriff,6.4,293
1887,Roger Connor,6.4,1002537
1961,Harmon Killebrew,6.4,1006905
2011,Joey Votto,6.4,4314
1969,Boog Powell,6.4,1010482
1976,Rod Carew,6.4,1001942
2008,Joe Mauer,6.4,1857
1945,Phil Cavarretta,6.3,1002093
1969,Tony Perez,6.3,1010188
1992,Mark McGwire,6.3,1008559
1891,Dan Brouthers,6.3,1001486
1905,Frank Chance,6.3,1002131
1931,Bill Terry,6.3,1012927
1963,Willie McCovey,6.3,1008423
1973,Rod Carew,6.3,1001942
1892,Roger Connor,6.3,1002537
1965,Dick Allen,6.3,1000137
1919,George Sisler,6.3,1012021
2006,Miguel Cabrera,6.3,1744
1993,Frank Thomas,6.3,255
1998,Mo Vaughn,6.3,899
1993,Rafael Palmeiro,6.3,1266
1904,Frank Chance,6.3,1002131
1996,Mo Vaughn,6.2,899
1982,Pedro Guerrero,6.2,1005120
1972,Pete Rose,6.2,1011217
1948,Johnny Mize,6.2,1009014
2008,Kevin Youkilis,6.2,1935
1915,Ed Konetchy,6.2,1007093
1903,Frank Chance,6.2,1002131
2004,Lance Berkman,6.2,548
1889,Roger Connor,6.2,1002537
2011,Adrian Gonzalez,6.2,1908
1969,Pete Rose,6.1,1011217
1957,Ernie Banks,6.1,1000512
2016,Freddie Freeman,6.1,5361
1967,Dick Allen,6.1,1000137
1996,Frank Thomas,6.1,255
2006,Lance Berkman,6.1,548
1957,Stan Musial,6.1,1009405
1889,Dan Brouthers,6.1,1001486
1973,George Scott,6.1,1011682
1944,Johnny Hopp,6.1,1006022
2002,Lance Berkman,6.1,548
1984,Don Mattingly,6.1,1008261
1899,Fred Tenney,6.1,1012916
2010,Miguel Cabrera,6.1,1744
1937,Dolph Camilli,6.1,1001860
1985,Don Mattingly,6.1,1008261
1999,Mark McGwire,6,1008559
1974,Willie Stargell,6,1012426
1954,Gil Hodges,6,1005883
2003,Lance Berkman,6,548
1966,Harmon Killebrew,6,1006905
1944,Frank McCormick,6,1008413
2013,Paul Goldschmidt,6,9218
1970,Joe Torre,6,1013133
1946,Johnny Mize,6,1009014
1995,Jim Thome,6,409
1964,Boog Powell,6,1010482
1925,Jim Bottomley,6,1001228
1890,Perry Werden,6,1013784
1915,Jack Fournier,6,1004264
1966,Willie McCovey,5.9,1008423
1922,Ray Grimes,5.9,1005065
1939,Hank Greenberg,5.9,1004996
1990,Eddie Murray,5.9,1009386
2000,Jeff Bagwell,5.9,547
2009,Kevin Youkilis,5.9,1935
2006,Ryan Howard,5.9,2154
2005,Mark Teixeira,5.9,1281
1934,Bill Terry,5.9,1012927
2007,Carlos Pena,5.9,934
2000,Frank Thomas,5.9,255
1917,George Sisler,5.9,1012021
2009,Prince Fielder,5.9,4613
1881,Cap Anson,5.9,1000272
1991,Rafael Palmeiro,5.9,1266
1928,Jim Bottomley,5.9,1001228
1898,Dan McGann,5.9,1008501
1923,Jack Fournier,5.8,1004264
1940,Rudy York,5.8,1014354
1964,Joe Torre,5.8,1013133
1944,Nick Etten,5.8,1003848
2006,Joe Mauer,5.8,1857
1999,John Olerud,5.8,1093
1955,Stan Musial,5.8,1009405
1925,Jack Fournier,5.8,1004264
1986,Keith Hernandez,5.8,1005706
1882,Dan Brouthers,5.8,1001486
1942,Johnny Mize,5.8,1009014
2009,Adrian Gonzalez,5.8,1908
1982,Eddie Murray,5.8,1009386
1891,Roger Connor,5.7,1002537
1921,George Sisler,5.7,1012021
1988,Will Clark,5.7,1002318
1883,Dan Brouthers,5.7,1001486
1970,Boog Powell,5.7,1010482
1965,Willie McCovey,5.7,1008423
1946,Mickey Vernon,5.7,1013416
1990,Mark McGwire,5.7,1008559
2010,Aubrey Huff,5.7,1213
1978,Jack Clark,5.7,1002288
1977,Mike Hargrove,5.7,1005361
1984,Keith Hernandez,5.7,1005706
1884,Dude Esterbrook,5.7,1003839
2010,Joe Mauer,5.7,1857
2013,Joey Votto,5.7,4314
1987,Jack Clark,5.7,1002288
1973,Tony Perez,5.7,1010188
1998,Carlos Delgado,5.7,1297
1995,Rafael Palmeiro,5.6,1266
1941,Elbie Fletcher,5.6,1004150
1905,Harry Davis,5.6,1003053
1974,Pete Rose,5.6,1011217
1936,Dolph Camilli,5.6,1001860
2016,Daniel Murphy,5.6,4316
1988,Andres Galarraga,5.6,1390
2001,Phil Nevin,5.6,1049
1975,Gene Tenace,5.6,1012911
1958,Pete Runnels,5.6,1011303
1984,Kent Hrbek,5.6,1006117
1884,John Reilly,5.6,1010803
1961,Orlando Cepeda,5.5,1002103
1940,Jimmie Foxx,5.5,1004285
1970,Harmon Killebrew,5.5,1006905
1985,Eddie Murray,5.5,1009386
1936,Gus Suhr,5.5,1012674
1993,Jeff Bagwell,5.5,547
1992,Fred McGriff,5.5,293
1887,Cap Anson,5.5,1000272
1940,Frank McCormick,5.5,1008413
2002,Todd Helton,5.5,432
1968,Pete Rose,5.5,1011217
1990,Fred McGriff,5.5,293
1942,Stan Musial,5.5,1009405
1940,Dolph Camilli,5.5,1001860
1915,Fred Luderus,5.4,1007813
1979,Gene Tenace,5.4,1012911
1941,Johnny Mize,5.4,1009014
2002,Albert Pujols,5.4,1177
1953,Mickey Vernon,5.4,1013416
1999,Rafael Palmeiro,5.4,1266
2015,Chris Davis,5.4,9272
1990,Dave Magadan,5.4,1007961
1997,Mark McGwire,5.4,1008559
1950,Earl Torgeson,5.4,1013124
1894,Hughie Jennings,5.4,1006396
2001,Jim Thome,5.4,409
1995,Frank Thomas,5.4,255
1927,Bill Terry,5.4,1012927
1983,Pedro Guerrero,5.4,1005120
1889,Cap Anson,5.4,1000272
1983,Keith Hernandez,5.4,1005706
1934,Hal Trosky,5.4,1013190
1993,Gregg Jefferies,5.4,1006379
1929,Bill Terry,5.4,1012927
1891,Harry Stovey,5.4,1012586
1918,George Burns,5.4,1001709
1905,Dan McGann,5.3,1008501
2012,Joey Votto,5.3,4314
2014,Anthony Rizzo,5.3,3473
1963,Orlando Cepeda,5.3,1002103
2003,Carlos Delgado,5.3,1297
1984,Alvin Davis,5.3,1003033
1987,Don Mattingly,5.3,1008261
1930,Ed Morgan,5.3,1009176
1997,Tino Martinez,5.3,1168
1939,Hal Trosky,5.3,1013190
2015,Matt Carpenter,5.3,8090
2014,Jose Abreu,5.3,15676
1999,Kevin Young,5.3,1018
2004,Adam Dunn,5.3,319
2017,Paul Goldschmidt,5.3,9218
1975,Pete Rose,5.3,1011217
1939,Frank McCormick,5.3,1008413
1911,Ed Konetchy,5.3,1007093
1982,Jason Thompson,5.2,1013014
2001,Jeff Bagwell,5.2,547
1965,Joe Torre,5.2,1013133
2018,Freddie Freeman,5.2,5361
2015,Anthony Rizzo,5.2,3473
2018,Max Muncy,5.2,13301
1965,Norm Cash,5.2,1002043
1968,Tony Perez,5.2,1010188
2009,Derrek Lee,5.2,525
1965,Pete Rose,5.2,1011217
2016,Joey Votto,5.2,4314
1999,Jason Giambi,5.2,818
2014,Miguel Cabrera,5.2,1744
2013,Joe Mauer,5.2,1857
1971,Dick Allen,5.2,1000137
1910,Ed Konetchy,5.2,1007093
2009,Mark Teixeira,5.2,1281
1887,Dan Brouthers,5.2,1001486
2018,Paul Goldschmidt,5.2,9218
1969,Willie Stargell,5.2,1012426
1962,Norm Siebern,5.2,1011949
2005,Miguel Cabrera,5.1,1744
1884,Harry Stovey,5.1,1012586
1987,Mark McGwire,5.1,1008559
1970,Wes Parker,5.1,1010009
1978,Andre Thornton,5.1,1013037
1997,Jim Thome,5.1,409
1906,Harry Davis,5.1,1003053
1963,Bill White,5.1,1013855
1938,Rudy York,5.1,1014354
1952,Gil Hodges,5.1,1005883
1942,Les Fleming,5.1,1004146
1890,Cap Anson,5.1,1000272
1931,Jimmie Foxx,5.1,1004285
1982,Cecil Cooper,5.1,1002592
1971,Lee May,5.1,1008303
1974,Al Oliver,5.1,1009773
1995,Mo Vaughn,5.1,899
1991,Will Clark,5.1,1002318
1890,Harry Stovey,5.1,1012586
1884,Dan Brouthers,5.1,1001486
2009,Miguel Cabrera,5.1,1744
1978,Jason Thompson,5.1,1013014
1942,Dolph Camilli,5,1001860
1885,Dave Orr,5,1009848
1885,Henry Larkin,5,1007348
1985,Keith Hernandez,5,1005706
2018,Matt Carpenter,5,8090
2012,Prince Fielder,5,4613
1970,Pete Rose,5,1011217
1924,George Kelly,5,1006799
1902,Charlie Hickman,5,1005773
1998,Andres Galarraga,5,1390
2007,Miguel Cabrera,5,1744
1995,Mark McGwire,5,1008559
2010,Daric Barton,5,5928
1912,Stuffy McInnis,5,1008569
1929,Lew Fonseca,5,1004205
1927,Jim Bottomley,5,1001228
2013,Freddie Freeman,5,5361
1967,Joe Torre,5,1013133
1951,Gil Hodges,5,1005883
2003,Jason Giambi,5,818
1987,Pedro Guerrero,5,1005120
1959,Pete Runnels,5,1011303
1880,Cap Anson,5,1000272
1886,Henry Larkin,5,1007348
1969,Rod Carew,5,1001942
1973,John Mayberry,5,1008289
2010,Justin Morneau,5,1737
1972,Nate Colbert,5,1002407
1955,Ted Kluszewski,5,1007020
1982,Al Oliver,5,1009773
1885,Dan Brouthers,4.9,1001486
1993,Mark Grace,4.9,56
1972,John Mayberry,4.9,1008289
1938,Lou Gehrig,4.9,1004598
1991,John Kruk,4.9,1007184
1902,Fred Tenney,4.9,1012916
1935,Bill Terry,4.9,1012927
2006,Nick Johnson,4.9,828
1904,Dan McGann,4.9,1008501
1907,Frank Chance,4.9,1002131
1971,Tony Perez,4.9,1010188
1899,Jake Beckley,4.9,1000754
2016,Paul Goldschmidt,4.9,9218
1913,Stuffy McInnis,4.9,1008569
1972,Mike Epstein,4.9,1003800
1979,Eddie Murray,4.9,1009386
1993,John Kruk,4.9,1007184
1950,Vic Wertz,4.9,1013795
1892,Jake Virtue,4.9,1013440
1952,Ferris Fain,4.9,1003902
2016,Anthony Rizzo,4.9,3473
1989,Von Hayes,4.9,1005531
1999,Eric Karros,4.8,659
1967,Willie McCovey,4.8,1008423
2006,Jim Thome,4.8,409
1973,Bob Watson,4.8,1013677
1893,Roger Connor,4.8,1002537
2016,Miguel Cabrera,4.8,1744
2002,Jeff Bagwell,4.8,547
1994,Fred McGriff,4.8,293
1940,Elbie Fletcher,4.8,1004150
1968,Ken Harrelson,4.8,1005389
1956,Ernie Banks,4.8,1000512
1978,Steve Garvey,4.8,1004557
1986,Von Hayes,4.8,1005531
1875,Cal McVey,4.8,1008696
1972,Willie Stargell,4.8,1012426
1964,Harmon Killebrew,4.8,1006905
2019,Max Muncy,4.8,13301
1966,Willie Stargell,4.8,1012426
1942,Elbie Fletcher,4.8,1004150
1978,Gene Tenace,4.8,1012911
1909,Dots Miller,4.8,1008885
1989,Glenn Davis,4.8,1003052
1890,Harry Taylor,4.8,1012873
1977,Bob Watson,4.8,1013677
1883,Roger Connor,4.8,1002537
1975,Steve Garvey,4.8,1004557
1932,Don Hurst,4.8,1006223
1956,Stan Musial,4.8,1009405
