Season,Name,WAR,playerid
2012,Buster Posey,10.1,9166
1972,Johnny Bench,9.2,1000826
1997,Mike Piazza,9.1,893
2008,Brian McCann,8.6,4810
2009,Joe Mauer,8.4,1857
1982,Gary Carter,8.4,1002015
2014,Jonathan Lucroy,8.2,7870
1974,Johnny Bench,8,1000826
1970,Johnny Bench,7.9,1000826
2008,Russell Martin,7.9,4616
2013,Yadier Molina,7.8,7007
1953,Roy Campanella,7.7,1001871
2012,Yadier Molina,7.7,7007
2014,Buster Posey,7.6,9166
1886,King Kelly,7.6,1006806
1977,Carlton Fisk,7.6,1004101
1979,Darrell Porter,7.5,1010450
1993,Mike Piazza,7.4,893
1992,Darren Daulton,7.2,1003010
1984,Gary Carter,7.1,1002015
1951,Roy Campanella,7.1,1001871
2013,Jonathan Lucroy,7,7870
1968,Bill Freehan,7,1004315
1993,Chris Hoiles,7,1005935
2011,Brian McCann,6.9,4810
2013,Buster Posey,6.9,9166
1971,Joe Torre,6.9,1013133
1966,Joe Torre,6.9,1013133
1983,Gary Carter,6.8,1002015
1999,Ivan Rodriguez,6.8,1275
1975,Johnny Bench,6.8,1000826
2015,Buster Posey,6.8,9166
2003,Javy Lopez,6.8,103
1937,Bill Dickey,6.7,1003271
2016,Buster Posey,6.7,9166
2010,Brian McCann,6.7,4810
1985,Gary Carter,6.7,1002015
1993,Rick Wilkins,6.7,1013960
1996,Mike Piazza,6.6,893
1972,Carlton Fisk,6.6,1004101
1998,Mike Piazza,6.6,893
1973,Thurman Munson,6.6,1009334
1998,Ivan Rodriguez,6.4,1275
1956,Yogi Berra,6.4,1000898
2008,Joe Mauer,6.4,1857
2009,Brian McCann,6.3,4810
2014,Russell Martin,6.2,4616
1933,Mickey Cochrane,6.2,1002384
1997,Ivan Rodriguez,6.2,1275
2000,Jorge Posada,6.1,841
2003,Jorge Posada,6,841
1980,Gary Carter,6,1002015
1950,Yogi Berra,6,1000898
2012,Jonathan Lucroy,6,7870
1970,Joe Torre,6,1013133
1964,Elston Howard,6,1006079
1995,Mike Piazza,6,893
2011,Miguel Montero,5.9,3364
2011,Yadier Molina,5.9,7007
1967,Tim McCarver,5.9,1008378
1979,Gary Carter,5.9,1002015
2015,Francisco Cervelli,5.9,5275
1954,Yogi Berra,5.9,1000898
1978,Ted Simmons,5.9,1011986
1963,Elston Howard,5.9,1006079
1914,Art Wilson,5.9,1014059
