Season,Name,WAR,playerid
1956,Mickey Mantle,11.5,1008082
1917,Ty Cobb,11.5,1002378
1957,Mickey Mantle,11.4,1008082
1911,Ty Cobb,11,1002378
1965,Willie Mays,10.7,1008315
1912,Tris Speaker,10.6,1012309
1962,Willie Mays,10.5,1008315
1964,Willie Mays,10.5,1008315
1910,Ty Cobb,10.3,1002378
1961,Mickey Mantle,10.3,1008082
1954,Willie Mays,10.3,1008315
2013,Mike Trout,10.2,10155
2012,Mike Trout,10.1,10155
1914,Benny Kauff,9.9,1006715
1963,Willie Mays,9.8,1008315
1982,Robin Yount,9.8,1014396
1915,Ty Cobb,9.8,1002378
1955,Mickey Mantle,9.8,1008082
1941,Joe DiMaggio,9.8,1003311
1996,Ken Griffey Jr.,9.7,327
1958,Willie Mays,9.7,1008315
1909,Ty Cobb,9.7,1002378
2016,Mike Trout,9.7,10155
2018,Mike Trout,9.6,10155
2011,Jacoby Ellsbury,9.5,4727
1914,Tris Speaker,9.3,1012309
2015,Mike Trout,9.3,10155
1912,Ty Cobb,9.1,1002378
1937,Joe DiMaggio,9.1,1003311
1955,Willie Mays,9,1008315
1997,Ken Griffey Jr.,9,327
1990,Lenny Dykstra,9,1003619
1953,Duke Snider,8.8,1012230
1958,Mickey Mantle,8.8,1008082
1920,Tris Speaker,8.7,1012309
1923,Tris Speaker,8.7,1012309
1945,Tommy Holmes,8.7,1005980
2000,Darin Erstad,8.7,11
1905,Cy Seymour,8.7,1011777
1979,Fred Lynn,8.6,1007872
1913,Tris Speaker,8.6,1012309
2019,Mike Trout,8.5,10155
1939,Joe DiMaggio,8.5,1003311
1966,Willie Mays,8.5,1008315
1993,Ken Griffey Jr.,8.4,327
2010,Josh Hamilton,8.4,1875
1957,Willie Mays,8.4,1008315
1915,Benny Kauff,8.4,1006715
1960,Willie Mays,8.3,1008315
1961,Willie Mays,8.3,1008315
1894,Billy Hamilton,8.3,1005270
1954,Duke Snider,8.3,1012230
2014,Mike Trout,8.3,10155
2004,Jim Edmonds,8.3,1153
2011,Matt Kemp,8.3,5631
2013,Andrew McCutchen,8.1,9847
1930,Hack Wilson,8,1014083
1916,Tris Speaker,8,1012309
1929,Al Simmons,7.9,1011978
1931,Al Simmons,7.9,1011978
2007,Curtis Granderson,7.9,4747
2006,Grady Sizemore,7.9,2197
2005,Andruw Jones,7.9,96
2006,Carlos Beltran,7.8,589
1972,Cesar Cedeno,7.8,1002100
2019,Christian Yelich,7.8,11477
1916,Ty Cobb,7.8,1002378
2019,Cody Bellinger,7.8,15998
1955,Duke Snider,7.7,1012230
2018,Christian Yelich,7.7,11477
2000,Andruw Jones,7.7,96
1917,Tris Speaker,7.7,1012309
1930,Al Simmons,7.6,1011978
1941,Pete Reiser,7.5,1010814
1894,Hugh Duffy,7.5,1003533
1940,Joe DiMaggio,7.5,1003311
1956,Duke Snider,7.5,1012230
1925,Kiki Cuyler,7.5,1002914
1910,Tris Speaker,7.5,1012309
1959,Willie Mays,7.4,1008315
1974,Jimmy Wynn,7.4,1014313
1972,Bobby Murcer,7.4,1009338
2008,Grady Sizemore,7.4,2197
1905,Mike Donlin,7.4,1003380
2014,Andrew McCutchen,7.4,9847
1982,Andre Dawson,7.4,1003091
2012,Andrew McCutchen,7.3,9847
1948,Joe DiMaggio,7.3,1003311
2000,Richard Hidalgo,7.3,561
2008,Carlos Beltran,7.2,589
1996,Ellis Burks,7.2,372
1891,Billy Hamilton,7.2,1005270
1978,Amos Otis,7.2,1009893
1913,Ty Cobb,7.2,1002378
1887,Pete Browning,7.1,1001554
1985,Willie McGee,7.1,1008513
1988,Kirby Puckett,7.1,1010557
1975,Fred Lynn,7.1,1007872
1973,Cesar Cedeno,7.1,1002100
1987,Eric Davis,7.1,1003048
1987,Dale Murphy,7.1,1009355
1969,Paul Blair,7.1,1001031
1998,Andruw Jones,7,96
1907,Ty Cobb,7,1002378
1983,Dale Murphy,7,1009355
1930,Kiki Cuyler,7,1002914
1980,Willie Wilson,7,1014113
1993,Kenny Lofton,7,246
1956,Willie Mays,6.9,1008315
1999,Andruw Jones,6.9,96
1984,Lloyd Moseby,6.9,1009238
1996,Brady Anderson,6.9,364
2003,Carlos Beltran,6.9,589
1952,Larry Doby,6.9,1003346
1991,Ken Griffey Jr.,6.9,327
1960,Mickey Mantle,6.9,1008082
2011,Curtis Granderson,6.9,4747
1936,Earl Averill,6.9,1000378
1895,Billy Hamilton,6.9,1005270
1927,Earle Combs,6.8,1002478
1994,Ken Griffey Jr.,6.8,327
1993,Lenny Dykstra,6.8,1003619
1925,Al Simmons,6.8,1011978
2017,Mike Trout,6.8,10155
1950,Larry Doby,6.8,1003346
1961,Vada Pinson,6.8,1010360
2015,A.J. Pollock,6.8,9256
1954,Mickey Mantle,6.7,1008082
1934,Earl Averill,6.7,1000378
1967,Paul Blair,6.7,1001031
1922,Tris Speaker,6.7,1012309
2013,Carlos Gomez,6.7,4881
2002,Jim Edmonds,6.7,1153
1968,Willie Mays,6.7,1008315
1969,Jimmy Wynn,6.7,1014313
1981,Andre Dawson,6.7,1003091
1964,Willie Davis,6.7,1003088
1959,Mickey Mantle,6.6,1008082
1921,Ty Cobb,6.6,1002378
1994,Kenny Lofton,6.6,246
1952,Mickey Mantle,6.6,1008082
2017,Charlie Blackmon,6.6,7859
1927,Hack Wilson,6.6,1014083
1929,Hack Wilson,6.6,1014083
1908,Mike Donlin,6.6,1003380
1998,Ken Griffey Jr.,6.6,327
1942,Joe DiMaggio,6.5,1003311
1914,Dutch Zwilling,6.5,1014467
1971,Bobby Murcer,6.5,1009338
2019,George Springer,6.5,12856
2014,Michael Brantley,6.5,4106
1963,Vada Pinson,6.5,1010360
1992,Andy Van Slyke,6.5,1013363
1918,Ty Cobb,6.5,1002378
1983,Andre Dawson,6.5,1003091
2000,Jim Edmonds,6.5,1153
1977,Reggie Smith,6.5,1012201
1915,Tris Speaker,6.5,1012309
1958,Richie Ashburn,6.5,1000335
1983,Robin Yount,6.4,1014396
1933,Wally Berger,6.4,1000875
1892,Billy Hamilton,6.4,1005270
1965,Jimmy Wynn,6.4,1014313
2004,Carlos Beltran,6.4,589
1988,Dave Henderson,6.4,1005630
1988,Andy Van Slyke,6.4,1013363
1996,Lance Johnson,6.4,1006482
1991,Devon White,6.4,1013862
1966,Tommie Agee,6.4,1000080
2007,Grady Sizemore,6.4,2197
1995,Bernie Williams,6.4,857
1925,Tris Speaker,6.4,1012309
1954,Richie Ashburn,6.4,1000335
1908,Ty Cobb,6.3,1002378
1951,Larry Doby,6.3,1003346
1976,Garry Maddox,6.3,1007948
1921,Tris Speaker,6.3,1012309
2003,Jim Edmonds,6.3,1153
2002,Andruw Jones,6.3,96
1909,Tris Speaker,6.3,1012309
1926,Johnny Mostil,6.3,1009255
1922,Ty Cobb,6.3,1002378
1970,Reggie Smith,6.3,1012201
1950,Andy Pafko,6.3,1009948
2010,Andres Torres,6.3,1488
1980,Dwayne Murphy,6.3,1009359
2001,Jim Edmonds,6.2,1153
1998,Ray Lankford,6.2,1044
1984,Chet Lemon,6.2,1007518
2017,Tommy Pham,6.2,2967
1931,Wally Berger,6.2,1000875
2010,Brett Gardner,6.2,9927
1973,Billy North,6.2,1009638
1931,Ben Chapman,6.1,1002141
1899,Chick Stahl,6.1,1012381
1944,Stan Spence,6.1,1012328
1955,Richie Ashburn,6.1,1000335
2005,Jim Edmonds,6.1,1153
1980,Al Bumbry,6.1,1001649
2015,Lorenzo Cain,6.1,9077
2009,Franklin Gutierrez,6.1,3255
1944,Johnny Hopp,6.1,1006022
1970,Bobby Tolan,6.1,1013100
1980,Robin Yount,6.1,1014396
1931,Earl Averill,6.1,1000378
1890,Pete Browning,6.1,1001554
1951,Richie Ashburn,6.1,1000335
2003,Richard Hidalgo,6,561
1896,Billy Hamilton,6,1005270
1930,Carl Reynolds,6,1010864
2006,Andruw Jones,6,96
1962,Mickey Mantle,6,1008082
1885,Pete Browning,6,1001554
1920,Edd Roush,6,1011247
1980,Andre Dawson,6,1003091
