Season,Name,WAR,playerid
1923,Babe Ruth,15,1011327
1921,Babe Ruth,13.9,1011327
1920,Babe Ruth,13.3,1011327
1927,Babe Ruth,13,1011327
2002,Barry Bonds,12.7,1109
1924,Babe Ruth,12.5,1011327
2001,Barry Bonds,12.5,1109
1926,Babe Ruth,12,1011327
2004,Barry Bonds,11.9,1109
1946,Ted Williams,11.8,1014040
1942,Ted Williams,11.6,1014040
1967,Carl Yastrzemski,11.1,1014326
1948,Stan Musial,11.1,1009405
1941,Ted Williams,11,1014040
1931,Babe Ruth,10.7,1011327
1928,Babe Ruth,10.6,1011327
1930,Babe Ruth,10.5,1011327
1947,Ted Williams,10.5,1014040
1993,Barry Bonds,10.5,1109
2003,Barry Bonds,10.2,1109
1990,Rickey Henderson,10.2,194
1943,Stan Musial,9.9,1009405
1990,Barry Bonds,9.9,1109
1949,Ted Williams,9.9,1014040
1957,Ted Williams,9.7,1014040
1985,Rickey Henderson,9.7,194
1992,Barry Bonds,9.6,1109
1919,Babe Ruth,9.4,1011327
1911,Joe Jackson,9.3,1006301
1944,Stan Musial,9.3,1009405
1968,Carl Yastrzemski,9.3,1014326
1996,Barry Bonds,9.2,1109
1949,Stan Musial,9.2,1009405
1912,Joe Jackson,9.1,1006301
1906,George Stone,8.9,1012564
2001,Luis Gonzalez,8.9,55
1977,George Foster,8.9,1004250
1997,Barry Bonds,8.9,1109
1970,Carl Yastrzemski,8.9,1014326
1946,Stan Musial,8.8,1009405
1932,Babe Ruth,8.7,1011327
1951,Stan Musial,8.6,1009405
1998,Barry Bonds,8.5,1109
1948,Ted Williams,8.5,1014040
2010,Josh Hamilton,8.4,1875
1989,Rickey Henderson,8.4,194
1954,Ted Williams,8.4,1014040
1899,Ed Delahanty,8.3,1003155
1937,Joe Medwick,8.3,1008719
1894,Billy Hamilton,8.3,1005270
1962,Frank Robinson,8.2,1011066
1947,Ralph Kiner,8.2,1006923
1887,Tip O'Neill,8.2,1009821
1966,Frank Robinson,8.2,1011066
1971,Willie Stargell,8.2,1012426
1989,Lonnie Smith,8.1,1012176
1961,Rocky Colavito,8,1002404
1929,Al Simmons,7.9,1011978
1931,Al Simmons,7.9,1011978
1949,Ralph Kiner,7.8,1006923
1980,Rickey Henderson,7.8,194
2019,Christian Yelich,7.8,11477
1954,Minnie Minoso,7.8,1008984
1988,Mike Greenwell,7.8,1005006
1991,Barry Bonds,7.8,1109
1952,Stan Musial,7.8,1009405
1929,Babe Ruth,7.8,1011327
1896,Joe Kelley,7.8,1006776
1978,Jim Rice,7.7,1010897
1893,Ed Delahanty,7.7,1003155
2010,Carl Crawford,7.7,1201
1995,Barry Bonds,7.7,1109
1896,Ed Delahanty,7.7,1003155
1920,Joe Jackson,7.7,1006301
2008,Lance Berkman,7.7,548
2018,Christian Yelich,7.7,11477
1973,Willie Stargell,7.7,1012426
1930,Al Simmons,7.6,1011978
2000,Barry Bonds,7.6,1109
1951,Ralph Kiner,7.6,1006923
1996,Bernard Gilkey,7.6,1004706
1903,Jimmy Sheckard,7.5,1011843
1910,Sherry Magee,7.5,1007965
1913,Joe Jackson,7.5,1006301
1941,Pete Reiser,7.5,1010814
1953,Stan Musial,7.5,1009405
1894,Hugh Duffy,7.5,1003533
1895,Ed Delahanty,7.5,1003155
1999,Manny Ramirez,7.5,210
1929,Lefty O'Doul,7.4,1009734
1922,Ken Williams,7.4,1014012
1905,Mike Donlin,7.4,1003380
1923,Ken Williams,7.4,1014012
1941,Charlie Keller,7.3,1006768
1928,Goose Goslin,7.3,1004893
1901,Jesse Burkett,7.3,1001682
1954,Stan Musial,7.3,1009405
1886,Hardy Richardson,7.3,1010909
1969,Frank Robinson,7.3,1011066
1942,Charlie Keller,7.3,1006768
1891,Billy Hamilton,7.2,1005270
1995,Albert Belle,7.2,1000802
1985,Tim Raines,7.2,1406
1951,Ted Williams,7.1,1014040
1887,Pete Browning,7.1,1001554
1955,Ted Williams,7.1,1014040
1998,Albert Belle,7.1,1000802
1989,Barry Bonds,7.1,1109
1964,Frank Robinson,7.1,1011066
1894,Joe Kelley,7.1,1006776
1901,Ed Delahanty,7.1,1003155
1965,Billy Williams,7.1,1013975
1939,Ted Williams,7.1,1014040
1943,Charlie Keller,7.1,1006768
1961,Frank Robinson,7.1,1011066
2011,Ryan Braun,7.1,3410
1983,Rickey Henderson,7,194
1914,George Burns,7,1001708
1902,Ed Delahanty,7,1003155
1980,Willie Wilson,7,1014113
1963,Bob Allison,6.9,1000166
1928,Heinie Manush,6.9,1008089
1996,Brady Anderson,6.9,364
1989,Kevin Mitchell,6.9,1009004
2002,Brian Giles,6.9,990
1924,Zack Wheat,6.9,1013828
1907,Sherry Magee,6.9,1007965
2007,Matt Holliday,6.9,1873
1895,Billy Hamilton,6.9,1005270
1888,Harry Stovey,6.9,1012586
2001,Lance Berkman,6.8,548
1925,Al Simmons,6.8,1011978
1998,Moises Alou,6.8,261
1970,Tommy Harper,6.8,1005383
2012,Ryan Braun,6.8,3410
1901,Jimmy Sheckard,6.8,1011843
1970,Rico Carty,6.7,1002025
1917,George Burns,6.7,1001708
1933,Babe Ruth,6.7,1011327
1987,Tim Raines,6.7,1406
1926,Goose Goslin,6.7,1004893
1940,Ted Williams,6.7,1014040
1984,Tim Raines,6.7,1406
1981,Rickey Henderson,6.7,194
1999,Brian Giles,6.7,990
2007,Alfonso Soriano,6.7,847
1958,Rocky Colavito,6.6,1002404
1946,Charlie Keller,6.6,1006768
2011,Alex Gordon,6.6,5209
1957,Frank Robinson,6.6,1011066
1950,Stan Musial,6.6,1009405
1999,Luis Gonzalez,6.6,55
1932,Lefty O'Doul,6.6,1009734
1980,Ben Oglivie,6.6,1009746
1919,Bobby Veach,6.6,1013388
1908,Mike Donlin,6.6,1003380
1897,Fred Clarke,6.5,1002280
2014,Michael Brantley,6.5,4106
1925,Goose Goslin,6.5,1004893
1916,Joe Jackson,6.5,1006301
1972,Billy Williams,6.5,1013975
2001,Cliff Floyd,6.5,518
1922,Babe Ruth,6.5,1011327
1895,Joe Kelley,6.5,1006776
1889,Harry Stovey,6.4,1012586
1933,Wally Berger,6.4,1000875
1970,Billy Williams,6.4,1013975
1924,Goose Goslin,6.4,1004893
1944,Bob Johnson,6.4,1006428
1892,Billy Hamilton,6.4,1005270
1951,Monte Irvin,6.4,1006275
1936,Joe Medwick,6.4,1008719
1935,Joe Medwick,6.4,1008719
1890,Hub Collins,6.4,1002454
1986,Rickey Henderson,6.4,194
1916,Zack Wheat,6.4,1013828
1917,Bobby Veach,6.4,1013388
1965,Don Buford,6.4,1001636
1898,Ed Delahanty,6.4,1003155
1939,Bob Johnson,6.4,1006428
2000,Brian Giles,6.3,990
1976,George Foster,6.3,1004250
1960,Frank Robinson,6.3,1011066
1963,Carl Yastrzemski,6.3,1014326
2011,Justin Upton,6.3,5222
1969,Cleon Jones,6.3,1006540
1956,Ted Williams,6.3,1014040
1958,Bob Cerv,6.2,1002107
1964,Bob Allison,6.2,1000166
1977,Mitchell Page,6.2,1009954
1998,Ray Lankford,6.2,1044
1983,Jim Rice,6.2,1010897
2017,Tommy Pham,6.2,2967
1956,Minnie Minoso,6.2,1008984
2010,Matt Holliday,6.2,1873
1931,Wally Berger,6.2,1000875
2010,Brett Gardner,6.2,9927
1988,Kirk Gibson,6.2,1004669
2004,Lance Berkman,6.2,548
1899,Jesse Burkett,6.1,1001682
1935,Augie Galan,6.1,1004440
1980,Al Bumbry,6.1,1001649
2006,Lance Berkman,6.1,548
1957,Stan Musial,6.1,1009405
2002,Lance Berkman,6.1,548
1890,Pete Browning,6.1,1001554
1962,Rocky Colavito,6,1002404
1974,Willie Stargell,6,1012426
2003,Lance Berkman,6,548
1986,Tim Raines,6,1406
1983,Tim Raines,6,1406
